NAME	DESCRIPTION	HMDA-HMDA-_1	HMDA-HMDA-_2	HMDA-HMDA-_3	HMDA-M9-_1	HMDA-M9-_2	HMDA-M9-_3	MG1655-HMDA-_1	MG1655-HMDA-_2	MG1655-HMDA-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
grcA	b2579	94.1113	115.19200000000001	197.176	9711.43	2061.67	3438.61	2478.7	3525.28	3346.46	375.458	757.846	313.372
yfiF	b2581	132.534	139.874	105.564	312.066	281.37	418.832	138.957	136.755	137.445	178.55700000000002	165.38099999999997	184.17
kgtP	b2587	2331.86	2436.12	2650.34	1357.32	1718.7	2092.06	1824.4	1533.76	1726.79	2349.53	2465.66	2584.04
clpB	b2592	169.058	156.966	168.949	388.215	303.245	392.111	200.96	274.62	294.681	196.91299999999998	154.645	184.77200000000002
rluD	b2594	152.705	187.63099999999997	181.47099999999998	134.19299999999998	212.035	179.34900000000002	152.265	157.106	156.332	187.12599999999998	196.952	193.804
yfiH	b2593	87.6888	109.714	79.4643	71.3913	113.26799999999999	95.6785	64.6143	81.4089	75.0057	104.735	110.006	102.465
tyrA	b2600	219.59599999999998	275.249	343.423	304.51	685.915	208.84900000000002	215.15900000000002	194.46	228.50400000000002	415.898	456.14099999999996	517.639
aroF	b2601	282.556	436.332	378.577	264.698	1058.5	270.711	249.053	286.07099999999997	284.79400000000004	486.04900000000004	518.739	617.255
rplS	b2606	2937.38	4388.8	2986.51	3801.72	8828.79	2018.3	3596.57	5231.97	5361.6	4405.53	4051.68	5416.53
ybeM	b4581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
trmD	b2607	3519.4	4314.74	3675.28	4146.43	7990.96	1839.9	5475.53	5369.21	5643.15	5489.42	5536.12	5960.31
rimM	b2608	2275.84	3954.27	2325.96	3437.77	7978.13	1878.5	2642.24	5131.48	4821.65	4622.93	3898.9	5650.59
rpsP	b2609	3006.71	4388.46	3882.03	2962.59	7903.45	1926.43	4778.4	4617.59	5146.1	5146.96	4933.37	5449.36
ffh	b2610	387.494	487.98	453.599	223.91400000000002	315.49	239.99599999999998	312.54	358.957	340.793	252.685	264.748	304.18
grpE	b2614	895.2810000000001	750.883	956.034	593.029	907.123	600.688	1141.37	659.4989999999999	844.096	693.48	623.321	790.55
ratA	b2619	394.663	461.62199999999996	525.413	158.298	225.821	178.706	263.748	239.924	247.23	196.449	205.731	215.623
ratB	b2618	680.6389999999999	628.815	813.9010000000001	165.477	197.81599999999997	165.364	374.055	160.601	154.827	343.099	294.44	275.156
