NAME	DESCRIPTION	PUTR-Putrescine-_1	PUTR-Putrescine-_2	PUTR-Putrescine-_3	PUTR-M9-_1	PUTR-M9-_2	PUTR-M9-_3	MG1655-Putrescine-_1	MG1655-Putrescine-_2	MG1655-Putrescine-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
fliR	b1950	0.930212	0.0	0.628815	1.42718	0.537771	0.527675	0.9228629999999999	1.35951	0.439391	1.82571	2.4969	1.48761
rcsA	b1951	157.921	103.351	110.435	14.7419	10.1896	12.0302	28.6681	30.5424	23.9825	24.0326	10.6286	26.2108
yodD	b1953	599.076	442.505	494.8	302.519	290.038	173.30700000000002	278.153	225.56900000000002	368.00800000000004	160.097	92.2799	92.8179
yedP	b1955	142.737	178.253	171.96400000000003	163.356	147.526	162.503	120.631	109.779	101.945	115.406	111.897	86.838
yedA	b1959	2.95605	1.097	2.3545	1.38915	0.26668800000000004	0.257213	1.15571	1.07374	0.816431	4.11369	2.61131	4.25661
yedS	b4496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lpxA	b0181	675.579	733.9830000000001	683.0189999999999	529.331	509.48	521.23	669.584	740.377	730.75	591.693	598.817	638.4019999999999
hchA	b1967	524.564	561.678	604.375	1267.06	1313.05	1260.01	456.35900000000004	437.277	365.98699999999997	564.855	502.01	247.19799999999998
hiuH	b1970	20.2174	22.1008	20.3527	36.0709	35.8956	42.7797	31.4258	21.9017	22.1496	52.5937	62.5254	38.1315
yedY	b1971	26.913	29.858	27.5532	48.4291	46.5339	43.3432	33.0683	38.1454	34.0097	35.3323	26.8664	35.8524
yedZ	b1972	12.8011	11.2882	14.4698	24.6932	21.7044	20.8743	18.6971	19.3079	17.6812	14.2152	16.0938	14.8873
zinT	b1973	41.0117	34.0242	31.8032	22.7033	22.2966	11.3051	28.7457	29.2102	31.0113	19.4048	17.8512	20.2573
yodB	b1974	2.12399	4.08801	2.74227	2.40719	1.41655	2.71945	10.517000000000001	10.1566	7.332089999999999	3.12368	8.33238	11.2724
mtfA	b1976	61.864	57.8545	57.3322	65.1081	58.8634	56.6348	107.443	132.936	114.911	70.7243	64.5896	77.9692
yeeJ	b1978	8.80305	9.16686	9.03614	9.15633	9.376560000000001	8.68934	11.073	10.0078	10.1815	9.19478	9.14702	9.18832
shiA	b1981	103.916	99.3232	110.84700000000001	205.36599999999999	220.024	207.951	95.2603	92.319	105.111	220.955	208.237	239.168
amn	b1982	177.571	216.738	227.847	438.634	424.611	460.774	290.691	268.033	254.709	407.75199999999995	431.35400000000004	397.37300000000005
dnaE	b0184	211.013	181.77900000000002	171.918	97.0416	96.7245	91.4954	145.753	140.484	149.369	109.7	125.64299999999999	104.04299999999999
yeeN	b1983	239.55	235.479	258.431	350.642	335.075	325.529	267.603	264.721	250.468	364.361	444.11699999999996	393.856
yeeP	b1999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
flu	b2000	19.4663	17.0973	17.4316	226.644	25.4653	33.1441	38.9177	24.0618	40.4736	49.0878	42.9352	42.178000000000004
yeeR	b2001	3.78551	2.58258	3.45358	31.9782	6.6233699999999995	7.60314	4.85955	7.124060000000001	7.2736	9.21584	7.413360000000001	9.39058
yeeS	b2002	3.59734	0.8810979999999999	2.93074	8.36567	2.6029400000000003	0.8450629999999999	1.9617900000000001	4.458480000000001	2.86065	5.21495	0.0	3.6415
yeeT	b2003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cbeA	b2004	0.793129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yeeW	b2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accA	b0185	631.135	465.51800000000003	441.25800000000004	540.535	534.8009999999999	470.50300000000004	407.49800000000005	514.036	523.118	376.208	294.454	448.13800000000003
cbtA	b2005	0.0	0.715244	0.0	1.47851	0.0	1.9196099999999998	0.7742399999999999	0.559009	0.53735	0.0	1.0188	0.0
yoeF	b4538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sbcB	b2011	209.62900000000002	196.887	203.718	56.18600000000001	58.1752	54.3748	127.029	125.14200000000001	146.711	65.1248	78.3912	71.5563
hisL	b2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hisG	b2019	1824.46	1817.04	1733.04	409.676	444.04699999999997	501.42199999999997	472.11699999999996	306.267	539.232	521.62	464.64300000000003	563.784
hisC	b2021	625.669	705.4839999999999	727.077	389.907	412.82	444.819	222.764	196.085	261.059	427.70099999999996	450.712	502.44
hisD	b2020	945.48	994.5110000000001	812.085	367.996	361.332	381.959	238.74200000000002	204.06099999999998	281.38599999999997	376.043	371.276	400.3
hisB	b2022	566.644	520.663	661.123	508.58099999999996	525.755	600.336	320.877	268.91700000000003	313.073	521.571	559.581	621.428
hisH	b2023	307.144	253.084	260.313	337.533	296.932	318.116	141.97299999999998	141.96	194.143	283.202	226.713	299.605
hisA	b2024	318.45799999999997	253.297	261.45099999999996	390.89	378.284	378.277	156.657	156.203	190.282	276.469	244.399	306.732
ldcC	b0186	153.172	125.809	126.852	94.7041	87.4489	89.5784	75.6107	69.4446	72.3716	62.5225	65.7829	54.5044
hisF	b2025	262.634	193.361	197.437	369.594	339.975	306.555	142.719	146.85299999999998	183.102	230.528	216.204	303.55400000000003
hisI	b2026	349.168	386.195	449.61800000000005	495.246	511.839	634.1669999999999	249.49400000000003	224.00099999999998	249.949	547.997	562.081	609.9630000000001
yegH	b2063	96.8656	103.228	114.29899999999999	45.6238	43.4056	50.5842	42.7939	37.6436	40.1978	52.5398	48.9139	46.4493
yegE	b2067	39.5933	39.4668	32.144	28.6742	31.225	27.320999999999998	39.0682	36.0153	34.964	28.4032	28.4956	26.9857
yegD	b2069	53.0176	51.0516	55.1111	30.3822	27.1635	34.2432	52.5406	48.7506	56.4958	36.8503	42.2301	42.7991
yegJ	b2071	5.9126900000000004	7.212260000000001	7.5530800000000005	7.960780000000001	5.8167599999999995	6.454359999999999	5.01481	5.38124	5.05564	7.90855	5.81819	8.101980000000001
mdtA	b2074	17.1351	13.1379	16.6648	23.7618	22.4356	22.5588	25.3557	24.7196	19.8093	17.0747	28.6746	19.9808
mdtB	b2075	17.4397	15.5158	13.0115	11.9069	12.0415	11.1182	17.1083	15.2404	15.7471	11.5772	11.8676	9.00404
mdtC	b2076	19.3262	20.1587	16.4892	9.37279	7.9158	7.8551	10.887	13.0479	12.3604	7.35686	6.19672	7.147810000000001
mdtD	b2077	16.0417	18.9994	17.294	8.18821	10.5989	7.2751399999999995	12.657	12.129000000000001	13.0203	6.57525	9.52127	6.14309
yaeR	b0187	151.32	121.601	116.98	152.5	162.558	148.33700000000002	78.2687	91.7278	97.9225	94.3267	93.79799999999999	77.1177
baeS	b2078	18.1687	18.1021	12.2891	14.2499	10.6893	12.3447	12.5687	13.5383	12.7545	9.18118	8.728589999999999	11.482999999999999
baeR	b2079	101.11399999999999	126.367	133.68	74.1235	76.2253	90.2248	78.309	62.5349	63.5479	93.7421	97.8495	64.265
yegP	b2080	182.19799999999998	199.13299999999998	197.31799999999998	874.4960000000001	905.107	801.1489999999999	361.05199999999996	360.13699999999994	286.297	500.44199999999995	409.45599999999996	266.252
yegQ	b2081	68.7429	47.3694	49.0977	72.9274	77.5582	74.5037	99.65899999999999	104.38600000000001	99.4768	116.598	116.81200000000001	142.535
yegS	b2086	74.0962	67.9988	69.3149	130.687	123.976	126.07700000000001	77.8007	77.5499	58.158	100.167	109.538	65.95
yegV	b2100	16.6829	16.188	16.0592	15.2011	13.0444	15.145999999999999	22.6521	20.9986	18.9265	17.4294	18.6698	20.3283
yegU	b2099	11.9995	12.708	12.2601	13.0309	14.6239	14.0528	19.8623	18.4722	20.7223	17.8754	11.3576	12.4888
yegT	b2098	4.78046	8.67022	9.23961	6.8226	9.01115	11.8786	9.01062	9.57693	7.68795	17.172	20.4451	14.4212
tilS	b0188	52.6721	52.718	47.083	60.0836	58.9803	60.7859	64.8059	62.0818	70.038	65.9863	57.9858	59.3418
rcnA	b2106	3.48959	3.99338	3.71865	9.29235	9.20174	9.58203	5.6655	8.46914	7.13275	12.7113	7.44672	10.5729
rcnB	b2107	328.709	297.165	324.33	240.873	261.217	280.52	301.184	373.194	279.508	199.47099999999998	332.356	214.99
metG	b2114	231.37400000000002	207.169	202.97799999999998	242.145	243.37	249.77200000000002	327.04900000000004	353.649	370.819	350.041	303.311	386.54699999999997
yehH	b4499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yehI	b2118	1.65136	1.47244	1.21167	3.4062699999999997	3.6338800000000004	3.57113	2.5333099999999997	2.81652	2.2579599999999997	3.66971	2.57462	3.11891
yehK	b4541	1.053	0.0	0.0	2.79285	0.893774	3.5057099999999997	1.1211799999999998	0.796741	0.0	1.38097	1.42892	0.0
yehL	b2119	0.636073	0.779295	0.626251	0.8540549999999999	1.8909200000000002	1.8039900000000002	0.608645	0.9202440000000001	1.16154	0.72007	0.509685	2.0110200000000003
yehM	b2120	1.34782	1.8963400000000001	1.31803	1.36563	1.8501299999999998	1.75463	1.5994	1.45313	1.7922900000000002	2.09155	1.66399	1.09711
yehP	b2121	1.4105	0.7852	1.18498	1.54625	0.918309	1.5869	1.0401200000000002	1.4135	1.6141	1.56971	0.0	1.45179
yehQ	b2122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yaeQ	b0190	100.311	100.625	103.275	79.8615	80.3136	84.4695	72.9052	83.1537	89.9448	73.90899999999999	88.1617	82.7508
yehR	b2123	2.7646599999999997	1.60584	3.58249	8.3586	7.560169999999999	5.49217	4.0279300000000005	3.65401	2.07285	2.7785599999999997	4.99458	3.53935
mlrA	b2127	42.6741	51.5747	40.9248	91.7734	74.8543	85.434	57.6078	60.2945	55.8674	54.9069	45.031000000000006	42.4603
yohO	b4542	0.0	56.7143	0.0	56.562	0.0	101.04899999999999	0.0	38.7147	0.0	0.0	0.0	0.0
dld	b2133	189.579	173.044	170.642	284.487	258.03	258.27	182.18	173.03	200.585	257.0	257.423	285.476
yohD	b2136	85.899	104.535	102.086	83.1034	75.0447	81.2777	79.0437	99.959	94.3904	87.189	89.7501	77.8752
yohP	b4679	1147.57	2254.07	2047.84	1595.58	0.0	0.0	527.697	902.768	1612.69	0.0	0.0	0.0
yohK	b2142	21.6729	22.4556	20.7506	29.8994	26.2759	30.7083	21.8329	20.0966	21.3172	20.6053	19.0162	18.4418
yohJ	b2141	18.9361	14.6568	18.4264	20.8924	29.726999999999997	14.0719	12.2727	13.0487	21.9484	13.4959	18.3835	16.9141
cdd	b2143	54.7433	43.9782	44.3991	48.9458	47.9815	49.9272	109.932	60.8943	141.52100000000002	51.4412	40.6313	44.9886
sanA	b2144	17.7802	16.3661	21.855	40.3705	35.5064	30.1947	17.5803	31.5425	16.5454	25.2457	20.546	25.066
arfB	b0191	92.8754	97.1862	114.414	60.1308	60.4439	68.7373	99.6259	94.9516	85.9043	75.9417	84.8802	74.964
yeiS	b2145	14.2576	44.4069	39.4721	45.0747	79.9798	98.12299999999999	47.0669	51.7688	32.0389	113.501	99.3958	68.9481
preA	b2147	4.46181	2.48121	2.9701400000000002	5.72114	7.243810000000001	7.694710000000001	8.26682	8.91944	7.961539999999999	7.00709	6.76318	7.29098
preT	b2146	3.8165199999999997	1.8969599999999998	2.20225	4.5593	4.04772	5.15756	9.18622	7.16145	6.9027899999999995	3.3999099999999998	2.8566700000000003	3.5237800000000004
yeiG	b2154	281.166	279.435	298.527	230.236	218.68599999999998	246.293	429.371	401.347	472.06699999999995	275.052	240.63	307.106
yeiH	b2158	8.55017	10.7927	9.008460000000001	31.6768	28.6272	39.0742	18.637999999999998	22.1122	17.9193	47.0945	53.7195	48.4603
nfo	b2159	261.106	274.469	269.532	153.674	153.66	156.627	191.57	176.428	184.851	111.669	101.34100000000001	98.6293
yeiI	b2160	128.999	131.14600000000002	123.24	45.9189	42.297	41.4285	72.5916	85.0683	84.7927	41.6297	47.6318	37.007
yeiL	b2163	2.8650700000000002	1.56656	1.76175	4.82952	6.31646	5.13165	1.26203	4.8522300000000005	2.7105799999999998	5.49817	9.90208	3.01009
setB	b2170	3.4575	4.047969999999999	5.67537	4.34119	4.31534	2.81447	5.4067	5.63109	5.14825	4.65209	8.75457	4.75195
yeiP	b2171	53.5457	40.5147	42.5317	170.37900000000002	180.984	174.523	102.301	108.669	103.17299999999999	251.75799999999998	241.96	278.16900000000004
nhaA	b0019	111.848	147.72299999999998	149.421	136.27	122.822	143.879	172.96400000000003	157.10399999999998	151.904	163.817	190.416	134.76
nlpE	b0192	137.734	133.94899999999998	136.231	83.0581	78.5039	86.1514	124.89	114.969	107.116	73.5172	70.3158	75.4447
yeiQ	b2172	15.952	12.8826	10.8042	17.396	12.8008	13.8885	16.1951	14.5732	16.9049	17.6959	14.2695	13.5056
yeiR	b2173	98.0528	79.2852	97.1117	55.8535	53.4931	61.4436	72.8309	73.6506	67.7225	63.1806	61.2488	49.8622
lpxT	b2174	79.4343	74.8507	77.6078	31.2529	32.4587	38.0793	74.1335	113.20700000000001	80.8005	49.3139	57.1504	43.7889
mepS	b2175	1213.56	1419.27	1766.61	796.622	800.462	866.066	2067.07	2260.88	1856.81	1423.05	1569.58	1635.89
rtn	b2176	19.2029	27.9204	33.1829	21.273000000000003	21.3649	23.9975	29.8364	31.7317	26.488000000000003	36.3295	41.7734	35.5093
yejA	b2177	26.4749	30.7907	26.1503	26.573	22.5443	25.476999999999997	21.85	24.2139	23.0213	18.2555	20.1947	20.975
yejE	b2179	24.2526	30.8803	24.6392	24.217	24.5136	20.4713	21.3037	25.0599	19.748	27.5547	36.5681	30.396
yejB	b2178	18.3724	24.6077	23.9941	24.881	22.7545	24.7725	15.6501	16.4896	15.1216	21.9425	22.8068	23.0043
yejF	b2180	43.0576	35.7596	33.5421	36.8719	43.1404	35.4745	27.548000000000002	39.4403	30.5796	34.6811	45.2427	43.6209
yejH	b2184	28.0492	30.0831	30.0541	17.901	15.8131	17.4532	21.6058	23.7056	25.9094	17.2369	17.5104	18.8651
gmhB	b0200	182.31	186.16099999999997	209.179	146.564	136.53	129.067	150.062	129.908	128.799	190.905	190.94299999999998	218.47099999999998
rplY	b2185	2291.87	2566.56	2729.96	2823.5	3175.06	3497.91	2764.59	3690.85	2530.23	4688.25	4450.91	4989.57
yejL	b2187	490.61699999999996	834.217	825.169	322.561	290.972	372.106	553.025	599.609	516.191	674.242	511.621	523.969
yejM	b2188	197.179	219.512	203.67700000000002	83.0426	81.3467	83.1678	135.429	177.59	145.674	109.08	106.42299999999999	102.78200000000001
narP	b2193	17.1658	14.0102	6.89645	80.7359	78.961	68.8048	30.1619	37.4711	32.7228	87.8641	67.2741	86.9228
eco	b2209	220.69	218.718	198.106	83.1182	76.8225	76.624	172.465	141.511	189.207	55.4579	33.8971	54.8611
rcsD	b2216	176.03799999999998	160.589	163.539	106.477	107.389	103.4	160.138	178.298	163.90400000000002	123.02799999999999	118.205	128.688
rcsB	b2217	569.701	573.356	619.825	642.225	626.089	586.882	525.923	679.294	593.695	624.819	593.4630000000001	771.753
atoC	b2220	10.2293	11.5263	8.87289	10.1344	9.295580000000001	10.6871	12.1454	9.52232	10.62	12.0255	12.9754	11.5345
atoS	b2219	5.39417	7.37587	6.4919199999999995	4.8278	4.67097	5.97007	6.5641	4.92955	7.67934	4.83153	4.8066	4.63724
atoE	b2223	2.3336799999999998	0.841567	1.71338	1.25981	1.5013	1.04112	1.39638	2.3086	1.10315	1.62321	0.398775	0.9259629999999999
dkgB	b0207	28.159000000000002	24.6396	23.595	45.9311	51.9782	58.2058	32.6447	38.178000000000004	36.1246	43.8119	36.1591	44.4548
atoA	b2222	0.0	0.733909	0.8125479999999999	0.529025	0.340275	0.996525	0.393261	0.579751	0.8342149999999999	0.480332	0.5317810000000001	0.494544
atoD	b2221	0.316065	0.301631	0.33319	0.0	0.0	0.544393	0.94905	0.45898199999999995	0.219281	0.766725	0.888639	0.392676
atoB	b2224	1.40846	2.35517	1.46862	3.6030599999999997	2.4752400000000003	2.94637	2.91562	2.79305	2.62601	4.44418	2.51341	3.6324199999999998
ubiG	b2232	214.502	211.144	227.69299999999998	186.253	173.80700000000002	184.67700000000002	235.74900000000002	199.437	243.171	187.889	216.329	214.171
nrdA	b2234	346.68300000000005	329.417	322.60400000000004	403.95599999999996	397.29699999999997	436.458	246.843	234.49599999999998	278.763	319.077	318.13599999999997	286.276
yfaE	b2236	372.01599999999996	710.956	617.802	386.57099999999997	472.62	610.307	460.209	334.412	304.57	743.1360000000001	969.7130000000001	555.974
nrdB	b2235	323.85400000000004	273.295	256.161	377.55400000000003	362.13599999999997	373.79	235.357	231.553	278.362	233.835	211.93	232.743
yfaH	b2238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
glpB	b2242	64.7873	134.52200000000002	111.186	1.85444	2.41487	3.57819	3.24174	2.27576	2.39797	3.0194799999999997	2.66359	2.67564
glpC	b2243	8.470139999999999	28.7217	35.4889	2.85022	3.1539599999999997	1.94602	5.25546	3.16805	1.58066	2.6884200000000003	3.7997400000000003	3.18356
yafD	b0209	322.075	362.575	387.221	233.68900000000002	222.207	207.412	245.37	280.714	262.694	181.845	167.588	218.13299999999998
glpA	b2241	168.14700000000002	240.49599999999998	231.361	1.33907	1.02845	0.677234	3.35994	1.91842	3.83525	0.757321	0.526733	0.536335
yfaD	b2244	15.5928	18.3513	23.6493	21.5243	21.0183	20.3743	24.9478	24.9561	24.279	18.5046	23.8118	24.4959
ypaA	b4543	145.457	104.28200000000001	154.114	191.328	183.658	144.247	104.45100000000001	217.445	191.822	92.2994	104.758	138.106
nudI	b2251	37.7759	29.7788	37.2162	33.1254	30.0089	28.5462	41.8839	34.3961	44.1582	22.8813	19.0461	32.1461
arnB	b2253	47.5569	57.7837	64.6689	72.6533	77.3487	72.6439	47.251999999999995	52.5522	45.9484	38.2753	47.3935	31.3702
arnT	b2257	12.0886	12.9517	12.0468	10.8372	11.5163	10.4142	11.5064	13.0404	9.59017	6.2782800000000005	8.291889999999999	9.48789
arnD	b2256	25.4836	24.4159	22.4747	25.4017	21.1696	18.8614	25.4784	25.7773	19.4141	22.3411	19.2675	15.1025
arnA	b2255	50.5883	52.1177	55.7051	51.6391	55.833	56.858999999999995	46.1176	48.0314	43.9349	36.3687	54.381	29.7485
arnC	b2254	31.0102	40.7995	43.4819	55.6211	61.7474	54.4438	39.5745	38.6352	32.7781	30.8885	35.9438	19.9762
arnE	b4544	12.3826	14.7475	14.9243	27.0563	16.8469	14.3133	14.6159	25.4837	15.2922	20.3627	20.4793	25.2838
yafE	b0210	55.5969	62.5046	70.9639	31.4152	24.9634	23.3226	46.0271	48.1878	51.9374	31.1118	28.0867	30.041999999999998
arnF	b2258	4.60725	4.35118	5.67255	7.654160000000001	8.0711	5.52272	1.77565	4.63436	5.0323400000000005	7.60353	0.0	3.35322
rbn	b2268	29.7024	37.0108	35.2354	39.8888	36.7633	36.9364	40.2411	41.7824	36.7161	37.634	42.4607	39.73
elaD	b2269	2.99096	2.48572	2.19203	4.99397	6.00684	4.487830000000001	4.08019	3.8580400000000004	1.85568	4.6349	3.63761	4.978269999999999
yfbL	b2271	1.16774	0.712888	0.978611	0.52551	1.1734	0.9715940000000001	0.9572729999999999	1.7277099999999999	1.0083799999999998	0.22310100000000002	0.470347	0.231276
yfbM	b2272	3.24115	7.41856	3.3039699999999996	4.00588	5.9490099999999995	5.705830000000001	4.54135	3.99644	3.9703	3.3298099999999997	3.64151	5.105519999999999
yfbO	b2274	3.87375	6.25009	3.52815	9.2882	14.0482	11.9679	15.3732	7.719539999999999	7.856889999999999	12.3605	4.94067	8.9215
yfbP	b2275	2.39443	3.90964	3.2355	8.85323	8.43856	7.9387	4.6886	6.06914	6.08589	4.47696	2.86415	5.78063
alaA	b2290	153.921	142.46	150.58100000000002	157.64600000000002	151.665	135.65	105.771	114.431	118.338	198.727	188.308	259.26599999999996
yfbR	b2291	94.382	83.1742	96.1326	57.0069	48.6255	62.8971	60.2886	59.2428	51.3809	59.8767	53.5554	50.0476
ackA	b2296	747.4860000000001	809.5139999999999	836.414	340.73199999999997	353.19	372.465	401.76	376.05199999999996	437.472	272.10900000000004	266.509	301.459
yafS	b0213	54.0351	64.4691	68.2065	58.7092	60.0124	65.4583	63.357	60.0109	64.2796	74.0854	72.5925	72.0504
pta	b2297	440.4	423.296	409.93199999999996	270.171	277.778	281.139	299.092	317.325	304.314	244.851	211.298	271.079
yfcC	b2298	15.8786	18.8739	24.3216	1.38884	2.15888	1.1378	10.9334	5.73079	12.2508	3.9286	2.96462	2.59025
yfcG	b2302	89.135	66.1829	79.0727	131.007	124.99799999999999	114.363	81.0324	81.99	75.4186	67.071	64.2716	46.3237
folX	b2303	281.517	224.895	221.615	531.969	546.961	482.0	343.31800000000004	400.941	313.019	419.12699999999995	454.245	522.919
yfcH	b2304	205.81599999999997	235.294	205.774	282.992	320.84	327.846	233.3	272.348	242.30700000000002	273.494	225.195	290.621
flk	b2321	24.6602	19.3319	23.2871	38.053000000000004	40.6944	40.6647	31.6831	32.2006	30.4663	47.5227	58.1785	57.0101
mnmC	b2324	147.597	147.761	118.235	29.2104	28.0521	28.996	128.884	110.36399999999999	124.26	34.2753	29.3529	33.2907
smrB	b2331	127.22	113.134	132.114	109.21799999999999	107.802	104.072	115.499	103.786	121.368	109.794	114.68299999999999	129.268
fadL	b2344	33.0464	31.7004	31.6309	125.37899999999999	125.973	139.21	98.0782	111.564	96.2064	159.505	191.155	182.50599999999997
yfdF	b2345	0.712749	1.88398	2.5838099999999997	2.94312	3.18399	3.71463	2.61055	3.73714	3.1074200000000003	4.48246	5.51374	7.15105
dnaQ	b0215	167.6	157.994	189.986	154.436	150.063	145.026	153.20600000000002	183.44400000000002	148.787	162.52200000000002	151.36700000000002	165.378
yfdC	b2347	67.5726	60.6574	60.6034	78.7818	75.6388	72.1007	42.8539	45.5825	39.9228	55.9408	69.4742	40.8909
intS	b2349	5.99832	6.65711	4.83662	23.0365	22.1896	26.1833	20.9182	26.1286	18.8228	27.5249	19.8406	36.2387
gtrS	b2352	38.4898	11.2719	10.3245	177.446	99.7478	48.2325	51.8901	79.0106	105.477	51.7478	43.5475	94.3092
gtrB	b2351	169.72	179.477	167.201	358.73900000000003	384.131	397.793	263.782	330.64599999999996	230.074	540.345	632.28	589.446
gtrA	b2350	194.56	170.317	182.584	270.13	221.09099999999998	257.416	242.229	283.861	204.19400000000002	259.749	299.151	297.95799999999997
tfaS	b2353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yfdP	b2359	1.36517	7.25656	7.40256	3.10581	8.195780000000001	2.2968900000000003	4.20516	6.5141599999999995	2.99485	5.55746	5.0305800000000005	10.2613
yfdQ	b2360	9.35483	8.755230000000001	6.6367199999999995	6.9004	7.23498	8.39509	7.93308	7.01319	7.88144	3.93299	7.803489999999999	3.7913699999999997
yfdT	b2363	3.3825800000000004	4.363519999999999	1.20346	4.37221	3.74375	4.74948	1.19075	1.6844299999999999	2.55045	1.47294	9.388689999999999	2.9927799999999998
yfdS	b2362	0.0	0.0	0.0	0.495482	2.6066599999999998	2.47658	0.734808	3.7884599999999997	1.0613	4.43225	2.88701	4.5507
yafT	b0217	1.2963200000000001	1.43977	1.8281	3.7118900000000004	2.38095	3.94085	2.6051900000000003	3.3797	1.49155	4.535830000000001	5.03911	3.65392
yfdR	b2361	0.0	0.428584	0.0	0.308762	0.38916999999999996	0.751109	0.0	0.342519	0.0	1.07808	1.1466	0.552751
ypdJ	b4545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
torI	b4501	22.4554	42.0605	62.4464	15.5728	24.2795	23.1623	14.2405	24.086	17.1731	23.8121	25.1635	0.0
dsdX	b2365	0.815499	1.77837	2.05065	3.24703	2.03357	3.00813	1.68497	2.4462	3.15333	3.24122	2.3721099999999997	2.6141099999999997
dsdA	b2366	10.7842	10.7559	10.4744	35.2459	31.3191	29.3994	19.9777	22.5908	18.1927	24.2806	29.3891	25.0272
evgA	b2369	201.06799999999998	196.225	210.1	259.672	262.801	218.57299999999998	268.19	389.49300000000005	270.231	357.70300000000003	384.468	376.116
evgS	b2370	27.0394	30.3351	28.0459	34.1622	39.5921	30.5358	46.5236	61.806000000000004	47.4391	57.9014	74.0805	65.2339
ypdI	b2376	3.3137300000000005	3.26982	3.6100199999999996	1.04921	4.17122	0.0	265.145	351.93300000000005	170.097	2.27513	2.40321	2.28963
