NAME	DESCRIPTION	HEXA-Hexa-acid-_1	HEXA-Hexa-acid-_2	HEXA-Hexa-acid-_3	HEXA-M9-_1	HEXA-M9-_2	HEXA-M9-_3	MG1655-Hexa-acid-_1	MG1655-Hexa-acid-_2	MG1655-Hexa-acid-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
fliQ	b1949	5.6535	5.6739	4.18192	2.52006	2.84824	3.95557	9.99496	11.2438	4.8559	14.4402	2.38754	4.18201
fliR	b1950	2.53335	1.46525	1.17	0.257759	1.45052	0.551196	1.8890099999999999	0.434196	0.645814	1.82571	2.4969	1.48761
rcsA	b1951	70.8801	52.0772	62.4808	61.2108	58.847	57.3762	15.4794	10.1528	25.5042	24.0326	10.6286	26.2108
yodD	b1953	148.75	132.885	38.7433	21.2122	27.701	26.8061	178.072	218.489	205.013	160.097	92.2799	92.8179
yedP	b1955	82.5242	103.523	43.4344	19.512	16.3143	16.1335	153.124	175.495	159.702	115.406	111.897	86.838
yedA	b1959	7.04427	5.71852	7.6146	2.01683	2.00042	2.17615	11.3876	7.875489999999999	19.41	4.11369	2.61131	4.25661
yedS	b4496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lpxA	b0181	820.431	857.9639999999999	1101.31	1154.92	1152.31	1262.99	554.034	498.657	586.776	591.693	598.817	638.4019999999999
hchA	b1967	123.20200000000001	101.863	121.525	25.587	22.5333	17.5652	544.413	370.369	399.469	564.855	502.01	247.19799999999998
hiuH	b1970	10.966	10.9963	16.4213	15.9939	21.6489	17.569000000000003	32.2493	30.2741	35.3274	52.5937	62.5254	38.1315
yedY	b1971	72.7177	76.9464	45.5763	17.4763	19.6302	17.2973	53.3233	48.6873	41.581	35.3323	26.8664	35.8524
yedZ	b1972	31.1026	35.9445	17.7389	13.079	9.13315	10.1762	14.5581	14.0172	17.973	14.2152	16.0938	14.8873
zinT	b1973	8213.87	6254.83	7884.21	17637.3	16488.5	15436.1	20.7202	17.1684	20.1736	19.4048	17.8512	20.2573
yodB	b1974	50.1356	59.0592	83.5183	188.15200000000002	201.187	161.71200000000002	3.7602	5.18962	1.05306	3.12368	8.33238	11.2724
mtfA	b1976	27.9923	26.9313	43.1098	61.9311	49.5463	47.766000000000005	75.5006	71.1923	76.729	70.7243	64.5896	77.9692
yeeJ	b1978	15.3363	17.0896	12.5323	7.02867	7.924010000000001	7.24711	9.600539999999999	10.1081	10.6085	9.19478	9.14702	9.18832
shiA	b1981	121.348	158.829	144.259	247.815	255.958	258.063	85.5822	110.213	121.137	220.955	208.237	239.168
amn	b1982	529.457	486.256	477.04900000000004	226.36	200.422	185.547	414.13599999999997	533.697	400.986	407.75199999999995	431.35400000000004	397.37300000000005
dnaE	b0184	187.745	196.497	174.269	209.821	225.09799999999998	228.303	98.2579	96.3401	96.2026	109.7	125.64299999999999	104.04299999999999
yeeN	b1983	435.376	348.44699999999995	469.954	442.63199999999995	413.815	387.67699999999996	485.027	621.049	486.413	364.361	444.11699999999996	393.856
yeeP	b1999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
flu	b2000	41.6467	73.5632	27.3421	33.1147	27.0669	30.3676	60.5521	65.4208	42.0438	49.0878	42.9352	42.178000000000004
yeeR	b2001	10.5513	15.9076	7.9737800000000005	9.87117	9.155380000000001	8.18104	9.020010000000001	9.4894	5.06663	9.21584	7.413360000000001	9.39058
yeeS	b2002	3.15449	6.263380000000001	5.77717	2.16768	2.5002299999999997	0.90602	3.28221	3.8894800000000003	1.05748	5.21495	0.0	3.6415
yeeT	b2003	0.0	2.1995299999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cbeA	b2004	1.47692	0.0	1.1159999999999999	0.671229	0.0	0.0	0.878274	0.0	0.0	0.0	0.0	0.0
yeeW	b2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accA	b0185	283.485	415.702	421.996	898.9580000000001	936.2410000000001	994.887	288.28	217.092	386.106	376.208	294.454	448.13800000000003
cbtA	b2005	5.2983	2.18457	2.04248	0.0	2.0177099999999997	0.643113	1.60083	0.0	0.0	0.0	1.0188	0.0
yoeF	b4538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sbcB	b2011	130.416	123.281	99.7251	100.977	97.5962	98.84	86.1045	106.20100000000001	95.2805	65.1248	78.3912	71.5563
hisL	b2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hisG	b2019	690.341	938.416	286.878	665.1139999999999	783.645	881.357	379.463	1822.55	301.80400000000003	521.62	464.64300000000003	563.784
hisC	b2021	351.12800000000004	314.836	283.923	513.788	521.798	557.903	225.93599999999998	303.248	231.688	427.70099999999996	450.712	502.44
hisD	b2020	291.134	404.23800000000006	243.016	489.961	554.367	600.6419999999999	193.78900000000002	310.02299999999997	214.511	376.043	371.276	400.3
hisB	b2022	432.47900000000004	392.06800000000004	375.14300000000003	660.2869999999999	659.44	666.39	266.882	322.546	316.81	521.571	559.581	621.428
hisH	b2023	180.921	201.655	162.145	355.957	387.619	389.44199999999995	120.73899999999999	125.06200000000001	148.136	283.202	226.713	299.605
hisA	b2024	185.81099999999998	215.69799999999998	161.236	449.499	488.29900000000004	532.658	139.44899999999998	131.828	162.843	276.469	244.399	306.732
ldcC	b0186	45.943999999999996	42.8486	39.9083	24.9577	24.8429	23.8854	70.4665	82.1555	69.9289	62.5225	65.7829	54.5044
hisF	b2025	189.22099999999998	192.672	164.85299999999998	388.94699999999995	419.786	432.858	126.944	140.689	167.55200000000002	230.528	216.204	303.55400000000003
hisI	b2026	474.965	434.151	469.705	670.346	669.1389999999999	703.325	319.76	376.217	329.75	547.997	562.081	609.9630000000001
yegH	b2063	73.4532	76.7455	50.6838	53.9942	49.8847	53.2041	38.643	40.4119	47.3494	52.5398	48.9139	46.4493
yegE	b2067	26.0942	29.8732	23.2491	21.5111	20.8435	18.4916	29.1437	34.1884	24.6535	28.4032	28.4956	26.9857
yegD	b2069	16.7368	12.6906	21.1295	32.0483	30.0979	38.0067	19.2508	19.7755	20.9709	36.8503	42.2301	42.7991
yegJ	b2071	3.48881	2.86734	2.03192	2.01211	3.18661	1.7483400000000002	7.322310000000001	7.68076	5.47265	7.90855	5.81819	8.101980000000001
mdtA	b2074	14.0826	16.4584	27.4344	34.32	30.314	30.2631	21.6558	15.9533	21.514	17.0747	28.6746	19.9808
mdtB	b2075	9.55523	11.6588	12.8858	15.9001	18.0827	17.8863	13.0511	11.5893	11.2269	11.5772	11.8676	9.00404
mdtC	b2076	10.5664	12.8715	8.56069	11.0725	10.6926	11.9619	9.79556	8.290239999999999	8.75985	7.35686	6.19672	7.147810000000001
mdtD	b2077	22.5726	25.2908	28.1769	7.795439999999999	8.936639999999999	10.463	16.1252	13.1435	13.9886	6.57525	9.52127	6.14309
yaeR	b0187	59.0943	58.9907	45.6855	87.589	95.0483	106.212	87.7909	84.0873	102.98299999999999	94.3267	93.79799999999999	77.1177
baeS	b2078	19.7494	22.4303	15.9647	13.3329	12.8581	10.8384	16.1346	16.8321	12.9616	9.18118	8.728589999999999	11.482999999999999
baeR	b2079	134.028	132.64600000000002	161.52	102.818	85.9415	86.9942	93.6537	105.171	70.0427	93.7421	97.8495	64.265
yegP	b2080	191.332	161.255	152.381	39.7368	28.1511	31.677	928.882	815.382	828.061	500.44199999999995	409.45599999999996	266.252
yegQ	b2081	34.996	33.0267	101.71799999999999	114.975	109.97200000000001	114.809	98.4319	69.5932	102.133	116.598	116.81200000000001	142.535
yegS	b2086	61.6842	49.0806	81.4774	21.0987	21.5751	16.9432	120.81	95.4186	92.6115	100.167	109.538	65.95
yegV	b2100	40.8473	37.9872	50.641000000000005	18.262999999999998	20.8981	22.8931	17.266	14.4808	14.7143	17.4294	18.6698	20.3283
yegU	b2099	34.1748	31.6388	27.410999999999998	25.2238	19.7547	22.8107	17.1653	13.9472	17.7729	17.8754	11.3576	12.4888
yegT	b2098	26.6442	20.5741	28.6838	16.1489	13.2969	15.0224	14.8281	20.5533	11.6194	17.172	20.4451	14.4212
tilS	b0188	34.6442	31.4931	55.6378	91.4058	91.1277	93.5968	63.4706	37.1567	75.6395	65.9863	57.9858	59.3418
rcnA	b2106	27.45	25.2497	20.2228	15.1222	15.5085	9.65923	13.0206	10.3397	14.6164	12.7113	7.44672	10.5729
rcnB	b2107	272.498	171.72400000000002	363.3	205.899	184.308	159.782	271.749	344.652	214.855	199.47099999999998	332.356	214.99
metG	b2114	344.834	273.242	516.3480000000001	476.17699999999996	464.25	482.51599999999996	347.778	328.839	388.62	350.041	303.311	386.54699999999997
yehH	b4499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yehI	b2118	2.52201	3.0382599999999997	3.35892	2.87204	2.65489	2.5458	3.5068599999999996	3.71755	3.5698800000000004	3.66971	2.57462	3.11891
yehK	b4541	1.93189	0.0	1.55504	1.71652	0.9476959999999999	0.0	5.89391	1.46328	1.0606799999999998	1.38097	1.42892	0.0
yehL	b2119	1.96177	2.73032	4.107469999999999	3.96538	2.66093	3.10316	1.22088	0.8283590000000001	0.674467	0.72007	0.509685	2.0110200000000003
yehM	b2120	5.6501	3.46449	3.1554	1.9056	1.44384	1.3884	1.75951	1.55407	1.2326700000000002	2.09155	1.66399	1.09711
yehP	b2121	5.39588	5.8824	3.51824	1.3222	0.837516	1.61618	2.16063	2.03171	2.18933	1.56971	0.0	1.45179
yehQ	b2122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yaeQ	b0190	48.0836	57.0665	80.1635	86.6021	92.1994	105.084	91.3839	75.3726	104.307	73.90899999999999	88.1617	82.7508
yehR	b2123	5.93769	3.27889	3.88179	5.227040000000001	2.8929099999999996	6.00174	7.23251	4.74456	2.18621	2.7785599999999997	4.99458	3.53935
mlrA	b2127	15.3189	8.15363	17.5879	5.587219999999999	7.965960000000001	7.220860000000001	65.0414	54.2076	54.736000000000004	54.9069	45.031000000000006	42.4603
yohO	b4542	0.0	0.0	0.0	0.0	0.0	31.6592	160.326	0.0	45.4943	0.0	0.0	0.0
dld	b2133	343.81800000000004	375.94800000000004	307.813	199.572	208.385	204.975	287.08	363.454	305.9	257.0	257.423	285.476
yohD	b2136	98.9093	107.495	71.9944	37.0184	47.692	39.4108	124.042	125.288	97.7492	87.189	89.7501	77.8752
yohP	b4679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yohK	b2142	130.608	156.65	51.0677	36.039	40.5637	39.6983	23.0432	28.9487	23.8748	20.6053	19.0162	18.4418
yohJ	b2141	199.921	207.352	119.6	40.9043	37.1203	35.9351	17.5437	22.5796	27.2516	13.4959	18.3835	16.9141
cdd	b2143	158.53	189.53900000000002	110.875	59.489	60.412	61.2997	54.4642	82.9065	48.3259	51.4412	40.6313	44.9886
sanA	b2144	13.8008	20.1823	15.5356	45.6756	44.0024	40.7383	28.9815	19.4333	27.447	25.2457	20.546	25.066
arfB	b0191	78.4435	68.67699999999999	110.65899999999999	70.1175	74.8436	72.2161	112.021	85.5653	92.1715	75.9417	84.8802	74.964
yeiS	b2145	36.7862	65.5253	56.5896	90.5514	51.2237	46.4345	70.9327	56.4541	97.7992	113.501	99.3958	68.9481
preA	b2147	8.55214	8.997119999999999	6.21951	5.24795	6.14844	5.88581	5.51469	7.82535	6.0019	7.00709	6.76318	7.29098
preT	b2146	4.50016	4.42161	5.83648	2.08607	3.08525	2.41288	3.16588	3.2402900000000003	3.9032199999999997	3.3999099999999998	2.8566700000000003	3.5237800000000004
yeiG	b2154	258.455	286.274	188.83	77.6569	79.2231	78.9609	353.866	346.42199999999997	372.985	275.052	240.63	307.106
yeiH	b2158	27.1692	30.6437	30.631	40.8142	40.3857	45.2017	31.5818	49.4223	61.8483	47.0945	53.7195	48.4603
nfo	b2159	171.9	184.903	191.68900000000002	82.1509	82.9457	88.3374	173.937	142.766	141.314	111.669	101.34100000000001	98.6293
yeiI	b2160	59.0122	61.865	56.5113	37.4821	37.6974	38.9134	56.1223	51.3769	53.695	41.6297	47.6318	37.007
yeiL	b2163	3.6825300000000003	3.32576	1.18003	2.29128	3.57168	2.40268	2.2132400000000003	1.8426	3.32272	5.49817	9.90208	3.01009
setB	b2170	4.71096	7.349139999999999	7.041	5.96089	8.20386	8.87507	8.31075	6.7546100000000004	7.22359	4.65209	8.75457	4.75195
yeiP	b2171	167.81900000000002	123.759	260.226	369.73	339.45599999999996	347.708	247.467	234.52700000000002	239.06	251.75799999999998	241.96	278.16900000000004
nhaA	b0019	92.2087	85.9452	75.7232	68.8492	69.7646	64.7584	336.95300000000003	445.59	206.44299999999998	163.817	190.416	134.76
nlpE	b0192	111.20200000000001	107.383	106.266	72.1123	69.6723	66.9639	115.045	104.85	106.06700000000001	73.5172	70.3158	75.4447
yeiQ	b2172	183.391	291.267	25.7396	31.2171	29.4276	34.1335	10.5229	10.713	13.696	17.6959	14.2695	13.5056
yeiR	b2173	23.6685	24.799	79.6798	65.1969	74.8633	68.7358	92.8837	67.0246	89.6877	63.1806	61.2488	49.8622
lpxT	b2174	23.3765	17.5841	57.4441	68.7344	63.9381	63.7185	68.3311	47.7497	69.5374	49.3139	57.1504	43.7889
mepS	b2175	79.9832	111.36200000000001	508.04400000000004	665.4839999999999	602.74	570.0169999999999	1362.57	1003.62	1364.56	1423.05	1569.58	1635.89
rtn	b2176	18.3219	18.66	32.8802	28.2651	29.5649	27.8253	37.2253	34.6922	30.7833	36.3295	41.7734	35.5093
yejA	b2177	30.9459	37.9911	31.1825	19.9225	21.5151	22.0025	29.3476	24.1213	24.1784	18.2555	20.1947	20.975
yejE	b2179	27.7803	30.9496	29.0077	23.1782	24.5937	22.3685	35.496	40.8783	27.7815	27.5547	36.5681	30.396
yejB	b2178	23.7771	27.5356	25.2258	15.5288	17.4737	14.9039	30.5589	26.013	24.9586	21.9425	22.8068	23.0043
yejF	b2180	29.8982	29.7938	25.5418	27.3674	29.0377	30.319000000000003	41.5397	48.0896	47.7386	34.6811	45.2427	43.6209
yejH	b2184	37.9149	48.1308	32.963	18.8048	20.5347	19.8598	22.0635	19.5713	25.5633	17.2369	17.5104	18.8651
gmhB	b0200	247.957	226.787	197.74	184.112	175.47299999999998	191.451	165.636	225.614	153.442	190.905	190.94299999999998	218.47099999999998
rplY	b2185	2254.95	1717.86	3920.45	5119.3	4641.76	4422.62	3822.38	3208.11	3387.99	4688.25	4450.91	4989.57
yejL	b2187	217.93	202.58700000000002	419.24800000000005	484.663	472.583	434.36199999999997	595.273	449.621	457.949	674.242	511.621	523.969
yejM	b2188	49.2437	52.6351	78.4828	110.885	113.04799999999999	115.714	101.896	78.3878	101.081	109.08	106.42299999999999	102.78200000000001
narP	b2193	60.6735	70.8809	46.5891	46.5776	58.8776	47.5957	48.0815	65.0238	52.5301	87.8641	67.2741	86.9228
eco	b2209	185.738	173.08900000000003	150.871	56.9386	42.8936	58.6116	75.7719	101.23299999999999	54.6713	55.4579	33.8971	54.8611
rcsD	b2216	128.01	127.156	142.704	137.566	135.055	138.582	147.121	145.678	150.509	123.02799999999999	118.205	128.688
rcsB	b2217	931.658	980.052	950.0219999999999	774.293	659.355	690.1089999999999	655.014	586.75	680.0110000000001	624.819	593.4630000000001	771.753
atoC	b2220	8.4596	11.1138	10.1754	7.42152	8.19738	7.938389999999999	12.644	16.298	13.8835	12.0255	12.9754	11.5345
atoS	b2219	8.80238	8.62173	6.00055	4.69457	3.9376900000000004	2.67614	6.54672	7.06953	5.33259	4.83153	4.8066	4.63724
atoE	b2223	2.25027	2.86917	1.6994599999999997	2.1191400000000002	1.34712	1.58132	2.59306	4.77358	1.4807299999999999	1.62321	0.398775	0.9259629999999999
dkgB	b0207	84.3243	93.13	90.1016	74.7098	73.0815	69.4894	52.2902	59.2653	55.6212	43.8119	36.1591	44.4548
atoA	b2222	1.33056	0.754031	0.991173	0.6815640000000001	0.7632800000000001	0.363367	0.81488	0.56118	0.0	0.480332	0.5317810000000001	0.494544
atoD	b2221	1.0969799999999998	0.5952430000000001	0.821602	0.778597	0.297968	0.0	0.330936	0.465337	0.0	0.766725	0.888639	0.392676
atoB	b2224	5.07901	4.04706	2.89935	1.1808	3.00995	1.57602	2.7237400000000003	2.81583	2.22744	4.44418	2.51341	3.6324199999999998
ubiG	b2232	130.386	112.34	267.241	220.21900000000002	257.046	251.53099999999998	186.519	172.144	200.878	187.889	216.329	214.171
nrdA	b2234	292.595	215.28900000000002	389.904	316.999	314.83099999999996	306.858	266.155	214.929	219.304	319.077	318.13599999999997	286.276
yfaE	b2236	1297.89	927.887	1578.89	525.303	470.74800000000005	399.961	875.658	1053.47	419.3	743.1360000000001	969.7130000000001	555.974
nrdB	b2235	404.694	392.57800000000003	372.095	296.21	290.107	284.796	238.688	205.65	233.269	233.835	211.93	232.743
yfaH	b2238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
glpB	b2242	13.0246	11.6478	7.1736699999999995	3.75801	2.67604	2.24137	3.47267	4.11701	4.7051	3.0194799999999997	2.66359	2.67564
glpC	b2243	7.3307899999999995	6.94422	5.66668	1.2969600000000001	1.94038	1.37467	3.2877300000000003	3.81411	4.5376199999999995	2.6884200000000003	3.7997400000000003	3.18356
yafD	b0209	128.83700000000002	159.431	169.905	152.097	146.547	141.047	223.532	176.331	299.579	181.845	167.588	218.13299999999998
glpA	b2241	1.8367099999999998	3.7589099999999998	1.35049	2.2547099999999998	2.26058	2.81002	1.6782299999999999	1.6595799999999998	0.7248220000000001	0.757321	0.526733	0.536335
yfaD	b2244	8.74443	8.97085	15.4098	15.8373	13.9946	19.1121	25.2256	31.2927	27.8676	18.5046	23.8118	24.4959
ypaA	b4543	40.3942	39.1361	53.0068	83.9765	123.056	96.6703	173.59400000000002	108.139	145.362	92.2994	104.758	138.106
nudI	b2251	47.0811	37.4132	50.7147	27.4437	17.3112	21.2309	64.4879	64.9772	61.1138	22.8813	19.0461	32.1461
arnB	b2253	10.1005	7.53187	6.563039999999999	6.06464	3.88047	3.1669	40.8654	38.7855	33.5399	38.2753	47.3935	31.3702
arnT	b2257	9.869769999999999	11.8541	9.09281	3.42745	4.56806	4.0785800000000005	8.56149	12.4322	9.43166	6.2782800000000005	8.291889999999999	9.48789
arnD	b2256	21.7254	18.9566	16.5587	5.59069	7.47353	7.05123	19.6824	23.138	21.2505	22.3411	19.2675	15.1025
arnA	b2255	27.8566	30.7379	22.4669	11.0791	11.2813	8.58335	46.2861	47.9381	39.3761	36.3687	54.381	29.7485
arnC	b2254	7.06557	4.19935	7.59277	3.55936	4.43823	4.11965	32.9355	35.0086	25.2012	30.8885	35.9438	19.9762
arnE	b4544	26.6639	24.7777	17.191	0.9558760000000001	4.32046	3.0754599999999996	13.9655	12.3396	15.4827	20.3627	20.4793	25.2838
yafE	b0210	44.576	62.9342	46.5928	32.7488	36.1436	31.6517	49.0105	40.9215	55.5206	31.1118	28.0867	30.041999999999998
arnF	b2258	1.50365	5.243530000000001	5.76835	3.8791800000000003	2.63777	4.00601	6.55122	3.9032199999999997	6.72905	7.60353	0.0	3.35322
rbn	b2268	30.8324	34.0654	56.28	61.3994	54.7209	62.5237	46.4434	33.504	55.3759	37.634	42.4607	39.73
elaD	b2269	2.65552	3.5367599999999997	3.5013	2.81236	2.37108	2.0817799999999997	3.74191	2.8324700000000003	5.02112	4.6349	3.63761	4.978269999999999
yfbL	b2271	0.6281	0.932803	0.247491	0.318467	0.17813299999999999	0.698194	1.13303	1.0270700000000001	0.7785569999999999	0.22310100000000002	0.470347	0.231276
yfbM	b2272	1.61315	2.7220400000000002	4.25211	2.28588	2.59838	1.21766	4.81835	5.809819999999999	3.77512	3.3298099999999997	3.64151	5.105519999999999
yfbO	b2274	1.18044	2.62518	3.94365	4.022069999999999	6.0258	3.72301	5.03252	8.425239999999999	13.9694	12.3605	4.94067	8.9215
yfbP	b2275	2.4205799999999997	4.8457099999999995	6.65429	6.92235	6.667730000000001	5.28586	5.44959	4.9861699999999995	8.77627	4.47696	2.86415	5.78063
alaA	b2290	227.451	234.24	285.541	301.307	283.439	294.337	284.35400000000004	258.471	347.975	198.727	188.308	259.26599999999996
yfbR	b2291	59.2908	67.4707	77.7049	85.6145	85.2598	83.9169	50.6451	51.25899999999999	59.6258	59.8767	53.5554	50.0476
ackA	b2296	429.689	541.807	536.243	611.604	583.582	609.195	304.80400000000003	358.64300000000003	289.579	272.10900000000004	266.509	301.459
yafS	b0213	76.6568	57.7809	49.9821	45.7092	35.7507	39.7701	61.4388	85.0575	54.6997	74.0854	72.5925	72.0504
pta	b2297	649.073	697.8969999999999	660.283	509.121	495.11300000000006	500.76099999999997	311.814	267.738	351.348	244.851	211.298	271.079
yfcC	b2298	15.4309	20.3423	9.1927	3.8159099999999997	3.65806	3.39945	5.2563699999999995	9.9212	3.71275	3.9286	2.96462	2.59025
yfcG	b2302	19.1674	17.7956	26.0343	8.61405	7.8890199999999995	6.4221900000000005	86.9633	72.0593	75.0976	67.071	64.2716	46.3237
folX	b2303	144.681	147.382	253.143	525.414	485.659	513.1080000000001	341.236	304.563	516.424	419.12699999999995	454.245	522.919
yfcH	b2304	137.572	135.592	198.445	226.46400000000003	217.94799999999998	218.933	275.905	255.014	275.69599999999997	273.494	225.195	290.621
flk	b2321	54.0592	53.3036	42.50899999999999	67.8587	67.5956	71.7444	43.386	38.5703	44.4922	47.5227	58.1785	57.0101
mnmC	b2324	39.6696	38.6382	42.7103	34.2021	35.3198	35.7794	51.8885	44.3251	49.5282	34.2753	29.3529	33.2907
smrB	b2331	213.359	220.957	135.22799999999998	124.774	132.748	127.255	139.496	166.63099999999997	143.78	109.794	114.68299999999999	129.268
fadL	b2344	48.1713	41.0793	75.6005	205.09799999999998	178.937	210.94799999999998	84.7365	66.0606	78.748	159.505	191.155	182.50599999999997
yfdF	b2345	2.7896799999999997	3.46996	2.67365	4.30925	2.65093	2.68529	6.2803	3.6980199999999996	7.11371	4.48246	5.51374	7.15105
dnaQ	b0215	137.328	116.36	125.86399999999999	155.153	149.386	143.495	174.642	135.406	172.232	162.52200000000002	151.36700000000002	165.378
yfdC	b2347	26.087	23.2272	28.2745	10.6675	13.3719	10.1446	45.8429	47.9059	46.9679	55.9408	69.4742	40.8909
intS	b2349	11.5367	11.9888	35.199	51.9403	51.3937	52.126000000000005	24.7646	22.8855	28.4314	27.5249	19.8406	36.2387
gtrS	b2352	23.7132	19.7242	29.6283	159.815	213.562	205.718	42.7669	37.38	80.8151	51.7478	43.5475	94.3092
gtrB	b2351	192.65900000000002	154.713	359.17900000000003	636.091	618.507	585.901	325.218	316.653	388.256	540.345	632.28	589.446
gtrA	b2350	40.3186	49.2628	126.42	458.63800000000003	423.707	344.575	155.851	87.8998	186.84	259.749	299.151	297.95799999999997
tfaS	b2353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yfdP	b2359	22.1264	13.4501	14.2048	7.399439999999999	6.53498	5.13185	8.01331	7.615460000000001	4.7706800000000005	5.55746	5.0305800000000005	10.2613
yfdQ	b2360	26.1044	24.682	20.6006	14.9175	11.567	11.3191	10.292	10.8347	9.33162	3.93299	7.803489999999999	3.7913699999999997
yfdT	b2363	8.468580000000001	12.5342	9.77798	5.42783	5.04996	3.87066	3.7116300000000004	4.75361	3.37649	1.47294	9.388689999999999	2.9927799999999998
yfdS	b2362	3.6624199999999996	4.83425	5.4985	0.616784	1.3873799999999998	1.31249	2.9689900000000002	5.89463	4.56471	4.43225	2.88701	4.5507
yafT	b0217	1.44441	1.09861	2.58012	6.65825	3.32726	5.09604	4.16196	3.27052	2.8907700000000003	4.535830000000001	5.03911	3.65392
yfdR	b2361	0.7792859999999999	0.0	3.6676800000000003	0.375873	0.0	1.2172100000000001	0.0	1.25316	0.0	1.07808	1.1466	0.552751
ypdJ	b4545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
torI	b4501	26.8731	51.306000000000004	31.697	31.7925	38.1198	29.0247	30.2842	39.2146	31.5657	23.8121	25.1635	0.0
dsdX	b2365	7.47565	6.920439999999999	5.90561	2.80629	2.1162400000000003	3.0314	4.7374	2.80369	3.1431	3.24122	2.3721099999999997	2.6141099999999997
dsdA	b2366	69.3297	76.0841	57.4243	36.9662	33.8946	30.3489	31.3565	33.0004	28.2204	24.2806	29.3891	25.0272
evgA	b2369	564.967	671.3510000000001	716.362	190.372	172.334	176.75099999999998	566.952	404.091	647.891	357.70300000000003	384.468	376.116
evgS	b2370	63.5621	79.8473	59.3491	31.1913	30.0683	28.6033	97.0956	74.465	118.113	57.9014	74.0805	65.2339
