compound	experiment	growth_rate	repl	strain	well
hexanoate	ALE_hexanoate_duplicates_101314	0.523759926908866	2	HEXA6-9	F01
hexanoate	ALE_hexanoate_duplicates_101314	0.5536887859546451	2	HEXA3-1	D08
hexanoate	ALE_hexanoate_duplicates_101314	0.5124666887100972	2	HEXA3-9	E02
hexanoate	ALE_hexanoate_duplicates_101314	0.1206356837020418	2	HEXA8-5	F05
hexanoate	ALE_hexanoate_duplicates_101314	1.0462797121940965	2	HEXA4-7	E04
hexanoate	ALE_hexanoate_duplicates_101314	0.944939919917482	1	HEXA4-10	B05
hexanoate	ALE_hexanoate_duplicates_101314	0.5857695158185435	3	HEXA1-4	C07
hexanoate	ALE_hexanoate_duplicates_101314	0.35553803552463037	2	HEXA8-2	F04
hexanoate	ALE_hexanoate_duplicates_101314	0.7266950020295678	2	HEXA2-3	D05
hexanoate	ALE_hexanoate_duplicates_101314	0.42356190153279955	2	HEXA3-7	E01
hexanoate	ALE_hexanoate_duplicates_101314	0.48379219117772015	1	HEXA8-2	C04
hexanoate	ALE_hexanoate_duplicates_101314	0.6966198123856842	3	HEXA2-3	F06
hexanoate	ALE_hexanoate_duplicates_101314	0.7332833449562679	2	HEXA1-1	D02
hexanoate	ALE_hexanoate_duplicates_101314	1.0209470877607423	2	HEXA4-10	E05
hexanoate	ALE_hexanoate_duplicates_101314	0.25508492336413	1	HEXA6-7	B08
hexanoate	ALE_hexanoate_duplicates_101314	0.5085675786634163	3	HEXA1-5	C08
hexanoate	ALE_hexanoate_duplicates_101314	0.3760097865586219	1	HEXA3-7	B01
hexanoate	ALE_hexanoate_duplicates_101314	0.5166155153439105	2	HEXA2-9	D06
hexanoate	ALE_hexanoate_duplicates_101314	0.5563801338590468	2	HEXA1-4	D03
hexanoate	ALE_hexanoate_duplicates_101314	0.4832404412278269	2	HEXA1-5	D04
hexanoate	ALE_hexanoate_duplicates_101314	0.6683161687682782	1	HEXA8-1	C03
hexanoate	ALE_hexanoate_duplicates_101314	0.4845112789579124	1	HEXA6-6	B07
hexanoate	ALE_hexanoate_duplicates_101314	0.5287369116166399	2	HEXA2-10	D07
hexanoate	ALE_hexanoate_duplicates_101314	0.5444087357494597	1	HEXA1-4	A03
hexanoate	ALE_hexanoate_duplicates_101314	0.9883468979018379	2	HEXA4-4	E03
hexanoate	ALE_hexanoate_duplicates_101314	0.2697772926830204	2	HEXA7-2	F02
hexanoate	ALE_hexanoate_duplicates_101314	0.7003708908943813	1	HEXA4-4	B03
hexanoate	ALE_hexanoate_duplicates_101314	0.4422087723957846	3	HEXA2-10	F08
hexanoate	ALE_hexanoate_duplicates_101314	0.7134530206331648	2	HEXA8-1	F03
hexanoate	ALE_hexanoate_duplicates_101314	0.6093961287913845	1	HEXA3-9	B02
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.5225716619712815	1	23BD2-9	A06
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.2492943237580369	2	MG1655	D01
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.4774584743196341	1	23BD7-4	C01
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.3594418593137516	2	23BD6-1	E08
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.5671087435845732	3	23BD2-9	F07
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.3138978307743817	3	23BD1-6	C06
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.08240499588722092	1	MG1655	A01
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.0	2	23BD5-10	E07
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.0	2	23BD5-7	E06
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.3441004847871019	1	23BD4-7	B04
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.0	1	23BD5-7	B06
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.5131469326012849	1	23BD2-4	A04
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.36719473321682883	1	23BD8-7	C05
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.41478441413727696	1	23BD3-4	A08
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.2928454820752345	1	23BD1-6	A02
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.42717637872146236	1	23BD7-5	C02
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.46302174659064504	1	23BD2-7	A05
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.4786303578542826	1	23BD3-3	A07
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.44196364246101594	2	23BD7-4	F01
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.5033229590984335	2	23BD3-4	D08
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.3375235047627735	2	23BD4-3	E02
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.3032876006584003	2	23BD8-7	F05
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.21805434809786098	2	23BD4-7	E04
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.32719799468867466	1	23BD5-1	B05
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.3029178269066948	3	23BD1-9	C07
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.14073713253138107	2	23BD8-2	F04
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.43892074252119057	2	23BD2-7	D05
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.32619473553191836	2	23BD3-9	E01
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.1710739478927359	1	23BD8-2	C04
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.543519290411843	3	23BD2-7	F06
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.2809335743566751	2	23BD1-6	D02
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.0	2	23BD5-1	E05
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.39390356875897664	1	23BD6-1	B08
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.5067555594554799	3	23BD2-4	C08
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.4117055452063125	1	23BD3-9	B01
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.4133624564645138	2	23BD2-9	D06
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.298037463164726	2	23BD1-9	D03
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.5516764179788499	2	23BD2-4	D04
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.48391961104828574	1	23BD7-7	C03
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.29841502058351693	1	23BD5-10	B07
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.4417407823598349	2	23BD3-3	D07
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.2892550852346868	1	23BD1-9	A03
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.3617613923227982	2	23BD4-4	E03
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.0	2	23BD7-5	F02
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.3670059355857085	1	23BD4-4	B03
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.3458645672393655	3	23BD3-3	F08
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.44162916314096423	2	23BD7-7	F03
2,3-butanediol	ALE_2,3-butanediol_duplicates_122414	0.3080275214673949	1	23BD4-3	B02
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.4124633277141909	1	12PD2-9	A06
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.17744143220234024	2	MG1655	D01
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.4188271711605359	1	12PD7-5	C01
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.43581761456719836	2	12PD6-9	E08
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.3448698261712695	3	12PD2-9	F07
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.0	3	12PD1-2	C06
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.3020983296729705	1	MG1655	A01
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.38748314149688046	2	12PD6-3	E07
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.45787461306636096	2	12PD5-3	E06
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5754663563003527	1	12PD4-9	B04
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.4987739789561335	1	12PD5-3	B06
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.563795926020197	1	12PD1-10	A04
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5561970791455058	1	12PD8-10	C05
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.6293934235509895	1	12PD3-8	A08
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.4929042724639701	1	12PD1-2	A02
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.8651562876661265	1	12PD7-6	C02
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.34674093825842617	1	12PD2-8	A05
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.6619820558854309	1	12PD3-7	A07
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.46953773393989495	2	12PD7-5	F01
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.6186871210760094	2	12PD3-8	D08
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.26006914346732846	2	12PD4-6	E02
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5649740923004568	2	12PD8-10	F05
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.7191858776814297	2	12PD4-9	E04
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.6858016127591761	1	12PD5-1	B05
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.7268364952555959	3	12PD1-4	C07
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.48039628455248606	2	12PD8-7	F04
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5808267162992735	2	12PD2-8	D05
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5100036382331645	2	12PD3-10	E01
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5584643314213253	1	12PD8-7	C04
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.6926175247110538	3	12PD2-8	F06
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.7323931784757769	2	12PD1-2	D02
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5637799287522709	2	12PD5-1	E05
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5429980369668956	1	12PD6-9	B08
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5560753169101509	3	12PD1-10	C08
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5901803712933948	1	12PD3-10	B01
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.37110739900427775	2	12PD2-9	D06
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.7112498353553651	2	12PD1-4	D03
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5870154628074394	2	12PD1-10	D04
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.6251819105625401	1	12PD8-6	C03
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.45790358062158065	1	12PD6-3	B07
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5899615119820719	2	12PD3-7	D07
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.6529374431157772	1	12PD1-4	A03
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5755729582990611	2	12PD4-8	E03
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.6691150775833158	2	12PD7-6	F02
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.44905383947857047	1	12PD4-8	B03
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5690534296004892	3	12PD3-7	F08
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.6127441002172067	2	12PD8-6	F03
1,2-propanediol	ALE_1,2-propanediol_duplicates_121514	0.5234388161537495	1	12PD4-6	B02
putrescine	ALE_putrescine_duplicates_073014	0.3831893602332805	1	PUTR3-10	A06
putrescine	ALE_putrescine_duplicates_073014	0.14958171531243736	2	MG1655	D01
putrescine	ALE_putrescine_duplicates_073014	0.27875815256183756	1	PUTR7-7	C01
putrescine	ALE_putrescine_duplicates_073014	0.21383909505949147	2	PUTR7-1	E08
putrescine	ALE_putrescine_duplicates_073014	0.3184080546856238	3	PUTR3-10	F07
putrescine	ALE_putrescine_duplicates_073014	0.18955333037606917	3	PUTR2-4	C06
putrescine	ALE_putrescine_duplicates_073014	0.06408845306407665	1	MG1655	A01
putrescine	ALE_putrescine_duplicates_073014	0.27472492384128994	2	PUTR6-10	E07
putrescine	ALE_putrescine_duplicates_073014	0.4710265401155799	2	PUTR6-7	E06
putrescine	ALE_putrescine_duplicates_073014	0.22143691782127162	1	PUTR5-8	B04
putrescine	ALE_putrescine_duplicates_073014	0.0	1	PUTR6-7	B06
putrescine	ALE_putrescine_duplicates_073014	0.38136397969822156	1	PUTR3-1	A04
putrescine	ALE_putrescine_duplicates_073014	0.3541319281595404	1	PUTR8-10	C05
putrescine	ALE_putrescine_duplicates_073014	0.26692910244653995	1	PUTR4-7	A08
putrescine	ALE_putrescine_duplicates_073014	0.2129695376816481	1	PUTR2-4	A02
putrescine	ALE_putrescine_duplicates_073014	0.254228990026683	1	PUTR7-9	C02
putrescine	ALE_putrescine_duplicates_073014	0.24498028587547777	1	PUTR3-9	A05
putrescine	ALE_putrescine_duplicates_073014	0.2716279454804562	1	PUTR4-3	A07
putrescine	ALE_putrescine_duplicates_073014	0.2626344825253559	2	PUTR7-7	F01
putrescine	ALE_putrescine_duplicates_073014	0.2677962505187914	2	PUTR4-7	D08
putrescine	ALE_putrescine_duplicates_073014	0.1249347019048987	2	PUTR5-1	E02
putrescine	ALE_putrescine_duplicates_073014	0.30597096414702724	2	PUTR8-10	F05
putrescine	ALE_putrescine_duplicates_073014	0.20569241233647179	2	PUTR5-8	E04
putrescine	ALE_putrescine_duplicates_073014	0.23962338131488256	1	PUTR6-2	B05
putrescine	ALE_putrescine_duplicates_073014	0.2550144483936045	3	PUTR2-6	C07
putrescine	ALE_putrescine_duplicates_073014	0.3040997227601477	2	PUTR8-6	F04
putrescine	ALE_putrescine_duplicates_073014	0.19680116480175905	2	PUTR3-9	D05
putrescine	ALE_putrescine_duplicates_073014	0.26308858953576975	2	PUTR4-8	E01
putrescine	ALE_putrescine_duplicates_073014	0.3822370789255544	1	PUTR8-6	C04
putrescine	ALE_putrescine_duplicates_073014	0.14964735278928132	3	PUTR3-9	F06
putrescine	ALE_putrescine_duplicates_073014	0.232213099363085	2	PUTR2-4	D02
putrescine	ALE_putrescine_duplicates_073014	0.20998151817883082	2	PUTR6-2	E05
putrescine	ALE_putrescine_duplicates_073014	0.27168938830875944	1	PUTR7-1	B08
putrescine	ALE_putrescine_duplicates_073014	0.366391901873829	3	PUTR3-1	C08
putrescine	ALE_putrescine_duplicates_073014	0.24097903140728777	1	PUTR4-8	B01
putrescine	ALE_putrescine_duplicates_073014	0.22375105379070984	2	PUTR3-10	D06
putrescine	ALE_putrescine_duplicates_073014	0.22461036331991344	2	PUTR2-6	D03
putrescine	ALE_putrescine_duplicates_073014	0.36313752336215877	2	PUTR3-1	D04
putrescine	ALE_putrescine_duplicates_073014	0.2956153146598615	1	PUTR8-3	C03
putrescine	ALE_putrescine_duplicates_073014	0.29172634591752944	1	PUTR6-10	B07
putrescine	ALE_putrescine_duplicates_073014	0.30337565309597586	2	PUTR4-3	D07
putrescine	ALE_putrescine_duplicates_073014	0.2320322536757019	1	PUTR2-6	A03
putrescine	ALE_putrescine_duplicates_073014	0.22513223450648448	2	PUTR5-6	E03
putrescine	ALE_putrescine_duplicates_073014	0.25910725081109787	2	PUTR7-9	F02
putrescine	ALE_putrescine_duplicates_073014	0.22516904551908445	1	PUTR5-6	B03
putrescine	ALE_putrescine_duplicates_073014	0.23983514400265088	3	PUTR4-3	F08
putrescine	ALE_putrescine_duplicates_073014	0.24195191788607967	2	PUTR8-3	F03
putrescine	ALE_putrescine_duplicates_073014	0.1713006389175373	1	PUTR5-1	B02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.455725052605092	1	IBUA2-9	A06
isobutyrate	ALE_isobutyrate_duplicates_091114	0.17763058380029956	2	MG1655	D01
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3416035339981501	1	IBUA7-7	C01
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA7-6	E08
isobutyrate	ALE_isobutyrate_duplicates_091114	0.376379543472276	3	IBUA2-9	F07
isobutyrate	ALE_isobutyrate_duplicates_091114	0.4120481443684685	3	IBUA1-7	C06
isobutyrate	ALE_isobutyrate_duplicates_091114	0.17876891118960192	1	MG1655	A01
isobutyrate	ALE_isobutyrate_duplicates_091114	0.5148884996389331	2	IBUA6-9	E07
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3519890344969188	2	IBUA6-7	E06
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	1	IBUA5-2	B04
isobutyrate	ALE_isobutyrate_duplicates_091114	0.32936552100149735	1	IBUA6-7	B06
isobutyrate	ALE_isobutyrate_duplicates_091114	0.4429305829363202	1	IBUA2-1	A04
isobutyrate	ALE_isobutyrate_duplicates_091114	0.37860498008650806	1	IBUA8-10	C05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	1	IBUA3-10	A08
isobutyrate	ALE_isobutyrate_duplicates_091114	0.4286666967815308	1	IBUA1-7	A02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	1	IBUA7-9	C02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3883480795103717	1	IBUA2-6	A05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3260231898875488	1	IBUA3-2	A07
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3221116386297352	2	IBUA7-7	F01
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA3-10	D08
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3119207028009698	2	IBUA4-8	E02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.38708399224449475	2	IBUA8-10	F05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA5-2	E04
isobutyrate	ALE_isobutyrate_duplicates_091114	0.4156430018197453	1	IBUA5-6	B05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	3	IBUA1-9	C07
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3474583803198321	2	IBUA8-4	F04
isobutyrate	ALE_isobutyrate_duplicates_091114	0.434828851198731	2	IBUA2-6	D05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA4-1	E01
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3255786913738992	1	IBUA8-4	C04
isobutyrate	ALE_isobutyrate_duplicates_091114	0.44838667338320637	3	IBUA2-6	F06
isobutyrate	ALE_isobutyrate_duplicates_091114	0.4221615222887577	2	IBUA1-7	D02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA5-6	E05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	1	IBUA7-6	B08
isobutyrate	ALE_isobutyrate_duplicates_091114	0.44774579792531993	3	IBUA2-1	C08
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	1	IBUA4-1	B01
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3677345688828943	2	IBUA2-9	D06
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA1-9	D03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.46363929032996803	2	IBUA2-1	D04
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	1	IBUA8-3	C03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.5077827149194599	1	IBUA6-9	B07
isobutyrate	ALE_isobutyrate_duplicates_091114	0.47178332704273546	2	IBUA3-2	D07
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3005151649964661	1	IBUA1-9	A03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.30108813213353286	2	IBUA4-9	E03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA7-9	F02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.2989145144472939	1	IBUA4-9	B03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.4379631765440229	3	IBUA3-2	F08
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3412650875117162	2	IBUA8-3	F03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.32450568508992594	1	IBUA4-8	B02
coumarate	ALE_coumarate_duplicates_061914	0.8153177126396642	1	COUM3-1	A06
coumarate	ALE_coumarate_duplicates_061914	0.07116493303063874	2	MG1655	D01
coumarate	ALE_coumarate_duplicates_061914	0.7243230574270169	1	COUM6-9	C01
coumarate	ALE_coumarate_duplicates_061914	0.8437354216575735	2	COUM6-5	E08
coumarate	ALE_coumarate_duplicates_061914	0.39948458201832643	3	COUM3-1	F07
coumarate	ALE_coumarate_duplicates_061914	0.47194618127910404	3	COUM1-2	C06
coumarate	ALE_coumarate_duplicates_061914	0.06049379594836925	1	MG1655	A01
coumarate	ALE_coumarate_duplicates_061914	0.5788848346521945	2	COUM6-2	E07
coumarate	ALE_coumarate_duplicates_061914	0.8731992036936866	2	COUM5-8	E06
coumarate	ALE_coumarate_duplicates_061914	0.4493774555855138	1	COUM5-3	B04
coumarate	ALE_coumarate_duplicates_061914	0.8700814917079173	1	COUM5-8	B06
