GENE	MEDIUM	STRAIN	STRAIN:MEDIUM	medium_direction	strain_direction	interaction_direction
yedY	17.49481952159072	2.991331129303453	29.860133831175137	-1.0	1.0	-1.0
yedZ	13.58460288681863	1.0017494500897124	62.87006679508029	-1.0	1.0	-1.0
zinT	33.034183215790435	1.3645851865829397	1.7890761807188102	1.0	1.0	1.0
yodB	0.9146321501650335	19.212102817365324	0.12711082039173144	1.0	-1.0	-1.0
mtfA	26.396939153119785	61.26027753933786	29.17820069898919	1.0	-1.0	-1.0
yeeJ	8.507352986761799	14.335559084313347	10.72828265261862	1.0	-1.0	-1.0
shiA	421.99689416738045	0.16217574333511914	2.7811323282588063	-1.0	-1.0	1.0
amn	253.46853011061324	2.1555427088510117	15.571403671086586	-1.0	-1.0	-1.0
dnaE	82.74778632773547	3.296339258461407	19.68488469907628	1.0	1.0	1.0
yeeN	80.20104440302461	9.533382137032115	3.3142763367042076	-1.0	-1.0	1.0
flu	1.7475807149705538	0.26275732554179765	1.0234999169891583	-1.0	1.0	-1.0
yeeR	2.9584620529596415	0.1836370958116157	1.3943656224153667	-1.0	1.0	-1.0
yeeS	0.2012673667954484	0.014970841650071096	0.2962851466280948	-1.0	1.0	-1.0
cbeA	1.000000000000001	1.0000000000000002	1.0000000000000002	1.0	1.0	1.0
accA	1.515154379914611	4.058023621659871	1.6700554013210671	1.0	1.0	-1.0
cbtA	0.7235756661877132	0.3233022568246539	2.6963093302504415	-1.0	1.0	-1.0
sbcB	564.2754181896584	39.29652163850586	95.82812241103288	1.0	1.0	1.0
hisG	221.49144419153237	230.35841861365427	279.2065281309886	1.0	1.0	1.0
hisC	0.6531490519366473	84.0696949972892	123.93122264813339	1.0	1.0	1.0
hisD	45.88382285765767	122.80240210780839	131.9270328991696	1.0	1.0	1.0
hisB	14.478528463034925	18.608317583920712	25.675724128636194	-1.0	1.0	1.0
hisH	19.6537546545624	21.567560268880165	3.6378414690268537	-1.0	1.0	1.0
hisA	50.98567120623413	52.79142074021017	0.013036376439646868	-1.0	1.0	1.0
ldcC	31.89085243793983	86.16406642986156	11.087931397924704	1.0	1.0	1.0
hisF	26.31174393628684	12.799908410542386	0.46454968151482445	-1.0	1.0	-1.0
hisI	73.19544030774048	5.079928164650571	10.123797338184353	-1.0	1.0	1.0
yegH	67.56231544147703	106.80496777561116	126.7527724107364	1.0	1.0	1.0
yegE	30.615327151939518	0.24569042145728337	0.05781027621230967	1.0	1.0	-1.0
yegD	83.76801284423361	6.465005446876491	7.7815097877748	1.0	-1.0	1.0
yegJ	3.2519921893810535	1.2178861132627097	4.304070749898981	-1.0	1.0	1.0
mdtA	2.041154173315831	2.596042540399193	4.413097283970347	-1.0	-1.0	-1.0
mdtB	27.327684760583107	0.009270578291986065	0.8736110345162795	1.0	1.0	-1.0
mdtC	118.92825435562928	32.10614482116998	12.810449655376644	1.0	1.0	1.0
mdtD	66.81449434748619	12.853966984719687	4.374861844413045	1.0	1.0	1.0
yaeR	2.797831164641609	57.17507955041187	3.2368032434553533	-1.0	1.0	-1.0
baeS	8.430503164294361	6.061029425649345	0.06398585851713633	1.0	1.0	1.0
baeR	2.036273618178284	8.531475909930238	12.615848473821368	1.0	1.0	1.0
yegP	83.91090032506355	16.954400257226677	59.858370450542736	-1.0	1.0	-1.0
yegQ	15.46728816236777	74.05154522300762	0.14148061716797852	-1.0	-1.0	1.0
yegS	26.44066429744316	5.233804051258414	5.669125063625737	-1.0	1.0	-1.0
yegV	6.306987491692452	32.86940460559347	0.017240261034218104	1.0	-1.0	-1.0
yegU	3.7242273755702437	11.469857191383273	11.440401571443225	1.0	-1.0	-1.0
yegT	14.13228900678202	11.616998067036857	6.414851971712664	-1.0	-1.0	1.0
tilS	1.372706009319186	16.634326251603337	12.171818401764654	-1.0	-1.0	-1.0
rcnA	25.466294742885122	5.940354043410759	2.0162728196434987	-1.0	-1.0	-1.0
rcnB	5.590642139251208	0.04106650488804145	0.06206179872016394	1.0	1.0	-1.0
metG	0.9074415442324801	68.66895159747587	1.4933927096768727	-1.0	-1.0	-1.0
yehI	48.80658622962969	3.1006463091043313	15.46169517732337	-1.0	-1.0	-1.0
yehK	5.1761290597480025	1.295410345774553	2.882809987378561	-1.0	1.0	-1.0
yehL	2.8968697177854557	0.13471409265812398	1.1866513599099893	-1.0	1.0	-1.0
yehM	0.128298975634864	0.020154059078033013	0.1188220244188401	-1.0	-1.0	-1.0
yehP	0.043110048424142955	0.03596484657395618	0.9016442121456573	1.0	1.0	-1.0
yaeQ	9.149248111651751	8.348798625084653	8.45091094342549	1.0	1.0	1.0
yehR	13.615794845376321	4.15681086467736	8.551984318547207	-1.0	1.0	-1.0
mlrA	15.846665686611658	10.944045716336673	47.6302315223706	-1.0	1.0	-1.0
yohO	0.3115722444058845	2.4850254643171663	1.5706201113953293	-1.0	1.0	-1.0
dld	108.95537701760176	0.19495673376075331	0.22826696163073312	-1.0	-1.0	-1.0
yohD	6.186411141074014	0.01683058258895535	1.4346746839310915	1.0	1.0	1.0
yohP	10.581566834211491	3.5625104792554656	0.1462147408345019	1.0	1.0	1.0
yohK	11.29381247319514	37.01548082711577	29.50415049778084	-1.0	1.0	-1.0
yohJ	0.6568471121201641	1.3895596844411302	0.4051053357172533	-1.0	1.0	-1.0
cdd	5.709363489434206	4.931200648337364	6.217248041633265	1.0	-1.0	-1.0
sanA	9.147729602066134	1.955124947108838	6.0341469242926005	-1.0	1.0	-1.0
