GENE	MEDIUM	MEDIUM:STRAIN	STRAIN	medium_direction	strain_direction	interaction_direction
dkgB	0.3959229278358132	1.5035886578468118	1.5854967063688719e-06	1.0	1.0	1.0
atoA	0.9199793717304123	0.0628854345776182	0.033416309037560765	-1.0	1.0	-1.0
atoD	0.05234113945226504	0.10072194479451202	0.42897371524635375	-1.0	-1.0	-1.0
atoB	0.09035550940235748	0.11771383390819501	0.013097964836714104	-1.0	-1.0	-1.0
ubiG	0.0037826935132876383	0.022668535179016513	0.09124302075843249	-1.0	1.0	-1.0
nrdA	0.08319246785527667	0.19277135939855267	0.052531053745420664	1.0	1.0	1.0
yfaE	1.245982355403243	1.6360749063150553	0.21564320613386956	1.0	1.0	1.0
nrdB	0.031153796036732184	0.02613751157069555	0.04960674540362098	1.0	1.0	-1.0
glpB	0.30324334693949784	0.07562632053871429	0.030612684905906906	1.0	1.0	1.0
glpC	0.4004771730890224	0.04752366137327835	0.00716972330915977	-1.0	-1.0	-1.0
yafD	0.15598766645231876	3.6977564847481936	0.07124264828556193	-1.0	-1.0	-1.0
glpA	0.008463695246416103	0.10931301895659162	0.3257580882719153	-1.0	1.0	-1.0
yfaD	0.06209183640251875	0.04973801515787185	0.16880516979610966	1.0	1.0	1.0
ypaA	0.006704441206206724	0.02862084928709141	0.0961529278467399	1.0	1.0	-1.0
nudI	0.037322347257454425	1.5548698854672856	0.005401452162496767	1.0	1.0	-1.0
arnB	0.0034083052747103104	0.027782721556445678	5.506536691742012	1.0	-1.0	-1.0
arnT	0.10432680617055534	0.9756212561615349	1.1202380820350153	-1.0	-1.0	-1.0
arnD	0.07277242334131628	0.8057665477326179	3.0547898659087034	1.0	-1.0	-1.0
arnA	0.03614005368847828	0.2962099515138419	2.3121475437142407	1.0	-1.0	-1.0
arnC	6.969584296956377e-05	0.008040855587717055	4.215478431879804	1.0	-1.0	-1.0
arnE	0.6000518060455295	0.5875554154959632	2.745442202228003	-1.0	-1.0	-1.0
yafE	0.16243326442947392	5.990277554123471	0.019674541974808335	-1.0	1.0	-1.0
arnF	0.0507548100875308	2.2142326487361483	1.3786656868025577	1.0	-1.0	-1.0
rbn	0.026642874328832084	0.014682262628790993	0.007229445595540868	1.0	1.0	1.0
elaD	0.5385058787501523	0.08480722048224554	0.06007649343530885	-1.0	-1.0	-1.0
yfbL	0.1280042506430843	0.7182654936380761	0.004165046434124076	-1.0	1.0	-1.0
yfbM	0.017556489809665177	0.06488631755092544	0.2810208068907719	1.0	-1.0	-1.0
yfbO	0.08682217296695094	0.0018256012190678295	0.20102336847025137	-1.0	-1.0	-1.0
yfbP	0.28598388526618346	0.19385740545620178	0.06238043848162522	1.0	1.0	-1.0
alaA	0.22930090802685044	0.13362252985667422	0.034679736726928034	-1.0	-1.0	1.0
yfbR	0.0005803775695734648	0.05485623743704354	3.062849673171608e-05	1.0	-1.0	-1.0
ackA	0.6646556330105753	0.6692575875756397	0.03473455553497473	1.0	1.0	1.0
yafS	0.05838555118774233	0.0001423310581300241	0.0643688801845251	-1.0	-1.0	1.0
pta	0.07300792822627467	0.023905061639665104	0.21356214156940823	1.0	1.0	-1.0
yfcC	0.013339401639293702	0.5930014043928236	0.00899588384360217	1.0	-1.0	-1.0
yfcG	0.2577527211118742	0.5248457195786584	7.633797228860849	-1.0	-1.0	-1.0
folX	0.03859062711035155	0.01162900126612576	0.05168976774206979	-1.0	1.0	1.0
yfcH	0.001949932378513708	0.00024130868435712216	0.003670923938677184	1.0	1.0	-1.0
flk	0.011642191724049678	0.00010319191482355272	0.04391853097542142	-1.0	1.0	-1.0
