GENE	MEDIUM	MEDIUM:STRAIN	STRAIN	medium_direction	strain_direction	interaction_direction
murQ	0.0004163305961211172	0.29765649973157693	0.1372735536287587	1.0	-1.0	-1.0
murP	0.007689184912399699	0.009952174666000235	0.19174937853308932	-1.0	-1.0	-1.0
nhaR	0.35035154291268594	0.008722072077653131	0.8183264866820468	-1.0	1.0	-1.0
gmhA	0.02085175596311828	0.3340376781454757	0.014276657624704647	-1.0	1.0	-1.0
yfeW	0.03395209745769487	0.10537361287585598	0.00045886020190846755	-1.0	1.0	-1.0
amiA	0.08408034747783533	0.035198460564631606	0.06349474627576457	1.0	-1.0	-1.0
hemF	0.1972186622173463	0.012329156262128993	0.07103949759059625	1.0	-1.0	1.0
intZ	0.13916367472833358	0.7123580254354492	0.17769851001992398	-1.0	1.0	1.0
yffL	0.8474990896584351	0.040414139285229744	0.0070638477612654516	1.0	1.0	1.0
yffM	0.0420992512765368	0.05072857534973885	14.771816096469916	1.0	1.0	1.0
yffN	0.3890409791584237	0.8485580950898612	0.3130001992935818	-1.0	1.0	-1.0
yffO	6.160127809673455e-05	0.8559122812723117	0.5501743378951551	-1.0	1.0	-1.0
yffP	0.007284800241175393	0.2881135884894977	0.6125408327590915	-1.0	1.0	-1.0
yffQ	2.8386526518708877e-05	1.1548480070878497	1.2796911872845795	1.0	-1.0	-1.0
yafJ	0.002910693763655603	0.03293172504534225	0.050061279019031346	-1.0	1.0	-1.0
yffR	0.07906243157849269	0.6731053505024944	0.6732079225650776	-1.0	-1.0	-1.0
yffS	0.37360211842885593	0.22185996405531233	0.2029988239005256	1.0	-1.0	-1.0
talA	0.0951784674616949	0.09976892769781465	0.477312507485669	1.0	-1.0	-1.0
tktB	0.014958940380711994	0.14812019478997307	0.6654514644068179	1.0	-1.0	-1.0
narQ	0.18280741706412695	0.16891274621790098	0.3743618459450936	-1.0	1.0	-1.0
acrD	3.947396418624294e-07	0.4738480951003742	0.9661246658605371	-1.0	1.0	-1.0
yffB	0.002683375158388568	0.2486894818053167	0.8766196575618475	-1.0	1.0	-1.0
dapE	0.0003130491013703107	0.20905547725036056	0.5003921422496198	-1.0	1.0	-1.0
ypfN	0.05999231285862905	0.37508516672867387	0.15489072472665288	1.0	1.0	-1.0
gcvR	0.06646504606541548	0.03462465693000771	0.0011161105732386822	-1.0	1.0	1.0
yafL	0.16579960514793618	0.000357195522738496	0.0012265304422944268	1.0	-1.0	-1.0
bcp	0.005799773752791282	0.1932559758971415	0.0057066517395583105	-1.0	1.0	1.0
hyfB	0.12976946410131096	0.00647891394046729	1.1012151140077129	1.0	1.0	1.0
hyfA	0.889132810337498	0.10777672428382523	0.09193838812517008	1.0	1.0	-1.0
hyfC	0.015491701641745514	0.5531153390274759	0.3207569607436689	-1.0	-1.0	-1.0
hyfD	0.0063270372384386375	0.3699792368129824	0.03206543637816317	1.0	-1.0	-1.0
hyfE	0.13629502672178195	0.0029699404469849533	0.018763906341232817	1.0	1.0	1.0
hyfF	0.027477741382326615	0.3458493548028678	0.47943574228181196	-1.0	1.0	-1.0
hyfG	0.3807575737226011	0.22978912764048876	0.20415920323541192	1.0	1.0	-1.0
hyfI	0.02417223887754638	0.20582800806867885	0.24813778294071287	-1.0	1.0	-1.0
hyfJ	0.24982325055704135	0.05580639378777341	0.09234943259699657	1.0	-1.0	1.0
rayT	0.04611977660621602	0.44412459751488553	0.09870100856749109	1.0	-1.0	-1.0
hyfH	0.23086996662789971	0.26511094426804016	0.20178380560918585	1.0	1.0	1.0
hyfR	0.49511722808414493	0.0026983603122896493	0.1291213993814494	1.0	1.0	1.0
focB	0.2262496617646273	3.506684239856783e-05	0.4262129533067818	1.0	1.0	1.0
bepA	0.3131423752328364	0.0009772135820149686	0.07518587084837103	1.0	-1.0	-1.0
yfgD	0.05001831027976422	0.09044203251511007	0.3196436902720844	1.0	-1.0	-1.0
purN	0.018359200882851923	0.8610779436602449	0.006493651278468349	-1.0	1.0	1.0
purM	0.09530070525706513	0.6097725969110002	0.020856726864241892	-1.0	1.0	1.0
ppk	0.9053370889467368	0.0008520197029686927	0.004818777476405162	1.0	-1.0	1.0
ppx	0.5681768818858366	0.0014920515270797075	0.10581472437346401	1.0	-1.0	-1.0
yfgG	0.03141767500004988	0.3448903447639138	0.4543456463659261	1.0	-1.0	1.0
