GENE	MEDIUM	MEDIUM:STRAIN	STRAIN	medium_direction	strain_direction	interaction_direction
shiA	2.2106200743003606	0.0007058290845601833	0.03198461425463217	-1.0	-1.0	1.0
amn	0.0024501786397537195	9.265750362885683e-05	1.4802682342603601	1.0	-1.0	-1.0
dnaE	0.046767669480988205	0.3257418141286059	1.8375635581848044	1.0	1.0	1.0
yeeN	0.16433293278479155	0.20779346190278147	0.025833512467617226	-1.0	1.0	-1.0
flu	0.2824577079001178	0.07787980954463525	0.21806707346451382	-1.0	-1.0	-1.0
yeeR	0.08906123550992884	2.525678925613395e-06	0.06758200740107029	-1.0	1.0	-1.0
yeeS	0.16109263292070164	0.060345554009682445	0.757299123307158	-1.0	1.0	1.0
yeeT	1.9829830598865104	-6.001688035439656e-11	1.9829830598865095	1.0	1.0	1.0
cbeA	3.3622315676452112	1.127586912730294e-11	0.17084289410775844	1.0	1.0	1.0
accA	0.0072056700287710385	0.2611382677451539	1.798378813219454	1.0	1.0	1.0
cbtA	0.0901001287610228	0.10877405053992195	0.10447939551952512	1.0	1.0	-1.0
sbcB	0.0011199288908780858	0.008530080598747214	0.0487647314320904	-1.0	1.0	-1.0
hisG	0.3920823855901192	0.01799339975323999	0.30285544030480427	-1.0	1.0	1.0
hisC	0.4312596387478279	0.059363321227089094	0.10201404988671181	-1.0	1.0	1.0
hisD	0.22273188915401665	0.08332079091128275	0.1939964182925178	-1.0	1.0	1.0
hisB	0.2725350808178213	0.059569586753210224	0.11768284620269132	-1.0	1.0	1.0
hisH	0.2305919819693507	0.22052399678191392	0.33763888054793423	-1.0	1.0	1.0
hisA	0.31373381329214245	0.19042325515584502	0.7073664345010474	-1.0	1.0	1.0
ldcC	0.30688577021724456	0.004062813713564983	3.1914056552820753	1.0	-1.0	-1.0
hisF	0.30179715342048574	0.13247080047756832	0.667074766436281	-1.0	1.0	1.0
hisI	0.28699347759982974	0.008862795530276468	0.12655459153374782	-1.0	1.0	1.0
yegH	0.004334142103785826	0.05724548764778123	0.13815999732886133	-1.0	-1.0	1.0
yegE	0.05014485346401844	0.0016125344554592386	0.7011387764061573	1.0	-1.0	-1.0
yegD	0.05789238878222419	0.07003853344216077	0.41261052399400294	-1.0	-1.0	1.0
yegJ	0.36727542508114397	0.00011911036347189707	0.29327946428941376	-1.0	-1.0	1.0
mdtA	0.0032301046505551767	0.22184296324679884	0.3958122032389968	1.0	-1.0	-1.0
mdtB	0.10066206575033693	0.004344860490668456	0.04739533198812962	1.0	-1.0	-1.0
mdtC	0.3372248991832384	0.002273656479866104	0.03105620512364221	1.0	1.0	1.0
mdtD	4.603004804411491	0.2915012895488639	0.026862530325644673	1.0	1.0	1.0
yaeR	0.0365606832283481	0.002005469229502399	0.5180169498326359	1.0	-1.0	1.0
baeS	2.8849558459950333	0.05726234050128781	0.007518502979866615	1.0	1.0	1.0
baeR	0.3160218850845622	0.12779830346066934	0.24222083362750002	1.0	-1.0	-1.0
yegP	2.7614451716257564	0.0998428425678286	18.02863330733822	1.0	-1.0	-1.0
yegQ	0.007586580584990066	0.008643938404428009	0.01493636374726559	-1.0	-1.0	1.0
yegS	1.2876207169003566	0.003561129766463167	10.151162177994603	1.0	-1.0	-1.0
yegV	0.09420601519614974	0.0015359500866923281	0.861695324885662	-1.0	1.0	-1.0
yegU	0.0006864439069204642	0.00979264530933982	0.7673169264689816	-1.0	1.0	-1.0
yegT	0.4701701901782225	0.19509796227795873	0.029411826869639057	-1.0	1.0	-1.0
tilS	0.04657694636006088	0.028016924583474156	0.003970535378513218	1.0	-1.0	1.0
rcnA	0.01736259109948557	0.016151806776596334	0.27632678798223986	1.0	1.0	-1.0
