evolved_compound,grown_compound,strain,repl,growth_rate,rel_growth_rate,growth_ratio,exp_name
butanol,M9,BUT3-3,3,0.7656049825277456,0.1573406309582066,1.2586714650500423,BUT
butanol,M9,BUT4-4,1,0.7445546773753873,0.13629032580584832,1.224064299435222,BUT
butanol,M9,BUT4-9,2,0.7692079155442697,0.16094356397473075,1.2645947663371016,BUT
butanol,M9,BUT5-3,3,0.7563458436517614,0.14808149208222243,1.243449236668431,BUT
butanol,M9,BUT6-3,1,0.7355638887594801,0.12729953718994114,1.2092832447955613,BUT
butanol,M9,BUT7-6,2,0.676470472022783,0.06820612045324403,1.1121323652738286,BUT
butanol,M9,BUT7-9,3,0.7508283451872745,0.14256399361773553,1.234378347588297,BUT
butanol,M9,BUT8-10,1,0.7655710875884177,0.1573067360188788,1.2586157410227499,BUT
butanol,M9,BUT9-7,2,0.7562647331391963,0.14800038156965734,1.2433158891981153,BUT
NA,M9,MG1655,5,0.6005223202849147,-0.007742031284624251,0.98727192993532,BUT
butanol,M9,BUT1-5,2,0.7256911051362572,0.11742675356671828,1.1930521709248871,BUT
butanol,M9,BUT2-8,3,0.7670469574353016,0.15878260586576265,1.2610421035788912,BUT
butanol,M9,BUT3-6,1,0.7411573917058137,0.1328930401362748,1.218479086918974,BUT
butanol,M9,BUT4-4,2,0.7996042503773597,0.19133989880782076,1.3145670107315932,BUT
butanol,M9,BUT4-9,3,0.7311342482723299,0.12286989670279092,1.2020008182063322,BUT
butanol,M9,BUT5-6,1,0.7624607483833805,0.15419639681384156,1.2535022748184401,BUT
butanol,M9,BUT6-3,2,0.7593657610588529,0.15110140948931394,1.2484140474440404,BUT
butanol,M9,BUT7-6,3,0.7356158369083032,0.12735148533876428,1.2093686486971529,BUT
butanol,M9,BUT8-5,1,0.7388092544455024,0.13054490287596343,1.214618697510566,BUT
butanol,M9,BUT8-10,2,0.7453724869633722,0.13710813539383326,1.2254087964222222,BUT
butanol,M9,BUT9-7,3,0.7307120496408618,0.12244769807132283,1.2013067143510285,BUT
butanol,M9,BUT1-2,1,0.836965862070724,0.22870151050118503,1.3759903237976276,BUT
butanol,M9,BUT1-5,3,0.7576464402774613,0.14938208870792236,1.2455874461859606,BUT
butanol,M9,BUT2-9,1,0.8317222128004752,0.22345786123093625,1.3673696488284004,BUT
butanol,M9,BUT3-6,2,0.7599973630570805,0.1517330114875416,1.2494524150495032,BUT
butanol,M9,BUT4-4,3,0.7734944165596281,0.1652300649900892,1.2716418684799409,BUT
butanol,M9,BUT5-2,1,0.7768196646199825,0.16855531305044358,1.2771086495789383,BUT
butanol,M9,BUT5-6,2,0.7913691998293387,0.18310484825979978,1.3010284061318471,BUT
butanol,M9,BUT6-3,3,0.7876760174152477,0.17941166584570878,1.29495673284611,BUT
butanol,M9,BUT7-7,1,0.783060318197064,0.17479596662752506,1.287368421602366,BUT
butanol,M9,BUT8-5,2,0.7883283553299468,0.18006400376040788,1.296029190755267,BUT
butanol,M9,BUT8-10,3,0.7585302938376225,0.15026594226808354,1.247040520918814,BUT
butanol,M9,BUT9-10,1,0.818227004143197,0.2099626525736581,1.3451832283642458,BUT
butanol,M9,BUT1-2,2,0.7712863787545042,0.16302202718496528,1.2680118056636236,BUT
butanol,M9,BUT2-1,1,0.7347017571936293,0.12643740562409034,1.2078658815001022,BUT
butanol,M9,BUT2-9,2,0.7848786401416157,0.17661428857207673,1.290357782954646,BUT
butanol,M9,BUT3-6,3,0.7151484697512659,0.10688411818172694,1.1757198459944722,BUT
butanol,M9,BUT4-7,1,0.7510878311852572,0.14282347961571829,1.2348049482879981,BUT
butanol,M9,BUT5-2,2,0.7278684263775825,0.11960407480804358,1.1966317350333329,BUT
butanol,M9,BUT5-6,3,0.7806000083711054,0.17233565680156648,1.2833236180237737,BUT
butanol,M9,BUT6-8,1,0.7601179266490534,0.15185357507951447,1.2496506242519032,BUT
butanol,M9,BUT7-7,2,0.7479949340133517,0.13973058244381276,1.2297201571705756,BUT
butanol,M9,BUT8-5,3,0.7249552638711934,0.1166909123016544,1.191842431667334,BUT
butanol,M9,BUT9-5,1,0.7268685605615689,0.11860420899202995,1.194987933594972,BUT
butanol,M9,BUT9-10,2,0.7106998289509833,0.10243547738144432,1.1684061824716905,BUT
butanol,M9,BUT1-2,3,0.8179009437264512,0.20963659215691222,1.344647177852812,BUT
butanol,M9,BUT2-1,2,0.6918948493175502,0.08363049774801123,1.1374903814964903,BUT
butanol,M9,BUT2-9,3,0.7905985661092965,0.1823342145397575,1.2997614673114908,BUT
butanol,M9,BUT3-7,1,0.7100840765805022,0.10181972501096326,1.1673938720035657,BUT
butanol,M9,BUT4-7,2,0.790260394180254,0.181996042610715,1.299205505206906,BUT
butanol,M9,BUT5-2,3,0.7472315585194576,0.1389672069499186,1.2284651510339766,BUT
butanol,M9,BUT6-1,1,0.7887599491092108,0.18049559753967181,1.296738740440614,BUT
butanol,M9,BUT6-8,2,0.7615816960729603,0.15331734450342138,1.2520570934459794,BUT
