	rpsG1-1	proV_rpsG1-1	proV_mreB-1	proV_spoT-1	proV_argG-1	proV_rpsG1_mreB-1	proV_rpsG1_spoT-1	proV_rpsG1_argG-1	rpsG1-2	proV_rpsG1-2	proV_mreB-2	proV_spoT-2	proV_argG-2	proV_rpsG1_mreB-2	proV_rpsG1_spoT-2	proV_rpsG1_argG-2	rpsG1-3	proV_rpsG1-3	proV_mreB-3	proV_spoT-3	proV_argG-3	proV_rpsG1_mreB-3	proV_rpsG1_spoT-3	proV_rpsG1_argG-3	MG1655-1	proV-1	PUTR3-1_1	proV_ygaC-1	proV_edd/zwf-1	proV_ygaC_edd/zwf-1	PUTR8-10_1	MG1655-2	proV-2	PUTR3-1_2	proV_ygaC-2	proV_edd/zwf-2	proV_ygaC_edd/zwf-2	PUTR8-10_2	MG1655-3	proV-3	PUTR3-1_3	proV_ygaC-3	proV_edd/zwf-3	proV_ygaC_edd/zwf-3	PUTR8-10_3
6.33886	0.703	0.452	0.8909999999999999	0.589	0.45399999999999996	1.581	0.486	0.922	0.57	0.384	0.955	0.601	0.626	1.7209999999999999	0.616	0.894	0.34700000000000003	0.685	1.0590000000000002	0.6559999999999999	0.89	1.344	0.532	0.912	0.22699999999999998	0.794	0.62	0.828	0.77	1.3030000000000002	0.905	0.225	0.6940000000000001	0.634	1.4069999999999998	0.938	1.5430000000000001	1.272	0.42200000000000004	0.326	0.66	1.395	0.9690000000000001	2.7769999999999997	1.358
6.50552	0.805	0.5870000000000001	1.0270000000000001	0.49200000000000005	0.457	1.484	0.42100000000000004	0.992	0.47200000000000003	0.42	0.858	0.57	0.762	1.724	0.518	0.8959999999999999	0.349	0.45399999999999996	1.028	0.759	0.792	1.514	0.435	0.848	0.29600000000000004	0.8640000000000001	0.556	0.731	0.7070000000000001	1.473	0.9740000000000001	0.22699999999999998	0.696	0.736	1.41	0.907	1.546	1.375	0.324	0.32799999999999996	0.662	1.3980000000000001	1.206	2.88	1.294
6.6722	0.705	0.48700000000000004	0.894	0.5920000000000001	0.457	1.4169999999999998	0.588	0.992	0.506	0.42	0.8240000000000001	0.503	0.562	1.758	0.485	0.7959999999999999	0.449	0.5539999999999999	1.061	0.626	0.826	1.514	0.402	0.848	0.22899999999999998	0.6970000000000001	0.623	0.797	0.773	1.473	1.0070000000000001	0.22699999999999998	0.596	0.736	1.443	0.907	1.546	1.209	0.391	0.295	0.662	1.465	0.9390000000000001	2.8139999999999996	1.3940000000000001
6.83885	0.6809999999999999	0.53	0.938	0.535	0.434	1.594	0.598	0.935	0.583	0.529	0.8340000000000001	0.581	0.5720000000000001	1.735	0.429	0.8079999999999999	0.493	0.664	0.871	0.8029999999999999	0.836	1.526	0.37799999999999995	0.76	0.23800000000000002	0.773	0.5329999999999999	0.909	0.6859999999999999	1.287	1.085	0.23600000000000002	0.7390000000000001	0.513	1.255	0.9179999999999999	1.525	1.4869999999999999	0.433	0.40399999999999997	0.772	1.4080000000000001	0.953	3.0269999999999997	1.571
7.00553	0.698	0.614	0.919	0.484	0.649	1.577	0.6809999999999999	0.884	0.665	0.513	0.883	0.495	0.654	1.849	0.7440000000000001	0.9540000000000001	0.475	0.581	1.02	0.6509999999999999	0.884	1.405	0.428	0.9059999999999999	0.222	0.7559999999999999	0.649	0.8220000000000001	0.897	1.3969999999999998	1.099	0.287	0.723	0.695	1.435	0.8320000000000001	1.4369999999999998	1.367	0.418	0.488	0.655	1.59	1.0290000000000001	2.904	1.5530000000000002
7.17211	0.8190000000000001	0.602	0.9440000000000001	0.6409999999999999	0.539	1.699	0.603	1.0070000000000001	0.721	0.601	0.9059999999999999	0.5870000000000001	0.645	1.774	0.568	0.813	0.698	0.602	0.8759999999999999	0.708	0.8079999999999999	1.5319999999999998	0.516	1.0659999999999998	0.34299999999999997	0.778	0.5710000000000001	0.915	0.726	1.3940000000000001	1.224	0.307	0.711	0.652	1.327	0.856	1.6640000000000001	1.426	0.505	0.442	0.643	1.514	0.993	3.034	1.643
7.33887	0.8290000000000001	0.478	0.9159999999999999	0.615	0.58	1.6740000000000002	0.7120000000000001	1.081	0.696	0.51	0.9470000000000001	0.493	0.6509999999999999	1.946	0.608	0.852	0.573	0.645	1.018	0.648	0.715	1.5019999999999998	0.49200000000000005	1.037	0.32	0.787	0.6459999999999999	0.8859999999999999	0.794	1.36	1.196	0.385	0.72	0.626	1.3319999999999999	0.93	1.501	1.464	0.41600000000000004	0.419	0.619	1.4869999999999999	1.025	2.7	1.817
7.50552	0.841	0.69	0.997	0.594	0.593	1.5859999999999999	0.624	1.094	0.8079999999999999	0.789	0.76	0.606	0.731	2.0269999999999997	0.488	0.966	0.685	0.757	0.93	0.795	0.828	1.517	0.537	0.951	0.298	0.966	0.5589999999999999	0.8340000000000001	0.71	1.41	1.41	0.29600000000000004	0.6990000000000001	0.7390000000000001	1.3459999999999999	0.81	1.5490000000000002	1.4780000000000002	0.42700000000000005	0.397	0.664	1.4669999999999999	1.143	2.884	1.83
7.67226	0.912	0.628	0.902	0.499	0.598	1.725	0.7959999999999999	1.1	0.7140000000000001	0.593	0.965	0.512	0.737	1.933	0.527	0.872	0.657	0.762	0.8690000000000001	0.767	0.8	1.6230000000000002	0.376	0.9570000000000001	0.336	0.871	0.564	0.9059999999999999	0.6829999999999999	1.3840000000000001	1.383	0.301	0.737	0.544	1.3519999999999999	0.9490000000000001	1.555	1.617	0.531	0.435	0.669	1.406	0.883	3.09	1.936
7.83889	1.005	0.7879999999999999	0.9940000000000001	0.525	0.59	1.584	0.722	0.992	0.9059999999999999	0.586	0.8909999999999999	0.503	0.762	2.124	0.552	0.8959999999999999	0.7490000000000001	0.688	0.961	0.759	0.9259999999999999	1.714	0.7020000000000001	1.015	0.396	0.764	0.623	0.9309999999999999	0.773	1.507	1.474	0.327	0.73	0.703	1.443	1.0070000000000001	1.5130000000000001	1.776	0.491	0.495	0.629	1.4980000000000002	0.773	2.98	1.9280000000000002
