	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
4.50507	1.1179999999999999	4.254	1.9069999999999998	3.73	1.531	1.3519999999999999	1.5319999999999998	1.556	1.726	4.888	1.8730000000000002	18.358	2.023	0.9740000000000001	2.005	1.651	2.657	14.47	2.525	5.172000000000001	2.2230000000000003	1.4180000000000001	2.09	1.5090000000000001	0.584	0.873	0.9390000000000001	1.15	0.855	0.877	0.9359999999999999	1.403	3.049	0.852	0.8320000000000001	0.914	1.296	1.527	1.534	1.855	0.884	1.006	0.59	0.6940000000000001	1.2590000000000001
4.67167	1.133	4.76	1.982	4.122	1.7819999999999998	1.455	1.578	1.4	1.8330000000000002	5.943	2.177	19.572	2.3	1.0190000000000001	1.9669999999999999	1.6769999999999998	2.91	15.911	2.714	5.8229999999999995	2.67	1.348	2.109	1.7	0.8909999999999999	0.9490000000000001	0.9840000000000001	1.28	0.899	0.9229999999999999	0.925	1.199	3.7310000000000003	1.042	0.8190000000000001	0.93	1.26	1.516	1.501	1.96	0.961	1.197	0.7509999999999999	0.7120000000000001	1.4509999999999998
4.83837	1.376	5.149	2.197	4.137	2.057	1.4680000000000002	1.679	1.584	1.964	6.421	2.45	21.068	2.7739999999999996	1.003	2.214	1.871	2.785	16.285	2.843	6.069	3.228	1.39	2.326	1.801	0.648	0.993	0.968	1.206	0.825	0.9359999999999999	0.9390000000000001	1.3630000000000002	3.92	0.883	0.917	0.828	1.278	1.617	1.865	1.946	1.005	1.155	0.622	0.583	1.351
5.00515	1.2770000000000001	5.707999999999999	2.327	4.696000000000001	2.299	1.714	1.75	1.7730000000000001	2.005	7.0920000000000005	2.522	22.272	3.1039999999999996	1.0759999999999998	2.283	1.7919999999999998	2.852	16.802	2.9730000000000003	6.081	3.388	1.607	2.454	1.901	0.7190000000000001	0.978	0.955	1.3659999999999999	0.813	0.894	1.04	1.371	4.104	0.927	0.905	0.93	1.26	1.459	1.73	2.046	0.99	1.111	0.522	0.568	1.25
5.1717	1.28	6.545	2.474	4.959	2.734	1.6880000000000002	1.754	1.834	2.009	7.901	2.641	22.566999999999997	3.596	1.31	2.489	1.9409999999999998	2.943	17.785999999999998	3.1489999999999996	7.292000000000001	4.368	1.725	2.63	1.9340000000000002	0.608	1.0390000000000001	1.073	1.255	0.816	0.897	0.8420000000000001	1.261	4.281000000000001	0.9590000000000001	0.9079999999999999	0.818	1.351	1.692	1.5630000000000002	2.193	1.08	1.345	0.611	0.5720000000000001	1.34
5.33829	1.3530000000000002	7.591	2.6319999999999997	5.115	3.175	2.048	1.883	1.7630000000000001	2.193	8.37	2.6260000000000003	23.682	3.9819999999999998	1.296	2.673	1.949	3.154	17.44	3.307	7.705	4.927	1.97	2.787	2.062	0.764	1.139	1.06	1.443	0.9470000000000001	0.97	1.0290000000000001	1.3559999999999999	4.521	1.031	0.8959999999999999	0.8340000000000001	1.391	1.62	1.629	2.178	1.122	1.272	0.654	0.701	1.41
5.50503	1.5290000000000001	8.054	2.8080000000000003	5.922999999999999	3.725	2.08	2.059	1.939	2.312	9.982000000000001	2.859	25.586	5.106	1.242	2.735	2.04	3.2739999999999996	18.108	3.655	8.37	5.563	1.8869999999999998	3.1069999999999998	2.324	0.5379999999999999	1.114	1.063	1.331	0.95	0.9159999999999999	1.004	1.504	4.669	1.092	0.841	0.838	1.395	1.767	1.577	2.2969999999999997	1.068	1.247	0.515	0.647	1.4140000000000001
5.67177	1.739	9.289	2.843	6.414	4.156000000000001	1.945	2.066	1.92	2.373	10.065	3.1239999999999997	25.331999999999997	5.8260000000000005	1.4509999999999998	2.8819999999999997	2.1519999999999997	3.302	17.547	3.5469999999999997	8.601	6.515	1.954	3.2260000000000004	2.301	0.601	1.206	1.187	1.341	0.932	1.068	1.069	1.56	4.6419999999999995	1.186	0.88	0.8759999999999999	1.369	1.6019999999999999	1.6909999999999998	2.417	1.131	1.224	0.637	0.7979999999999999	1.3330000000000002
5.83841	1.624	9.547	2.958	6.901	5.0169999999999995	2.375	2.18	2.178	2.602	11.011	3.411	27.655	6.513999999999999	1.595	3.14	2.238	3.675	18.636	3.576	9.547	7.977	2.298	3.484	2.502	0.6579999999999999	1.2919999999999998	1.273	1.399	0.961	1.04	0.983	1.244	4.928999999999999	1.157	0.88	1.048	1.541	1.659	1.6340000000000001	2.359	1.217	1.252	0.637	0.626	1.419
6.00508	1.746	11.220999999999998	3.023	7.082000000000001	5.742999999999999	2.324	2.331	2.356	2.783	12.944	3.418	27.73	7.527	1.6880000000000002	3.378	2.2769999999999997	3.742	19.254	3.727	10.245	9.047	2.477	3.6069999999999998	2.7680000000000002	0.7809999999999999	1.357	1.28	1.4340000000000002	1.11	0.96	0.9329999999999999	1.3980000000000001	5.684	1.337	1.0590000000000002	0.968	1.406	1.7530000000000001	1.729	2.4530000000000003	1.311	1.26	0.5	0.7190000000000001	1.399
