	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	ompR-1	proQ-1	ompR_proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	ompR-2	proQ-2	ompR_proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	ompR-3	proQ-3	ompR_proQ-3
2.00482	0.317	0.498	0.23399999999999999	0.7040000000000001	0.833	0.322	0.5479999999999999	0.369	0.344	0.419	0.415	0.445	0.619	0.45399999999999996	0.565	0.32899999999999996	0.271	0.425	0.08199999999999999	0.932	0.675	0.557	0.55	0.24600000000000002
2.17166	0.25	0.466	0.348	0.8170000000000001	0.75	0.321	0.598	0.213	0.131	0.305	0.414	0.473	0.8170000000000001	0.387	0.59	0.212	0.265	0.369	0.055	0.902	0.645	0.444	0.43200000000000005	0.19
2.33823	0.225	0.516	0.135	0.946	0.8759999999999999	0.33799999999999997	0.5670000000000001	0.27899999999999997	0.34	0.605	0.375	0.46	0.7759999999999999	0.361	0.639	0.375	0.375	0.61	0.18100000000000002	1.09	0.606	0.488	0.484	0.318
2.50495	0.376	0.718	0.332	1.003	0.904	0.396	0.601	0.18	0.384	0.607	0.489	0.46	0.833	0.34299999999999997	0.672	0.322	0.212	0.5539999999999999	0.152	1.036	0.8059999999999999	0.517	0.574	0.29
2.67152	0.344	0.63	0.188	1.085	0.9009999999999999	0.45	0.598	0.261	0.295	0.6890000000000001	0.45799999999999996	0.45799999999999996	0.9159999999999999	0.5660000000000001	0.669	0.319	0.265	0.693	0.20600000000000002	1.203	0.775	0.599	0.6	0.344
2.83833	0.33299999999999996	0.725	0.531	1.092	1.075	0.429	0.7809999999999999	0.369	0.34700000000000003	0.754	0.436	0.491	1.12	0.47	0.622	0.358	0.306	0.6709999999999999	0.182	1.2409999999999999	0.8109999999999999	0.46299999999999997	0.64	0.293
3.00496	0.255	0.8170000000000001	0.366	1.182	0.995	0.491	0.731	0.235	0.44	0.816	0.527	0.525	1.097	0.44799999999999995	0.713	0.42100000000000004	0.256	0.6759999999999999	0.187	1.36	0.987	0.49700000000000005	0.6459999999999999	0.298
3.17163	0.22399999999999998	0.875	0.37200000000000005	1.442	1.228	0.41	0.617	0.2	0.262	0.7909999999999999	0.503	0.5579999999999999	1.101	0.502	0.715	0.39399999999999996	0.341	0.737	0.079	1.504	0.9620000000000001	0.473	0.59	0.19
3.33838	0.23	0.848	0.28300000000000003	1.469	1.197	0.522	0.706	0.23800000000000002	0.302	0.847	0.586	0.584	1.214	0.452	0.83	0.594	0.259	0.9059999999999999	0.161	1.676	1.161	0.585	0.706	0.301
3.50503	0.365	0.9229999999999999	0.49700000000000005	1.6569999999999998	1.354	0.51	0.8390000000000001	0.319	0.49700000000000005	0.95	0.603	0.685	1.486	0.5579999999999999	0.8190000000000001	0.47	0.193	0.951	0.289	1.9780000000000002	1.348	0.5720000000000001	0.8390000000000001	0.259
3.67174	0.386	1.112	0.39799999999999996	1.901	1.3980000000000001	0.527	0.915	0.371	0.40700000000000003	0.9670000000000001	0.619	0.701	1.673	0.608	0.8370000000000001	0.46	0.49700000000000005	0.9390000000000001	0.361	2.309	1.565	0.7020000000000001	0.83	0.474
3.83841	0.354	0.9420000000000001	0.489	2.302	1.6880000000000002	0.502	0.8859999999999999	0.42100000000000004	0.371	0.998	0.595	0.706	1.734	0.5760000000000001	0.924	0.376	0.325	1.0	0.282	2.623	1.51	0.735	0.915	0.479
4.00501	0.39	1.0659999999999998	0.474	2.654	1.615	0.485	0.9520000000000001	0.369	0.375	0.8390000000000001	0.578	0.917	1.8869999999999998	0.527	0.877	0.6990000000000001	0.25	0.983	0.324	2.8310000000000004	1.72	0.7190000000000001	0.953	0.52
4.17172	0.47100000000000003	1.308	0.674	2.98	1.847	0.5770000000000001	0.884	0.317	0.38299999999999995	1.1320000000000001	0.755	0.894	2.095	0.551	0.9470000000000001	0.484	0.38	0.9890000000000001	0.382	3.333	2.045	0.7240000000000001	1.112	0.524
4.33853	0.311	1.036	0.662	3.5060000000000002	1.9480000000000002	0.535	1.01	0.38299999999999995	0.44799999999999995	1.061	0.627	0.966	2.024	0.59	0.932	0.469	0.535	0.975	0.39799999999999996	3.573	2.059	0.767	1.01	0.425
4.50504	0.368	1.2930000000000001	0.605	4.0760000000000005	2.033	0.563	0.925	0.525	0.44799999999999995	0.9470000000000001	0.741	0.909	2.509	0.5329999999999999	0.846	0.49700000000000005	0.42100000000000004	1.1179999999999999	0.39799999999999996	4.4	2.287	0.7959999999999999	0.925	0.568
4.6718	0.561	1.311	0.762	4.781000000000001	2.364	0.637	1.03	0.5489999999999999	0.615	1.078	0.758	1.068	2.698	0.8109999999999999	0.95	0.601	0.526	1.1340000000000001	0.6409999999999999	4.963	2.591	0.812	1.1440000000000001	0.527
4.8385	0.525	1.3090000000000002	0.8220000000000001	5.43	2.421	0.638	1.083	0.452	0.603	1.192	0.73	1.2109999999999999	3.095	0.747	0.92	0.57	0.607	1.05	0.701	5.496	2.645	0.785	1.083	0.643
5.00523	0.6	1.349	1.056	6.02	2.6289999999999996	0.645	0.983	0.504	0.485	1.1440000000000001	0.68	1.3330000000000002	3.05	0.6509999999999999	0.902	0.696	0.564	1.057	0.6779999999999999	6.031000000000001	2.943	0.82	1.0390000000000001	0.5920000000000001
5.17192	0.611	1.5019999999999998	1.035	6.631	2.895	0.654	1.135	0.516	0.64	1.181	0.774	1.541	3.3160000000000003	0.718	1.168	0.7909999999999999	0.631	1.179	0.685	6.671	3.0380000000000003	0.943	1.078	0.7140000000000001
5.33857	0.575	1.581	1.23	7.195	3.089	0.677	1.129	0.736	0.489	1.261	0.826	1.7069999999999999	3.824	0.626	0.99	0.584	0.5670000000000001	1.2309999999999999	0.966	7.0920000000000005	3.5460000000000003	0.88	1.157	0.7659999999999999
5.50527	0.8390000000000001	1.8730000000000002	1.406	8.003	3.352	0.7390000000000001	1.135	0.601	0.754	1.4380000000000002	0.8320000000000001	1.8840000000000001	3.9160000000000004	0.804	1.254	0.762	0.7170000000000001	1.265	1.171	7.729	3.753	1.057	1.335	0.885
5.67193	0.757	1.993	1.787	8.487	3.417	0.748	1.3119999999999998	0.716	0.982	1.5030000000000001	0.9259999999999999	2.178	4.293	0.636	1.146	0.769	0.779	1.445	1.466	8.213	4.185	1.038	1.226	0.9229999999999999
5.83859	0.7040000000000001	2.221	1.834	8.988999999999999	3.812	0.882	1.197	0.813	0.8809999999999999	1.6969999999999998	0.9740000000000001	2.515	4.78	0.8690000000000001	1.113	0.821	0.7490000000000001	1.436	1.599	8.201	4.646	1.085	1.253	0.9129999999999999
6.00521	0.925	2.302	2.149	9.632	4.352	0.997	1.421	0.9159999999999999	0.983	1.9240000000000002	1.003	2.713	5.002	0.89	1.168	1.048	0.831	1.551	1.686	8.529	4.81	1.114	1.249	1.114
6.17192	0.965	2.798	2.615	9.902000000000001	4.619	0.948	1.374	1.014	0.852	1.933	1.04	3.237	5.442	0.758	1.177	1.0290000000000001	0.9840000000000001	1.56	2.037	8.885	5.164	1.208	1.345	1.208
6.33862	0.94	3.0589999999999997	3.0189999999999997	10.422	5.052	0.951	1.234	0.875	0.9420000000000001	2.108	1.129	3.955	5.474	0.847	1.3519999999999999	0.946	0.987	1.6769999999999998	2.2119999999999997	8.861	5.8260000000000005	1.2109999999999999	1.4340000000000002	1.125
6.50544	1.177	3.3560000000000003	2.8939999999999997	10.362	5.4639999999999995	0.914	1.334	1.05	0.9740000000000001	2.439	1.063	4.053999999999999	5.997000000000001	0.8859999999999999	1.14	1.248	0.9440000000000001	1.639	2.716	9.003	5.832999999999999	1.26	1.6469999999999998	1.175
6.67187	1.1640000000000001	3.713	3.534	9.895	5.935	1.068	1.347	1.095	1.162	2.708	1.103	4.696000000000001	6.64	0.9570000000000001	1.381	1.26	1.043	1.9080000000000001	3.07	8.849	6.391	1.357	1.547	1.3
6.83856	1.248	4.225	3.937	10.6	6.391	1.074	1.321	1.234	1.271	3.082	1.252	5.324	6.922999999999999	1.014	1.385	1.235	1.102	2.056	3.3310000000000004	8.899	6.7010000000000005	1.249	1.8619999999999999	1.42
7.00531	1.2309999999999999	4.721	4.431	10.270999999999999	6.5729999999999995	1.139	1.416	1.3880000000000001	1.226	3.491	1.3459999999999999	5.734	7.191	0.9390000000000001	1.4509999999999998	1.444	1.14	2.378	3.825	9.312000000000001	7.027	1.4569999999999999	1.7009999999999998	1.685
7.17197	1.651	5.4	4.6739999999999995	10.532	6.992999999999999	1.262	1.6030000000000002	1.4709999999999999	1.338	3.6489999999999996	1.383	6.64	7.357	1.101	1.52	1.5430000000000001	1.27	2.36	4.468	9.257	7.5089999999999995	1.466	1.859	1.551
7.33858	1.557	5.907	5.239	10.408	7.071000000000001	1.4280000000000002	1.682	1.6909999999999998	1.501	4.385	1.5490000000000002	7.0889999999999995	7.407	1.179	1.6569999999999998	1.537	1.177	2.583	4.803999999999999	9.191	7.729	1.4880000000000002	1.91	1.7169999999999999
7.50531	1.7369999999999999	6.544	5.761	10.331	7.507999999999999	1.3769999999999998	1.7169999999999999	1.786	1.624	4.763999999999999	1.44	8.097999999999999	7.7860000000000005	1.244	1.52	1.5719999999999998	1.327	2.818	5.726	8.799	7.766	1.58	2.002	1.923
7.67196	1.8969999999999998	7.103	6.607	10.26	7.41	1.368	1.621	1.8019999999999998	1.4969999999999999	5.268	1.775	8.714	8.174	1.2329999999999999	1.682	1.734	1.431	3.237	5.686	9.1	8.411	1.6569999999999998	2.106	2.086
7.83874	1.811	7.989	6.979	10.432	8.01	1.597	1.85	1.973	1.926	5.8389999999999995	1.689	9.572000000000001	8.546	1.347	1.768	1.905	1.402	3.323	6.058	8.957	8.154	1.714	2.0780000000000003	2.1430000000000002
8.00548	1.903	8.86	7.5	10.474	8.017999999999999	1.624	1.7380000000000002	2.241	1.7930000000000001	6.1610000000000005	1.8869999999999998	10.414000000000001	8.842	1.209	1.797	2.021	1.605	3.781	6.75	9.084	8.794	1.8259999999999998	2.195	2.456
8.17206	2.039	9.932	8.522	10.345999999999998	8.096	1.797	2.1069999999999998	2.316	1.84	6.954	2.032	11.142999999999999	8.517000000000001	1.347	1.739	2.248	1.66	4.093999999999999	7.544	9.043	8.582	1.886	2.249	2.572
8.33872	1.9340000000000002	10.279000000000002	8.929	10.466	8.162	1.7819999999999998	2.004	2.408	1.932	8.132	2.045	12.004000000000001	8.838	1.386	1.98	2.4019999999999997	1.642	4.306	8.437000000000001	8.906	8.503	1.9569999999999999	2.26	2.927
8.50552	2.184	11.124	9.875	10.817	8.3	1.986	2.074	2.668	2.1919999999999997	8.277000000000001	2.1919999999999997	12.677999999999999	8.352	1.46	1.96	2.471	1.7690000000000001	4.833	8.551	9.025	8.562999999999999	2.102	2.33	2.9619999999999997
8.67212	2.286	12.264000000000001	10.265	10.061	8.431000000000001	2.084	2.116	2.772	2.44	9.586	2.3480000000000003	13.129000000000001	8.455	1.59	1.973	2.8	1.955	5.507000000000001	9.859	9.129	8.695	2.286	2.4019999999999997	2.975
8.8389	2.544	13.067	10.61	10.232999999999999	8.345	2.0269999999999997	2.202	3.116	2.3819999999999997	9.987	2.5780000000000003	13.502	8.713	1.59	2.0869999999999997	2.915	2.042	5.651	10.088	9.531	8.523	2.315	2.574	3.3480000000000003
9.00539	2.635	13.808	11.527999999999999	10.405999999999999	8.549	2.266	2.153	3.175	2.355	11.363	2.5869999999999997	13.699000000000002	8.687000000000001	1.653	2.154	3.0660000000000003	2.049	6.172999999999999	10.892000000000001	9.417	8.668	2.354	2.696	3.6719999999999997
9.17212	2.594	14.494000000000002	13.024000000000001	10.446	8.766	2.406	2.403	3.5589999999999997	2.454	11.913	2.727	14.074000000000002	8.816	1.673	2.207	2.9160000000000004	2.185	7.021	11.445	9.057	8.796	2.609	2.917	3.8680000000000003
9.33898	2.978	15.67	12.645	10.664000000000001	8.291	2.638	2.41	3.863	2.7569999999999997	13.110999999999999	3.017	15.39	8.343	1.911	2.211	3.582	2.307	7.606	12.325	9.331	8.754	2.612	2.8680000000000003	3.987
9.50549	3.069	16.236	13.087	10.415	8.439	2.6639999999999997	2.353	4.245	2.736	13.872	3.1	15.607999999999999	8.635	1.999	2.524	3.841	2.479	7.811	12.48	8.708	8.675	2.7510000000000003	2.897	4.33
9.67214	3.0639999999999996	17.16	13.992	10.292	8.377	2.638	2.353	4.378	3.1	14.057	3.275	14.215	8.601	1.969	2.412	4.155	2.45	8.781	13.499	9.073	8.668	2.784	3.1260000000000003	4.56
9.83895	3.306	16.147000000000002	15.212	10.764000000000001	8.16	2.964	2.622	4.651	3.028	15.335	3.543	14.575999999999999	8.527999999999999	2.095	2.3930000000000002	4.481	2.576	9.539	13.600999999999999	9.173	8.424	3.08	3.051	4.915
10.00562	3.6060000000000003	16.31	15.832	10.578	8.258	3.002	2.805	4.78	3.1860000000000004	15.869000000000002	3.639	14.505999999999998	8.627	2.02	2.5180000000000002	4.4639999999999995	2.73	9.725	14.306	9.359	8.179	3.147	2.918	5.528
10.17221	3.405	16.683	15.659	10.693	8.431000000000001	3.346	2.69	5.297000000000001	3.1860000000000004	16.299	3.8110000000000004	14.162	8.512	2.336	2.661	5.067	2.73	11.130999999999998	15.224	9.588	8.609	3.233	3.234	5.442
10.33889	3.4989999999999997	17.097	17.852	10.932	8.525	3.497	2.898	5.651	3.654	16.857	4.1339999999999995	15.12	8.463	2.43	2.8689999999999998	5.419	3.053	12.002	14.977	9.425	9.106	3.411	3.4419999999999997	6.0520000000000005
10.50556	3.6060000000000003	18.117	16.549	10.347999999999999	8.258	3.318	3.293	6.042999999999999	3.53	17.619	4.127	15.224	8.11	2.4219999999999997	2.747	5.239	3.218	12.737	14.822000000000001	9.76	8.666	3.491	3.693	6.159
10.67221	3.924	17.046	18.004	10.664000000000001	8.12	3.5839999999999996	2.8689999999999998	6.442	3.588	17.637999999999998	4.45	14.931	8.601	2.427	2.8989999999999996	5.731	3.31	14.052999999999999	16.308	9.474	8.84	3.385	3.727	6.48
10.83909	4.338	17.008	17.592	10.822000000000001	8.16	3.738	3.2239999999999998	6.83	4.147	17.227	4.633	14.748	8.241	2.496	2.852	6.517	3.2060000000000004	14.414000000000001	17.644000000000002	9.918	8.252	3.653	3.653	6.807
11.00568	4.596	17.094	18.51	10.764000000000001	8.218	4.024	3.3960000000000004	7.604	4.2330000000000005	16.883	5.063	15.436	8.786	2.668	3.11	6.431	3.55	14.872	15.58	9.517000000000001	8.424	3.911	3.653	7.581
11.17223	4.402	16.772000000000002	18.905	10.802	8.106	4.11	3.225	7.591	4.185	17.823	5.379	15.97	8.533	2.9010000000000002	3.052	6.58	3.61	15.722000000000001	17.205	10.128	8.603	4.254	3.855	7.586
11.33898	4.581	17.340999999999998	19.301	11.157	8.283	4.685	3.342	8.037	4.627	16.925	5.237	15.269	8.395	2.9339999999999997	3.2230000000000003	7.19	3.872	16.689	17.168	9.332	8.293	4.397	4.001	8.425
11.50575	4.617	16.901	19.262999999999998	10.854000000000001	8.311	4.588	3.537	8.27	4.761	17.895	5.72	15.562999999999999	8.253	3.02	3.4130000000000003	8.093	3.955	17.51	17.383	9.95	8.472000000000001	4.355	4.343	8.256
11.67248	5.395	16.73	19.035	11.138	8.315	4.945	3.747	8.802	5.215	16.975	5.957999999999999	14.652000000000001	8.515	3.053	3.511	8.033	3.99	18.294	17.418	9.686	8.241	4.425	4.119	9.209
11.83901	5.398	17.392	18.657	11.345	7.935	5.022	3.9419999999999997	9.513	4.934	17.924	6.587000000000001	14.292	8.051	3.366	3.5580000000000003	8.324	4.475	17.77	17.787	9.574	8.559	4.962	4.17	10.134
12.00573	5.715	17.652	19.032	11.027000000000001	8.107999999999999	5.022	4.0569999999999995	9.397	5.166	17.114	6.412999999999999	14.957	8.08	3.54	3.9330000000000003	8.96	4.62	18.175	18.942999999999998	9.747	8.761000000000001	4.875	4.574	10.163
12.17235	5.348	16.837	19.865	11.24	8.344	5.312	4.031000000000001	10.052	5.292999999999999	17.02	6.6770000000000005	14.684000000000001	8.171	3.313	3.7030000000000003	8.912	4.6819999999999995	18.313	18.185	10.248	8.189	4.933	4.2010000000000005	10.433
12.33897	5.629	17.612000000000002	18.387999999999998	10.883	8.2	5.432	4.149	10.343	5.712000000000001	16.673	7.169	14.777999999999999	7.882000000000001	3.688	3.969	9.508	4.768	18.165	17.519000000000002	10.181000000000001	7.867999999999999	5.027	4.925	10.597000000000001
12.50566	5.912999999999999	18.021	19.113	11.774000000000001	8.047	6.0	4.313	10.777999999999999	5.593999999999999	17.542	7.276	14.892999999999999	8.047	3.7960000000000003	3.9010000000000002	9.995	5.165	18.804000000000002	16.857	9.857999999999999	8.121	5.045	4.917	11.140999999999998
12.67259	6.25	17.979	19.186	11.417	8.125	5.992000000000001	4.421	11.43	5.901	17.096	7.7589999999999995	14.882	7.779	4.018	3.8939999999999997	10.765	5.156000000000001	18.242	17.538	9.935	7.766	5.904	4.938	12.344000000000001
12.83925	6.894	17.635	18.468	11.167	7.849	6.3229999999999995	4.3180000000000005	11.318	6.775	17.532	8.001	15.205	7.791	3.943	4.138999999999999	11.61	5.457000000000001	18.852	17.369	10.176	7.372999999999999	5.456	4.979	11.833
13.00587	6.524	17.227	17.831	11.748	8.089	6.388999999999999	4.385	12.93	6.632000000000001	18.509	7.98	15.897	7.568	4.008	4.235	11.812999999999999	5.435	17.724	17.223	10.123	7.727	6.129	4.901	12.325999999999999
13.17248	6.697	17.775	19.012999999999998	12.324000000000002	7.8870000000000005	6.706	4.875	12.93	6.459	18.48	8.355	15.494000000000002	7.7410000000000005	4.152	4.235	11.812999999999999	5.377000000000001	18.444000000000003	17.396	10.469000000000001	7.582999999999999	6.1	5.218	13.594000000000001
13.33917	7.327000000000001	18.587	18.785	12.004000000000001	7.647	6.64	4.7219999999999995	13.05	6.919	17.157	8.463	15.177	7.156000000000001	4.3469999999999995	4.571000000000001	12.62	5.861000000000001	18.419	17.773	10.176	7.777	6.0329999999999995	5.152	14.372
13.50578	7.32	18.192	19.052	11.215	8.033999999999999	7.317	4.965	13.376	6.829	17.567	8.912	14.887	7.485	4.593	4.87	13.485	6.454	18.483	16.823	10.137	7.329	5.985	5.367000000000001	14.427999999999999
13.67245	7.347	17.979	18.031	11.504000000000001	7.605	7.436	4.941	14.491	6.941	18.713	9.578	15.69	7.432	4.798	4.8469999999999995	13.942	5.994	18.704	17.798	10.455	7.563	6.164	5.659	14.134
13.83921	7.922000000000001	17.607	18.236	11.789000000000001	7.77	7.5729999999999995	5.279	14.844000000000001	7.142	17.820999999999998	9.544	15.431	7.626	4.762	4.635	14.145	6.796	18.274	16.528	10.479000000000001	7.497999999999999	6.357	5.796	15.376
14.00587	7.837000000000001	17.879	18.881	11.732000000000001	7.996	7.5120000000000005	4.986000000000001	15.465	7.7829999999999995	17.975	9.802999999999999	16.015	7.216	4.876	5.237	14.556	6.303	18.255	17.605999999999998	10.769	7.176	6.872000000000001	6.169	14.919
14.17253	7.769	17.779	17.942	11.288	7.814	7.475	5.382999999999999	16.03	7.916	17.847	9.533	16.119	7.555	5.185	5.171	14.863	6.7860000000000005	18.474	17.42	10.296	7.225	7.211	6.132000000000001	16.035999999999998
14.33922	8.107999999999999	17.965999999999998	17.542	12.435	7.6129999999999995	7.626	6.085	16.604	7.7989999999999995	18.292	10.213	14.757	7.443	5.196000000000001	5.405	15.158	7.087000000000001	19.093	18.296	10.282	7.55	7.041	5.965	16.793
14.50587	8.966000000000001	18.602	17.405	11.732000000000001	7.562	7.946000000000001	5.8260000000000005	15.465	8.217	17.715	9.89	15.263	7.303	5.194	5.092	14.700999999999999	7.056	19.268	17.114	10.856	7.523	7.075	5.996	16.105999999999998
14.6726	8.85	17.965999999999998	18.997	11.587	7.736000000000001	8.641	5.565	16.131	8.448	17.368	10.382	16.276	7.564	5.31	5.497000000000001	15.743	7.056	18.921	17.519000000000002	11.03	7.4079999999999995	7.335	6.169	17.495
14.83921	8.103	17.827	18.801	11.737	7.711	8.182	5.511	16.573	8.917	18.619	10.647	14.603	7.047000000000001	5.981	5.53	16.415	7.466	19.391	16.657	10.948	7.614	7.252999999999999	6.521	17.473
15.00613	9.227	17.908	17.839000000000002	11.847999999999999	7.707000000000001	8.583	5.912000000000001	16.855	8.304	17.945999999999998	10.815999999999999	16.305	7.332000000000001	5.831	5.96	16.177	7.316	18.95	17.635	11.03	7.321000000000001	7.885	6.256	17.322
15.17278	9.501	18.085	18.483	11.981	7.704	8.692	6.513	16.448	8.691	18.299	10.979000000000001	16.315	7.184	5.678	5.898	16.878	8.03	19.475	16.776	11.077	7.143	7.736000000000001	6.308	16.925
15.3393	8.748	17.613	17.715	12.062000000000001	7.855	8.764	5.888999999999999	17.06	8.611	18.607	11.290999999999999	15.309000000000001	7.4510000000000005	6.275	5.906000000000001	18.287	8.253	19.437	16.785999999999998	10.954	7.296	8.006	6.784	17.285
15.50602	9.498	18.24	18.489	12.205	8.004	9.084	6.6739999999999995	16.87	9.329	18.307000000000002	11.637	15.853	7.485	6.42	6.2	17.291	8.252	19.223	16.489	11.184000000000001	7.242000000000001	7.604	6.67	17.913
15.67272	9.335	18.047	17.616	12.468	7.922999999999999	9.277999999999999	6.487	17.945	9.846	18.517	10.853	16.164	7.492000000000001	6.357	6.501	16.977999999999998	8.453	19.289	16.132	11.213	7.281000000000001	7.992000000000001	6.9479999999999995	18.497
15.83933	10.442	18.868	17.899	11.583	7.814	9.127	6.601	17.616	10.158	18.095	11.478	15.552	7.149	6.434	6.3870000000000005	17.31	8.586	19.736	16.71	11.026	7.081	8.167	6.51	18.222
16.00606	10.61	18.34	18.24	12.795	7.462000000000001	9.615	6.7410000000000005	17.783	9.862	18.494	11.386	16.561	7.609	6.777	6.325	17.738	9.015	19.787	16.500999999999998	11.455	7.337999999999999	8.192	6.766	17.694000000000003
16.17274	10.655999999999999	18.273	17.332	12.491	7.822	10.151	6.667999999999999	17.777	10.489	18.514	10.764000000000001	15.39	7.331	7.169	6.511	18.019000000000002	8.712	18.996	16.896	11.355	7.292000000000001	7.915	6.867000000000001	17.104
16.33941	10.338	18.877	17.590999999999998	12.030999999999999	7.744	9.635	6.732	18.433	10.632	18.365	11.174000000000001	16.23	7.34	6.882999999999999	6.664	17.87	9.092	19.31	17.271	11.706	7.271	8.357000000000001	7.394	18.55
16.50619	10.332	18.840999999999998	18.105999999999998	12.258	7.971	9.717	6.814	16.688	10.539000000000001	18.213	11.892000000000001	15.298	7.481	7.138999999999999	6.399	16.994	10.013	18.58	16.945999999999998	11.932	7.441	8.613	6.869	18.37
16.67281	10.732000000000001	17.627	18.162	12.767999999999999	7.8629999999999995	10.107000000000001	6.942	17.336	10.565999999999999	18.679000000000002	11.243	15.089	7.518	7.242000000000001	6.611000000000001	17.866	9.742	18.493	15.203	12.008	7.624	8.711	7.082999999999999	17.384
16.8395	10.517000000000001	19.272000000000002	16.962	12.261	7.497000000000001	9.222000000000001	7.478	16.836	10.585	18.524	10.997	15.540999999999999	7.385	7.17	7.32	17.334	9.99	18.397000000000002	16.323	11.82	7.492000000000001	8.666	7.01	17.403
17.00618	11.173	17.894000000000002	18.11	13.005	8.012	9.561	7.497999999999999	17.459	11.443	18.714000000000002	11.683	15.82	7.4639999999999995	7.421	7.195	17.93	9.341000000000001	18.413	15.382	12.187000000000001	7.367000000000001	8.919	7.233	18.232
17.17279	10.993	18.033	17.292	13.783	7.95	9.904	7.232	17.104	11.349	18.882	11.852	16.452	7.547000000000001	7.938	7.278	17.75	9.626	19.19	16.334	12.414000000000001	7.479	8.392000000000001	7.141	17.616
17.33955	11.585999999999999	18.340999999999998	17.393	12.687999999999999	8.065	9.618	7.352	17.418	11.22	17.708	11.335999999999999	15.187000000000001	7.6339999999999995	7.218999999999999	7.483	18.145	10.475999999999999	18.625999999999998	15.475	12.915999999999999	7.48	8.771	7.4639999999999995	17.922
17.50611	11.638	18.363	16.951	12.595999999999998	7.8	9.759	7.667000000000001	17.875	11.300999999999998	18.37	11.940999999999999	15.849	7.223	7.737	7.421	16.367	11.022	18.881	16.079	12.707	7.504	9.027999999999999	6.907	17.567
