	MG1655-1	IBUA8-3_1	IBUA8-3_ilvH-revert-1	pykF-1	ilvH-1	pykF_ilvH-1	glyQ-1	pykF_glyQ-1	MG1655-2	IBUA8-3_2	IBUA8-3_ilvH-revert-2	pykF-2	ilvH-2	pykF_ilvH-2	glyQ-2	pykF_glyQ-2	MG1655-3	IBUA8-3_3	IBUA8-3_ilvH-revert-3	pykF-3	ilvH-3	pykF_ilvH-3	glyQ-3	pykF_glyQ-3	ilvH_glyQ-1	pykF_ilvH_glyQ-1	ilvH_glyQ-2	pykF_ilvH_glyQ-2	ilvH_glyQ-3	pykF_ilvH_glyQ-3
9.17257	0.218	3.113	3.6719999999999997	0.282	0.287	0.43799999999999994	0.344	1.579	0.33	4.615	3.577	0.389	0.332	0.483	0.44799999999999995	1.57	0.5720000000000001	2.872	3.609	0.6409999999999999	0.6409999999999999	0.628	0.508	1.479	0.43	1.569	0.35200000000000004	1.6869999999999998	0.218	2.187
9.33924	0.23	3.3110000000000004	4.033	0.361	0.20800000000000002	0.358	0.265	1.557	0.375	4.94	3.84	0.435	0.315	0.5589999999999999	0.526	1.614	0.581	3.07	3.965	0.71	0.49200000000000005	0.607	0.424	1.521	0.408	1.64	0.33299999999999996	1.761	0.10400000000000001	2.261
9.50593	0.128	3.725	4.4110000000000005	0.319	0.228	0.474	0.444	1.713	0.39799999999999996	5.132000000000001	4.03	0.45799999999999996	0.336	0.679	0.42100000000000004	1.735	0.515	3.5469999999999997	4.667	0.617	0.52	0.603	0.514	1.645	0.436	1.831	0.452	1.98	0.128	2.385
9.67268	0.23	4.073	4.573	0.361	0.271	0.42200000000000004	0.233	1.7480000000000002	0.40700000000000003	5.226	4.476	0.562	0.28300000000000003	0.75	0.39899999999999997	1.646	0.645	3.833	4.7589999999999995	0.679	0.523	0.48	0.424	1.521	0.344	1.735	0.365	2.11	0.168	2.642
9.83924	0.24100000000000002	4.438	5.063	0.307	0.28	0.526	0.337	1.6969999999999998	0.226	5.622000000000001	4.744	0.54	0.22899999999999998	0.665	0.409	1.8159999999999998	0.467	4.1339999999999995	4.584	0.63	0.6	0.619	0.40399999999999997	1.756	0.35700000000000004	1.8130000000000002	0.344	1.964	0.17800000000000002	2.8139999999999996
10.00598	0.31	4.51	5.037	0.375	0.221	0.435	0.342	1.8619999999999999	0.327	6.297999999999999	4.8469999999999995	0.48200000000000004	0.39299999999999996	0.607	0.509	1.8530000000000002	0.569	4.364	4.814	0.733	0.447	0.593	0.537	1.6669999999999998	0.42700000000000005	1.916	0.285	2.066	0.12	3.043
10.17264	0.105	5.221	5.275	0.395	0.115	0.456	0.235	1.91	0.314	6.5	5.21	0.628	0.318	0.657	0.401	1.966	0.457	4.822	4.89	0.7140000000000001	0.431	0.61	0.395	1.8419999999999999	0.41100000000000003	2.088	0.08199999999999999	2.399	0.17	3.281
10.33932	0.145	5.9479999999999995	5.322	0.428	0.24100000000000002	0.48700000000000004	0.298	2.0180000000000002	0.318	6.843999999999999	5.2620000000000005	0.57	0.414	0.7909999999999999	0.532	2.07	0.503	5.226	4.914	0.83	0.475	0.716	0.46799999999999997	2.046	0.392	2.1719999999999997	0.27699999999999997	2.35	0.207	3.3280000000000003
10.50601	0.114	6.028	5.444	0.466	0.217	0.59	0.337	2.301	0.385	7.371	5.412000000000001	0.6679999999999999	0.38799999999999996	0.7609999999999999	0.441	2.325	0.499	5.501	5.093	0.725	0.409	0.619	0.40399999999999997	2.01	0.42100000000000004	2.322	0.28	2.505	0.17800000000000002	3.7680000000000002
10.67262	0.249	6.422999999999999	5.486000000000001	0.473	0.287	0.5329999999999999	0.217	2.311	0.33	7.957000000000001	5.487	0.644	0.395	0.705	0.44799999999999995	2.334	0.6679999999999999	6.15	4.882	0.8320000000000001	0.418	0.628	0.54	2.211	0.462	2.492	0.256	2.61	0.122	3.906
10.83937	0.255	7.513999999999999	5.461	0.478	0.196	0.474	0.349	2.4130000000000003	0.39799999999999996	8.156	5.43	0.6809999999999999	0.336	0.679	0.45299999999999996	2.562	0.515	6.667000000000001	5.0169999999999995	0.84	0.52	0.73	0.514	2.25	0.436	2.595	0.198	2.935	0.0	4.072
11.00603	0.2	7.432	5.567	0.485	0.203	0.385	0.26	2.614	0.247	8.775	5.505	0.657	0.34299999999999997	0.7190000000000001	0.46	2.539	0.429	7.1579999999999995	5.093	0.755	0.529	0.7390000000000001	0.45899999999999996	2.5140000000000002	0.382	2.798	0.365	3.009	0.327	4.465
