	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_nagC_ptsP-1	proV_ptsP_wbbK-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_nagC_ptsP-2	proV_ptsP_wbbK-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_nagC_ptsP-3	proV_ptsP_wbbK-3
3.33855	0.24600000000000002	0.21	0.644	0.374	0.6559999999999999	0.6679999999999999	0.629	0.8959999999999999	0.903	0.953	1.018	0.787	1.0959999999999999	0.6709999999999999	0.772	1.129	1.203	1.091	0.946	0.503	0.852	0.69	0.635	1.026	0.536	0.695	0.54	0.46	0.861	0.457	0.677	0.904	0.66	0.912	0.664	0.593	0.914	0.555	0.677
3.50523	0.259	0.135	0.7559999999999999	0.318	0.518	0.78	0.575	0.7559999999999999	1.025	1.013	0.9640000000000001	0.591	1.07	0.755	0.802	1.19	1.157	0.8859999999999999	0.8959999999999999	0.449	0.8540000000000001	0.665	0.638	1.0070000000000001	0.575	0.703	0.5720000000000001	0.52	0.813	0.435	0.737	0.794	0.718	0.802	0.638	0.653	0.804	0.501	0.737
3.67188	0.401	0.282	0.748	0.42100000000000004	0.564	0.66	0.537	0.8029999999999999	1.0590000000000002	1.0270000000000001	0.953	0.639	1.087	0.774	0.7909999999999999	1.2309999999999999	1.1079999999999999	0.9940000000000001	0.935	0.494	0.899	0.877	0.71	1.015	0.551	0.768	0.531	0.534	0.905	0.53	0.7509999999999999	0.812	0.679	0.9309999999999999	0.7390000000000001	0.612	0.932	0.546	0.779
3.83844	0.581	0.349	0.672	0.43	0.7120000000000001	0.8079999999999999	0.713	0.784	0.903	0.953	0.934	0.647	0.873	0.782	0.716	1.129	1.12	1.091	0.89	0.419	0.8240000000000001	0.718	0.691	0.887	0.48	0.7509999999999999	0.54	0.5710000000000001	0.7490000000000001	0.485	0.677	0.765	0.7440000000000001	0.7440000000000001	0.6920000000000001	0.677	0.914	0.499	0.705
4.00513	0.247	0.20800000000000002	0.664	0.478	0.593	0.743	0.65	0.748	1.07	1.0590000000000002	0.983	0.667	1.033	0.858	0.8759999999999999	1.264	1.146	1.2919999999999998	1.081	0.552	0.845	0.907	0.74	0.996	0.591	0.804	0.562	0.5660000000000001	0.8859999999999999	0.565	0.6990000000000001	0.925	0.625	0.877	0.769	0.895	0.795	0.52	0.727
4.17184	0.039	0.364	0.684	0.35700000000000004	0.7240000000000001	0.847	0.557	0.795	1.058	1.0490000000000002	0.89	0.742	1.052	0.738	0.812	1.254	1.079	1.194	0.9590000000000001	0.5429999999999999	0.836	0.7020000000000001	0.647	0.9570000000000001	0.635	0.765	0.609	0.584	0.9309999999999999	0.5539999999999999	0.773	0.8320000000000001	0.867	0.9520000000000001	0.7040000000000001	0.634	0.87	0.511	0.774
4.33852	0.193	0.327	0.655	0.413	0.722	0.6509999999999999	0.584	0.767	0.9640000000000001	1.045	1.0	0.546	0.995	0.738	0.8370000000000001	1.137	1.125	0.98	0.925	0.568	0.9179999999999999	0.9229999999999999	0.6729999999999999	1.004	0.679	0.757	0.605	0.608	0.8390000000000001	0.52	0.6859999999999999	0.9420000000000001	0.642	0.894	0.73	0.6859999999999999	0.895	0.621	0.6579999999999999
4.50522	0.214	0.14800000000000002	0.605	0.391	0.674	0.741	0.563	0.8009999999999999	1.01	0.972	0.98	0.636	1.114	0.743	0.706	1.093	1.254	1.203	0.9940000000000001	0.465	0.9259999999999999	0.736	0.905	1.0759999999999998	0.6709999999999999	0.884	0.5589999999999999	0.507	0.882	0.589	0.7240000000000001	0.978	0.762	0.93	0.682	0.64	0.8759999999999999	0.573	0.7240000000000001
4.67197	0.325	0.262	0.725	0.34299999999999997	0.653	0.721	0.794	0.809	0.983	1.061	1.043	0.616	1.037	0.752	0.713	1.237	1.199	1.003	0.8859999999999999	0.444	0.821	0.687	0.688	0.9670000000000001	0.532	0.747	0.621	0.54	0.941	0.537	0.674	0.9009999999999999	0.685	0.825	0.773	0.7020000000000001	0.9940000000000001	0.72	0.674
4.83851	0.247	0.32	0.6920000000000001	0.39399999999999996	0.677	0.687	0.622	0.748	1.0979999999999999	0.919	0.983	0.583	1.145	0.662	0.737	1.236	1.1740000000000002	1.04	0.9690000000000001	0.384	0.873	0.711	0.629	1.052	0.647	0.804	0.6459999999999999	0.51	0.858	0.593	0.6990000000000001	0.841	0.6809999999999999	0.8490000000000001	0.629	0.6990000000000001	0.879	0.52	0.6990000000000001
