	MG1655-1	BUT1-2_1	BUT3-6_1	BUT7-7_1	BUT9-7_1	marC-1	rob-1	yobF-1	MG1655-2	BUT1-2_2	BUT3-6_2	BUT7-7_2	BUT9-7_2	marC-2	rob-2	yobF-2	MG1655-3	BUT1-2_3	BUT3-6_3	BUT7-7_3	BUT9-7_3	marC-3	rob-3	yobF-3	cspC-1	marC_rob-1	marC_yobF-1	rob_yobF-1	marC_rob_yobF-1	marC_rob_mppA-1	marC_rob_mppA_yobF-1	ypjA_mprA_nadR_yhjK-1	cspC-2	marC_rob-2	marC_yobF-2	rob_yobF-2	marC_rob_yobF-2	marC_rob_mppA-2	marC_rob_mppA_yobF-2	ypjA_mprA_nadR_yhjK-2	cspC-3	marC_rob-3	marC_yobF-3	rob_yobF-3	marC_rob_yobF-3	marC_rob_mppA-3	marC_rob_mppA_yobF-3	ypjA_mprA_nadR_yhjK-3
5.33835	0.085	0.145	0.209	0.157	0.192	0.18899999999999997	0.209	0.318	0.436	0.486	0.47600000000000003	0.452	0.693	0.5670000000000001	0.654	0.44299999999999995	0.402	0.545	0.53	0.444	0.6859999999999999	0.501	0.5539999999999999	0.452	0.34	0.457	0.475	0.451	0.7509999999999999	0.83	0.78	0.193	0.27699999999999997	0.579	0.698	0.5770000000000001	0.47	0.8109999999999999	0.902	0.21100000000000002	0.515	0.47100000000000003	0.20600000000000002	0.23600000000000002	0.58	0.7559999999999999	0.669	1.024
5.50501	0.02	0.163	0.366	0.28600000000000003	0.349	0.264	0.201	0.33799999999999997	0.4	0.506	0.55	0.44299999999999995	0.684	0.53	0.591	0.49	0.475	0.509	0.521	0.491	0.65	0.521	0.655	0.444	0.32899999999999996	0.474	0.466	0.387	0.742	0.8220000000000001	0.8809999999999999	0.349	0.23800000000000002	0.541	0.772	0.569	0.517	0.748	0.838	0.258	0.424	0.406	0.252	0.145	0.654	0.774	0.605	1.5659999999999998
5.67183	0.182	0.38	0.363	0.146	0.319	0.289	0.281	0.418	0.48	0.503	0.7120000000000001	0.44	0.736	0.61	0.643	0.488	0.307	0.589	0.573	0.433	0.674	0.519	0.652	0.524	0.408	0.44299999999999995	0.435	0.384	0.904	0.8190000000000001	0.9329999999999999	0.23600000000000002	0.316	0.48200000000000004	0.659	0.428	0.514	0.8	0.8079999999999999	0.2	0.256	0.40299999999999997	0.249	0.22399999999999998	0.733	0.8540000000000001	0.575	0.929
5.83855	0.106	0.166	0.258	0.37200000000000005	0.324	0.267	0.28600000000000003	0.396	0.431	0.564	0.608	0.474	0.604	0.644	0.649	0.41	0.368	0.594	0.579	0.521	0.763	0.579	0.575	0.584	0.47	0.478	0.551	0.527	0.993	0.99	1.022	0.27	0.242	0.544	0.6920000000000001	0.516	0.547	0.971	0.924	0.28800000000000003	0.42700000000000005	0.575	0.337	0.23	0.8490000000000001	0.915	0.608	0.9620000000000001
6.00515	0.185	0.301	0.2	0.28600000000000003	0.40399999999999997	0.264	0.256	0.39299999999999996	0.4	0.506	0.605	0.526	0.7390000000000001	0.64	0.6459999999999999	0.49	0.365	0.619	0.5760000000000001	0.491	0.732	0.5760000000000001	0.573	0.444	0.384	0.529	0.521	0.469	0.935	0.987	1.047	0.239	0.23800000000000002	0.541	0.8540000000000001	0.513	0.517	0.83	1.004	0.28600000000000003	0.424	0.461	0.252	0.2	0.654	0.8290000000000001	0.66	1.262
6.1718	0.228	0.203	0.377	0.185	0.525	0.298	0.235	0.37200000000000005	0.519	0.624	0.643	0.565	0.778	0.653	0.599	0.523	0.405	0.655	0.67	0.528	0.769	0.527	0.693	0.5329999999999999	0.37799999999999995	0.519	0.67	0.508	0.9740000000000001	0.943	1.087	0.306	0.235	0.588	0.784	0.523	0.555	0.9209999999999999	1.013	0.155	0.515	0.449	0.29100000000000004	0.239	0.857	0.897	0.644	0.9159999999999999
6.33851	0.226	0.313	0.295	0.132	0.41600000000000004	0.21899999999999997	0.377	0.40299999999999997	0.439	0.517	0.617	0.4	0.696	0.625	0.574	0.5	0.43200000000000005	0.603	0.643	0.53	0.8540000000000001	0.614	0.639	0.45399999999999996	0.344	0.488	0.56	0.48100000000000004	0.8640000000000001	0.9990000000000001	0.9490000000000001	0.27899999999999997	0.19899999999999998	0.5	0.7559999999999999	0.525	0.473	0.9790000000000001	1.0979999999999999	0.10300000000000001	0.40700000000000003	0.585	0.209	0.212	0.775	1.0070000000000001	0.755	0.889
6.50508	0.0	0.22699999999999998	0.402	0.187	0.387	0.331	0.24	0.322	0.494	0.545	0.669	0.425	0.7490000000000001	0.539	0.657	0.42	0.402	0.602	0.6679999999999999	0.501	0.7979999999999999	0.479	0.72	0.6759999999999999	0.306	0.618	0.613	0.506	0.889	1.189	1.056	0.248	0.24100000000000002	0.6559999999999999	0.836	0.551	0.61	0.9520000000000001	1.207	0.35200000000000004	0.408	0.469	0.261	0.34700000000000003	0.8290000000000001	0.976	0.835	0.831
6.67192	0.171	0.478	0.37799999999999995	0.242	0.361	0.302	0.294	0.431	0.439	0.682	0.644	0.455	0.7509999999999999	0.653	0.602	0.5	0.377	0.63	0.726	0.53	0.826	0.531	0.639	0.45399999999999996	0.344	0.653	0.5329999999999999	0.536	1.002	0.9990000000000001	1.087	0.251	0.254	0.555	0.922	0.69	0.639	1.062	1.18	0.214	0.435	0.557	0.264	0.239	0.831	1.09	0.838	1.0270000000000001
6.83857	0.268	0.32799999999999996	0.503	0.204	0.40399999999999997	0.34700000000000003	0.256	0.39299999999999996	0.428	0.589	0.715	0.44299999999999995	0.767	0.696	0.6459999999999999	0.49	0.42	0.7020000000000001	0.7140000000000001	0.573	0.897	0.494	0.573	0.499	0.384	0.612	0.5479999999999999	0.469	1.1	1.042	1.212	0.184	0.183	0.6779999999999999	0.992	0.679	0.627	1.133	1.334	0.203	0.341	0.5720000000000001	0.19699999999999998	0.392	0.929	1.077	0.9079999999999999	0.794
