	MG1655-1	sspA-1	rph-1	MG1655-2	sspA-2	rph-2	MG1655-3	sspA-3	rph-3
3.83882	0.8220000000000001	1.319	1.626	0.9570000000000001	1.248	1.6640000000000001	1.101	0.997	0.846
4.00535	0.925	1.489	1.6909999999999998	1.097	1.3230000000000002	1.5819999999999999	0.897	1.073	0.767
4.17211	1.097	1.564	1.837	1.109	1.304	1.7830000000000001	1.159	0.991	0.9670000000000001
4.33884	0.9520000000000001	1.605	1.757	1.117	1.4080000000000001	1.7930000000000001	1.072	0.968	0.8809999999999999
4.50544	1.1640000000000001	1.719	1.755	1.135	1.5530000000000002	2.001	1.214	1.175	0.961
4.67216	1.156	1.901	1.84	1.444	1.736	2.246	1.272	1.295	1.1440000000000001
4.8388	1.345	1.964	2.061	1.413	1.61	2.1830000000000003	1.3030000000000002	1.295	1.238
5.00554	1.369	2.079	2.248	1.43	1.755	2.3609999999999998	1.54	1.5030000000000001	1.256
5.17224	1.558	2.205	2.28	1.62	1.819	2.55	1.54	1.3130000000000002	1.351
5.33886	1.5390000000000001	2.373	2.39	1.5659999999999998	1.955	2.781	1.642	1.607	1.265
5.50559	1.761	2.4	2.526	1.7480000000000002	2.171	2.8080000000000003	1.949	1.631	1.541
5.67228	1.74	2.6039999999999996	2.468	1.827	2.217	2.9810000000000003	2.03	1.584	1.621
5.8389	1.78	2.7060000000000004	2.51	1.9280000000000002	2.319	3.272	2.162	1.78	1.564
6.00551	1.963	2.9160000000000004	2.7939999999999996	1.979	2.4659999999999997	3.451	1.989	1.926	1.74
6.17228	1.926	3.043	2.969	2.2030000000000003	2.53	3.3560000000000003	2.2159999999999997	1.8969999999999998	1.839
6.33891	2.069	3.341	2.958	2.311	2.702	3.655	2.354	2.1630000000000003	1.9140000000000001
6.50557	2.457	3.38	3.253	2.349	2.835	4.01	2.55	2.201	2.3
6.67225	2.52	3.665	3.411	2.602	2.835	4.105	2.613	2.359	2.0469999999999997
6.83908	2.6510000000000002	3.637	3.48	2.51	3.218	4.204	2.742	2.489	2.303
7.0057	2.735	3.75	3.633	2.812	3.3310000000000004	4.539	3.042	2.474	2.4459999999999997
7.17243	2.645	3.9760000000000004	3.734	2.752	3.4930000000000003	4.353	2.95	2.572	2.449
7.33899	3.0060000000000002	4.05	3.94	2.952	3.6	4.459	3.213	2.519	2.459
7.50574	3.252	4.206	3.955	3.112	3.661	4.773	3.312	2.647	2.588
7.67247	3.495	4.474	4.115	3.1519999999999997	3.833	5.042	3.444	2.782	2.722
7.8392	3.35	4.459	4.569	3.3289999999999997	3.9760000000000004	5.121	3.495	2.864	2.8989999999999996
8.00574	3.3960000000000004	4.5969999999999995	4.776	3.4339999999999997	4.273	5.417999999999999	3.536	2.938	2.909
8.17242	3.654	4.664	4.623	3.5010000000000003	3.833	5.295	3.698	3.036	3.0389999999999997
8.33914	3.967	4.72	4.9110000000000005	3.617	4.332	5.415	3.8760000000000003	3.057	3.123
8.5058	4.062	5.167999999999999	4.998	3.593	4.21	5.577000000000001	3.79	3.128	3.1310000000000002
8.67251	4.085	5.156000000000001	4.995	3.8960000000000004	4.292	5.502000000000001	3.997	2.955	3.307
8.83924	4.381	5.033	5.428999999999999	3.928	4.423	5.856	4.09	2.986	3.465
9.00586	4.285	5.033	5.651	4.056	4.423	5.761	4.217	3.177	3.528
9.17257	4.604	5.033	5.556	4.247	4.518	5.729	3.93	3.3680000000000003	3.3689999999999998
9.33924	4.6339999999999995	5.164	5.515	4.221	4.427	5.6370000000000005	4.067	3.343	3.4410000000000003
9.50593	4.486000000000001	5.327999999999999	5.822	4.2219999999999995	4.558	5.737	4.287	3.279	3.472
9.67268	4.57	5.196000000000001	5.769	4.221	4.713	5.796	4.067	3.565	3.727
9.83924	4.748	5.593999999999999	5.983	4.14	4.729	5.9079999999999995	4.175	3.452	3.645
10.00598	4.663	5.57	5.932	4.338	4.896	6.011	4.277	3.555	3.557
10.17264	4.671	5.6770000000000005	5.997000000000001	4.32	5.099	5.9270000000000005	4.102	3.6319999999999997	3.635
10.33932	4.992	5.99	5.794	4.563	5.251	6.176	4.593999999999999	3.81	3.9389999999999996
10.50601	4.939	6.135	6.079	4.426	5.461	6.289	4.398	3.8339999999999996	4.09
10.67262	4.89	6.466	6.129	4.533	5.6	6.428999999999999	4.694	3.972	4.038
10.83937	5.059	7.015	6.3	4.732	5.8629999999999995	6.597	4.765	4.33	4.204
11.00603	5.105	7.156000000000001	6.318	4.647	6.162999999999999	6.992000000000001	4.775	4.437	4.119
11.1728	5.216	7.5520000000000005	6.336	4.659	6.399	7.132999999999999	4.977	4.638999999999999	4.226
11.33948	5.316	8.067	6.47	4.822	6.754	7.711	5.0760000000000005	4.93	4.803
11.50606	5.471	8.605	6.846	5.2010000000000005	7.228	7.771	5.296	5.149	4.8
11.67288	5.747999999999999	8.914	6.77	5.287999999999999	7.729	8.367	5.894	5.46	4.888
11.83942	5.934	9.387	7.051	5.507000000000001	8.074	8.617	5.922000000000001	5.647	5.266
12.00624	6.2410000000000005	9.662	7.0760000000000005	5.619	8.38	9.051	6.224	5.8870000000000005	5.154
12.17286	6.369	10.267999999999999	7.522	5.778	9.05	9.721	6.415	6.461	5.569
12.33957	6.767	10.73	7.765	6.077999999999999	9.544	10.277999999999999	6.81	6.632999999999999	5.772
12.50624	7.182	11.431	8.204	6.499	9.832	10.853	7.169	7.117000000000001	5.939
12.67291	7.382999999999999	11.982000000000001	8.465	6.6739999999999995	10.353	10.927	7.535	7.545	6.273
12.8396	7.5	12.674000000000001	8.746	7.0089999999999995	10.979000000000001	11.425999999999998	7.36	7.595	6.513
13.00626	8.282	12.946	9.212	7.405	11.282	11.985	8.105	7.96	6.9079999999999995
13.17305	8.725	13.55	9.885	7.682	11.981	12.523	8.286	8.621	7.2170000000000005
13.33966	8.922	13.876	10.211	8.198	12.369000000000002	13.390999999999998	8.674	8.435	7.827999999999999
13.5063	9.812999999999999	14.540999999999999	10.456	8.552999999999999	12.718	13.610999999999999	8.839	8.821	7.928999999999999
13.67306	10.207	14.713	11.044	9.041	12.921	13.942	9.071	9.213	8.001
13.83976	10.649000000000001	15.09	11.448	9.554	13.331	14.384	9.777000000000001	9.63	8.484
14.00636	10.710999999999999	15.632	11.84	9.89	13.775	14.796	9.951	9.776	8.977
14.17311	11.637	15.857000000000001	12.681	10.228	13.932	15.050999999999998	10.446	10.146	9.025
14.33971	12.04	16.227	12.948	10.704	14.175999999999998	15.485999999999999	10.796	10.462	9.503
14.50649	12.321	16.188	13.036	10.955	14.458	15.607999999999999	10.982999999999999	10.617	10.041
14.67316	12.710999999999999	16.419	13.779000000000002	10.992	14.495999999999999	16.477	11.052	10.845999999999998	10.43
14.83978	13.299000000000001	16.688	13.985999999999999	11.482000000000001	14.892000000000001	15.979000000000001	11.445	10.92	10.44
15.00655	13.37	17.11	14.41	12.127	15.25	16.497	11.578	11.405	10.732999999999999
15.17317	14.02	16.959	15.034	12.064	15.033	16.697	11.993	11.565999999999999	10.956
15.3398	14.379000000000001	17.414	15.267000000000001	12.454	15.392000000000001	17.12	11.902000000000001	11.059000000000001	11.345999999999998
15.50649	14.632	17.476	15.578	13.13	15.743	17.342	12.515999999999998	11.704	11.319
15.67321	15.023	18.123	15.874	13.135	15.942	17.637	12.489	11.837	11.708
15.83987	14.859000000000002	18.407	16.132	13.319	16.0	17.76	12.542	12.148	12.082
16.00666	15.394	18.365	16.702	13.849	16.277	17.974	12.719000000000001	12.261	12.099
16.17334	15.429	18.528	16.796	13.985	16.986	18.234	13.306	12.238	12.460999999999999
16.33998	15.875	19.006	16.637999999999998	14.009	16.95	18.647000000000002	13.296	12.613	12.675999999999998
16.50674	16.089000000000002	19.124000000000002	17.048	13.867	17.259	18.283	13.536	12.630999999999998	12.404000000000002
16.67328	16.399	19.563	17.25	14.544	17.766	18.533	13.353	12.797	12.764000000000001
16.83991	16.329	19.748	17.643	14.809000000000001	17.915	18.522000000000002	14.029000000000002	13.315999999999999	13.217
17.00663	16.325	19.745	17.436	14.626	17.947	18.522000000000002	13.882	13.167	13.262
17.17341	16.845	19.977	17.605	15.144	18.146	19.234	14.689	13.557	13.524000000000001
17.34003	16.861	19.96	18.070999999999998	15.702	18.257	19.313	14.187000000000001	13.922	13.343
17.50682	17.048	20.468	17.928	15.293	18.608	19.055	14.232000000000001	13.963	13.867
17.67336	17.021	20.184	18.262999999999998	15.925999999999998	18.737000000000002	19.055999999999997	14.732000000000001	14.114	14.08
17.84009	17.757	19.926	18.491	16.016	19.087	19.180999999999997	14.948	14.459000000000001	14.296
18.00665	18.087	20.45	18.365	16.163	19.42	19.227	15.355	14.512	14.479000000000001
18.17341	17.901	20.517	18.738	16.472	19.099	19.225	15.368	14.785	14.460999999999999
18.34015	18.239	20.182000000000002	18.908	16.305	19.375999999999998	19.085	15.589	14.812000000000001	14.81
18.50681	18.125999999999998	19.909000000000002	18.991	16.799	19.455	19.292	15.985999999999999	15.562000000000001	15.302999999999999
18.67345	18.736	20.198	19.119	16.605999999999998	19.391	19.645	16.019000000000002	15.466	14.982000000000001
18.84016	18.816	20.182000000000002	19.197	16.977999999999998	19.28	19.534000000000002	15.620999999999999	15.838	15.58
19.00684	18.672	20.164	19.702	17.339000000000002	19.292	19.578	16.589000000000002	16.102	15.617
19.17349	19.097	19.82	19.225	17.127	19.366	19.267	16.281	15.697000000000001	15.695
19.34024	18.953	20.253	19.339000000000002	17.397000000000002	19.67	19.892	16.84	16.385	16.157
19.5069	19.017	19.964000000000002	19.596	17.814	19.51	19.667	16.326	16.449	15.868
19.67366	19.218	20.357	19.123	17.404	19.324	19.032	17.070999999999998	16.745	16.163
19.84021	19.137999999999998	19.761	19.045	17.739	19.05	19.143	16.891	16.854	16.209
20.00694	19.025	19.971	19.348	17.115	19.292	19.386	17.167	16.937	16.645
20.17376	19.113	19.771	19.339000000000002	17.236	19.285	19.410999999999998	16.679000000000002	16.77	16.703
20.34035	19.234	19.793	19.430999999999997	17.707	19.211	19.304000000000002	16.987000000000002	17.272000000000002	16.498
20.50704	19.396	20.081	19.468	17.38	19.176	19.237000000000002	16.98	17.171	16.942
20.67375	19.195	19.687	19.555	17.952	19.072	19.326	16.878	17.293	16.935
20.84038	18.713	20.102999999999998	19.334	17.98	19.456	19.581	17.225	16.837	16.994
21.0071	18.809	20.039	19.141	17.948	18.909000000000002	19.484	17.289	17.288	17.155
21.17374	19.026	19.838	18.907	17.844	19.577	19.573	17.572	17.378	16.988
21.34034	18.834	19.965	19.233	17.421	19.51	19.474	17.244	16.954	17.079
21.50713	18.695999999999998	20.058	19.151	17.81	19.25	19.311	16.961	17.15	16.826
21.67369	18.648	20.039	19.206	17.465	19.198	19.548	17.320999999999998	17.127	17.090999999999998
21.84052	18.52	19.942	19.399	17.755	19.391	19.935	18.062	17.384	17.348
22.00715	18.979	19.817	19.223	18.01	19.426	19.454	17.444000000000003	17.479	17.312
22.17386	18.56	19.658	19.187	17.596	19.397000000000002	19.585	17.128	17.451	17.124000000000002
22.34053	18.93	19.772000000000002	19.169	17.227999999999998	19.51	19.313	17.437	17.147000000000002	17.208
22.50717	18.745	19.749000000000002	18.948	17.304000000000002	19.262999999999998	19.452	16.839000000000002	17.32	17.252
22.67381	18.93	20.352	19.362000000000002	17.518	19.317	19.764	17.212	17.212	17.401
22.8406	18.721	19.914	19.127	17.365	19.555	19.26	17.25	17.156	16.925
23.00718	18.761	20.052	19.003	17.699	19.243	19.238	17.36	17.136	17.131
23.17398	18.399	19.948	19.155	17.692	19.687	19.328	17.45	17.258	17.092
23.34065	18.89	20.052	19.357	17.409000000000002	19.726	19.593	16.875999999999998	17.264	16.647000000000002
23.50724	18.471	19.958	18.965999999999998	17.221	19.503	19.499000000000002	17.721	17.14	16.910999999999998
23.67394	18.617	20.1	18.924	17.616	19.805999999999997	19.543	17.083	17.278	17.112000000000002
23.84068	18.584	20.1	19.182000000000002	17.229	19.645	19.511	17.373	16.988	17.144000000000002
24.00731	18.697	20.179000000000002	19.039	17.469	20.015	19.461	17.354	17.26	17.255
24.17416	18.463	19.884	19.058	17.209	19.525	19.424	17.320999999999998	16.968	17.028
24.34071	18.907	20.261	19.505	17.261	20.032	19.608	17.179000000000002	17.052	16.951
24.50753	18.31	20.085	19.099	17.215999999999998	19.726	19.69	17.167	17.136	16.938
24.67415	18.617	20.648000000000003	19.375999999999998	17.229	19.838	19.414	17.083	17.149	17.209
24.84077	18.430999999999997	20.396	19.26	17.198	19.844	19.645	17.018	16.925	17.146
25.00753	18.528	19.977999999999998	19.191	17.429000000000002	19.749000000000002	19.551	17.186	17.253	17.022000000000002
25.17413	18.246	19.986	19.007	17.34	19.820999999999998	19.364	17.289	17.26	17.125999999999998
25.34072	18.35	19.959	19.246	17.374000000000002	19.762	19.789	17.677	17.229	17.191
25.50751	18.819000000000003	20.069000000000003	19.237000000000002	17.35	19.937	19.413	17.457	17.659000000000002	17.394000000000002
25.67418	18.407	20.271	19.343	17.259	19.945	19.518	17.237000000000002	17.439	17.4
25.84087	18.423	20.518	19.219	17.095	20.03	19.347	17.108	17.305999999999997	17.462
26.00747	18.48	20.539	19.412	17.401	19.825	19.625	17.412	17.224	17.671
26.17427	18.859	20.564	18.886	17.329	20.173	19.779	17.147000000000002	17.153	17.858
26.34094	18.576	20.410999999999998	19.182000000000002	17.567	20.375999999999998	19.789	17.483	17.391	18.064
26.50753	18.706	20.442	19.218	17.433	20.019000000000002	19.593	17.605999999999998	17.645	18.253
26.67427	18.746	20.71	19.159000000000002	17.671	20.448	19.699	17.425	17.785	17.941
26.84093	18.625	20.878	19.204	17.447	20.099	19.704	17.651	17.918	17.814
27.00765	18.552	20.516	19.062	17.186	19.802	19.893	17.392	17.624000000000002	18.135
27.17439	18.649	20.71	18.965	17.316	19.964000000000002	19.861	17.392	17.527	17.844
27.34098	18.471	20.758000000000003	19.403	17.329	20.076	20.005	17.438	17.702	18.085
27.50765	18.552	21.098000000000003	19.255	17.703	20.061	19.958	17.392	17.721	17.844
27.67436	18.48	21.087	19.195	17.488	20.275	20.17	17.658	17.668	18.406
27.84103	18.577	21.184	19.098	17.747	19.983	20.041	17.464000000000002	17.863	18.212
28.00773	18.407	21.272	19.227	17.925	20.426	20.125999999999998	17.542	17.944000000000003	18.358
28.17441	18.439	21.177	19.019000000000002	17.357	20.43	20.133	17.334	17.762999999999998	18.112000000000002
28.34103	18.52	21.548000000000002	19.343	17.647000000000002	20.442	20.336	17.815	17.861	18.47
28.50778	18.31	21.629	19.482	17.282	20.686999999999998	20.160999999999998	17.71	18.078	18.038
28.6745	18.407	21.759	19.32	17.768	20.752	20.258	17.775	17.884	18.33
28.84117	18.48	21.831999999999997	19.297	17.58	20.662	20.266	17.684	17.923	18.37
29.00769	18.682000000000002	21.905	19.463	17.56	21.06	20.372	17.891	17.999000000000002	18.219
29.17449	18.756	22.173000000000002	19.287	17.557000000000002	21.391	20.734	17.561	18.387999999999998	18.412
29.34126	18.407	22.406999999999996	19.417	17.605999999999998	21.368000000000002	20.939	17.58	18.467	18.525
29.5078	18.472	22.245	19.611	17.605999999999998	21.53	21.068	18.002	18.078	18.46
29.67453	18.918	22.561999999999998	19.737000000000002	17.983	21.489	21.254	17.73	18.359	18.838
29.84123	18.756	22.756999999999998	19.872	17.750999999999998	21.781	21.221	17.919	18.323	19.061
30.00785	19.032	22.805999999999997	19.76	17.928	21.634	21.204	18.062	18.304000000000002	19.271
30.17457	18.772000000000002	22.805	19.783	17.71	21.765	21.53	17.976	18.377	19.148
30.34124	18.991	23.122	20.006	17.99	22.178	21.554000000000002	18.093	18.496	19.332
30.50788	19.063	23.16	19.972	18.039	22.38	21.401	18.047	18.543	19.410999999999998
30.67474	18.974	23.266	20.241	18.143	22.486	21.441999999999997	17.859	18.518	19.288
30.84131	19.387999999999998	23.583000000000002	20.464000000000002	18.099	22.543000000000003	21.756999999999998	18.268	18.831	19.407
31.00805	19.257	23.776	20.653000000000002	17.844	22.866	21.499000000000002	18.176	18.996	19.767
31.17463	19.588	24.009	20.397000000000002	18.244	22.744	21.766	18.253	19.007	19.292
31.34129	19.435	24.115	20.407	18.316	22.947	21.904	18.454	19.014	19.396
31.50809	19.541	24.093000000000004	20.649	18.643	23.475	22.041	18.585	19.407	19.497
31.67475	19.614	24.424	20.846999999999998	18.622	23.351999999999997	22.373	18.533	19.32	19.573
31.84147	19.84	24.359	20.846999999999998	18.848	23.644000000000002	22.179000000000002	18.759	19.094	19.378
32.0082	19.914	24.465	21.180999999999997	18.758	23.846999999999998	22.511	18.669	19.393	19.839000000000002
32.17472	20.125	24.644000000000002	21.265	18.935	23.896	22.495	18.845	19.699	19.724
32.34143	20.157	24.741999999999997	21.459	18.838	24.058000000000003	22.787	18.942	19.796	19.984
32.50803	20.289	24.971	21.239	19.158	24.19	22.721999999999998	18.775	19.664	19.916
32.67481	20.354	25.101	21.498	19.093	24.32	22.82	19.456	19.826	20.012999999999998
32.84148	20.256	25.133000000000003	21.498	19.288	24.32	23.209	19.424	19.859	20.176
33.00816	20.636999999999997	25.480999999999998	21.618000000000002	19.248	24.311	23.395	19.157	20.143	20.395
33.17496	20.814	25.464000000000002	21.761	19.364	24.391	23.379	19.403	20.323	20.153
33.34155	20.793000000000003	25.703000000000003	21.745	19.595	24.726999999999997	23.81	19.275	20.458	20.418
33.5084	20.994	25.709	21.878	19.735	24.701	23.59	19.514	20.63	20.655
33.67501	21.156	26.291999999999998	22.201999999999998	19.735	25.057	23.686999999999998	19.611	20.76	20.752
33.84167	21.25	26.355999999999998	21.979	19.722	25.055	23.941	19.563	20.749000000000002	20.935
34.00837	21.430999999999997	26.08	22.15	19.947	25.429000000000002	23.865	19.533	20.679000000000002	21.158
34.17492	21.489	26.496	22.569000000000003	20.067	25.358	24.02	19.91	20.897	21.279
34.34166	21.572	26.709	22.427	20.147000000000002	25.701	24.232	20.022000000000002	21.205	21.392
34.50834	21.684	26.788	22.796	20.164	25.553	24.182	20.137999999999998	21.254	21.538
34.67505	21.721999999999998	27.15	22.572	20.336	25.526	24.480999999999998	19.922	21.328000000000003	21.741999999999997
34.84174	21.914	27.500999999999998	22.888	20.209	25.587	24.738000000000003	20.088	21.232	22.002
35.0084	22.21	27.513	23.136999999999997	20.485	25.853	24.965999999999998	20.39	21.447	22.511
35.17505	22.225	27.526	23.116999999999997	20.761999999999997	25.997	25.209	20.343	21.430999999999997	22.463
35.34178	22.313000000000002	27.971999999999998	23.430999999999997	20.592	26.118000000000002	25.33	20.465999999999998	21.423000000000002	22.162
35.50848	22.351	28.073	23.563000000000002	20.730999999999998	26.383000000000003	25.401	20.704	21.984	22.171
35.67519	22.551	28.304000000000002	23.435	20.708000000000002	26.323	25.439	20.682	21.733	22.115
35.84188	22.651999999999997	28.342	23.671	21.129	26.587	25.799	20.906	21.862	22.439
36.00852	22.898000000000003	28.621	23.691	21.144000000000002	26.67	25.785	20.563000000000002	21.878	22.487
36.17523	22.846999999999998	28.764	24.093000000000004	21.226	26.846	25.962	20.938000000000002	22.186999999999998	22.763
36.34182	23.041999999999998	28.796999999999997	24.093000000000004	21.226	26.944000000000003	26.156	20.809	21.991999999999997	22.861
36.50854	23.088	29.041	24.372	21.362	27.283	26.397	21.138	22.291999999999998	22.901
36.67525	23.423000000000002	29.506	24.285	21.403000000000002	27.195	26.601	21.145	22.43	23.136999999999997
36.84193	23.325	29.729	24.505	21.64	27.519000000000002	26.375	21.191	22.535999999999998	23.372
37.00848	23.432	29.836	24.775	21.518	27.723000000000003	26.741	21.458000000000002	22.381999999999998	23.671999999999997
37.17525	23.752	30.288	24.904	21.834	27.947	26.801	21.578000000000003	22.763	23.925
37.34187	23.59	30.353	25.000999999999998	21.834	28.142	26.866	21.35	22.893	24.217
37.50856	23.785	30.678	25.326	22.029	28.272	27.288	21.48	23.153000000000002	24.476999999999997
37.67531	23.951	30.843000000000004	25.456999999999997	22.005	28.34	27.325	21.75	23.031	24.549
37.84203	24.105999999999998	31.392	25.456	22.053	28.756	27.576	21.535	23.276	24.73
38.00861	24.133000000000003	31.61	25.511	22.215999999999998	28.717	27.669	21.798000000000002	23.275	24.891
38.17537	24.463	31.879	25.910999999999998	22.281	29.048000000000002	27.999000000000002	21.828000000000003	23.471	25.088
38.342	24.622	32.236	26.139	22.37	29.208000000000002	28.093000000000004	21.948	23.659000000000002	25.212
38.50867	24.717	32.422	26.16	22.605999999999998	29.334	28.319000000000003	21.993000000000002	23.535	25.281
38.67549	24.854	32.562	26.529	22.638	29.569000000000003	28.487	22.186	23.634	25.511
38.84205	25.068	32.811	26.649	22.85	29.849	28.701	22.136	23.553	25.625999999999998
39.0088	25.279	32.953	26.625999999999998	22.647	30.221	28.848000000000003	22.455	23.608	25.29
39.17548	25.221	33.246	26.82	22.663	30.160999999999998	28.951999999999998	22.149	23.85	25.497
39.34205	25.364	33.56	27.233	23.118000000000002	30.534000000000002	29.225	22.406	23.95	25.566999999999997
39.50879	25.689	33.82	27.136	23.248	30.697	29.648000000000003	22.406	23.95	25.697
39.67556	25.734	34.188	27.569000000000003	23.296	31.099	29.628	22.39	23.933000000000003	25.94
39.84216	25.949	34.306999999999995	27.689	23.313000000000002	31.281999999999996	29.81	22.568	24.243000000000002	26.315
40.0088	26.085	34.566	27.816	23.361	31.544	30.173000000000002	22.814	23.997	26.002
40.17556	26.224	34.739000000000004	27.761999999999997	23.531	31.846999999999998	30.345	22.756999999999998	24.395	25.913
40.34222	26.546999999999997	35.195	28.186	23.654	32.171	30.603	22.975	24.486	26.2
40.50906	26.709	35.39	28.445999999999998	23.750999999999998	32.431	30.798000000000002	22.845	24.421	26.2
40.67561	26.843000000000004	35.796	28.984	23.965	32.668	30.802	23.054000000000002	24.605	26.484
40.84218	27.063000000000002	35.881	28.938000000000002	24.029	32.918	31.314	22.99	24.57	26.253
41.00898	27.301	36.088	29.014	24.298000000000002	33.091	31.259	22.998	24.774	26.587
41.17564	27.416999999999998	36.406	29.463	24.373	33.243	31.570999999999998	23.166999999999998	24.785	26.73
41.34231	27.736	36.52	29.511999999999997	24.410999999999998	33.655	31.694000000000003	23.275	24.919	27.025
41.50903	27.844	36.922	29.750999999999998	24.485	33.894	31.9	23.185	24.83	26.741
41.67572	28.049	36.934	29.828000000000003	24.624000000000002	34.003	32.106	23.388	25.066999999999997	26.945999999999998
41.84239	28.169	37.41	29.945999999999998	24.973000000000003	34.251999999999995	32.486	23.478	25.156	27.066999999999997
42.00904	28.590999999999998	37.674	30.34	24.999000000000002	34.513000000000005	32.55	23.697	25.345	26.964000000000002
42.17584	28.528000000000002	37.7	30.366	25.272	34.512	32.584	23.714000000000002	25.39	27.299
42.3425	28.819000000000003	38.068000000000005	30.865	25.514	34.905	32.875	23.884	25.502	27.381999999999998
42.50908	29.156	38.174	30.873	25.430999999999997	35.013000000000005	33.016	23.868000000000002	25.581999999999997	27.559
42.6757	29.318	38.373000000000005	31.3	25.653000000000002	35.405	33.244	23.99	25.706	27.489
42.8424	29.307	38.528	31.39	25.834	35.461	33.461	24.104	25.822	27.54
43.00922	29.47	38.687	31.776999999999997	25.84	35.687	33.559	24.112	25.893	27.675
43.17586	29.829	38.885999999999996	31.618000000000002	26.061999999999998	35.917	33.885	24.234	26.083000000000002	27.605
43.34258	29.84	39.115	31.814	26.250999999999998	36.118	33.798	24.365	26.174	27.955
43.50917	30.057	39.236999999999995	32.099000000000004	26.465	36.402	34.015	24.381	26.386999999999997	28.070999999999998
43.67593	30.253	39.441	32.205	26.714000000000002	36.667	34.277	24.528000000000002	26.474	28.095
43.84263	30.361	39.64	32.567	26.799	36.804	34.515	24.65	27.471	28.178
44.00922	30.513	39.762	32.592	26.883000000000003	37.023	34.635	24.699	27.425	28.197
44.17588	30.709	39.86	32.755	27.013	37.251999999999995	34.7	24.666	27.195999999999998	28.295
44.34261	30.980999999999998	40.068000000000005	33.093	27.185	37.361	34.907	24.772	27.499000000000002	28.596999999999998
44.50925	31.133000000000003	40.321	33.314	27.399	37.483000000000004	35.157	24.985	27.224	28.584
44.67601	31.34	40.431999999999995	33.391999999999996	27.409000000000002	37.69	35.429	25.025	27.364	28.985
44.84269	31.405	40.529	33.588	27.539	37.69	35.56	25.221	27.56	28.92
45.00935	31.766	40.828	33.724000000000004	27.631999999999998	38.085	35.887	25.148000000000003	27.456999999999997	29.275
45.17603	31.668000000000003	40.926	33.919000000000004	27.763	37.986999999999995	35.985	25.508000000000003	27.456999999999997	29.471
45.34273	31.854	41.049	34.174	27.846999999999998	38.141999999999996	36.073	25.557	27.574	29.686
45.5094	32.03	41.198	34.29	28.015	38.484	36.25	25.493000000000002	27.741999999999997	29.725
45.67605	32.388000000000005	41.291000000000004	34.48	28.248	38.644	36.314	25.566	27.714000000000002	29.892
45.84275	32.376	41.538999999999994	34.565	28.565	38.632	36.498000000000005	25.622	28.064	30.078000000000003
46.00952	32.486	41.45399999999999	34.644	28.444000000000003	38.938	36.608000000000004	26.023000000000003	28.171	30.186
46.17612	32.684	41.68899999999999	35.01	28.669	39.171	36.708	26.212	28.037	30.215999999999998
46.34278	32.900999999999996	41.905	34.964	28.855	39.321999999999996	36.891999999999996	26.204	28.320999999999998	30.401999999999997
46.50958	33.006	41.938	34.931	29.035999999999998	39.358000000000004	37.03	26.16	28.469	30.548000000000002
