	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	relA-1	purT-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	relA-2	purT-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	relA-3	purT-3	fabR-1	yfgF-1	metJ_relA-1	metJ_purT-1	relA_purT-1	metJ_acrB-1	fabR_yfgF-1	fabR-2	yfgF-2	metJ_relA-2	metJ_purT-2	relA_purT-2	metJ_acrB-2	fabR_yfgF-2	fabR-3	yfgF-3	metJ_relA-3	metJ_purT-3	relA_purT-3	metJ_acrB-3	fabR_yfgF-3
1.67167	0.188	0.203	0.24	0.469	0.16	0.495	0.469	0.5539999999999999	0.349	0.07200000000000001	0.245	0.36	0.201	0.56	0.414	0.418	0.321	0.14300000000000002	0.41700000000000004	0.3	0.442	0.53	0.557	0.36700000000000005	0.136	0.33399999999999996	0.65	0.387	0.473	0.498	0.589	0.309	0.22	0.557	0.44799999999999995	0.59	0.557	0.625	0.335	0.245	0.589	0.413	0.56	0.7020000000000001	0.511
1.83832	0.29600000000000004	0.11699999999999999	0.303	0.617	0.223	0.5589999999999999	0.732	0.56	0.312	0.21899999999999997	0.305	0.33399999999999996	0.06	0.5329999999999999	0.389	0.677	0.262	0.111	0.391	0.361	0.36	0.5329999999999999	0.504	0.451	0.33399999999999996	0.261	0.535	0.304	0.447	0.617	0.563	0.251	0.249	0.589	0.534	0.563	0.59	0.623	0.392	0.276	0.505	0.446	0.505	0.648	0.537
2.00507	0.42100000000000004	0.264	0.243	0.47200000000000003	0.248	0.49700000000000005	0.47200000000000003	0.556	0.353	0.247	0.248	0.363	0.11800000000000001	0.5920000000000001	0.389	0.565	0.3	0.09	0.306	0.303	0.445	0.561	0.531	0.4	0.172	0.33899999999999997	0.7390000000000001	0.418	0.648	0.672	0.65	0.285	0.45299999999999996	0.56	0.48	0.593	0.703	0.5720000000000001	0.425	0.392	0.535	0.5589999999999999	0.535	0.763	0.515
2.17162	0.7170000000000001	0.214	0.22	0.563	0.168	0.675	0.564	0.562	0.391	0.253	0.226	0.484	0.125	0.484	0.395	0.601	0.14300000000000002	0.069	0.255	0.31	0.39399999999999996	0.45299999999999996	0.537	0.465	0.187	0.322	0.574	0.396	0.511	0.65	0.5710000000000001	0.321	0.231	0.6809999999999999	0.45799999999999996	0.6	0.652	0.58	0.43200000000000005	0.39799999999999996	0.484	0.508	0.57	0.769	0.523
2.33836	0.276	0.172	0.174	0.489	0.20800000000000002	0.456	0.5760000000000001	0.516	0.32299999999999995	0.094	0.23800000000000002	0.584	0.052000000000000005	0.612	0.40700000000000003	0.442	0.201	0.085	0.268	0.38	0.377	0.466	0.5489999999999999	0.5670000000000001	0.27399999999999997	0.344	0.617	0.43700000000000006	0.43799999999999994	0.69	0.498	0.39299999999999996	0.331	0.578	0.5579999999999999	0.585	0.721	0.5660000000000001	0.447	0.44	0.612	0.406	0.469	0.8690000000000001	0.596
2.50507	0.059000000000000004	0.182	0.154	0.67	0.27399999999999997	0.608	0.441	0.754	0.509	0.18899999999999997	0.764	0.507	0.205	0.593	0.41700000000000004	0.596	0.281	0.04	0.278	0.332	0.47200000000000003	0.561	0.5579999999999999	0.578	0.29600000000000004	0.27399999999999997	0.599	0.418	0.505	0.6990000000000001	0.508	0.23199999999999998	0.255	0.7020000000000001	0.654	0.624	0.731	0.607	0.429	0.45	0.622	0.53	0.593	0.649	0.6940000000000001
2.67184	0.3	0.168	0.257	0.486	0.20600000000000002	0.597	0.516	0.513	0.49	0.177	0.17800000000000002	0.38	0.135	0.608	0.433	0.611	0.079	0.081	0.408	0.319	0.317	0.491	0.489	0.419	0.295	0.281	0.614	0.434	0.521	0.687	0.552	0.303	0.213	0.575	0.583	0.754	0.6609999999999999	0.563	0.35700000000000004	0.408	0.7240000000000001	0.489	0.466	0.894	0.621
2.83834	0.0	0.214	0.42	0.478	0.34	0.589	0.42100000000000004	0.591	0.276	0.081	0.312	0.39799999999999996	0.125	0.713	0.48100000000000004	0.486	0.257	0.069	0.513	0.281	0.5660000000000001	0.625	0.5660000000000001	0.408	0.33	0.35	0.66	0.425	0.568	0.5920000000000001	0.542	0.321	0.28800000000000003	0.623	0.5720000000000001	0.6	0.7090000000000001	0.637	0.518	0.42700000000000005	0.542	0.5660000000000001	0.57	0.7120000000000001	0.58
3.00519	0.172	0.243	0.306	0.449	0.168	0.589	0.478	0.82	0.36200000000000004	0.139	0.39799999999999996	0.39799999999999996	0.125	0.57	0.5670000000000001	0.5720000000000001	0.085	0.155	0.39799999999999996	0.31	0.451	0.48200000000000004	0.537	0.723	0.359	0.23600000000000002	0.746	0.425	0.568	0.65	0.6559999999999999	0.37799999999999995	0.374	0.6809999999999999	0.544	0.7440000000000001	0.652	0.637	0.43200000000000005	0.42700000000000005	0.7140000000000001	0.42200000000000004	0.484	0.6829999999999999	0.523
3.17169	0.19	0.086	0.317	0.632	0.294	0.628	0.49	0.516	0.294	0.409	0.41	0.297	0.22399999999999998	0.726	0.579	0.5	0.373	0.114	0.44	0.322	0.406	0.494	0.5489999999999999	0.509	0.131	0.172	0.617	0.523	0.524	0.69	0.613	0.307	0.38799999999999996	0.578	0.758	0.6709999999999999	0.721	0.595	0.447	0.41200000000000003	0.612	0.435	0.584	0.8690000000000001	0.682
3.33843	0.27	0.096	0.314	0.685	0.23399999999999999	0.657	0.457	0.5429999999999999	0.228	0.171	0.34299999999999997	0.34299999999999997	0.297	0.542	0.428	0.657	0.36	0.001	0.429	0.256	0.485	0.514	0.486	0.5710000000000001	0.06	0.228	0.628	0.428	0.457	0.7140000000000001	0.6	0.22899999999999998	0.171	0.628	0.514	0.542	0.743	0.6	0.513	0.428	0.5429999999999999	0.456	0.5710000000000001	0.742	0.542
3.50519	0.11199999999999999	0.221	0.38	0.523	0.47100000000000003	0.7509999999999999	0.523	0.637	0.299	0.124	0.381	0.324	0.165	0.552	0.637	0.61	0.21100000000000002	0.042	0.467	0.32299999999999995	0.35100000000000003	0.495	0.609	0.41100000000000003	0.254	0.188	0.696	0.466	0.523	0.723	0.61	0.268	0.239	0.58	0.581	0.61	0.752	0.611	0.524	0.35200000000000004	0.581	0.523	0.524	0.809	0.525
3.67185	0.287	0.071	0.33399999999999996	0.563	0.254	0.675	0.65	0.562	0.391	0.22399999999999998	0.484	0.312	0.268	0.57	0.48100000000000004	0.5720000000000001	0.085	0.098	0.341	0.396	0.48	0.48200000000000004	0.5660000000000001	0.465	0.10099999999999999	0.322	0.66	0.568	0.425	0.736	0.5710000000000001	0.37799999999999995	0.40299999999999997	0.623	0.6579999999999999	0.5720000000000001	0.738	0.637	0.43200000000000005	0.341	0.628	0.48	0.542	0.855	0.58
3.83848	0.263	0.161	0.423	0.624	0.28600000000000003	0.763	0.5670000000000001	0.594	0.36700000000000005	0.256	0.429	0.373	0.214	0.688	0.6559999999999999	0.6609999999999999	0.179	0.188	0.516	0.37	0.397	0.542	0.569	0.469	0.28	0.24100000000000002	0.778	0.5710000000000001	0.428	0.6809999999999999	0.545	0.23800000000000002	0.32	0.569	0.805	0.6609999999999999	0.7979999999999999	0.67	0.579	0.316	0.602	0.597	0.66	0.715	0.67
4.0051	0.106	0.15	0.35700000000000004	0.5579999999999999	0.42	0.698	0.501	0.556	0.46799999999999997	0.161	0.47700000000000004	0.392	0.261	0.563	0.475	0.6509999999999999	0.3	0.061	0.392	0.447	0.531	0.647	0.56	0.486	0.22899999999999998	0.33899999999999997	0.653	0.59	0.504	0.816	0.564	0.37	0.31	0.617	0.6509999999999999	0.6509999999999999	0.703	0.6579999999999999	0.425	0.478	0.5920000000000001	0.502	0.621	0.8490000000000001	0.6579999999999999
4.17193	0.36200000000000004	0.258	0.374	0.546	0.35200000000000004	1.03	0.49	0.745	0.38	0.32299999999999995	0.5820000000000001	0.326	0.31	0.612	0.436	0.614	0.287	0.027999999999999997	0.526	0.322	0.635	0.58	0.578	0.5670000000000001	0.303	0.373	0.703	0.581	0.581	0.662	0.613	0.39299999999999996	0.331	0.578	0.644	0.6709999999999999	0.807	0.652	0.5329999999999999	0.498	0.698	0.664	0.555	0.897	0.711
4.3384	0.617	0.34700000000000003	0.354	0.555	0.36	0.953	0.469	0.725	0.377	0.215	0.474	0.474	0.201	0.6459999999999999	0.557	0.59	0.292	0.086	0.589	0.444	0.785	0.5579999999999999	0.528	0.539	0.079	0.21899999999999997	0.564	0.5870000000000001	0.415	0.755	0.675	0.281	0.27699999999999997	0.614	0.619	0.647	0.728	0.625	0.478	0.503	0.675	0.556	0.56	0.7879999999999999	0.597
4.50523	0.016	0.203	0.41200000000000003	0.555	0.41700000000000004	0.695	0.469	0.496	0.349	0.244	0.588	0.56	0.287	0.674	0.5	0.59	0.292	0.14300000000000002	0.41700000000000004	0.3	0.528	0.615	0.528	0.36700000000000005	0.16399999999999998	0.21899999999999997	0.764	0.5579999999999999	0.501	0.755	0.6459999999999999	0.281	0.22	0.614	0.7340000000000001	0.733	0.8140000000000001	0.797	0.478	0.41700000000000004	0.589	0.556	0.532	0.9309999999999999	0.568
4.67178	0.127	0.21	0.4	0.7140000000000001	0.491	0.7140000000000001	0.514	0.6	0.457	0.257	0.5429999999999999	0.4	0.24	0.799	0.628	0.628	0.046	0.087	0.628	0.342	0.485	0.514	0.514	0.428	0.11699999999999999	0.228	0.685	0.628	0.542	0.799	0.514	0.4	0.257	0.5710000000000001	0.742	0.628	0.857	0.657	0.428	0.514	0.628	0.599	0.6	0.799	0.542
4.83851	0.496	0.46	0.503	0.617	0.6509999999999999	0.73	0.446	0.8170000000000001	0.513	0.21899999999999997	0.534	0.44799999999999995	0.34600000000000003	0.648	0.561	0.7340000000000001	0.17600000000000002	0.19699999999999998	0.991	0.361	0.675	0.59	0.618	0.451	0.162	0.261	0.7929999999999999	0.59	0.447	0.8170000000000001	0.648	0.423	0.335	0.675	0.935	0.648	0.79	0.594	0.45	0.391	0.763	0.475	0.505	0.848	0.6509999999999999
5.00514	0.461	0.28800000000000003	0.39399999999999996	0.508	0.371	0.6509999999999999	0.451	0.594	0.36200000000000004	0.336	0.9640000000000001	0.336	0.376	0.735	0.42200000000000004	0.536	0.11699999999999999	0.107	0.622	0.307	0.65	0.565	0.565	0.47700000000000004	0.10300000000000001	0.132	0.7070000000000001	0.508	0.45	0.7929999999999999	0.536	0.307	0.336	0.508	0.649	0.7070000000000001	0.736	0.649	0.335	0.42100000000000004	0.622	0.507	0.593	0.878	0.534
5.17186	0.59	0.42	0.47100000000000003	0.6709999999999999	0.391	0.871	0.614	0.5	0.292	0.24100000000000002	0.698	0.469	0.623	0.5820000000000001	0.441	0.525	0.23800000000000002	0.18100000000000002	0.6970000000000001	0.38299999999999995	0.726	0.812	0.642	0.494	0.08	0.14400000000000002	0.611	0.612	0.526	0.8420000000000001	0.669	0.324	0.24	0.727	0.725	0.696	0.813	0.638	0.41	0.49700000000000005	0.64	0.584	0.755	0.897	0.523
5.33858	0.252	0.243	0.569	0.626	0.574	0.7390000000000001	0.455	0.74	0.526	0.485	0.715	0.429	0.499	0.743	0.484	0.48700000000000004	0.284	0.294	0.8009999999999999	0.256	0.77	0.7140000000000001	0.599	0.52	0.040999999999999995	0.278	0.66	0.657	0.628	0.883	0.63	0.348	0.374	0.541	0.774	0.716	0.9420000000000001	0.635	0.575	0.45799999999999996	0.6579999999999999	0.57	0.601	0.915	0.635
5.50533	0.325	0.40299999999999997	0.674	0.589	0.6509999999999999	0.759	0.475	0.7879999999999999	0.341	0.447	0.905	0.44799999999999995	0.575	0.733	0.475	0.649	0.233	0.139	0.7340000000000001	0.418	0.703	0.7609999999999999	0.59	0.508	0.191	0.29	0.7070000000000001	0.6759999999999999	0.5329999999999999	0.8170000000000001	0.62	0.365	0.335	0.732	0.706	0.563	0.875	0.623	0.535	0.391	0.677	0.532	0.62	0.848	0.623
5.67189	0.047	0.325	0.509	0.594	0.5710000000000001	0.907	0.48	0.6509999999999999	0.35	0.45399999999999996	0.7120000000000001	0.54	0.41	0.74	0.45299999999999996	0.655	0.36200000000000004	0.147	0.7120000000000001	0.36700000000000005	0.6809999999999999	0.625	0.51	0.516	0.263	0.47200000000000003	0.8	0.682	0.568	0.823	0.541	0.43	0.19899999999999998	0.6809999999999999	0.799	0.655	0.7959999999999999	0.602	0.457	0.483	0.684	0.5670000000000001	0.541	0.9109999999999999	0.574
5.83868	0.35100000000000003	0.48200000000000004	0.6629999999999999	0.635	0.526	0.747	0.5489999999999999	0.5760000000000001	0.368	0.409	0.725	0.382	0.5379999999999999	0.782	0.494	0.498	0.134	0.221	0.983	0.35100000000000003	0.779	0.638	0.522	0.617	0.235	0.409	0.6709999999999999	0.6659999999999999	0.552	0.892	0.583	0.359	0.442	0.6940000000000001	0.784	0.726	0.98	0.6459999999999999	0.5	0.41	0.7829999999999999	0.46399999999999997	0.726	1.0390000000000001	0.589
6.00539	0.395	0.47100000000000003	0.769	0.6829999999999999	0.746	0.8240000000000001	0.483	0.654	0.44	0.485	0.715	0.45799999999999996	0.528	0.6859999999999999	0.542	0.573	0.255	0.32299999999999995	0.6579999999999999	0.456	0.856	0.685	0.599	0.5479999999999999	0.213	0.221	0.746	0.657	0.542	0.883	0.63	0.462	0.289	0.6559999999999999	0.802	0.659	0.885	0.635	0.489	0.486	0.5720000000000001	0.484	0.515	0.857	0.72
6.17191	0.406	0.542	0.7290000000000001	0.614	0.505	0.813	0.557	0.642	0.39399999999999996	0.5870000000000001	0.816	0.502	0.6859999999999999	0.816	0.44299999999999995	0.5589999999999999	0.054000000000000006	0.364	0.7879999999999999	0.444	0.843	0.701	0.672	0.59	0.155	0.19899999999999998	0.789	0.6729999999999999	0.444	0.871	0.616	0.36200000000000004	0.24600000000000002	0.7290000000000001	1.102	0.616	0.872	0.591	0.532	0.444	0.588	0.615	0.7020000000000001	0.987	0.733
6.33868	0.43700000000000006	0.52	0.74	0.597	0.83	0.968	0.597	0.682	0.36700000000000005	0.45399999999999996	1.053	0.48200000000000004	0.8079999999999999	0.795	0.539	0.71	0.096	0.45399999999999996	0.968	0.51	1.024	0.825	0.568	0.5670000000000001	0.139	0.166	0.71	0.7390000000000001	0.596	1.025	0.625	0.596	0.253	0.568	0.8240000000000001	0.767	1.025	0.653	0.51	0.425	0.625	0.45299999999999996	0.597	0.9670000000000001	0.6809999999999999
6.50527	0.6629999999999999	0.485	0.586	0.614	0.763	1.013	0.557	1.042	0.42200000000000004	0.5870000000000001	0.902	0.445	0.828	0.8440000000000001	0.44299999999999995	0.617	0.254	0.221	1.045	0.529	0.986	0.672	0.615	0.59	0.09699999999999999	0.284	0.6459999999999999	0.758	0.47200000000000003	0.9570000000000001	0.616	0.36200000000000004	0.18899999999999997	0.672	0.9309999999999999	0.7020000000000001	0.958	0.619	0.6459999999999999	0.444	0.588	0.615	0.588	0.93	0.79
6.67215	0.27	0.524	0.657	0.7140000000000001	0.805	0.914	0.457	0.685	0.457	0.5429999999999999	0.914	0.428	0.754	0.884	0.513	0.657	0.217	0.429	0.857	0.314	1.199	0.7709999999999999	0.5710000000000001	0.485	0.203	0.228	0.7709999999999999	0.742	0.542	0.885	0.685	0.4	0.257	0.628	0.9129999999999999	0.7140000000000001	1.028	0.743	0.456	0.456	0.5710000000000001	0.456	0.514	1.056	0.628
6.8387	0.48100000000000004	0.7290000000000001	0.855	0.597	0.86	0.9390000000000001	0.483	0.711	0.498	0.6	1.001	0.429	1.042	0.915	0.799	0.48700000000000004	0.284	0.466	1.0590000000000002	0.428	1.256	0.8	0.513	0.46299999999999997	0.27	0.192	0.632	0.857	0.542	0.9690000000000001	0.6579999999999999	0.348	0.26	0.8270000000000001	1.031	0.83	1.028	0.72	0.546	0.45799999999999996	0.601	0.541	0.515	1.0	0.72
7.00546	0.309	0.7290000000000001	0.6829999999999999	0.54	0.975	0.91	0.626	0.625	0.41200000000000003	0.5710000000000001	1.1159999999999999	0.45799999999999996	0.6990000000000001	0.858	0.542	0.573	0.341	0.495	1.0590000000000002	0.456	1.17	0.7140000000000001	0.513	0.377	0.099	0.221	0.8320000000000001	0.7709999999999999	0.5710000000000001	0.998	0.5720000000000001	0.434	0.34600000000000003	0.8270000000000001	0.945	0.716	1.028	0.72	0.489	0.4	0.5720000000000001	0.484	0.687	0.857	0.6629999999999999
7.17197	0.496	0.8029999999999999	0.8170000000000001	0.732	1.023	1.016	0.56	0.645	0.484	0.733	1.02	0.44799999999999995	0.9179999999999999	1.0759999999999998	0.647	0.649	0.09	0.54	1.391	0.447	1.389	0.847	0.532	0.537	0.162	0.11800000000000001	0.7070000000000001	0.8190000000000001	0.5329999999999999	1.1320000000000001	0.7340000000000001	0.337	0.335	0.675	1.192	0.62	1.018	0.7090000000000001	0.621	0.44799999999999995	0.7340000000000001	0.56	0.591	1.1909999999999998	0.7090000000000001
7.33862	0.377	0.885	0.9	0.7859999999999999	1.1059999999999999	1.013	0.529	0.614	0.479	0.816	1.159	0.53	0.943	0.93	0.44299999999999995	0.531	0.397	0.564	1.216	0.415	1.558	0.8440000000000001	0.529	0.6759999999999999	0.155	0.37	0.703	0.8440000000000001	0.47200000000000003	0.986	0.7879999999999999	0.419	0.24600000000000002	0.644	0.9309999999999999	0.7020000000000001	1.101	0.6759999999999999	0.474	0.387	0.588	0.557	0.588	1.159	0.733
7.50535	0.40399999999999997	0.937	0.9179999999999999	0.718	1.038	0.8590000000000001	0.546	0.745	0.535	0.8640000000000001	1.294	0.46399999999999997	1.2209999999999999	0.922	0.491	0.637	0.442	0.674	1.266	0.434	1.749	0.9490000000000001	0.691	0.528	0.285	0.317	0.667	0.8640000000000001	0.49200000000000005	1.2329999999999999	0.636	0.441	0.381	0.748	0.981	0.637	1.12	0.7	0.5529999999999999	0.55	0.7509999999999999	0.5760000000000001	0.636	1.179	0.728
7.67213	0.46799999999999997	1.175	0.846	0.589	1.452	0.93	0.475	0.7020000000000001	0.513	0.9329999999999999	1.334	0.44799999999999995	1.375	1.105	0.475	0.62	0.262	0.797	1.306	0.447	1.732	0.7609999999999999	0.532	0.451	0.191	0.204	0.7070000000000001	0.905	0.561	1.046	0.648	0.508	0.364	0.647	1.02	0.706	1.133	0.7659999999999999	0.535	0.391	0.7340000000000001	0.875	0.591	1.162	0.7090000000000001
7.83874	0.33799999999999997	1.129	0.912	0.6829999999999999	1.4040000000000001	1.053	0.541	0.711	0.526	1.0859999999999999	1.3730000000000002	0.544	1.386	0.9440000000000001	0.627	0.8590000000000001	0.284	0.924	1.4880000000000002	0.456	1.828	0.857	0.627	0.72	0.213	0.278	0.8320000000000001	1.0	0.485	1.084	0.6579999999999999	0.434	0.289	0.6559999999999999	1.145	0.802	1.199	0.778	0.6609999999999999	0.486	0.687	0.484	0.63	1.172	0.72
8.0055	0.35100000000000003	1.148	0.996	0.682	1.344	1.025	0.54	0.768	0.5379999999999999	1.31	1.396	0.568	1.521	1.052	0.596	0.596	0.381	0.882	1.396	0.425	2.052	1.139	0.568	0.595	0.196	0.166	0.768	0.996	0.682	1.196	0.71	0.48200000000000004	0.253	0.825	1.024	0.682	1.168	0.653	0.51	0.368	0.625	0.51	0.654	1.138	0.624
8.17207	0.595	1.6440000000000001	1.026	0.7120000000000001	1.547	1.053	0.483	0.74	0.44	1.344	1.516	0.515	1.729	1.115	0.542	0.745	0.11199999999999999	0.981	1.4880000000000002	0.599	2.4859999999999998	0.943	0.513	0.5479999999999999	0.013000000000000001	0.278	0.718	1.0290000000000001	0.457	1.255	0.6579999999999999	0.262	0.203	0.77	0.9740000000000001	0.716	1.199	0.635	0.46	0.5720000000000001	0.687	0.627	0.544	1.172	0.6629999999999999
8.33876	0.40399999999999997	1.6230000000000002	1.147	0.603	1.696	1.03	0.6609999999999999	0.631	0.449	1.5219999999999998	1.5230000000000001	0.436	1.8219999999999998	1.036	0.634	0.466	0.35600000000000004	1.161	1.5230000000000001	0.52	2.5789999999999997	0.9490000000000001	0.5479999999999999	0.556	0.142	0.289	0.639	1.0070000000000001	0.5489999999999999	1.2329999999999999	0.665	0.441	0.381	0.691	1.124	0.6659999999999999	1.3769999999999998	0.7	0.5529999999999999	0.46399999999999997	0.665	0.5760000000000001	0.722	1.207	0.6709999999999999
8.5054	0.721	1.9369999999999998	1.168	0.767	1.69	1.165	0.653	0.737	0.48100000000000004	1.7180000000000002	1.719	0.488	1.9909999999999999	1.117	0.39799999999999996	0.575	0.265	1.4769999999999999	1.777	0.485	2.775	0.972	0.569	0.555	0.252	0.327	0.6920000000000001	1.058	0.6	1.369	0.66	0.41	0.32	0.9420000000000001	1.321	0.7759999999999999	1.228	0.67	0.665	0.402	0.7170000000000001	0.483	0.631	1.2309999999999999	0.785
8.67215	0.529	1.831	1.318	0.773	1.983	1.1420000000000001	0.602	0.685	0.40399999999999997	1.868	2.013	0.494	2.17	1.382	0.519	0.5820000000000001	0.28	1.629	1.899	0.6629999999999999	3.012	1.065	0.546	0.591	0.267	0.45299999999999996	0.958	1.208	0.664	1.347	0.753	0.389	0.385	0.7190000000000001	1.4140000000000001	0.8690000000000001	1.349	0.821	0.586	0.494	0.81	0.69	0.638	1.381	0.764
8.83881	0.298	2.084	1.68	0.647	2.175	1.245	0.504	0.846	0.518	2.061	1.919	0.514	2.278	1.26	0.595	0.603	0.324	1.7409999999999999	2.006	0.654	3.148	1.084	0.507	0.615	0.225	0.45799999999999996	0.865	1.171	0.54	1.308	0.687	0.527	0.32	0.737	1.2930000000000001	0.7170000000000001	1.368	0.701	0.637	0.715	0.83	0.536	0.6859999999999999	1.3159999999999998	0.73
9.00548	0.629	2.301	1.614	0.782	2.251	1.3219999999999998	0.61	0.6940000000000001	0.733	2.452	2.224	0.648	2.611	1.249	0.586	0.593	0.474	1.757	2.053	0.47200000000000003	3.7110000000000003	1.0170000000000001	0.584	0.517	0.146	0.441	0.71	1.161	0.502	1.4709999999999999	0.705	0.401	0.424	0.871	1.2819999999999998	0.7070000000000001	1.244	0.8320000000000001	0.511	0.705	0.705	0.67	0.561	1.334	0.7759999999999999
