	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	proV-1	cspC-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	proV-2	cspC-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	proV-3	cspC-3	ptsP-1	wbbK-1	proV_cspC-1	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	ptsP-2	wbbK-2	proV_cspC-2	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	ptsP-3	wbbK-3	proV_cspC-3	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
3.33868	0.37	0.84	0.48	0.7609999999999999	0.124	0.35700000000000004	0.529	0.446	0.845	0.26	0.261	0.618	0.33399999999999996	0.6970000000000001	0.267	0.44299999999999995	0.363	0.35700000000000004	0.32799999999999996	0.71	0.207	0.733	0.512	0.5670000000000001	0.5820000000000001	0.518	0.6579999999999999	0.473	0.434	0.605	0.745	0.21899999999999997	0.292	0.436	0.48100000000000004	0.4	0.35	0.395	0.228	0.11199999999999999	0.406	0.408	0.49700000000000005	0.314	0.129	0.145	0.285	0.249
3.50523	0.325	0.821	0.43200000000000005	0.909	0.23600000000000002	0.387	0.39799999999999996	0.556	0.828	0.295	0.22399999999999998	0.71	0.28800000000000003	0.622	0.248	0.48	0.48200000000000004	0.255	0.444	0.688	0.318	0.765	0.626	0.491	0.40700000000000003	0.557	0.721	0.456	0.415	0.6679999999999999	0.8909999999999999	0.201	0.35600000000000004	0.391	0.574	0.36200000000000004	0.225	0.431	0.264	0.147	0.359	0.444	0.415	0.198	0.146	0.185	0.267	0.2
3.67203	0.308	0.8029999999999999	0.441	0.894	0.19	0.369	0.379	0.456	0.8109999999999999	0.331	0.156	0.6659999999999999	0.43200000000000005	0.6579999999999999	0.257	0.382	0.33	0.319	0.48100000000000004	0.589	0.165	0.747	0.716	0.445	0.419	0.486	0.65	0.467	0.34299999999999997	0.6509999999999999	0.45	0.13	0.42100000000000004	0.455	0.503	0.373	0.262	0.387	0.27399999999999997	0.129	0.45	0.589	0.564	0.34600000000000003	0.185	0.142	0.331	0.263
3.83872	0.462	0.794	0.5379999999999999	0.946	0.203	0.435	0.445	0.44	0.858	0.349	0.294	0.769	0.313	0.6729999999999999	0.27399999999999997	0.40299999999999997	0.406	0.28	0.47200000000000003	0.711	0.284	0.733	0.596	0.5670000000000001	0.47100000000000003	0.455	0.588	0.514	0.359	0.778	0.75	0.419	0.387	0.501	0.6609999999999999	0.265	0.28300000000000003	0.433	0.375	0.091	0.439	0.5820000000000001	0.5770000000000001	0.405	0.214	0.11199999999999999	0.322	0.303
4.00551	0.35100000000000003	0.982	0.456	0.966	0.204	0.491	0.312	0.41600000000000004	0.774	0.239	0.311	0.764	0.475	0.754	0.273	0.426	0.34700000000000003	0.33399999999999996	0.44299999999999995	0.684	0.17800000000000002	0.7879999999999999	0.623	0.514	0.519	0.504	0.5579999999999999	0.402	0.494	0.667	0.885	0.444	0.35600000000000004	0.47100000000000003	0.629	0.42	0.198	0.40299999999999997	0.264	0.14400000000000002	0.41100000000000003	0.525	0.588	0.313	0.09699999999999999	0.215	0.266	0.304
4.17205	0.314	0.81	0.42	0.955	0.196	0.401	0.493	0.408	0.899	0.256	0.245	0.8079999999999999	0.519	0.745	0.317	0.41600000000000004	0.418	0.325	0.649	0.838	0.251	0.779	0.56	0.64	0.48	0.521	0.657	0.446	0.40299999999999997	0.657	0.6779999999999999	0.299	0.42700000000000005	0.326	0.456	0.462	0.26899999999999996	0.39399999999999996	0.2	0.0	0.375	0.434	0.49200000000000005	0.273	0.247	0.122	0.28300000000000003	0.187
4.33884	0.3	0.767	0.456	0.892	0.366	0.597	0.445	0.494	0.858	0.294	0.294	0.85	0.34	0.836	0.43700000000000006	0.40299999999999997	0.406	0.38799999999999996	0.58	0.792	0.203	0.787	0.6779999999999999	0.5670000000000001	0.47100000000000003	0.645	0.669	0.406	0.441	0.616	0.696	0.17600000000000002	0.306	0.447	0.5529999999999999	0.34600000000000003	0.391	0.35200000000000004	0.212	0.091	0.439	0.501	0.5770000000000001	0.27	0.214	0.11199999999999999	0.376	0.303
4.50534	0.364	0.8320000000000001	0.522	0.9540000000000001	0.37799999999999995	0.556	0.35	0.426	0.8420000000000001	0.27899999999999997	0.111	0.833	0.541	0.7659999999999999	0.502	0.332	0.38799999999999996	0.34600000000000003	0.374	0.804	0.271	0.7190000000000001	0.5539999999999999	0.58	0.425	0.41	0.68	0.41600000000000004	0.425	0.518	0.503	0.213	0.37	0.349	0.45399999999999996	0.327	0.266	0.389	0.196	0.10300000000000001	0.34299999999999997	0.484	0.526	0.33	0.221	0.067	0.27899999999999997	0.289
4.67212	0.35100000000000003	0.765	0.429	1.02	0.36700000000000005	0.545	0.474	0.389	0.774	0.266	0.311	0.8190000000000001	0.475	0.8079999999999999	0.327	0.48100000000000004	0.34700000000000003	0.361	0.389	0.7929999999999999	0.341	0.7609999999999999	0.732	0.514	0.43700000000000006	0.47700000000000004	0.639	0.457	0.41200000000000003	0.613	0.723	0.22699999999999998	0.302	0.47100000000000003	0.629	0.258	0.33299999999999996	0.376	0.29100000000000004	0.14400000000000002	0.33	0.444	0.534	0.313	0.09699999999999999	0.133	0.293	0.304
4.83876	0.419	0.6970000000000001	0.46799999999999997	1.117	0.514	0.556	0.512	0.48100000000000004	0.9229999999999999	0.414	0.192	0.86	0.541	0.821	0.42100000000000004	0.575	0.361	0.292	0.564	0.8859999999999999	0.379	0.9890000000000001	0.7709999999999999	0.552	0.452	0.518	0.598	0.49700000000000005	0.452	0.68	1.072	0.295	0.316	0.511	0.616	0.327	0.212	0.41700000000000004	0.196	0.157	0.315	0.484	0.5529999999999999	0.41100000000000003	0.221	0.094	0.306	0.289
