	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
1.67167	0.318	0.18100000000000002	0.313	0.315	0.311	0.313	0.521	0.293	0.094	0.106	0.451	0.16399999999999998	0.359	0.292	0.485	0.423	0.20199999999999999	0.222	0.207	0.331	0.26	0.32899999999999996	0.529	0.405	0.204	0.24	0.201	0.28800000000000003	0.297	0.486	0.22899999999999998	0.188	0.275	0.28300000000000003	0.316	0.09699999999999999	0.4	0.387	0.42100000000000004	0.301	0.306	0.363	0.276	0.33399999999999996	0.39399999999999996
1.83832	0.273	0.21899999999999997	0.371	0.483	0.175	0.34600000000000003	0.498	0.26899999999999996	0.0	0.15	0.483	0.111	0.223	0.298	0.386	0.512	0.419	0.287	0.213	0.233	0.293	0.37	0.484	0.467	0.0	0.359	0.488	0.40700000000000003	0.41600000000000004	0.514	0.249	0.061	0.311	0.289	0.27	0.183	0.366	0.522	0.345	0.221	0.33799999999999997	0.311	0.28	0.29	0.34600000000000003
2.00507	0.24	0.18600000000000003	0.41200000000000003	0.551	0.21600000000000003	0.6970000000000001	0.402	0.33899999999999997	0.19899999999999998	0.183	0.442	0.20800000000000002	0.264	0.42700000000000005	0.41200000000000003	0.307	0.32	0.141	0.28600000000000003	0.26	0.337	0.369	0.535	0.484	0.312	0.324	0.231	0.42700000000000005	0.465	0.478	0.175	0.253	0.302	0.363	0.318	0.233	0.516	0.509	0.392	0.262	0.324	0.465	0.267	0.287	0.39299999999999996
2.17162	0.361	0.168	0.308	0.391	0.251	0.259	0.494	0.264	0.349	0.11	0.618	0.21600000000000003	0.215	0.436	0.42200000000000004	0.4	0.19399999999999998	0.262	0.35	0.354	0.345	0.436	0.517	0.436	0.24	0.193	0.324	0.297	0.33399999999999996	0.5760000000000001	0.243	0.207	0.311	0.42700000000000005	0.244	0.275	0.445	0.494	0.401	0.185	0.22	0.389	0.331	0.353	0.402
2.33836	0.19699999999999998	0.14400000000000002	0.33399999999999996	0.303	0.249	0.287	0.521	0.262	0.22	0.14800000000000002	0.617	0.07400000000000001	0.297	0.24100000000000002	0.4	0.792	0.23600000000000002	0.265	0.46299999999999997	0.332	0.429	0.47	0.605	0.43700000000000006	0.195	0.223	0.271	0.327	0.364	0.568	0.36700000000000005	0.128	0.341	0.4	0.27399999999999997	0.212	0.514	0.622	0.43	0.21100000000000002	0.358	0.47200000000000003	0.386	0.33	0.34700000000000003
2.50507	0.185	0.10400000000000001	0.48200000000000004	0.45	0.285	0.494	0.5589999999999999	0.41200000000000003	0.21600000000000003	0.11599999999999999	0.599	0.138	0.445	0.42200000000000004	0.363	0.41200000000000003	0.268	0.22399999999999998	0.42	0.297	0.496	0.35100000000000003	0.735	0.47600000000000003	0.39	0.406	0.483	0.425	0.379	0.522	0.284	0.258	0.354	0.35600000000000004	0.401	0.392	0.545	0.6	0.555	0.331	0.311	0.45399999999999996	0.34	0.433	0.38799999999999996
2.67184	0.298	0.273	0.47700000000000004	0.36	0.308	0.322	0.64	0.408	0.335	0.20600000000000002	0.624	0.161	0.46799999999999997	0.47600000000000003	0.449	0.607	0.391	0.28	0.361	0.384	0.5770000000000001	0.494	0.652	0.445	0.257	0.518	0.511	0.621	0.434	0.509	0.461	0.204	0.409	0.467	0.513	0.43700000000000006	0.527	0.47200000000000003	0.498	0.382	0.391	0.478	0.364	0.37799999999999995	0.415
2.83834	0.198	0.257	0.49200000000000005	0.376	0.49200000000000005	0.309	0.486	0.395	0.203	0.272	0.61	0.204	0.596	0.433	0.46	0.733	0.285	0.18100000000000002	0.375	0.451	0.591	0.449	0.467	0.5720000000000001	0.18100000000000002	0.418	0.38299999999999995	0.5489999999999999	0.335	0.653	0.3	0.131	0.366	0.424	0.386	0.047	0.506	0.534	0.34299999999999997	0.285	0.294	0.38	0.32299999999999995	0.36200000000000004	0.484
3.00519	0.295	0.158	0.413	0.5489999999999999	0.526	0.542	0.522	0.45799999999999996	0.281	0.18100000000000002	0.7020000000000001	0.23800000000000002	0.546	0.387	0.42	0.433	0.313	0.193	0.5820000000000001	0.271	0.685	0.494	0.706	0.637	0.457	0.486	0.536	0.561	0.431	0.603	0.325	0.315	0.405	0.377	0.341	0.392	0.532	0.5920000000000001	0.465	0.40299999999999997	0.35600000000000004	0.415	0.358	0.405	0.466
3.17169	0.207	0.155	0.467	0.49	0.495	0.45399999999999996	0.519	0.371	0.27699999999999997	0.177	0.6990000000000001	0.32	0.655	0.5529999999999999	0.38799999999999996	0.599	0.42100000000000004	0.105	0.466	0.324	0.7659999999999999	0.49	0.59	0.634	0.228	0.455	0.336	0.473	0.428	0.767	0.406	0.312	0.599	0.45899999999999996	0.535	0.106	0.528	0.531	0.434	0.231	0.41	0.413	0.355	0.402	0.435
3.33843	0.26	0.264	0.49700000000000005	0.465	0.49700000000000005	0.426	0.5479999999999999	0.54	0.239	0.27899999999999997	0.728	0.322	0.545	0.38299999999999995	0.551	0.43	0.37799999999999995	0.243	0.5489999999999999	0.57	0.6809999999999999	0.39899999999999997	0.642	0.43700000000000006	0.413	0.45299999999999996	0.5579999999999999	0.47100000000000003	0.509	0.6629999999999999	0.365	0.19399999999999998	0.457	0.374	0.392	0.225	0.514	0.486	0.489	0.29	0.243	0.386	0.441	0.312	0.574
3.50519	0.239	0.35600000000000004	0.691	0.515	0.634	0.285	0.518	0.37	0.37200000000000005	0.13	0.7829999999999999	0.262	0.597	0.441	0.451	0.45899999999999996	0.35100000000000003	0.305	0.58	0.302	0.7390000000000001	0.469	0.708	0.55	0.436	0.43	0.36700000000000005	0.504	0.486	0.731	0.39	0.289	0.43200000000000005	0.657	0.48200000000000004	0.324	0.599	0.575	0.49200000000000005	0.314	0.29600000000000004	0.44	0.326	0.46399999999999997	0.465
3.67185	0.349	0.24	0.632	0.512	0.632	0.36700000000000005	0.544	0.36700000000000005	0.255	0.126	0.7240000000000001	0.344	0.8490000000000001	0.495	0.419	0.485	0.34700000000000003	0.302	0.605	0.355	0.82	0.465	0.6759999999999999	0.37799999999999995	0.40399999999999997	0.483	0.364	0.501	0.455	0.726	0.44299999999999995	0.28600000000000003	0.457	0.401	0.479	0.34700000000000003	0.51	0.627	0.461	0.396	0.462	0.578	0.408	0.43200000000000005	0.462
3.83848	0.161	0.221	0.616	0.5820000000000001	0.785	0.46299999999999997	0.527	0.379	0.23199999999999998	0.10400000000000001	0.735	0.243	0.748	0.392	0.314	0.608	0.377	0.19899999999999998	0.813	0.33399999999999996	0.887	0.501	0.685	0.446	0.324	0.46399999999999997	0.17600000000000002	0.426	0.43700000000000006	0.782	0.36200000000000004	0.266	0.496	0.38299999999999995	0.46	0.627	0.485	0.516	0.359	0.324	0.446	0.505	0.392	0.35600000000000004	0.444
4.0051	0.19899999999999998	0.09	0.563	0.584	0.732	0.41200000000000003	0.47600000000000003	0.46799999999999997	0.10800000000000001	0.20600000000000002	0.8809999999999999	0.36	0.752	0.371	0.439	0.474	0.486	0.23600000000000002	0.623	0.40399999999999997	0.9790000000000001	0.402	0.696	0.564	0.287	0.502	0.326	0.547	0.41700000000000004	0.614	0.38299999999999995	0.221	0.532	0.418	0.413	0.264	0.45	0.513	0.42200000000000004	0.355	0.39399999999999996	0.45299999999999996	0.34	0.452	0.423
4.17193	0.237	0.128	0.6509999999999999	0.614	0.765	0.361	0.6779999999999999	0.444	0.239	0.195	0.915	0.335	0.812	0.547	0.48	0.395	0.368	0.217	0.6579999999999999	0.588	1.099	0.5	0.792	0.627	0.33399999999999996	0.5670000000000001	0.505	0.584	0.511	0.6709999999999999	0.43200000000000005	0.318	0.653	0.28300000000000003	0.366	0.266	0.6709999999999999	0.6509999999999999	0.45799999999999996	0.44299999999999995	0.483	0.486	0.514	0.493	0.516
4.3384	0.27399999999999997	0.222	0.72	0.599	0.6920000000000001	0.344	0.5489999999999999	0.71	0.159	0.313	0.813	0.40399999999999997	1.022	0.53	0.629	0.6609999999999999	0.314	0.255	0.725	0.595	1.081	0.564	0.631	0.49700000000000005	0.31	0.5479999999999999	0.43	0.5379999999999999	0.49200000000000005	0.727	0.408	0.24100000000000002	0.465	0.35100000000000003	0.34700000000000003	0.321	0.561	0.6809999999999999	0.49700000000000005	0.42700000000000005	0.41	0.555	0.35600000000000004	0.47200000000000003	0.526
4.50523	0.265	0.128	0.797	0.705	1.079	0.505	0.569	0.391	0.205	0.161	0.975	0.452	0.929	0.634	0.478	0.652	0.499	0.24600000000000002	0.8009999999999999	0.386	1.157	0.5529999999999999	0.7340000000000001	0.488	0.38299999999999995	0.511	0.336	0.444	0.426	0.628	0.508	0.316	0.456	0.455	0.507	0.222	0.604	0.583	0.431	0.363	0.317	0.546	0.433	0.406	0.489
4.67178	0.27699999999999997	0.168	0.7829999999999999	0.805	0.8959999999999999	0.5760000000000001	0.611	0.462	0.18600000000000003	0.226	0.96	0.354	1.085	0.534	0.602	0.581	0.364	0.428	0.6729999999999999	0.5670000000000001	1.255	0.479	0.605	0.643	0.363	0.524	0.489	0.513	0.496	0.6890000000000001	0.375	0.384	0.611	0.35600000000000004	0.379	0.36700000000000005	0.527	0.56	0.473	0.434	0.36	0.392	0.391	0.361	0.474
4.83851	0.27399999999999997	0.27899999999999997	0.9740000000000001	0.91	0.946	0.655	0.662	0.541	0.159	0.257	1.124	0.40399999999999997	0.966	0.53	0.375	0.519	0.314	0.255	0.867	0.595	1.166	0.5920000000000001	0.716	0.6659999999999999	0.36700000000000005	0.718	0.43	0.45299999999999996	0.52	0.6990000000000001	0.436	0.38299999999999995	0.635	0.633	0.34700000000000003	0.46299999999999997	0.645	0.54	0.44	0.512	0.382	0.555	0.441	0.41600000000000004	0.498
5.00514	0.418	0.19699999999999998	0.8109999999999999	0.777	1.065	0.491	0.696	0.575	0.18600000000000003	0.28300000000000003	0.96	0.58	1.0	0.591	0.517	0.665	0.392	0.315	0.927	0.5670000000000001	1.425	0.564	0.6890000000000001	0.643	0.42	0.693	0.376	0.513	0.552	0.745	0.5720000000000001	0.35600000000000004	0.611	0.49700000000000005	0.491	0.282	0.6679999999999999	0.8140000000000001	0.473	0.406	0.36	0.44799999999999995	0.391	0.361	0.474
5.17186	0.19	0.27899999999999997	0.9740000000000001	0.797	1.031	0.514	0.662	0.597	0.21600000000000003	0.313	1.068	0.573	1.192	0.445	0.544	0.519	0.455	0.34	0.81	0.6509999999999999	1.534	0.649	0.772	0.5820000000000001	0.452	0.718	0.486	0.5660000000000001	0.49200000000000005	0.897	0.662	0.38299999999999995	0.635	0.379	0.488	0.321	0.7020000000000001	0.624	0.61	0.512	0.297	0.555	0.498	0.557	0.498
5.33858	0.145	0.318	1.0490000000000002	0.846	1.246	0.6709999999999999	0.735	0.5870000000000001	0.276	0.344	1.2819999999999998	0.705	1.294	0.573	0.49700000000000005	0.732	0.36700000000000005	0.465	0.9940000000000001	0.545	1.547	0.684	0.698	0.654	0.424	0.674	0.358	0.523	0.562	0.8290000000000001	0.434	0.27899999999999997	0.677	0.507	0.445	0.083	0.586	0.703	0.568	0.475	0.344	0.573	0.40299999999999997	0.425	0.484
5.50533	0.174	0.263	1.13	0.9540000000000001	1.3	0.584	0.648	0.47100000000000003	0.33799999999999997	0.294	1.308	0.645	1.46	0.515	0.47100000000000003	0.47700000000000004	0.405	0.409	1.19	0.831	1.6880000000000002	0.631	0.7559999999999999	0.652	0.629	0.843	0.499	0.522	0.561	0.7879999999999999	0.47200000000000003	0.39399999999999996	0.8170000000000001	0.506	0.473	0.353	0.7090000000000001	0.828	0.425	0.612	0.48100000000000004	0.597	0.42700000000000005	0.54	0.5670000000000001
5.67189	0.33399999999999996	0.168	1.235	0.9740000000000001	1.545	0.5479999999999999	0.696	0.745	0.38299999999999995	0.311	1.271	0.637	1.565	0.506	0.545	0.581	0.364	0.512	1.125	0.82	1.6780000000000002	0.649	0.802	0.672	0.42	0.7490000000000001	0.32	0.682	0.665	0.773	0.544	0.384	0.893	0.525	0.6609999999999999	0.33799999999999997	0.583	0.6729999999999999	0.642	0.604	0.304	0.44799999999999995	0.419	0.53	0.5579999999999999
5.83868	0.22	0.39299999999999996	1.097	1.0070000000000001	1.5759999999999998	0.6629999999999999	0.6709999999999999	0.551	0.292	0.248	1.499	0.7809999999999999	1.7080000000000002	0.424	0.5710000000000001	0.555	0.466	0.39899999999999997	1.097	0.76	1.989	0.6729999999999999	0.8009999999999999	0.7020000000000001	0.638	0.8059999999999999	0.517	0.514	0.609	0.843	0.535	0.354	0.752	0.414	0.46299999999999997	0.21	0.63	0.633	0.615	0.58	0.449	0.48	0.451	0.528	0.532
6.00539	0.248	0.252	1.3230000000000002	1.12	1.66	0.607	0.812	0.579	0.292	0.53	1.5830000000000002	0.894	1.9340000000000002	0.508	0.48700000000000004	0.695	0.354	0.484	1.182	0.7879999999999999	2.327	0.6729999999999999	0.773	0.73	0.5529999999999999	0.89	0.546	0.57	0.609	0.7859999999999999	0.535	0.41	0.8370000000000001	0.555	0.52	0.23800000000000002	0.7140000000000001	0.6890000000000001	0.474	0.636	0.28	0.424	0.39399999999999996	0.528	0.56
6.17191	0.305	0.337	1.266	1.035	1.886	0.607	0.6990000000000001	0.8320000000000001	0.23600000000000002	0.389	1.527	0.894	2.046	0.564	0.5710000000000001	0.7240000000000001	0.382	0.54	1.379	0.845	2.242	0.589	0.8009999999999999	0.617	0.49700000000000005	0.89	0.433	0.514	0.5529999999999999	0.7859999999999999	0.535	0.41	0.8370000000000001	0.414	0.604	0.379	0.742	0.718	0.5589999999999999	0.58	0.364	0.508	0.451	0.584	0.532
6.33868	0.245	0.33299999999999996	1.4040000000000001	1.089	1.939	0.8009999999999999	0.7240000000000001	0.8009999999999999	0.17600000000000002	0.442	1.665	0.8909999999999999	2.2119999999999997	0.561	0.596	0.861	0.321	0.565	1.376	0.8690000000000001	2.352	0.754	0.685	0.812	0.662	1.056	0.768	0.5670000000000001	0.5489999999999999	0.922	0.446	0.35	0.946	0.58	0.517	0.205	0.8220000000000001	0.629	0.556	0.746	0.33399999999999996	0.59	0.532	0.524	0.557
6.50527	0.295	0.38299999999999995	1.399	1.252	2.187	0.711	0.691	0.711	0.225	0.547	1.771	0.9420000000000001	2.319	0.64	0.504	1.024	0.341	0.728	1.454	1.031	2.739	0.6629999999999999	0.7909999999999999	0.8059999999999999	0.485	0.993	0.36700000000000005	0.589	0.628	0.828	0.522	0.315	0.996	0.321	0.426	0.364	0.701	0.62	0.55	0.628	0.413	0.47200000000000003	0.527	0.49	0.551
6.67215	0.314	0.40299999999999997	1.641	1.268	2.205	0.6709999999999999	0.679	0.728	0.276	0.57	1.874	0.9590000000000001	2.591	0.6859999999999999	0.609	0.8170000000000001	0.36700000000000005	0.7190000000000001	1.557	0.94	2.872	0.938	0.726	0.654	0.565	1.012	0.358	0.523	0.6459999999999999	0.8009999999999999	0.547	0.42	0.9590000000000001	0.507	0.473	0.562	0.755	0.816	0.652	0.644	0.429	0.43200000000000005	0.45899999999999996	0.594	0.625
6.8387	0.142	0.428	1.6380000000000001	1.35	2.483	0.725	0.5920000000000001	0.725	0.244	0.5660000000000001	1.814	1.04	2.728	0.8240000000000001	0.578	0.899	0.39	0.659	1.611	1.077	3.235	0.7929999999999999	0.8640000000000001	0.764	0.505	0.812	0.524	0.604	0.531	0.852	0.599	0.41700000000000004	0.956	0.505	0.526	0.41700000000000004	0.807	0.7829999999999999	0.621	0.67	0.45399999999999996	0.514	0.541	0.591	0.5660000000000001
7.00546	0.239	0.496	1.736	1.449	2.806	0.654	0.775	0.7390000000000001	0.225	0.631	2.025	1.195	3.0789999999999997	0.64	0.589	0.715	0.341	0.8959999999999999	1.7080000000000002	1.1440000000000001	3.2739999999999996	0.691	0.706	0.975	0.37200000000000005	1.078	0.423	0.561	0.684	0.997	0.579	0.34299999999999997	1.109	0.377	0.51	0.392	0.87	0.7040000000000001	0.634	0.713	0.32799999999999996	0.47200000000000003	0.386	0.518	0.607
7.17197	0.33299999999999996	0.506	1.745	1.3730000000000002	3.181	0.747	0.8959999999999999	0.8320000000000001	0.264	0.727	1.9769999999999999	1.204	3.201	0.677	0.43	1.062	0.466	0.8220000000000001	1.7730000000000001	0.9570000000000001	4.129	0.701	0.773	0.815	0.581	1.087	0.546	0.57	0.524	0.9840000000000001	0.619	0.43799999999999994	1.1179999999999999	0.499	0.379	0.5479999999999999	0.8270000000000001	0.718	0.643	0.805	0.364	0.508	0.563	0.584	0.701
7.33862	0.239	0.665	1.99	1.4780000000000002	3.228	0.7390000000000001	0.8590000000000001	0.965	0.253	0.856	2.306	1.2229999999999999	3.923	0.753	0.504	0.799	0.369	0.953	1.9609999999999999	1.0590000000000002	4.288	0.8320000000000001	0.7909999999999999	0.8059999999999999	0.738	1.162	0.452	0.561	0.515	0.9690000000000001	0.691	0.34299999999999997	1.109	0.49	0.5379999999999999	0.364	0.8140000000000001	0.845	0.634	0.825	0.5820000000000001	0.556	0.527	0.574	0.6920000000000001
7.50535	0.389	0.8440000000000001	1.886	1.57	3.717	0.888	0.812	0.889	0.292	0.981	2.456	1.3730000000000002	4.3	0.762	0.6559999999999999	0.8079999999999999	0.43799999999999994	1.1320000000000001	2.0269999999999997	1.07	4.636	0.7859999999999999	0.857	0.927	0.638	1.3969999999999998	0.517	0.514	0.637	1.012	0.591	0.41	1.2590000000000001	0.499	0.632	0.5479999999999999	0.883	0.858	0.728	0.833	0.336	0.48	0.451	0.584	0.56
7.67213	0.302	0.84	2.08	1.652	4.164	0.8290000000000001	0.809	0.8290000000000001	0.26	1.033	2.5380000000000003	1.3980000000000001	4.493	0.899	0.511	0.721	0.603	1.2409999999999999	2.221	1.4040000000000001	4.999	1.008	0.938	0.84	0.493	1.337	0.599	0.5670000000000001	0.69	1.063	0.615	0.435	1.172	0.552	0.545	0.486	0.8220000000000001	0.7979999999999999	0.612	0.831	0.446	0.562	0.47600000000000003	0.609	0.726
7.83874	0.301	0.895	2.307	1.768	4.611000000000001	0.775	0.868	0.973	0.226	1.335	2.7060000000000004	1.541	4.968	0.7879999999999999	0.621	0.75	0.395	1.295	2.248	1.3430000000000002	5.3870000000000005	0.807	0.9079999999999999	0.982	0.542	1.5330000000000001	0.57	0.539	0.69	0.935	0.578	0.40399999999999997	1.396	0.441	0.488	0.7509999999999999	0.84	0.898	0.585	0.9470000000000001	0.33799999999999997	0.621	0.5920000000000001	0.6629999999999999	0.614
8.0055	0.33	1.178	2.334	1.905	5.093	0.9129999999999999	0.893	0.8859999999999999	0.26	1.455	2.735	1.68	5.76	0.843	0.652	0.805	0.377	1.607	2.6430000000000002	1.4609999999999999	6.294	0.9229999999999999	0.8540000000000001	0.981	0.5770000000000001	1.506	0.6829999999999999	0.48200000000000004	0.634	1.0070000000000001	0.7	0.491	1.425	0.46799999999999997	0.43200000000000005	0.5429999999999999	0.991	0.7979999999999999	0.612	1.056	0.36200000000000004	0.562	0.561	0.665	0.726
8.17207	0.255	1.358	2.681	1.9980000000000002	5.582999999999999	1.063	0.8170000000000001	0.81	0.3	1.749	3.0260000000000002	1.829	6.053	0.768	0.691	0.983	0.39	1.617	2.653	1.641	6.729	1.0190000000000001	0.8640000000000001	1.074	0.6459999999999999	1.516	0.467	0.6609999999999999	0.812	1.247	0.684	0.614	1.604	0.307	0.526	0.41700000000000004	0.976	0.8109999999999999	0.565	1.008	0.342	0.57	0.569	0.675	0.735
8.33876	0.302	1.375	2.812	2.1590000000000003	5.825	0.998	0.865	1.083	0.26	1.99	3.3539999999999996	2.0180000000000002	6.38	0.815	0.652	0.946	0.349	2.198	3.0660000000000003	1.6580000000000001	7.393	0.9229999999999999	1.023	0.981	0.746	1.506	0.542	0.6509999999999999	0.972	1.232	0.784	0.604	1.6219999999999999	0.496	0.46	0.74	0.963	0.7979999999999999	0.612	1.14	0.36200000000000004	0.47700000000000004	0.47600000000000003	0.665	0.726
8.5054	0.451	1.692	3.0189999999999997	2.226	6.309	0.812	0.961	1.0659999999999998	0.209	2.162	3.391	2.056	7.229	0.909	0.632	1.012	0.52	2.346	3.1860000000000004	1.86	8.323	0.902	0.8340000000000001	1.216	0.638	1.796	0.608	0.633	0.868	1.1179999999999999	0.843	0.499	1.6030000000000002	0.535	0.498	0.457	1.05	0.996	0.763	1.0959999999999999	0.43	0.545	0.628	0.7290000000000001	0.679
8.67215	0.298	1.706	3.1189999999999998	2.411	6.94	0.941	0.9209999999999999	1.054	0.307	2.37	3.7430000000000003	2.325	8.0	0.785	0.73	1.085	0.475	2.5	3.1719999999999997	2.126	9.121	1.084	0.8490000000000001	1.204	0.594	1.6980000000000002	0.511	0.621	0.687	1.2670000000000001	0.742	0.485	1.702	0.607	0.429	0.409	1.033	0.809	0.61	1.197	0.335	0.703	0.5329999999999999	0.8	0.78
8.83881	0.385	1.963	3.262	2.667	8.237	1.028	0.868	1.057	0.198	2.543	3.915	2.441	9.297	0.985	0.621	1.1159999999999999	0.395	2.7289999999999996	3.7089999999999996	2.186	10.025	1.1440000000000001	0.9359999999999999	1.123	0.626	1.8980000000000001	0.486	0.652	0.775	1.216	0.578	0.629	1.818	0.779	0.601	0.61	1.0090000000000001	0.813	0.754	1.172	0.478	0.537	0.536	0.6629999999999999	0.67
