	MG1655-1	PUTR3-1_1	ygaC-1	ygaC_ybeX-1	ygaC_mpl-1	ygaC_ybeX_mpl-1	PUTR8-10_1	rpsG1_mreB-1	MG1655-2	PUTR3-1_2	ygaC-2	ygaC_ybeX-2	ygaC_mpl-2	ygaC_ybeX_mpl-2	PUTR8-10_2	rpsG1_mreB-2	MG1655-3	PUTR3-1_3	ygaC-3	ygaC_ybeX-3	ygaC_mpl-3	ygaC_ybeX_mpl-3	PUTR8-10_3	rpsG1_mreB-3	rpsG1_mreB_ybeX-1	rpsG1_mreB_mpl-1	rpsG1_mreB_ybeX_mpl-1	proV_cspC-1	proV_cspC_ybeX-1	proV_cspC_mpl-1	proV_cspC_ybeX_mpl-1	rpsG1_mreB_ybeX-2	rpsG1_mreB_mpl-2	rpsG1_mreB_ybeX_mpl-2	proV_cspC-2	proV_cspC_ybeX-2	proV_cspC_mpl-2	proV_cspC_ybeX_mpl-2	rpsG1_mreB_ybeX-3	rpsG1_mreB_mpl-3	rpsG1_mreB_ybeX_mpl-3	proV_cspC-3	proV_cspC_ybeX-3	proV_cspC_mpl-3	proV_cspC_ybeX_mpl-3
1.67183	0.7809999999999999	0.813	1.1059999999999999	0.946	1.105	0.809	0.684	1.429	0.885	0.716	1.042	0.8370000000000001	1.032	0.977	0.785	1.3119999999999998	0.555	0.747	1.107	0.7929999999999999	1.013	0.9470000000000001	0.816	1.673	0.912	0.847	0.9470000000000001	1.018	0.49	0.5920000000000001	0.379	0.8809999999999999	1.275	1.0490000000000002	1.085	0.687	0.611	0.7070000000000001	1.0090000000000001	0.815	0.718	0.937	0.929	0.523	0.544
1.83855	0.6920000000000001	0.7559999999999999	1.082	0.89	1.081	0.981	0.496	1.34	0.895	0.7909999999999999	0.986	0.9440000000000001	1.0090000000000001	0.9209999999999999	0.6629999999999999	1.3219999999999998	0.662	0.8540000000000001	1.018	0.935	1.153	0.99	0.76	1.291	0.823	0.856	1.022	0.93	0.532	0.667	0.389	0.955	1.088	1.0590000000000002	1.063	0.795	0.785	0.521	0.92	0.856	0.7929999999999999	0.948	0.94	0.532	0.685
2.00516	0.888	0.7240000000000001	1.0490000000000002	0.89	1.081	0.9159999999999999	0.496	1.275	0.797	0.725	0.953	0.846	0.9440000000000001	1.0190000000000001	0.6629999999999999	1.3219999999999998	0.662	0.7559999999999999	1.117	1.0	1.121	0.9570000000000001	0.629	1.39	0.856	0.888	1.12	0.8640000000000001	0.532	0.602	0.389	0.857	1.252	1.092	0.998	0.762	0.621	0.5529999999999999	0.92	0.955	0.924	0.915	1.005	0.565	0.685
2.17201	0.762	0.7609999999999999	0.956	0.895	0.988	0.92	0.599	1.344	0.965	0.6970000000000001	1.056	1.015	1.145	1.024	0.799	1.327	0.634	0.826	1.056	1.104	1.158	1.0270000000000001	0.863	1.2309999999999999	0.9259999999999999	0.795	1.06	0.8370000000000001	0.439	0.672	0.39299999999999996	0.862	1.159	0.998	1.003	0.669	0.79	0.525	1.088	0.828	0.9279999999999999	0.92	0.88	0.47100000000000003	0.5920000000000001
2.3386	0.9059999999999999	0.741	1.067	0.8759999999999999	1.001	0.8340000000000001	0.579	1.358	0.882	0.743	1.169	0.963	1.028	1.104	0.748	1.376	0.778	0.971	1.07	1.022	1.206	0.9109999999999999	0.8440000000000001	1.51	0.972	0.8740000000000001	1.14	0.688	0.617	0.588	0.408	0.9740000000000001	1.272	1.112	1.0190000000000001	0.782	0.8390000000000001	0.638	1.003	1.0390000000000001	0.943	1.035	0.963	0.583	0.575
2.50535	0.895	0.828	0.991	0.8640000000000001	1.023	0.922	0.601	1.445	0.902	0.797	0.993	0.919	1.0490000000000002	0.9940000000000001	0.703	1.33	0.669	0.9259999999999999	0.96	0.91	1.128	0.866	0.669	1.43	0.863	0.961	1.16	0.8390000000000001	0.507	0.5760000000000001	0.396	1.093	1.456	1.001	1.071	0.77	0.6940000000000001	0.528	1.123	1.0270000000000001	0.898	0.9229999999999999	0.9490000000000001	0.637	0.595
2.67194	0.8809999999999999	0.7170000000000001	0.945	0.883	1.075	0.8759999999999999	0.653	1.3330000000000002	0.855	0.8170000000000001	1.045	0.937	1.035	0.98	0.722	1.51	0.622	0.9129999999999999	0.914	0.7959999999999999	1.113	0.95	0.851	1.5119999999999998	0.914	0.9470000000000001	1.048	0.8240000000000001	0.49200000000000005	0.594	0.349	1.046	1.2770000000000001	0.986	0.99	0.755	0.515	0.546	0.978	1.013	1.015	0.711	0.932	0.46	0.48200000000000004
2.83861	0.867	0.636	0.9620000000000001	0.902	0.9940000000000001	0.9259999999999999	0.507	1.416	0.875	0.802	0.998	1.054	1.053	0.9	0.708	1.335	0.64	0.833	1.063	0.85	1.067	1.002	0.6729999999999999	1.436	0.867	0.9	0.9690000000000001	0.877	0.511	0.614	0.4	1.0979999999999999	1.3630000000000002	1.203	1.011	0.6759999999999999	0.7979999999999999	0.664	1.193	0.9329999999999999	1.099	0.863	0.9540000000000001	0.544	0.6659999999999999
3.00539	0.69	0.623	1.047	0.855	1.079	0.9129999999999999	0.6579999999999999	1.403	0.958	0.821	0.9840000000000001	0.909	1.0390000000000001	0.919	0.792	1.319	0.627	0.917	1.016	0.899	1.1179999999999999	0.889	0.725	1.42	0.9520000000000001	0.8859999999999999	1.1179999999999999	0.764	0.53	0.599	0.452	1.051	1.446	1.089	0.9620000000000001	0.597	0.684	0.551	1.081	0.9520000000000001	0.987	1.011	0.872	0.46399999999999997	0.552
3.17196	0.698	0.665	0.991	0.799	1.088	0.889	0.47	1.314	0.902	0.6990000000000001	0.993	0.951	1.212	0.9279999999999999	0.703	1.4609999999999999	0.636	0.9259999999999999	1.058	0.91	1.193	0.768	0.9309999999999999	1.496	0.961	0.9940000000000001	1.062	0.937	0.507	0.609	0.396	1.061	1.2590000000000001	1.165	1.071	0.868	0.727	0.757	1.2209999999999999	1.06	1.0290000000000001	0.956	0.9490000000000001	0.637	0.562
3.33873	0.7759999999999999	0.645	1.036	0.941	1.003	0.87	0.6459999999999999	1.425	0.88	0.679	1.038	0.93	1.028	1.005	0.78	1.6	0.713	0.743	1.135	0.919	1.041	0.877	0.909	1.504	1.038	0.94	1.1059999999999999	0.7509999999999999	0.387	0.5539999999999999	0.342	1.268	1.433	1.0759999999999998	0.9490000000000001	0.6829999999999999	0.6709999999999999	0.637	1.2	1.0390000000000001	0.909	0.932	0.825	0.45299999999999996	0.637
3.50537	0.7879999999999999	0.721	1.178	0.855	1.014	0.9790000000000001	0.5589999999999999	1.534	0.86	0.723	1.0490000000000002	0.909	0.909	0.9840000000000001	0.727	1.4180000000000001	0.659	0.754	1.0490000000000002	0.899	1.151	0.955	0.758	1.5830000000000002	1.0170000000000001	0.8859999999999999	1.216	0.862	0.49700000000000005	0.5660000000000001	0.386	1.28	1.2819999999999998	1.1540000000000001	0.9620000000000001	0.662	0.618	0.551	1.212	1.1159999999999999	1.085	1.011	0.872	0.46399999999999997	0.48700000000000004
3.67201	0.664	0.6629999999999999	1.185	0.96	1.021	0.985	0.6970000000000001	1.508	0.769	0.6970000000000001	1.056	0.9159999999999999	1.046	1.024	0.799	1.36	0.568	0.63	1.219	0.907	1.158	0.8640000000000001	0.83	1.526	1.057	0.991	1.2229999999999999	0.935	0.537	0.508	0.32799999999999996	1.157	1.486	1.26	0.97	0.669	0.528	0.525	1.186	1.156	1.092	0.855	0.88	0.635	0.6579999999999999
3.83871	0.774	0.61	1.034	0.9390000000000001	1.0659999999999998	0.9009999999999999	0.644	1.39	0.845	0.807	1.068	0.9279999999999999	0.993	1.003	0.778	1.402	0.6459999999999999	0.741	1.035	0.818	1.136	0.777	0.7440000000000001	1.599	1.1340000000000001	1.068	1.2990000000000002	0.912	0.515	0.65	0.47	1.168	1.463	1.172	0.9470000000000001	0.746	0.701	0.504	1.198	1.102	1.103	0.831	0.92	0.647	0.635
4.00542	0.7440000000000001	0.612	0.971	0.8759999999999999	1.101	0.87	0.6459999999999999	1.49	0.945	0.679	1.168	1.093	1.126	1.005	0.9109999999999999	1.5019999999999998	0.746	0.841	1.135	0.9840000000000001	1.139	0.877	0.909	1.7	1.2009999999999998	1.136	1.3019999999999998	0.914	0.518	0.456	0.342	1.268	1.531	1.24	0.884	0.7809999999999999	0.703	0.539	1.265	1.202	1.2690000000000001	0.932	0.9229999999999999	0.7140000000000001	0.67
4.17218	0.735	0.5379999999999999	1.092	0.932	1.157	0.894	0.67	1.514	0.87	0.67	1.159	0.9209999999999999	1.182	1.061	0.705	1.492	0.737	0.636	1.093	1.006	1.031	0.835	0.9329999999999999	1.754	1.127	1.127	1.324	0.8059999999999999	0.41	0.479	0.33299999999999996	1.226	1.456	1.229	0.971	0.6729999999999999	0.758	0.627	1.2890000000000001	1.0290000000000001	1.357	0.9209999999999999	0.846	0.607	0.627
4.33886	0.7759999999999999	0.612	1.199	0.941	1.101	0.87	0.7440000000000001	1.5230000000000001	0.945	0.7120000000000001	1.234	0.93	1.093	1.103	0.78	1.5019999999999998	0.713	0.71	1.2009999999999998	0.9840000000000001	1.1059999999999999	0.845	0.909	1.6019999999999999	1.136	0.973	1.4	0.7509999999999999	0.485	0.489	0.309	1.268	1.629	1.37	0.9490000000000001	0.6829999999999999	0.605	0.604	1.3630000000000002	1.235	1.367	0.899	0.858	0.45299999999999996	0.67
4.50546	0.77	0.508	1.0290000000000001	0.9670000000000001	1.159	0.8640000000000001	0.77	1.581	0.84	0.509	1.129	1.021	1.217	1.0959999999999999	0.8059999999999999	1.69	0.706	0.736	1.0959999999999999	0.9109999999999999	1.229	0.838	0.8370000000000001	1.659	1.031	1.162	1.294	0.743	0.51	0.58	0.433	1.3259999999999998	1.6540000000000001	1.265	0.941	0.741	0.695	0.499	1.454	1.2930000000000001	1.359	0.924	0.8170000000000001	0.544	0.564
4.67222	0.7440000000000001	0.645	1.069	1.072	1.068	1.0659999999999998	0.679	1.817	0.945	0.7120000000000001	1.168	0.93	1.1909999999999998	1.169	0.813	1.6980000000000002	0.713	0.71	1.2009999999999998	0.9840000000000001	1.139	0.877	0.9420000000000001	1.765	1.234	1.234	1.4	0.9470000000000001	0.583	0.652	0.473	1.268	1.7269999999999999	1.436	0.884	0.6829999999999999	0.965	0.604	1.6569999999999998	1.235	1.465	0.899	0.988	0.518	0.5720000000000001
4.83886	0.737	0.639	1.258	0.934	1.061	0.9940000000000001	0.542	1.777	0.84	0.705	1.129	0.9229999999999999	1.119	0.998	0.871	1.625	0.706	0.8009999999999999	1.128	0.9109999999999999	1.262	0.9359999999999999	0.935	1.8880000000000001	1.2919999999999998	1.325	1.425	0.841	0.674	0.743	0.368	1.555	1.4580000000000002	1.3630000000000002	0.8759999999999999	0.6759999999999999	0.598	0.597	1.585	1.2930000000000001	1.392	0.924	0.98	0.609	0.532
5.0055	0.672	0.541	1.16	0.9670000000000001	1.192	1.06	0.77	2.006	0.873	0.672	1.161	1.0859999999999999	1.119	0.998	0.871	1.886	0.706	0.703	1.226	1.1059999999999999	1.229	0.9359999999999999	1.131	1.79	1.39	1.26	1.5230000000000001	0.907	0.38	0.58	0.433	1.555	1.9480000000000002	1.526	0.941	0.643	0.565	0.531	1.4869999999999999	1.423	1.392	0.9890000000000001	0.8490000000000001	0.544	0.63
5.17218	0.672	0.541	1.16	0.7709999999999999	1.061	0.9620000000000001	0.77	1.712	0.971	0.509	1.227	1.021	1.2819999999999998	0.966	0.9690000000000001	1.788	0.6409999999999999	0.703	1.2919999999999998	0.9109999999999999	1.1640000000000001	0.968	1.0659999999999998	1.8880000000000001	1.129	1.26	1.621	0.907	0.608	0.743	0.368	1.4569999999999999	1.6540000000000001	1.4280000000000002	0.8759999999999999	0.578	0.565	0.629	1.585	1.423	1.4569999999999999	0.9890000000000001	0.8170000000000001	0.511	0.63
5.3389	0.665	0.436	1.088	1.025	1.25	1.151	0.927	1.77	0.93	0.6659999999999999	1.1540000000000001	1.079	1.209	1.187	0.9940000000000001	1.943	0.7	0.599	1.024	1.0659999999999998	1.092	0.765	1.058	1.879	1.318	1.318	1.483	0.932	0.47100000000000003	0.54	0.426	1.4169999999999998	1.744	1.453	0.868	0.6679999999999999	0.655	0.524	1.545	1.416	1.3840000000000001	0.884	0.743	0.7	0.45899999999999996
5.50553	0.821	0.593	1.146	1.051	1.276	0.9490000000000001	0.7240000000000001	1.7630000000000001	1.021	0.496	1.115	1.006	1.202	1.05	0.889	1.6740000000000002	0.725	0.723	1.278	1.155	1.149	0.758	1.051	1.871	1.376	1.3430000000000002	1.508	0.794	0.496	0.728	0.419	1.409	1.8019999999999998	1.608	0.828	0.726	0.5489999999999999	0.68	1.766	1.409	1.475	0.778	1.06	0.693	0.647
5.6722	0.7490000000000001	0.619	1.172	1.011	1.237	0.877	1.043	1.756	0.9159999999999999	0.5870000000000001	1.3030000000000002	1.064	1.163	1.075	1.045	1.8940000000000001	0.621	0.684	1.205	0.8540000000000001	1.305	0.8490000000000001	1.012	1.9269999999999998	1.368	1.3359999999999999	1.5	0.9159999999999999	0.456	0.525	0.41200000000000003	1.597	1.8259999999999998	1.632	0.82	0.7190000000000001	0.639	0.672	1.6280000000000001	1.662	1.5319999999999998	0.8029999999999999	0.889	0.621	0.607
5.83889	0.735	0.506	1.158	0.932	1.157	1.09	0.866	1.905	0.772	0.5720000000000001	1.224	1.182	1.182	1.159	1.162	1.785	0.606	0.701	1.2890000000000001	1.104	1.26	0.966	1.226	1.95	1.42	1.42	1.683	0.904	0.508	0.773	0.3	1.5190000000000001	1.7169999999999999	1.621	0.971	0.6409999999999999	0.595	0.627	1.68	1.486	1.5530000000000002	0.889	0.8140000000000001	0.64	0.562
6.0056	0.728	0.532	1.151	1.055	1.248	0.986	0.924	1.703	0.83	0.598	1.315	1.0759999999999998	1.272	1.087	1.155	1.94	0.73	0.629	1.1840000000000002	0.867	1.22	0.861	1.219	2.137	1.413	1.413	1.676	0.897	0.46799999999999997	0.57	0.456	1.61	1.807	1.7109999999999999	0.9309999999999999	0.8290000000000001	0.652	0.5870000000000001	1.673	1.4140000000000001	1.578	0.9790000000000001	0.805	0.6	0.652
6.17236	0.741	0.545	1.262	0.972	1.196	0.966	0.938	1.945	0.943	0.44799999999999995	1.329	0.993	1.2209999999999999	1.101	1.104	1.892	0.613	0.61	1.329	1.079	1.234	0.973	1.168	1.9580000000000002	1.591	1.526	1.8869999999999998	0.8140000000000001	0.483	0.6829999999999999	0.47	1.625	1.8219999999999998	1.662	0.8809999999999999	0.68	0.7659999999999999	0.536	1.7530000000000001	1.494	1.56	0.929	1.018	0.647	0.667
6.33901	0.8190000000000001	0.525	1.177	1.048	1.339	1.207	0.95	1.989	0.9209999999999999	0.494	1.2429999999999999	1.167	1.298	1.08	1.082	1.899	0.69	0.688	1.177	1.055	1.3430000000000002	0.9520000000000001	1.3419999999999999	2.031	1.406	1.504	1.7009999999999998	0.8240000000000001	0.591	0.53	0.449	1.6019999999999999	1.636	1.735	1.021	0.8540000000000001	0.775	0.58	1.7309999999999999	1.569	1.57	0.873	0.732	0.593	0.644
6.5057	0.77	0.541	1.29	1.032	1.2570000000000001	1.158	0.966	1.875	0.938	0.607	1.129	1.0859999999999999	1.2819999999999998	1.0959999999999999	1.099	2.049	0.706	0.703	1.324	1.204	1.4580000000000002	0.87	1.229	1.953	1.4880000000000002	1.455	1.621	0.809	0.51	0.7759999999999999	0.466	1.7180000000000002	1.85	1.82	0.8440000000000001	0.643	0.695	0.629	1.65	1.489	1.751	1.087	0.8490000000000001	0.642	0.662
6.67239	0.715	0.486	1.235	1.0090000000000001	1.234	0.973	0.813	1.982	0.946	0.585	1.3330000000000002	1.062	1.16	1.236	1.27	2.086	0.684	0.616	1.3980000000000001	1.1440000000000001	1.075	0.847	1.237	2.12	1.399	1.496	1.758	0.914	0.552	0.7509999999999999	0.344	1.6269999999999998	1.824	1.825	0.818	0.815	0.5720000000000001	0.67	1.756	1.5619999999999998	1.6280000000000001	0.8	0.821	0.521	0.507
6.83897	0.708	0.382	1.131	1.1320000000000001	1.163	0.966	1.229	1.975	0.938	0.44799999999999995	1.4240000000000002	1.153	1.3159999999999998	1.1640000000000001	1.165	1.785	0.612	0.61	1.261	1.169	1.23	1.035	1.393	2.1109999999999998	1.489	1.391	1.685	0.9059999999999999	0.544	0.614	0.40299999999999997	1.62	1.7830000000000001	1.882	0.81	0.742	0.564	0.695	1.749	1.555	1.7180000000000002	0.858	0.878	0.612	0.532
7.00573	0.743	0.515	1.23	1.037	1.1320000000000001	1.131	1.166	1.912	0.9079999999999999	0.5479999999999999	1.2309999999999999	1.09	1.156	1.133	1.2329999999999999	1.886	0.679	0.677	1.4909999999999999	1.041	1.2329999999999999	0.8420000000000001	1.297	2.244	1.459	1.589	1.851	0.8759999999999999	0.48200000000000004	0.616	0.405	1.72	1.8840000000000001	1.722	0.91	0.7120000000000001	0.664	0.6	1.653	1.557	1.72	0.958	0.946	0.5820000000000001	0.632
7.17243	0.871	0.48	1.228	1.034	1.163	0.966	1.327	2.105	0.841	0.546	1.229	1.087	1.3159999999999998	1.261	1.4580000000000002	2.013	0.612	0.772	1.261	1.071	1.393	0.97	1.588	2.1109999999999998	1.587	1.5219999999999998	1.848	0.9059999999999999	0.544	0.6459999999999999	0.40299999999999997	1.587	1.881	1.817	0.94	0.807	0.727	0.695	1.716	1.555	1.7180000000000002	0.955	0.943	0.71	0.727
7.33895	0.857	0.467	1.215	1.1179999999999999	1.117	0.9209999999999999	1.15	1.864	0.826	0.46799999999999997	1.28	1.138	1.237	1.15	1.54	1.899	0.598	0.662	1.345	1.055	1.216	0.956	1.5730000000000002	2.1919999999999997	1.6369999999999998	1.41	1.8319999999999999	0.956	0.563	0.794	0.42100000000000004	1.507	1.865	1.703	0.8270000000000001	0.8909999999999999	0.711	0.745	1.702	1.54	1.702	0.777	0.958	0.7609999999999999	0.614
7.50578	0.727	0.402	1.052	1.02	1.052	0.9540000000000001	1.215	1.9609999999999999	0.826	0.5329999999999999	1.28	1.041	1.2690000000000001	1.117	1.41	1.996	0.598	0.6940000000000001	1.345	1.1520000000000001	1.3780000000000001	1.021	1.605	1.9969999999999999	1.669	1.604	1.767	0.8909999999999999	0.368	0.6970000000000001	0.519	1.67	1.995	1.8659999999999999	0.8270000000000001	0.728	0.9059999999999999	0.648	1.831	1.5719999999999998	1.702	0.972	1.023	0.6629999999999999	0.679
7.67253	0.738	0.413	1.258	1.129	1.128	1.062	1.357	2.07	0.8059999999999999	0.544	1.291	1.15	1.183	1.2590000000000001	1.456	2.173	0.609	0.51	1.3559999999999999	1.133	1.0979999999999999	0.935	1.683	2.239	1.5519999999999998	1.682	1.8780000000000001	0.904	0.542	0.741	0.595	1.682	2.171	1.7169999999999999	0.84	0.838	0.626	0.595	1.746	1.65	1.65	0.855	0.94	0.512	0.594
7.8391	0.725	0.4	1.212	1.083	1.147	1.0490000000000002	1.3430000000000002	2.186	0.889	0.465	1.4069999999999998	1.168	1.137	1.115	1.635	2.0580000000000003	0.758	0.659	1.3419999999999999	1.02	1.213	1.1159999999999999	1.6680000000000001	2.416	1.635	1.6669999999999998	1.9269999999999998	0.888	0.625	0.597	0.386	1.6669999999999998	2.155	1.798	0.792	0.823	0.8059999999999999	0.6779999999999999	1.829	1.635	1.635	0.8390000000000001	0.9229999999999999	0.563	0.7090000000000001
8.00576	0.84	0.48200000000000004	1.263	1.102	1.23	1.196	1.459	1.7819999999999998	0.843	0.483	1.329	0.992	1.188	1.068	1.526	2.081	0.679	0.579	1.198	0.976	1.2329999999999999	0.94	1.818	2.44	1.7519999999999998	1.882	2.144	1.006	0.644	0.909	0.535	1.785	2.0140000000000002	1.982	1.008	0.907	0.632	0.6	1.9140000000000001	1.655	1.818	0.893	0.946	0.679	0.7290000000000001
8.17239	0.855	0.368	1.245	1.083	1.212	0.9520000000000001	1.538	1.9909999999999999	0.8240000000000001	0.465	1.4069999999999998	1.071	1.072	1.2770000000000001	1.635	2.156	0.693	0.757	1.2770000000000001	1.052	1.311	0.953	1.8630000000000002	2.286	1.764	1.6669999999999998	2.025	0.888	0.56	0.8240000000000001	0.516	1.797	1.993	1.9609999999999999	0.889	0.7909999999999999	0.903	0.743	1.9909999999999999	1.635	1.797	0.8390000000000001	0.955	0.693	0.6759999999999999
8.3391	0.8290000000000001	0.406	1.219	1.09	1.3159999999999998	1.055	1.61	2.193	0.9279999999999999	0.537	1.317	1.175	1.176	1.252	1.7409999999999999	2.262	0.7	0.6990000000000001	1.252	0.963	1.188	0.83	2.0980000000000003	2.3280000000000003	1.6740000000000002	1.7069999999999999	2.033	1.189	0.632	0.7340000000000001	0.588	1.87	2.0980000000000003	1.969	0.8	0.83	1.0090000000000001	0.653	1.901	1.675	1.838	0.945	0.8009999999999999	0.603	0.7170000000000001
8.50583	0.8079999999999999	0.48200000000000004	1.133	1.037	1.1320000000000001	1.1640000000000001	1.557	2.075	0.843	0.483	1.329	1.155	1.253	1.296	1.8840000000000001	2.276	0.614	0.514	1.166	1.2690000000000001	1.298	1.07	1.9809999999999999	2.57	1.7519999999999998	1.784	1.9809999999999999	1.006	0.644	0.8440000000000001	0.6	1.818	2.079	1.9169999999999998	0.812	0.81	0.7290000000000001	0.795	1.9140000000000001	1.785	1.85	0.99	0.978	0.679	0.8270000000000001
8.67249	0.8640000000000001	0.474	1.254	1.092	1.123	1.058	1.6119999999999999	2.0980000000000003	0.898	0.539	1.319	0.983	1.146	1.0590000000000002	1.8730000000000002	2.362	0.7020000000000001	0.5710000000000001	1.189	1.161	1.2229999999999999	0.963	2.003	2.656	1.6769999999999998	1.774	2.165	0.899	0.47200000000000003	0.8009999999999999	0.591	1.808	2.101	2.004	0.932	0.833	0.7509999999999999	0.785	2.099	1.742	1.84	1.175	0.8690000000000001	0.768	0.7190000000000001
