	MG1655-1	rzpD-1	sspA-1	MG1655-2	rzpD-2	sspA-2	MG1655-3	rzpD-3	sspA-3
24.84077	1.786	3.096	8.132	1.7730000000000001	1.621	3.805	1.205	0.978	4.249
25.00753	1.771	3.1710000000000003	7.695	1.7930000000000001	1.4469999999999998	3.983	1.162	0.8690000000000001	4.428999999999999
25.17413	1.807	3.176	8.022	1.796	1.611	3.89	1.455	0.872	4.4
25.34072	1.89	3.2030000000000003	7.947	1.876	1.5630000000000002	4.104	1.275	0.887	4.417
25.50751	2.01	3.398	8.168	1.9280000000000002	1.5830000000000002	3.9010000000000002	1.291	0.8390000000000001	4.438
25.67418	1.9169999999999998	3.241	8.366	1.996	1.425	4.099	1.229	0.907	4.668
25.84087	1.911	3.3480000000000003	8.127	1.964	1.715	3.898	1.2670000000000001	0.878	4.504
26.00747	1.9380000000000002	3.29	8.579	1.986	1.577	4.184	1.318	0.8009999999999999	4.7219999999999995
26.17427	1.999	3.22	8.251	1.886	1.5090000000000001	4.18	1.3159999999999998	0.831	4.46
26.34094	1.9869999999999999	3.397	8.335	1.8119999999999998	1.6280000000000001	4.2010000000000005	1.3719999999999999	0.8220000000000001	4.513999999999999
26.50753	2.003	3.387	8.838	1.889	1.577	4.314	1.415	0.9309999999999999	4.657
26.67427	2.185	3.596	8.662	1.912	1.6640000000000001	4.592	1.31	0.922	4.937
26.84093	1.946	3.818	8.459	1.992	1.422	4.484	1.324	0.8390000000000001	4.8260000000000005
27.00765	1.8940000000000001	3.467	8.759	2.009	1.567	4.657	1.31	0.825	4.647
27.17439	1.83	3.467	9.05	2.009	1.631	4.592	1.278	0.922	4.711
27.34098	1.9340000000000002	3.478	9.221	1.886	1.67	4.277	1.2830000000000001	0.831	4.848
27.50765	2.12	3.693	9.244	2.106	1.567	4.754	1.375	0.922	5.131
27.67436	2.131	3.787	9.167	2.109	1.6680000000000001	4.444	1.405	0.9540000000000001	4.944
27.84103	2.131	3.56	9.555	2.109	1.7009999999999998	4.638	1.5019999999999998	0.922	4.8469999999999995
28.00773	2.093	3.7289999999999996	9.524	2.229	1.692	4.635	1.4569999999999999	0.9420000000000001	5.002
28.17441	2.144	3.662	9.628	1.996	1.781	4.488	1.327	0.907	5.056
28.34103	2.3609999999999998	3.805	9.696	2.17	1.893	4.838	1.528	0.98	5.0089999999999995
28.50778	2.272	3.9010000000000002	9.862	2.0540000000000003	1.6130000000000002	4.715	1.3159999999999998	0.866	5.085
28.6745	2.272	3.7060000000000004	9.7	2.021	1.6780000000000002	4.942	1.349	0.963	4.987
28.84117	2.1790000000000003	4.069	9.672	2.251	1.682	4.849	1.416	0.966	5.088
29.00769	2.329	3.5980000000000003	9.787	2.339	1.8659999999999999	4.998	1.4080000000000001	0.8270000000000001	5.045
