	MG1655-1	IBUA8-3_1	ilvH-1	ilvN-1	pykF_ilvH-1	pykF_ilvN-1	pykF-1	MG1655-2	IBUA8-3_2	ilvH-2	ilvN-2	pykF_ilvH-2	pykF_ilvN-2	pykF-2	MG1655-3	IBUA8-3_3	ilvH-3	ilvN-3	pykF_ilvH-3	pykF_ilvN-3	pykF-3
4.17182	0.7340000000000001	0.7240000000000001	0.446	0.778	0.79	0.6859999999999999	0.465	0.606	1.266	0.631	0.7829999999999999	1.033	1.002	0.934	0.475	0.821	0.602	0.9690000000000001	0.9890000000000001	0.785	0.938
4.33838	0.777	0.8009999999999999	0.518	0.685	0.8290000000000001	0.857	0.43799999999999994	0.649	1.2109999999999999	0.539	0.691	1.04	1.008	0.94	0.552	0.8320000000000001	0.5760000000000001	0.977	0.997	0.759	1.078
4.50516	0.606	0.7559999999999999	0.42700000000000005	0.759	0.7070000000000001	0.735	0.48100000000000004	0.48	1.265	0.51	0.665	1.111	0.9520000000000001	0.981	0.278	0.589	0.5479999999999999	0.9470000000000001	0.9670000000000001	0.665	1.146
4.67185	0.767	0.823	0.611	0.7120000000000001	0.7240000000000001	0.851	0.597	0.54	1.266	0.631	0.684	1.033	0.9690000000000001	1.198	0.7390000000000001	0.887	0.503	1.068	1.022	0.6859999999999999	1.236
4.83853	0.782	0.84	0.555	0.688	0.8320000000000001	0.893	0.606	0.455	1.382	0.444	0.8590000000000001	1.176	0.978	1.141	0.392	0.937	0.613	1.146	1.0	0.597	1.181
5.00508	0.653	0.971	0.602	0.703	0.815	0.843	0.489	0.42700000000000005	1.381	0.455	0.741	1.122	0.993	1.222	0.624	1.101	0.5589999999999999	0.958	1.077	0.6759999999999999	1.158
5.17185	0.833	1.12	0.512	0.7120000000000001	0.823	1.0490000000000002	0.597	0.54	1.5630000000000002	0.466	0.684	1.1320000000000001	0.9690000000000001	1.2309999999999999	0.376	1.085	0.569	0.87	1.088	0.5870000000000001	1.236
5.33851	0.7440000000000001	1.033	0.518	0.784	0.7959999999999999	0.7909999999999999	0.768	0.516	1.5090000000000001	0.5720000000000001	0.757	1.271	1.074	1.237	0.585	1.13	0.47700000000000004	0.878	0.997	0.66	1.177
5.50515	0.882	1.178	0.544	0.643	0.853	0.8140000000000001	0.892	0.653	1.555	0.469	0.816	1.167	1.097	1.328	0.794	1.375	0.638	0.9740000000000001	1.06	0.621	1.374
5.67178	0.825	1.19	0.65	0.815	0.958	0.986	0.732	0.49700000000000005	1.8319999999999999	0.51	0.79	1.207	1.004	1.268	0.341	1.3869999999999998	0.611	1.015	1.034	0.6940000000000001	1.415
5.83852	0.777	1.33	0.618	0.718	0.9279999999999999	0.89	0.868	0.616	1.7730000000000001	0.5720000000000001	0.79	1.271	1.173	1.5019999999999998	0.585	1.295	0.51	1.0759999999999998	1.129	0.693	1.3430000000000002
6.00529	0.843	1.528	0.452	0.883	0.73	0.956	0.9670000000000001	0.616	1.806	0.473	0.757	1.271	1.074	1.5019999999999998	0.552	1.4269999999999998	0.5760000000000001	1.0759999999999998	1.03	0.759	1.376
6.17189	0.7340000000000001	1.517	0.446	0.778	0.9890000000000001	0.851	0.895	0.54	1.8940000000000001	0.466	0.6509999999999999	1.165	1.2	1.495	0.772	1.68	0.503	1.068	1.121	0.6859999999999999	1.4669999999999999
6.33862	0.898	1.574	0.589	0.855	0.902	0.831	1.038	0.475	2.05	0.44	0.8270000000000001	1.24	1.048	1.704	0.503	1.77	0.578	1.141	1.194	0.86	1.703
6.50527	0.8320000000000001	1.739	0.49	0.7559999999999999	0.968	0.8640000000000001	1.038	0.508	2.248	0.44	0.8270000000000001	1.24	1.18	1.704	0.932	1.869	0.545	1.0090000000000001	1.161	0.8270000000000001	1.736
6.67188	0.7929999999999999	1.889	0.465	0.6659999999999999	0.878	0.84	1.014	0.47100000000000003	2.267	0.41100000000000003	0.833	1.311	1.025	1.6780000000000002	0.493	1.92	0.517	1.11	1.1640000000000001	0.7	1.605
6.83861	0.775	2.006	0.507	0.873	0.986	1.014	1.023	0.452	2.383	0.389	0.7440000000000001	1.321	1.264	1.9509999999999998	0.608	2.103	0.56	1.023	1.0759999999999998	0.8420000000000001	1.881
7.00537	0.8740000000000001	1.94	0.507	0.741	0.953	0.948	1.023	0.551	2.614	0.488	0.7440000000000001	1.321	1.2309999999999999	1.8519999999999999	0.509	2.301	0.56	0.924	1.175	0.81	1.7819999999999998
7.172	0.789	2.081	0.495	0.828	0.941	0.903	1.209	0.565	2.721	0.408	0.731	1.3730000000000002	1.219	1.8719999999999999	0.455	2.441	0.513	0.975	1.16	0.8290000000000001	1.6669999999999998
7.33867	0.76	2.4819999999999998	0.498	0.633	1.075	1.005	1.212	0.47100000000000003	2.859	0.51	0.7020000000000001	1.311	1.156	1.9409999999999998	0.46	2.6439999999999997	0.517	0.978	1.131	0.8320000000000001	1.704
7.50527	0.779	2.464	0.5539999999999999	0.723	1.0659999999999998	0.93	1.301	0.523	2.9389999999999996	0.565	0.7909999999999999	1.3659999999999999	1.246	1.8659999999999999	0.5429999999999999	2.955	0.605	1.0	1.251	0.92	1.791
7.67201	0.746	2.694	0.488	0.8220000000000001	0.968	1.128	1.334	0.523	3.301	0.466	0.725	1.3	1.3119999999999998	1.931	0.47700000000000004	3.218	0.507	1.197	1.251	0.986	1.9880000000000002
7.83874	0.8590000000000001	2.8110000000000004	0.498	0.8640000000000001	1.075	1.038	1.245	0.47100000000000003	3.451	0.609	0.735	1.508	1.321	2.073	0.493	3.4339999999999997	0.517	1.176	1.262	0.997	2.0
8.00534	0.878	2.891	0.488	0.723	1.034	1.193	1.334	0.556	3.7289999999999996	0.466	0.7909999999999999	1.465	1.345	2.03	0.47700000000000004	3.613	0.539	1.0659999999999998	1.35	1.0190000000000001	2.0540000000000003
8.17211	0.789	3.463	0.495	0.861	1.04	1.035	1.538	0.532	3.9389999999999996	0.506	0.731	1.472	1.351	2.07	0.784	3.79	0.513	0.975	1.423	1.092	1.996
8.33867	0.774	3.477	0.452	0.753	1.031	1.125	1.495	0.519	4.117	0.397	0.722	1.56	1.3419999999999999	2.2569999999999997	0.636	4.165	0.536	0.996	1.3130000000000002	1.015	2.149
8.50538	0.83	3.858	0.446	0.747	1.123	1.217	1.5219999999999998	0.509	4.696000000000001	0.5539999999999999	0.715	1.651	1.5330000000000001	2.415	0.7240000000000001	4.481	0.595	0.89	1.338	1.107	2.075
8.67215	0.887	4.055	0.396	0.7290000000000001	1.04	1.199	1.735	0.467	4.794	0.5720000000000001	0.83	1.669	1.45	2.267	0.455	4.777	0.44799999999999995	1.205	1.423	1.125	2.194
8.83874	0.863	4.351	0.479	0.812	1.123	1.2830000000000001	1.686	0.444	5.353	0.29100000000000004	0.879	1.5859999999999999	1.5330000000000001	2.349	0.626	5.072	0.496	1.054	1.4369999999999998	1.074	2.239
9.00543	0.779	4.5680000000000005	0.455	0.8540000000000001	1.264	1.358	1.63	0.523	5.372999999999999	0.499	0.6920000000000001	1.695	1.7069999999999999	2.556	0.379	5.816	0.507	1.0	1.4480000000000002	1.183	2.449
9.17218	0.873	4.8580000000000005	0.452	0.753	1.359	1.5190000000000001	1.824	0.42	5.761	0.594	0.6890000000000001	1.757	1.605	2.52	0.5379999999999999	5.941	0.503	1.095	1.445	1.3769999999999998	2.346
9.33883	0.825	5.232	0.377	0.7440000000000001	1.153	1.51	1.88	0.505	6.2989999999999995	0.452	0.8759999999999999	1.7790000000000001	1.695	2.608	0.325	6.38	0.493	0.985	1.499	1.399	2.432
9.50555	0.845	5.621	0.455	0.7559999999999999	1.264	1.2919999999999998	1.827	0.424	6.524	0.401	0.725	1.695	1.641	2.655	0.642	6.638	0.507	1.0659999999999998	1.547	1.381	2.4819999999999998
9.67212	0.968	6.247000000000001	0.405	0.8370000000000001	1.246	1.439	1.942	0.546	7.151	0.419	0.807	1.7790000000000001	1.821	2.7710000000000004	0.405	7.2	0.45799999999999996	1.0190000000000001	1.632	1.4969999999999999	2.568
9.83874	0.7929999999999999	6.859	0.39899999999999997	0.765	1.3719999999999999	1.433	2.133	0.47100000000000003	7.532	0.47700000000000004	0.735	1.87	1.815	2.863	0.46	7.614	0.418	1.077	1.624	1.589	2.6910000000000003
10.00549	0.7190000000000001	7.0920000000000005	0.382	0.846	1.189	1.58	2.215	0.494	7.962999999999999	0.495	0.85	1.8219999999999998	1.962	2.88	0.718	8.21	0.46799999999999997	0.997	1.578	1.706	2.68
10.17227	0.774	7.388999999999999	0.386	0.917	1.3259999999999998	1.5519999999999998	2.219	0.354	9.016	0.397	0.6890000000000001	1.889	1.901	3.013	0.439	8.604	0.33899999999999997	1.062	1.642	1.673	2.74
10.33879	0.76	7.912000000000001	0.366	0.765	1.3719999999999999	1.564	2.396	0.537	8.847999999999999	0.47700000000000004	0.7020000000000001	1.969	2.045	3.0269999999999997	0.395	9.226	0.451	1.011	1.855	1.786	2.7569999999999997
10.50555	0.8140000000000001	8.488	0.433	0.7659999999999999	1.3730000000000002	1.796	2.334	0.423	9.558	0.418	0.6709999999999999	2.042	2.145	3.363	0.42	9.905	0.39	1.1520000000000001	1.7990000000000002	1.761	3.1010000000000004
10.67224	0.804	8.902000000000001	0.493	0.759	1.465	1.757	2.559	0.414	10.136000000000001	0.444	0.863	2.134	2.238	3.455	0.44299999999999995	10.582	0.38299999999999995	1.1440000000000001	1.791	1.952	3.0260000000000002
10.83885	0.847	9.412	0.4	0.7659999999999999	1.57	1.9609999999999999	2.565	0.423	11.043	0.55	0.8690000000000001	2.108	2.145	3.495	0.618	11.06	0.489	0.9540000000000001	1.8980000000000001	2.025	3.233
11.00563	0.7240000000000001	10.263	0.418	0.882	1.6540000000000001	2.077	2.713	0.4	11.102	0.33399999999999996	0.754	2.189	2.261	3.477	0.32799999999999996	11.81	0.373	1.1	1.944	2.105	3.3760000000000003
11.17215	0.767	10.302	0.34700000000000003	0.613	1.715	2.073	2.8760000000000003	0.408	11.802	0.36700000000000005	0.7829999999999999	2.255	2.3890000000000002	3.807	0.376	12.447000000000001	0.47	1.068	2.013	2.073	3.448
11.3389	0.804	11.54	0.39399999999999996	0.858	1.597	2.153	3.1519999999999997	0.414	12.808	0.444	0.83	2.299	2.436	3.95	0.344	13.682	0.5479999999999999	1.111	2.055	2.4130000000000003	3.6860000000000004
11.50562	0.785	11.408	0.48100000000000004	0.846	1.7819999999999998	2.239	3.27	0.461	12.972000000000001	0.594	0.7509999999999999	2.383	2.555	4.066	0.619	14.009	0.46799999999999997	1.0959999999999999	2.039	2.6289999999999996	3.833
11.67234	0.76	12.585	0.3	0.929	1.766	2.2230000000000003	3.515	0.537	14.18	0.37799999999999995	0.833	2.463	2.637	4.047	0.0	13.998	0.451	1.077	2.052	2.477	4.107
11.83896	0.748	13.24	0.33399999999999996	0.799	1.801	2.291	3.588	0.39	14.805	0.517	0.8690000000000001	2.537	2.772	4.287	0.75	15.415999999999999	0.555	1.119	2.36	2.718	4.19
12.00574	0.8690000000000001	13.655999999999999	0.405	0.8370000000000001	1.7730000000000001	2.5580000000000003	3.753	0.382	15.284	0.386	0.807	2.602	2.8080000000000003	4.5489999999999995	0.405	15.958	0.45799999999999996	1.216	2.258	2.88	4.445
12.17232	0.695	14.526	0.366	0.8640000000000001	1.931	2.65	4.0089999999999995	0.27399999999999997	16.154	0.51	0.8	2.693	3.032	4.541	0.6579999999999999	17.453	0.517	1.011	2.315	3.037	4.6
12.33903	0.789	15.503	0.385	0.948	2.082	2.7689999999999997	4.163	0.4	16.309	0.532	0.82	2.815	3.1180000000000003	4.927	0.493	16.918	0.47200000000000003	1.1	2.373	3.391	4.727
12.50571	0.818	16.548	0.48100000000000004	0.78	2.145	2.931	4.357	0.461	17.98	0.726	0.9159999999999999	2.8110000000000004	3.247	5.022	0.586	18.985	0.5670000000000001	1.0959999999999999	2.5660000000000003	3.485	4.953
12.67243	0.903	16.619	0.493	0.858	2.191	3.076	4.57	0.513	18.975	0.51	1.028	2.991	3.425	5.17	0.245	20.146	0.581	1.1440000000000001	2.6489999999999996	3.799	5.1370000000000005
12.83899	0.892	16.698	0.498	0.831	2.161	3.2430000000000003	4.601	0.43799999999999994	19.477999999999998	0.609	0.833	3.055	3.427	5.726	0.46	20.58	0.55	1.077	2.71	3.827	5.291
13.00575	0.907	18.308	0.408	0.774	2.27	3.418	4.942	0.551	20.561999999999998	0.521	0.909	3.198	3.701	6.002000000000001	0.47600000000000003	21.138	0.56	1.088	2.855	4.037	5.899
13.17244	0.8140000000000001	18.980999999999998	0.532	0.898	2.296	3.7430000000000003	5.2379999999999995	0.522	21.338	0.418	0.8690000000000001	3.197	3.861	6.234	0.28800000000000003	21.816999999999997	0.654	1.119	2.888	4.302	5.7410000000000005
13.33908	0.852	20.179000000000002	0.602	0.868	2.432	3.78	5.704	0.39399999999999996	22.041999999999998	0.5539999999999999	0.9390000000000001	3.498	4.162	6.6339999999999995	0.657	24.138	0.5589999999999999	1.057	2.991	4.57	6.042999999999999
13.50572	0.9159999999999999	21.59	0.48100000000000004	0.846	2.6719999999999997	3.9189999999999996	5.939	0.395	22.197	0.429	0.9159999999999999	3.47	4.202	6.537999999999999	0.42100000000000004	24.553	0.633	1.195	3.1260000000000003	4.77	6.436
13.67238	0.9179999999999999	22.061	0.503	0.868	2.63	4.176	6.166	0.526	24.913	0.62	0.873	3.696	4.459	6.667000000000001	0.624	24.864	0.5920000000000001	1.222	3.4530000000000003	5.197	6.537999999999999
13.83905	1.0170000000000001	22.456999999999997	0.536	0.868	2.8280000000000003	4.176	6.859	0.5920000000000001	24.517	0.521	0.84	3.8280000000000003	4.657	7.228	0.45899999999999996	25.425	0.5920000000000001	1.222	3.42	5.395	6.934
14.0058	0.903	23.215	0.493	0.858	2.9160000000000004	4.396	6.846	0.513	25.34	0.642	0.863	4.113	5.008	7.412999999999999	0.542	26.741999999999997	0.68	1.21	3.605	5.678	7.149
14.17244	0.9129999999999999	24.162	0.598	0.963	3.088	4.667	7.086	0.621	26.551	0.616	0.836	4.2860000000000005	5.148	7.818	0.519	26.865	0.588	1.1520000000000001	3.548	5.853	7.257999999999999
14.33918	0.9420000000000001	24.691999999999997	0.618	0.883	3.208	5.021	7.575	0.649	27.878	0.539	0.889	4.343999999999999	5.37	8.044	0.7829999999999999	27.928	0.675	1.1420000000000001	3.838	6.277	7.752999999999999
14.50574	0.96	26.111	0.608	0.8079999999999999	3.33	5.1739999999999995	7.892	0.536	28.04	0.561	0.945	4.497	5.721	8.459	0.6679999999999999	28.915	0.698	1.065	3.858	6.626	8.199
14.67249	0.927	25.714000000000002	0.542	0.973	3.429	5.405	8.321	0.536	29.063000000000002	0.561	0.945	4.728	6.018	8.921	0.536	27.496	0.665	1.263	4.254	6.922999999999999	8.727
14.83915	1.002	27.899	0.5920000000000001	0.858	3.609	5.649	8.693	0.578	29.199	0.642	1.028	4.97	6.229	9.523	0.6409999999999999	24.994	0.647	1.046	4.298	7.196000000000001	8.863999999999999
15.00588	0.9179999999999999	28.232	0.536	0.9670000000000001	3.884	6.156000000000001	9.104	0.5920000000000001	31.184	0.818	0.9390000000000001	5.2139999999999995	6.34	9.472999999999999	0.8220000000000001	23.709	0.6579999999999999	1.123	4.4430000000000005	7.805	9.211
15.17263	1.045	27.758000000000003	0.73	0.898	3.88	6.284	9.363	0.522	29.95	0.715	0.968	5.309	6.897	9.929	0.8490000000000001	25.908	0.7859999999999999	1.218	4.736000000000001	8.03	9.964
15.33916	0.903	26.81	0.5920000000000001	0.858	4.005	6.737	9.649	0.611	25.241	0.708	0.863	5.662999999999999	7.119	10.15	0.6409999999999999	27.303	0.746	1.046	4.792	8.383	9.952
15.50584	0.973	24.927	0.705	0.873	4.279	7.138999999999999	10.113	0.551	25.008000000000003	0.784	0.909	5.767	7.455	10.710999999999999	0.7070000000000001	27.066	0.659	1.286	4.995	8.582	10.509
15.67258	1.0959999999999999	23.732	0.787	0.888	4.463	7.4910000000000005	10.699000000000002	0.508	28.791	0.737	0.925	6.087000000000001	7.675	11.332	0.899	27.818	0.743	1.141	5.513	9.037	10.935
15.83915	1.046	25.233	0.72	0.919	4.732	7.636	10.819	0.62	28.815	0.774	0.992	6.431	8.117	11.685	0.6890000000000001	28.04	0.8109999999999999	1.344	5.8260000000000005	9.422	11.493
16.00587	1.074	26.741	0.7170000000000001	0.9159999999999999	4.993	7.829	11.442	0.616	29.166999999999998	0.6709999999999999	0.988	6.591	8.344	12.175	0.75	28.325	0.8079999999999999	1.2409999999999999	6.085	10.276	11.652000000000001
16.17267	1.05	27.869	0.701	0.802	5.105	8.4	11.876	0.625	29.665	0.752	0.972	6.864	8.716000000000001	13.037	0.624	28.461	0.79	1.321	6.093999999999999	10.379000000000001	11.850999999999999
16.33928	1.111	27.526999999999997	0.7959999999999999	0.898	5.497000000000001	8.857999999999999	12.464	0.72	29.554000000000002	0.8140000000000001	1.034	7.289	9.107999999999999	13.328	0.948	27.36	0.852	1.251	6.353	11.132	12.604000000000001
16.50594	1.026	28.488000000000003	0.74	0.973	5.608	9.169	12.515	0.536	28.733	0.759	0.879	7.468999999999999	9.617	13.908	0.7340000000000001	27.595	0.863	1.23	6.6979999999999995	11.579	13.052999999999999
16.67256	1.13	27.971999999999998	0.8420000000000001	0.976	5.843999999999999	9.703	13.445	0.804	29.736	0.763	0.883	7.903	10.283	14.409	0.838	27.805	0.966	1.3330000000000002	6.9670000000000005	11.982000000000001	13.324000000000002
16.83926	1.1159999999999999	27.77	0.8	0.9670000000000001	6.292999999999999	10.017999999999999	14.020999999999999	0.7240000000000001	30.160999999999998	0.818	0.9390000000000001	8.152000000000001	10.499	14.687000000000001	0.8220000000000001	27.438000000000002	0.79	1.255	7.15	12.293	14.294
17.00598	1.0590000000000002	27.564	0.8390000000000001	1.105	6.3020000000000005	10.325	15.155999999999999	0.701	29.326999999999998	0.759	0.978	8.459	11.169	14.931	0.866	27.991	0.797	1.263	7.655	12.999	14.142999999999999
17.17269	1.064	27.774	0.9079999999999999	1.0090000000000001	6.735	10.892000000000001	14.997	0.705	29.736	0.763	0.9490000000000001	8.663	11.472000000000001	15.4	0.772	27.574	0.966	1.3659999999999999	7.859	13.335999999999999	14.612
17.33942	1.145	27.612	0.852	1.018	7.112	11.338	15.942	0.8190000000000001	29.675	0.774	0.892	9.207	11.687000000000001	16.609	0.9540000000000001	26.982	0.976	1.3769999999999998	8.206	13.520999999999999	14.997
17.50607	1.224	27.861	0.8390000000000001	1.006	7.49	11.777999999999999	16.015	0.899	30.680999999999997	0.924	0.945	9.582	12.49	16.317999999999998	0.965	27.496	0.8959999999999999	1.329	8.91	14.419	15.959000000000001
17.67268	1.244	27.612	0.9179999999999999	1.018	7.8389999999999995	12.130999999999998	16.735	0.8190000000000001	28.980999999999998	0.9390000000000001	0.992	9.901	12.710999999999999	17.337	1.1520000000000001	27.61	0.976	1.3769999999999998	8.933	14.843	16.583
17.8393	1.178	28.141	0.852	1.084	8.104	13.155	16.768	0.852	29.212	0.9390000000000001	1.058	10.166	13.470999999999998	18.229	0.888	27.544	1.0090000000000001	1.344	9.527999999999999	15.669	16.98
18.006	1.272	27.136999999999997	0.8490000000000001	0.9159999999999999	8.231	13.447000000000001	17.753	0.847	29.96	0.87	0.889	10.755	13.565	18.519000000000002	0.948	27.631	0.907	1.473	10.051	15.761	17.402
18.1727	1.262	27.873	0.941	1.1079999999999999	8.717	13.435	18.267	0.804	29.274	0.961	0.9490000000000001	10.842	14.445	18.174	0.97	28.101999999999997	0.9990000000000001	1.234	9.907	16.374000000000002	17.452
18.33945	1.248	27.671	0.998	0.9670000000000001	9.165	14.11	17.718	0.889	30.061999999999998	0.851	0.873	11.220999999999998	14.657	19.539	1.1520000000000001	27.636	1.087	1.255	10.417	16.452	17.759
18.50604	1.188	27.537	1.024	1.124	9.469	14.556	19.394000000000002	0.828	28.939	1.079	0.899	12.095	15.203	19.730999999999998	1.064	28.56	1.215	1.484	10.862	17.601	18.682000000000002
18.67269	1.3419999999999999	27.625999999999998	1.0270000000000001	0.996	9.82	15.49	19.624000000000002	0.885	29.29	0.946	1.034	11.908	15.839	19.828	1.113	28.416	0.9840000000000001	1.416	11.434000000000001	17.929000000000002	19.269000000000002
18.83946	1.2570000000000001	27.695999999999998	1.037	1.006	10.495	16.038	20.737	0.998	29.228	1.023	0.978	12.455	16.519000000000002	21.171999999999997	1.229	28.684	1.094	1.3619999999999999	11.882	18.48	20.119
19.00612	1.287	27.67	1.123	1.091	10.857999999999999	16.176	21.213	1.092	30.163	1.145	0.899	12.988	16.855999999999998	21.319000000000003	1.097	29.221999999999998	1.1159999999999999	1.3519999999999999	11.985999999999999	18.957	20.732
19.17278	1.327	27.965999999999998	1.084	0.917	11.165999999999999	17.422	21.441999999999997	1.031	29.768	1.01	0.9259999999999999	13.436	17.639	22.375999999999998	1.141	28.627	1.2109999999999999	1.383	12.866	19.119	21.131999999999998
19.33944	1.396	27.396	1.064	0.998	11.629000000000001	17.546	22.288	0.937	28.566999999999997	1.054	0.972	14.290999999999999	17.961	22.228	1.0090000000000001	29.809	1.2890000000000001	1.36	13.222999999999999	20.627	21.245
19.50616	1.386	27.835	1.222	0.991	12.114	18.524	22.635	1.126	30.295	1.245	0.899	14.344000000000001	18.774	22.807	1.262	28.131	1.1159999999999999	1.253	13.64	20.445	22.351999999999997
19.67282	1.443	27.447	1.315	1.018	12.433	18.939	23.180999999999997	1.182	29.873	1.237	0.992	14.859000000000002	19.123	24.013	1.383	28.04	1.274	1.3769999999999998	14.122	21.354	22.599
19.83948	1.396	27.496	1.262	1.031	13.085	19.3	22.85	1.102	29.691999999999997	1.087	0.972	15.184000000000001	19.549	23.948	1.406	28.288	1.189	1.36	14.58	21.916999999999998	22.601999999999997
