	MG1655-1	COUM4-2_1	MG1655-2	COUM4-2_2	MG1655-3	COUM4-2_3	nadR_rpoA-1	nadR_rpoA-2	nadR_rpoA-3
44.67867	4.285	57.321999999999996	4.3919999999999995	61.76	3.6519999999999997	54.159	25.021	24.221	29.73
44.84537	4.173	57.206	4.449	62.128	3.7769999999999997	54.476000000000006	25.17	24.739	29.648000000000003
45.01203	4.0360000000000005	57.662	4.349	62.67	3.7769999999999997	54.456	25.204	24.233	30.025
45.17886	4.263	57.413999999999994	4.242	62.086999999999996	3.94	54.367	25.465	24.456999999999997	30.265
45.34552	4.245	57.48	4.324	62.244	3.82	54.032	25.628	24.419	30.256
45.51218	4.407	57.38	4.455	62.465	3.8480000000000003	54.434	25.653000000000002	24.375	30.118000000000002
45.6789	4.272	57.751999999999995	4.319	62.33	3.95	54.70399999999999	25.754	24.746	30.388
45.84552	4.351	57.756	4.368	62.395	4.032	54.769	25.683000000000003	24.570999999999998	30.293000000000003
46.0123	4.2219999999999995	57.821000000000005	4.643	62.714	3.8680000000000003	54.669	25.116999999999997	25.19	30.261999999999997
46.17898	4.236000000000001	58.042	4.353	62.605	4.085	54.854	25.925	25.151999999999997	30.463
46.34564	4.421	58.04	4.57	62.626999999999995	3.795	54.888999999999996	25.919	25.316	30.217
46.51232	4.36	58.231	4.479	62.875	3.906	55.343999999999994	26.279	25.708000000000002	29.908
46.67897	4.2860000000000005	57.996	4.542	62.352	4.173	55.343	25.83	25.123	30.379
46.84568	4.295	58.031000000000006	4.45	62.121	4.081	55.343	25.884	25.583000000000002	31.011999999999997
47.01245	4.345	58.461000000000006	4.572	62.716	4.237	55.426	26.095	25.045	31.166999999999998
47.17917	4.48	58.244	4.436	62.858000000000004	4.169	55.136	26.233	25.011	30.936999999999998
47.34586	4.38	58.453	4.543	62.714	4.072	55.476000000000006	25.801	25.498	31.333000000000002
47.51255	4.362	58.544	4.631	63.246	4.126	55.183	26.014	26.018	31.558000000000003
47.67912	4.371	58.58	4.71	63.287	3.965	55.49100000000001	26.753	25.627	31.684
47.84586	4.39	58.788000000000004	4.73	63.095	4.293	55.559	26.52	26.078000000000003	31.489
48.01253	4.413	58.946000000000005	4.755	63.266000000000005	4.078	55.748000000000005	26.433000000000003	25.51	31.579
48.17928	4.618	58.865	4.687	63.306999999999995	4.25	55.558	25.919	25.924	31.83
48.34596	4.455	58.935	4.628	63.555	4.157	55.696000000000005	26.043000000000003	26.254	31.749000000000002
48.51274	4.468999999999999	59.056999999999995	4.643	63.652	4.378	55.851000000000006	27.486	25.836	31.715
48.67936	4.655	59.284	4.761	63.576	4.29	55.833	26.276	26.418000000000003	32.404
48.84598	4.655	59.111000000000004	4.83	63.472	4.083	55.73	27.138	26.384	31.748
49.01278	4.694	58.957	4.766	63.597	4.192	55.54	26.631	26.186999999999998	31.725
49.17939	4.462	59.338	4.845	63.776	4.478	55.989	27.273000000000003	26.311	31.644000000000002
