	MG1655-1	GLUT1-3_1	GLUT1-10_1	GLUT4-1_1	GLUT8-6_1	kgtP-1	proV-1	ybjL-1	MG1655-2	GLUT1-3_2	GLUT1-10_2	GLUT4-1_2	GLUT8-6_2	kgtP-2	proV-2	ybjL-2	MG1655-3	GLUT1-3_3	GLUT1-10_3	GLUT4-1_3	GLUT8-6_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_sspA-1	kgtP_ybjL-1	kgtP_proV_ybjL-1	kgtP_proV-2	kgtP_sspA-1dup	kgtP_ybjL-2	kgtP_proV_ybjL-2	kgtP_proV-3	kgtP_sspA-3	kgtP_ybjL-3	kgtP_proV_ybjL-3
3.3385	0.452	0.254	0.767	0.6679999999999999	0.7020000000000001	0.65	0.878	1.15	0.8640000000000001	0.6	0.664	0.75	0.488	0.53	0.85	0.9990000000000001	0.8440000000000001	0.813	0.895	0.8270000000000001	0.8640000000000001	0.82	1.391	1.406	1.091	1.097	1.1520000000000001	1.1340000000000001	0.99	1.14	1.025	1.178	0.828	0.986	1.093	1.054
3.50515	0.35600000000000004	0.302	0.5870000000000001	0.631	0.607	0.556	1.069	0.97	0.8240000000000001	0.589	0.769	0.741	0.537	0.605	0.8690000000000001	0.96	0.833	0.8029999999999999	0.971	0.818	0.77	0.8959999999999999	1.381	1.5090000000000001	1.023	1.03	1.057	1.0390000000000001	1.093	1.073	1.045	1.169	0.904	1.034	1.255	1.13
3.67178	0.42700000000000005	0.34299999999999997	0.6559999999999999	0.643	0.591	0.682	0.9670000000000001	1.0390000000000001	0.8390000000000001	0.518	0.838	0.725	0.491	0.505	0.882	1.002	0.848	0.73	0.9840000000000001	0.802	0.867	0.9940000000000001	1.252	1.5230000000000001	1.124	1.1	1.069	1.1079999999999999	1.078	1.001	0.971	1.21	0.831	1.046	1.2670000000000001	1.199
3.8385	0.524	0.267	0.608	0.68	0.7140000000000001	0.69	0.976	1.0490000000000002	0.851	0.5579999999999999	0.705	0.762	0.557	0.63	0.948	0.983	0.8590000000000001	0.769	0.965	0.754	0.79	0.861	1.32	1.335	1.135	1.053	1.079	1.175	1.1179999999999999	1.153	1.294	1.276	0.784	0.998	1.1909999999999998	1.237
4.00519	0.62	0.33299999999999996	0.617	0.746	0.7509999999999999	0.7559999999999999	0.927	1.001	0.862	0.569	0.7140000000000001	0.7709999999999999	0.594	0.64	0.872	0.9079999999999999	0.812	0.779	1.003	0.82	0.799	0.8420000000000001	1.415	1.517	1.1179999999999999	1.205	1.1740000000000002	1.1840000000000002	1.014	0.991	1.218	1.286	0.9359999999999999	1.15	1.286	1.218
4.17193	0.32799999999999996	0.43700000000000006	0.721	0.763	0.74	0.7170000000000001	1.031	1.0190000000000001	0.743	0.562	0.79	0.789	0.526	0.632	0.92	0.927	0.7490000000000001	0.684	1.021	0.868	0.759	0.946	1.294	1.31	1.14	1.139	1.2209999999999999	1.175	1.121	1.0390000000000001	1.265	1.247	0.899	1.026	1.3330000000000002	1.265
4.33857	0.299	0.35100000000000003	0.607	0.792	0.74	0.774	0.945	1.0190000000000001	0.8	0.505	0.79	0.76	0.526	0.718	0.977	0.927	0.8909999999999999	0.627	0.85	0.868	0.8170000000000001	0.889	1.379	1.396	1.14	1.339	1.136	1.203	1.121	1.0959999999999999	1.265	1.3330000000000002	0.956	1.254	1.3330000000000002	1.379
4.50515	0.485	0.478	0.47700000000000004	0.775	0.667	0.728	1.014	0.945	0.758	0.662	0.7170000000000001	0.9440000000000001	0.595	0.6459999999999999	0.904	0.912	0.7340000000000001	0.7829999999999999	1.005	0.852	0.857	0.902	1.393	1.325	1.1840000000000002	1.3230000000000002	1.205	1.188	1.135	1.052	1.335	1.1740000000000002	0.9690000000000001	1.124	1.317	1.335
4.67183	0.578	0.541	0.711	0.78	0.758	0.7340000000000001	1.02	0.866	0.737	0.498	0.723	0.807	0.63	0.682	0.91	0.9470000000000001	0.684	0.647	0.9540000000000001	0.887	0.92	1.137	1.486	1.3319999999999999	1.163	1.273	1.212	1.222	1.057	1.03	1.37	1.3230000000000002	1.061	1.13	1.3230000000000002	1.341
4.83847	0.667	0.45799999999999996	0.5710000000000001	0.812	0.7609999999999999	0.794	1.052	0.9540000000000001	0.769	0.53	0.755	0.953	0.633	0.685	0.9990000000000001	0.836	0.745	0.736	0.9570000000000001	0.9470000000000001	0.78	0.997	1.4040000000000001	1.393	1.166	1.247	1.215	1.226	1.26	1.147	1.2009999999999998	1.2690000000000001	0.9790000000000001	1.1909999999999998	1.2690000000000001	1.401
5.00524	0.31	0.675	0.5589999999999999	0.857	0.778	0.84	0.9540000000000001	0.9990000000000001	0.754	0.573	0.799	0.941	0.621	0.643	0.815	0.9079999999999999	0.759	0.723	0.9159999999999999	0.7909999999999999	0.94	1.07	1.361	1.321	1.237	1.32	1.2309999999999999	1.1840000000000002	1.16	1.192	1.3319999999999999	1.3419999999999999	1.051	1.2919999999999998	1.4	1.3319999999999999
5.17194	0.217	0.607	0.578	0.904	0.682	0.7140000000000001	0.857	0.789	0.748	0.451	0.732	0.9590000000000001	0.5529999999999999	0.778	0.862	0.785	0.695	0.7140000000000001	0.9640000000000001	0.953	0.929	1.061	1.325	1.171	1.3459999999999999	1.34	1.135	1.175	1.0959999999999999	1.125	1.2930000000000001	1.247	0.985	1.14	1.247	1.2930000000000001
5.33853	0.109	0.782	0.6940000000000001	0.904	0.7120000000000001	0.8290000000000001	0.9159999999999999	0.9620000000000001	0.7290000000000001	0.631	0.763	0.903	0.64	0.785	0.894	0.8170000000000001	0.703	0.747	0.88	1.013	0.872	1.0070000000000001	1.4169999999999998	1.265	1.298	1.23	1.253	1.264	1.275	1.186	1.411	1.278	1.047	1.2570000000000001	1.392	1.325
5.50526	0.536	0.779	0.6629999999999999	1.016	0.7659999999999999	0.884	1.056	0.873	0.8690000000000001	0.6559999999999999	0.703	0.929	0.723	0.8390000000000001	0.977	0.8140000000000001	0.8140000000000001	0.83	0.963	1.1540000000000001	0.898	1.032	1.4140000000000001	1.347	1.294	1.456	1.2790000000000001	1.232	1.271	1.2690000000000001	1.3219999999999998	1.304	1.044	1.254	1.4469999999999998	1.465
5.67205	0.040999999999999995	0.9129999999999999	0.595	0.977	0.927	0.787	1.016	0.8340000000000001	0.748	0.6779999999999999	0.693	0.861	0.597	0.745	0.9670000000000001	0.805	0.7490000000000001	0.878	0.8390000000000001	1.087	0.887	1.109	1.349	1.2830000000000001	1.2309999999999999	1.3319999999999999	1.2690000000000001	1.165	1.235	1.26	1.3119999999999998	1.409	1.035	1.359	1.494	1.3980000000000001
5.83863	0.051	0.922	0.604	1.072	0.7929999999999999	0.767	0.997	0.8140000000000001	0.5870000000000001	0.746	0.7879999999999999	1.013	0.778	0.8420000000000001	0.8909999999999999	0.815	0.645	0.888	0.848	1.01	0.982	1.061	1.445	1.3219999999999998	1.271	1.399	1.2790000000000001	1.29	1.246	1.27	1.321	1.304	1.073	1.426	1.331	1.4069999999999998
6.00528	0.425	1.034	0.6579999999999999	1.0959999999999999	0.846	0.9059999999999999	0.963	0.7809999999999999	0.762	0.718	0.727	0.98	0.63	0.784	0.8590000000000001	0.841	0.617	0.973	0.93	1.151	0.948	1.087	1.329	1.3519999999999999	1.215	1.541	1.247	1.3730000000000002	1.361	1.382	1.2890000000000001	1.444	1.1	1.3940000000000001	1.443	1.49
6.17196	0.436	1.101	0.581	1.018	0.97	0.914	0.972	1.02	0.716	0.816	0.679	1.047	0.782	0.852	0.868	0.88	0.685	0.983	0.94	1.074	1.101	1.097	1.426	1.334	1.37	1.609	1.256	1.325	1.3719999999999999	1.306	1.442	1.367	1.168	1.4040000000000001	1.452	1.5
6.33862	0.34600000000000003	1.1840000000000002	0.635	1.102	0.938	0.94	0.9690000000000001	0.873	0.625	0.812	0.6759999999999999	1.072	0.8079999999999999	0.9059999999999999	0.779	0.934	0.595	0.9790000000000001	0.879	1.071	1.04	1.151	1.48	1.272	1.3090000000000002	1.72	1.34	1.2930000000000001	1.369	1.389	1.382	1.594	1.337	1.4580000000000002	1.535	1.525
6.50535	0.08	1.178	0.5710000000000001	1.0959999999999999	0.932	0.934	0.934	0.867	0.675	0.862	0.7559999999999999	1.038	0.86	0.87	0.8590000000000001	0.87	0.617	1.0590000000000002	0.9590000000000001	1.122	1.006	1.087	1.2429999999999999	1.409	1.301	1.714	1.304	1.3159999999999998	1.361	1.325	1.4609999999999999	1.5019999999999998	1.157	1.567	1.5	1.605
6.67197	0.09699999999999999	1.453	0.644	1.111	0.976	0.9490000000000001	0.9490000000000001	0.8540000000000001	0.723	0.9670000000000001	0.8290000000000001	1.053	0.7879999999999999	1.003	0.7879999999999999	0.9440000000000001	0.635	1.105	1.032	1.167	1.136	1.161	1.347	1.341	1.4069999999999998	1.817	1.349	1.4180000000000001	1.38	1.4269999999999998	1.535	1.518	1.1740000000000002	1.4680000000000002	1.6019999999999999	1.679
6.83869	0.324	1.4809999999999999	0.617	1.141	1.006	0.98	1.0090000000000001	0.9990000000000001	0.6890000000000001	1.02	0.743	1.198	0.848	0.9420000000000001	0.8170000000000001	1.0290000000000001	0.775	1.247	0.86	1.138	1.166	1.218	1.3730000000000002	1.308	1.4580000000000002	1.8730000000000002	1.406	1.475	1.577	1.455	1.5919999999999999	1.604	1.2590000000000001	1.611	1.746	1.679
7.00539	0.213	1.5419999999999998	0.706	1.1440000000000001	0.9229999999999999	1.012	0.9540000000000001	0.9440000000000001	0.693	1.052	0.804	1.115	0.879	1.061	0.763	0.917	0.6920000000000001	1.3359999999999999	1.036	1.198	1.255	1.25	1.463	1.3980000000000001	1.462	1.933	1.4669999999999999	1.565	1.494	1.545	1.624	1.578	1.349	1.614	1.663	1.682
7.17196	0.44299999999999995	1.655	0.6729999999999999	1.197	1.149	1.093	1.036	0.9690000000000001	0.6940000000000001	1.169	0.858	1.168	0.961	1.061	0.7879999999999999	0.9440000000000001	0.6920000000000001	1.537	0.975	1.311	1.28	1.449	1.318	1.4269999999999998	1.464	2.0469999999999997	1.436	1.649	1.524	1.485	1.564	1.719	1.376	1.756	1.689	1.7080000000000002
7.33874	0.17300000000000001	1.933	0.664	1.361	1.111	1.084	1.0270000000000001	1.104	0.7120000000000001	1.244	0.82	1.216	1.038	1.05	0.865	0.963	0.71	1.526	1.052	1.2429999999999999	1.386	1.439	1.3940000000000001	1.5030000000000001	1.5390000000000001	2.123	1.599	1.581	1.685	1.59	1.6980000000000002	1.681	1.538	1.746	1.794	1.784
7.50542	0.24100000000000002	1.77	0.731	1.2830000000000001	1.149	1.266	0.9490000000000001	1.026	0.867	1.37	0.8290000000000001	1.341	1.0759999999999998	1.09	0.7879999999999999	1.088	0.779	1.709	1.032	1.339	1.395	1.3619999999999999	1.6059999999999999	1.514	1.666	2.22	1.608	1.591	1.8119999999999998	1.6	1.794	1.777	1.6059999999999999	1.9	1.804	1.8519999999999999
7.6721	0.263	2.023	0.753	1.421	1.229	1.2890000000000001	1.145	1.02	0.687	1.42	0.852	1.335	1.185	1.14	0.753	1.052	0.8	1.702	0.9690000000000001	1.39	1.475	1.442	1.34	1.535	1.6580000000000001	2.3	1.6019999999999999	1.757	1.7180000000000002	1.651	1.73	1.7990000000000002	1.4269999999999998	2.008	1.8840000000000001	1.96
7.83872	0.0	2.249	0.635	1.361	1.226	1.3719999999999999	1.055	1.046	0.769	1.5319999999999998	0.82	1.389	1.125	1.165	0.6920000000000001	0.963	0.768	1.9	0.937	1.474	1.53	1.237	1.3359999999999999	1.589	1.6540000000000001	2.3819999999999997	1.685	1.811	1.858	1.6769999999999998	1.8130000000000002	1.9680000000000002	1.682	1.976	2.025	2.043
8.00533	0.5	2.4330000000000003	0.735	1.432	1.354	1.357	0.9540000000000001	1.088	0.779	1.599	0.919	1.3730000000000002	1.224	1.205	0.677	1.004	0.922	2.026	1.036	1.4569999999999999	1.5430000000000001	1.595	1.3769999999999998	1.6569999999999998	1.7209999999999999	2.48	1.755	1.9669999999999999	1.868	1.89	1.9409999999999998	1.952	1.694	1.9880000000000002	1.9509999999999998	2.113
8.17219	0.22699999999999998	2.592	0.78	1.5630000000000002	1.371	1.402	1.0	1.0759999999999998	0.907	1.8130000000000002	0.82	1.5330000000000001	1.298	1.391	0.75	1.0190000000000001	0.821	2.213	0.995	1.617	1.617	1.524	1.3630000000000002	1.47	1.7630000000000001	2.552	1.9140000000000001	1.954	1.9969999999999999	1.962	2.0140000000000002	2.1109999999999998	1.68	2.205	2.024	2.186
8.33869	0.364	2.8139999999999996	0.8270000000000001	1.61	1.476	1.535	0.9309999999999999	1.094	0.8440000000000001	1.923	0.8959999999999999	1.581	1.3459999999999999	1.413	0.6829999999999999	1.0390000000000001	0.929	2.235	1.186	1.579	1.7790000000000001	1.601	1.3259999999999998	1.492	1.8730000000000002	2.717	1.9340000000000002	2.003	1.876	1.983	1.976	2.189	1.672	2.311	2.101	2.292
8.50543	0.22	2.958	0.741	1.8119999999999998	1.5619999999999998	1.507	0.9309999999999999	1.094	0.6709999999999999	1.9509999999999998	0.8390000000000001	1.581	1.432	1.4709999999999999	0.74	1.125	0.7859999999999999	2.3209999999999997	1.042	1.636	1.808	1.63	1.3259999999999998	1.607	1.959	2.717	1.905	2.147	2.106	2.04	2.12	2.189	1.7009999999999998	2.426	2.187	2.35
8.67207	0.187	3.156	0.7340000000000001	1.719	1.757	1.557	0.981	0.972	0.813	2.21	0.8320000000000001	1.69	1.5119999999999998	1.439	0.705	1.178	0.8690000000000001	2.577	1.064	1.746	1.974	1.6540000000000001	1.3219999999999998	1.517	1.9869999999999999	2.8569999999999998	1.9569999999999999	2.199	2.161	2.0069999999999997	2.1719999999999997	2.385	1.8980000000000001	2.594	2.355	2.4019999999999997
8.8388	0.263	3.2030000000000003	0.753	1.911	1.69	1.5190000000000001	1.03	1.0490000000000002	0.975	2.255	0.852	1.766	1.531	1.601	0.782	1.081	0.9440000000000001	2.739	1.112	1.8219999999999998	2.108	1.787	1.167	1.5930000000000002	2.148	3.1060000000000003	2.178	2.189	2.2359999999999998	2.256	2.248	2.2880000000000003	1.974	2.728	2.287	2.623
9.00548	0.795	3.505	0.9129999999999999	2.128	1.7630000000000001	1.6219999999999999	0.845	1.238	0.9590000000000001	2.412	0.8390000000000001	1.869	1.6909999999999998	1.643	0.654	1.125	0.958	3.069	1.042	1.9240000000000002	2.239	1.8030000000000002	1.24	1.492	2.16	3.062	2.193	2.319	2.1919999999999997	2.127	2.206	2.3609999999999998	1.96	2.7430000000000003	2.504	2.551
9.17221	0.231	3.6310000000000002	0.8370000000000001	2.138	1.9169999999999998	1.8330000000000002	0.9690000000000001	1.1320000000000001	0.884	2.654	0.935	2.022	1.844	1.597	0.75	1.222	0.883	3.195	1.052	2.02	2.451	1.87	1.3359999999999999	1.589	2.144	3.361	2.289	2.445	2.318	2.4819999999999998	2.504	2.659	2.114	2.983	2.428	2.821
9.33882	0.195	3.971	0.8270000000000001	2.33	1.965	1.736	0.958	1.064	0.879	2.707	1.04	2.128	1.979	1.706	0.769	1.242	1.078	3.449	1.215	2.07	2.557	1.9769999999999999	1.358	1.8130000000000002	2.34	3.4410000000000003	2.396	2.638	2.342	2.417	2.496	2.6510000000000002	2.222	3.033	2.6489999999999996	2.755
9.50548	0.32799999999999996	4.103	0.904	2.32	2.013	1.9	0.892	1.113	0.982	3.0980000000000003	1.088	2.234	2.056	1.81	0.7879999999999999	1.1740000000000002	1.038	3.61	1.2919999999999998	2.2030000000000003	2.633	1.9669999999999999	1.318	1.715	2.53	3.516	2.386	2.685	2.647	2.435	2.6010000000000004	2.7560000000000002	2.441	3.08	2.553	2.975
9.6722	0.162	4.252	0.9129999999999999	2.445	2.195	1.909	0.9309999999999999	1.181	0.9590000000000001	3.16	1.0979999999999999	2.559	2.209	1.8730000000000002	0.769	1.24	1.016	3.673	1.215	2.269	2.7	1.975	1.2109999999999999	1.607	2.563	3.752	2.509	2.866	2.623	2.5869999999999997	2.638	2.8789999999999996	2.362	3.26	2.676	2.983
9.83883	0.32799999999999996	4.647	0.965	2.524	2.274	1.989	0.868	1.203	0.9229999999999999	3.41	1.091	2.61	2.461	1.952	0.82	1.147	1.037	4.039	1.208	2.349	2.952	2.026	1.3769999999999998	1.6569999999999998	2.641	3.745	2.589	2.945	2.7310000000000003	2.8960000000000004	2.717	3.073	2.499	3.397	2.8710000000000004	3.292
10.00547	0.324	4.758	0.99	2.7510000000000003	2.559	2.2159999999999997	0.865	1.171	1.034	3.693	1.146	2.721	2.544	2.035	0.904	1.202	1.091	4.064	1.263	2.5180000000000002	3.035	2.138	1.143	1.739	2.752	3.9419999999999997	2.7	2.912	2.87	2.9210000000000003	2.8	3.213	2.524	3.5660000000000003	2.9539999999999997	3.346
