	MG1655-1	proV-1	HMDA7-1_1	proV_rpsG1-1	proV_sspA-1	proV_sspA_nusA-1	rpsG1-1	MG1655-2	proV-2	HMDA7-1_2	proV_rpsG1-2	proV_sspA-2	proV_sspA_nusA-2	rpsG1-2	MG1655-3	proV-3	HMDA7-1_3	proV_rpsG1-3	proV_sspA-3	proV_sspA_nusA-3	rpsG1-3
5.83852	0.44299999999999995	0.373	1.015	0.433	1.272	1.171	0.20600000000000002	0.775	0.596	1.225	0.237	1.0290000000000001	0.7	0.7759999999999999	0.737	0.897	1.082	0.599	2.0780000000000003	0.8340000000000001	0.879
6.00529	0.41	0.439	1.015	0.135	1.206	1.369	0.305	0.775	0.596	1.324	0.204	0.996	0.733	0.5770000000000001	0.6709999999999999	0.897	1.082	0.599	2.177	0.768	0.6809999999999999
6.17189	0.502	0.565	1.075	0.262	1.101	1.395	0.233	0.8340000000000001	0.59	1.614	0.297	1.023	0.892	0.6709999999999999	0.763	0.89	1.175	0.494	1.9	0.763	0.774
6.33862	0.5770000000000001	0.51	1.284	0.307	1.147	1.272	0.213	0.81	0.601	1.6869999999999998	0.209	0.9690000000000001	0.7070000000000001	0.6509999999999999	0.902	0.866	1.155	0.542	2.25	0.809	0.721
6.50527	0.41200000000000003	0.345	1.383	0.24100000000000002	1.246	1.272	0.27899999999999997	0.777	0.568	1.984	0.275	0.9690000000000001	1.069	0.816	0.8029999999999999	0.866	1.3519999999999999	0.575	2.448	0.809	0.919
6.67188	0.483	0.518	1.489	0.184	1.222	1.3430000000000002	0.256	0.8490000000000001	0.6759999999999999	2.02	0.284	0.978	0.8809999999999999	0.728	0.675	0.805	1.493	0.5529999999999999	2.2969999999999997	0.787	0.929
6.83861	0.5589999999999999	0.396	1.7619999999999998	0.39	1.165	1.452	0.265	0.662	0.5529999999999999	2.1959999999999997	0.19399999999999998	0.987	0.758	0.736	0.7190000000000001	0.848	1.601	0.561	2.119	0.894	0.8390000000000001
7.00537	0.5589999999999999	0.429	1.861	0.489	1.2309999999999999	1.452	0.298	0.7929999999999999	0.586	2.492	0.26	0.987	0.758	0.736	0.9159999999999999	0.914	1.798	0.561	2.415	0.927	0.8059999999999999
7.172	0.447	0.483	1.979	0.37799999999999995	1.219	1.208	0.28600000000000003	0.747	0.64	2.674	0.281	1.04	0.845	0.7909999999999999	0.77	0.8340000000000001	1.9180000000000001	0.616	2.093	0.9159999999999999	0.893
7.33867	0.483	0.486	2.114	0.282	1.222	1.5730000000000002	0.256	0.882	0.5770000000000001	2.875	0.284	1.1420000000000001	0.7490000000000001	0.925	0.8059999999999999	1.002	2.019	0.652	1.704	0.8859999999999999	0.83
7.50527	0.5710000000000001	0.41100000000000003	2.301	0.27399999999999997	1.213	1.3980000000000001	0.379	0.773	0.633	3.389	0.373	0.9690000000000001	0.872	0.785	0.795	0.893	2.437	0.611	1.883	0.91	0.8220000000000001
7.67201	0.67	0.37799999999999995	2.499	0.306	1.148	1.3980000000000001	0.281	0.872	0.765	3.5210000000000004	0.27399999999999997	0.9359999999999999	0.8390000000000001	0.884	0.795	0.893	2.635	0.611	2.146	0.943	0.986
7.83874	0.6809999999999999	0.42	2.8710000000000004	0.282	1.222	1.474	0.355	0.882	0.6759999999999999	3.895	0.349	1.0759999999999998	0.782	1.024	0.971	0.838	2.842	0.619	2.066	0.951	0.83
8.00534	0.5710000000000001	0.509	2.992	0.175	1.115	1.3980000000000001	0.34700000000000003	0.8390000000000001	0.6659999999999999	4.113	0.27399999999999997	1.133	0.938	0.884	0.894	0.8270000000000001	3.095	0.643	2.146	0.91	0.92
8.17211	0.677	0.515	3.295	0.28	1.153	1.4380000000000002	0.188	0.846	0.574	4.516	0.182	0.975	0.845	0.922	0.868	0.9	3.201	0.616	2.29	0.9490000000000001	0.9259999999999999
8.33867	0.436	0.473	3.284	0.271	1.046	1.4269999999999998	0.442	0.934	0.6629999999999999	4.7	0.37	1.13	0.8690000000000001	1.012	0.7909999999999999	0.7909999999999999	3.6839999999999997	0.6409999999999999	2.238	1.006	0.884
8.50538	0.528	0.467	3.8360000000000003	0.265	1.1059999999999999	1.42	0.43700000000000006	0.73	0.657	5.2170000000000005	0.364	1.058	1.0270000000000001	0.941	0.85	0.882	3.8080000000000003	0.635	2.258	1.033	1.0759999999999998
8.67215	0.578	0.581	3.9530000000000003	0.312	1.318	1.405	0.55	0.846	0.6729999999999999	5.405	0.478	1.073	1.042	0.955	0.8029999999999999	0.9329999999999999	4.0889999999999995	0.748	2.093	1.047	1.09
8.83874	0.627	0.5	4.23	0.297	1.205	1.42	0.371	0.8290000000000001	0.723	5.8420000000000005	0.364	0.96	0.9620000000000001	1.0070000000000001	0.883	0.8170000000000001	4.4319999999999995	0.7340000000000001	2.126	1.197	0.977
9.00543	0.44	0.47600000000000003	4.834	0.37200000000000005	1.246	1.464	0.643	0.8390000000000001	0.732	6.81	0.439	1.067	1.036	1.015	0.96	0.8270000000000001	4.641	0.643	2.08	1.107	0.986
9.17218	0.33799999999999997	0.506	4.928	0.46799999999999997	1.013	1.526	0.442	0.836	0.63	6.706	0.436	1.031	1.0659999999999998	1.111	0.89	0.922	5.327000000000001	0.7390000000000001	2.435	1.203	1.115
9.33883	0.623	0.49700000000000005	5.212000000000001	0.39299999999999996	1.136	1.4169999999999998	0.6970000000000001	0.826	0.556	7.907	0.45899999999999996	1.022	1.024	1.234	0.978	0.879	5.611000000000001	0.731	2.5140000000000002	1.195	1.0070000000000001
9.50555	0.539	0.47600000000000003	5.853	0.405	1.148	1.5619999999999998	0.544	0.773	0.535	7.862	0.47200000000000003	0.9690000000000001	0.971	1.245	0.762	0.8270000000000001	5.989	0.8079999999999999	1.784	1.206	1.183
9.67212	0.49	0.591	6.072	0.519	1.261	1.547	0.46	0.889	0.7809999999999999	8.415	0.5529999999999999	1.082	1.15	1.425	0.978	0.713	6.471	0.8220000000000001	1.915	1.2209999999999999	1.396
9.83874	0.5489999999999999	0.518	6.59	0.315	1.025	1.5730000000000002	0.5529999999999999	0.948	0.544	8.865	0.44799999999999995	1.1420000000000001	1.177	1.517	0.872	0.838	6.956	0.816	1.902	1.3130000000000002	1.225
10.00549	0.5	0.534	7.2379999999999995	0.495	1.171	1.459	0.6	0.767	0.5920000000000001	9.32	0.563	1.058	1.159	1.4340000000000002	0.924	0.9209999999999999	7.372999999999999	0.863	2.198	1.4269999999999998	1.141
10.17227	0.535	0.408	7.69	0.46799999999999997	1.013	1.5590000000000002	0.7709999999999999	0.77	0.762	9.961	0.633	0.966	1.2309999999999999	1.341	0.857	0.889	7.892	0.937	2.271	1.433	1.2790000000000001
10.33879	0.483	0.584	7.906000000000001	0.48	1.222	1.54	0.684	0.882	0.643	11.037	0.777	1.043	1.44	1.6159999999999999	0.905	1.035	7.91	0.915	2.2640000000000002	1.445	1.324
10.50555	0.62	0.42100000000000004	8.916	0.415	1.057	1.7109999999999999	0.75	0.8859999999999999	0.611	11.795	0.581	1.077	1.474	1.65	0.9129999999999999	0.8759999999999999	9.017000000000001	0.946	1.973	1.445	1.225
10.67224	0.679	0.414	9.597999999999999	0.441	1.051	1.704	0.7440000000000001	0.9790000000000001	0.604	12.31	0.608	0.9390000000000001	1.402	1.545	0.9059999999999999	0.8690000000000001	9.402999999999999	0.973	2.125	1.538	1.548
10.83885	0.488	0.552	9.74	0.514	1.09	1.6119999999999999	0.7170000000000001	0.8859999999999999	0.677	13.115	0.68	1.176	1.4080000000000001	1.683	0.847	1.041	10.106	1.1440000000000001	2.369	1.676	1.5219999999999998
11.00563	0.47100000000000003	0.537	10.439	0.597	1.24	1.7919999999999998	0.998	0.902	0.6609999999999999	14.368	0.862	1.061	1.492	1.865	0.993	0.8590000000000001	10.574000000000002	1.162	2.336	1.5619999999999998	1.506
11.17215	0.436	0.631	11.875	0.526	1.101	1.7919999999999998	0.7609999999999999	0.768	0.722	15.155	0.8909999999999999	1.122	1.619	1.893	0.9279999999999999	0.956	11.017999999999999	1.188	2.065	1.754	1.435
11.3389	0.48100000000000004	0.513	12.401	0.639	1.15	1.77	1.0070000000000001	0.9129999999999999	0.5710000000000001	16.334	0.773	1.169	1.699	2.072	0.9390000000000001	0.8690000000000001	12.602	1.27	2.158	1.735	1.515
11.50562	0.599	0.501	13.498	0.594	1.237	1.7890000000000001	0.995	0.8	0.6579999999999999	17.425	0.958	1.091	1.818	2.06	1.121	0.8220000000000001	13.238	1.258	2.231	1.921	1.8
11.67234	0.6809999999999999	0.486	14.455	0.612	1.156	1.869	1.079	0.8490000000000001	0.774	17.684	0.8759999999999999	1.175	1.901	2.241	0.8059999999999999	0.805	13.571	1.3430000000000002	1.9680000000000002	1.939	1.686
11.83896	0.521	0.618	15.878	0.6459999999999999	1.189	2.008	1.014	0.787	0.775	20.340999999999998	1.0759999999999998	1.176	1.837	2.474	0.9129999999999999	0.9420000000000001	15.418	1.3419999999999999	2.27	2.137	1.7530000000000001
12.00574	0.49	0.6890000000000001	16.641	0.585	1.36	2.074	1.085	0.79	0.846	20.564	0.981	1.181	2.006	2.445	0.88	0.9109999999999999	15.788	1.4140000000000001	1.8159999999999998	2.142	1.692
12.17232	0.5489999999999999	0.518	16.825	0.809	1.222	2.0669999999999997	1.4080000000000001	0.882	0.643	21.765	1.04	1.0759999999999998	2.065	2.735	1.004	0.838	16.631	1.507	2.001	2.136	1.784
12.33903	0.57	0.537	18.217	0.7290000000000001	1.1740000000000002	1.99	1.3940000000000001	0.968	0.595	24.156	1.159	1.193	2.085	2.755	1.026	0.958	18.385	1.624	1.9409999999999998	2.353	1.869
12.50571	0.5660000000000001	0.501	19.759	0.726	1.369	2.151	1.2919999999999998	0.866	0.856	24.938000000000002	1.09	1.256	2.312	2.653	0.924	0.855	19.498	1.7530000000000001	1.9340000000000002	2.481	2.031
12.67243	0.679	0.645	21.735	0.7709999999999999	1.249	2.1	1.6340000000000001	0.9129999999999999	0.802	28.405	1.301	1.202	2.524	2.864	0.9390000000000001	0.8690000000000001	20.517	1.666	2.356	2.593	2.043
12.83899	0.5820000000000001	0.584	22.88	0.809	1.354	2.2640000000000002	1.54	0.75	0.84	28.116	1.271	1.1420000000000001	2.592	3.0639999999999996	0.905	0.838	22.653000000000002	1.869	2.461	2.827	2.015
13.00575	0.691	0.528	23.86	0.917	1.33	2.144	1.45	0.8590000000000001	0.784	30.32	1.413	1.1840000000000002	2.734	3.173	0.982	0.914	23.401999999999997	1.944	2.185	2.969	2.156
13.17244	0.62	0.52	26.239	0.843	1.255	2.206	1.739	0.8859999999999999	0.8740000000000001	32.484	1.538	1.209	3.0580000000000003	3.299	1.012	0.9420000000000001	26.471999999999998	2.002	2.5669999999999997	2.995	2.247
13.33908	0.591	0.556	27.502	0.9790000000000001	1.357	2.5069999999999997	1.743	1.088	0.812	33.716	1.641	1.3769999999999998	2.93	3.435	0.917	0.847	26.546999999999997	2.005	2.276	3.362	2.449
13.50572	0.665	0.6	28.984	1.022	1.3359999999999999	2.513	1.8519999999999999	0.899	0.691	35.284	1.716	1.157	3.103	3.608	0.924	0.8220000000000001	29.35	2.148	2.099	3.3710000000000004	2.426
13.67238	0.591	0.754	31.099	1.2429999999999999	1.357	2.639	1.8419999999999999	0.9890000000000001	0.878	37.28	1.641	1.311	3.326	3.699	1.016	0.946	31.002	2.3680000000000003	2.441	3.395	2.548
13.83905	0.69	0.655	32.122	1.078	1.192	2.8369999999999997	2.04	0.8240000000000001	0.779	36.059	1.806	1.278	3.458	3.93	0.917	0.88	33.114000000000004	2.3680000000000003	2.0780000000000003	3.8569999999999998	2.779
14.0058	0.58	0.546	34.234	1.035	1.4469999999999998	2.792	2.162	0.9129999999999999	0.769	37.87	1.795	1.367	3.7439999999999998	4.216	0.9059999999999999	0.968	34.171	2.49	2.521	3.8789999999999996	2.736
14.17244	0.6859999999999999	0.618	35.411	1.14	1.3869999999999998	2.998	2.201	0.8859999999999999	0.578	37.367	1.835	1.374	3.949	4.124	0.946	0.8759999999999999	34.424	2.661	2.171	4.216	2.8739999999999997
14.33918	0.6409999999999999	0.637	37.925	1.2919999999999998	1.504	3.088	2.386	0.841	0.695	37.243	2.0540000000000003	1.425	4.368	4.2780000000000005	0.9690000000000001	0.9640000000000001	38.521	2.681	2.177	4.601	2.9939999999999998
14.50574	0.6970000000000001	0.727	36.501999999999995	1.249	1.462	3.2739999999999996	2.475	0.996	0.7190000000000001	37.338	2.11	1.317	4.687	4.564	1.123	0.887	36.438	2.803	2.19	4.921	3.083
14.67249	0.6970000000000001	0.562	37.427	1.4469999999999998	1.396	3.175	2.509	0.897	0.917	38.361999999999995	2.407	1.482	4.918	4.763	0.9570000000000001	0.887	37.131	2.968	2.5540000000000003	5.218	3.248
14.83915	0.514	0.612	36.939	1.431	1.48	3.617	2.657	0.9129999999999999	0.703	37.836999999999996	2.488	1.466	5.492000000000001	4.974	1.038	0.935	38.623000000000005	3.2489999999999997	2.521	5.561	3.1319999999999997
15.00588	0.591	0.721	37.007	1.375	1.555	3.7939999999999996	2.799	0.9890000000000001	0.779	37.709	2.4330000000000003	1.476	5.372000000000001	4.986000000000001	0.95	0.946	39.022	3.259	2.177	5.837000000000001	3.505
15.17263	0.62	0.7170000000000001	37.589	1.47	1.618	3.889	2.9930000000000003	0.919	0.775	37.861999999999995	2.4290000000000003	1.571	5.797000000000001	5.642	0.946	0.9420000000000001	38.713	3.3539999999999996	2.5669999999999997	6.196000000000001	3.6
15.33916	0.679	0.645	37.532	1.5630000000000002	1.48	4.145	3.085	0.8140000000000001	0.67	36.98	2.62	1.466	5.987	5.6339999999999995	0.9390000000000001	0.8690000000000001	39.481	3.3810000000000002	2.62	6.419	3.6919999999999997
15.50584	0.6579999999999999	0.627	37.066	1.4769999999999999	1.659	4.449	2.998	0.892	0.784	37.763000000000005	2.8289999999999997	1.546	6.159	6.335	0.883	0.9470000000000001	38.09	3.7230000000000003	2.3819999999999997	6.855	3.9339999999999997
15.67258	0.6759999999999999	0.708	37.257	1.5919999999999999	1.7069999999999999	4.569	3.28	1.074	0.7659999999999999	37.825	3.012	1.595	6.807	6.191	1.1	0.866	38.413000000000004	3.971	2.448	7.635	4.051
15.83915	0.711	0.6729999999999999	38.003	1.791	1.639	4.843	3.4139999999999997	0.91	0.83	37.156	2.95	1.6269999999999998	7.247000000000001	6.43	0.9390000000000001	0.9670000000000001	38.93	4.105	2.911	7.646	4.22
16.00587	0.44299999999999995	0.5379999999999999	37.033	1.788	1.801	5.136	3.543	1.0390000000000001	0.8270000000000001	37.54	3.2439999999999998	1.8219999999999998	7.638999999999999	6.624	1.035	0.9640000000000001	38.356	4.135	2.805	8.038	4.216
16.17267	0.591	0.622	36.677	1.903	1.588	5.51	4.02	1.121	0.779	37.808	3.3569999999999998	1.7730000000000001	8.045	7.032	1.0490000000000002	0.9790000000000001	38.758	4.414	2.8369999999999997	8.411	4.462
16.33928	0.5870000000000001	0.552	36.434	2.064	1.7169999999999999	5.803	4.2139999999999995	0.985	0.71	36.806	3.353	1.7690000000000001	8.536	7.193	0.946	1.041	38.383	4.5089999999999995	2.468	9.033999999999999	4.656000000000001
16.50594	0.6970000000000001	0.562	37.097	2.075	1.7919999999999998	5.85	4.06	0.93	0.884	37.008	3.761	1.713	8.583	7.404	0.9570000000000001	0.8540000000000001	37.957	4.916	3.148	9.279	4.734
16.67256	0.7	0.73	36.613	2.177	1.696	6.482	4.262	1.032	0.722	36.525	3.798	1.881	9.083	7.871	1.159	0.89	38.233000000000004	5.019	2.957	10.341	4.9030000000000005
16.83926	0.723	0.655	36.05	2.266	1.885	6.632000000000001	4.746	1.022	0.713	37.016	3.984	1.9709999999999999	9.366	8.022	0.917	0.88	37.9	5.272	2.7710000000000004	10.359000000000002	5.287000000000001
17.00598	0.631	0.6609999999999999	36.667	2.339	1.99	6.972	4.5889999999999995	0.93	0.785	37.404	4.289	1.9769999999999999	9.871	8.461	1.023	0.887	37.726	5.478	2.8510000000000004	10.897	5.526
17.17269	0.634	0.664	35.953	2.5069999999999997	2.092	7.175	4.791	0.8340000000000001	0.887	37.218	4.293	1.881	11.362	8.565	0.9279999999999999	0.956	37.969	5.712999999999999	2.99	11.299000000000001	5.827000000000001
17.33942	0.612	0.64	36.185	2.551	1.903	7.62	5.297999999999999	0.943	0.698	36.792	4.801	2.089	11.379000000000001	9.008	0.972	1.0	37.31	6.055	3.175	11.81	5.939
17.50607	0.598	0.628	35.479	2.702	2.023	8.029	5.513	1.0290000000000001	0.6859999999999999	36.413000000000004	5.016	2.01	12.017000000000001	9.286	0.924	0.8540000000000001	37.825	6.303	3.082	12.515	6.12
17.67268	0.645	0.541	36.549	2.915	2.035	8.049	5.596	0.8440000000000001	0.83	36.461999999999996	4.9	2.221	12.270999999999999	9.669	0.9390000000000001	0.9009999999999999	38.996	6.749	2.911	13.033	6.335
17.8393	0.645	0.6729999999999999	35.293	2.915	2.201	8.743	5.695	0.943	0.83	36.429	5.396	2.3209999999999997	12.404000000000002	10.033	1.072	0.9009999999999999	37.211	6.749	3.34	12.901	6.534
18.006	0.7070000000000001	0.637	36.075	2.944	2.131	9.3	6.319	1.006	0.794	35.855	5.821000000000001	2.35	13.224	10.49	0.8370000000000001	0.9640000000000001	36.902	7.34	3.201	13.92	7.025
18.1727	0.634	0.565	35.986	3.267	2.191	9.487	6.145	0.9329999999999999	0.7879999999999999	36.293	6.011	2.509	13.575	10.91	0.862	1.056	37.176	7.496	3.4189999999999996	14.205	6.95
18.33945	0.591	0.754	35.951	3.553	2.4130000000000003	9.867	6.33	0.89	0.812	36.554	6.327000000000001	2.6310000000000002	14.085	11.092	1.016	0.946	37.635999999999996	8.011000000000001	3.465	15.440999999999999	7.3
18.50604	0.718	0.68	35.084	3.55	2.405	10.308	6.596	0.95	0.804	35.957	6.562	2.526	13.902999999999999	11.960999999999999	0.98	0.9079999999999999	38.326	8.345	3.6180000000000003	15.327	7.567
18.67269	0.5870000000000001	0.618	35.444	3.615	2.376	11.015999999999998	6.92	0.8859999999999999	0.775	36.542	7.181	2.594	15.432	12.307	1.111	1.041	37.129	8.732999999999999	3.557	15.93	7.725
18.83946	0.631	0.628	35.347	3.759	2.5180000000000002	11.001	7.362	0.831	0.818	35.39	6.832000000000001	2.803	15.715	12.522	0.924	0.986	36.966	9.044	3.8080000000000003	16.511	8.267000000000001
19.00612	0.718	0.58	36.109	4.212	2.637	11.796	8.117	0.818	0.8370000000000001	36.354	7.752999999999999	2.7569999999999997	16.813	13.118	0.9470000000000001	0.9740000000000001	37.4	9.536	3.7510000000000003	16.649	8.493
19.17278	0.68	0.672	35.705	4.343	2.498	12.342	7.922999999999999	0.9440000000000001	0.762	36.351	7.891	2.8510000000000004	17.464000000000002	13.894	0.9109999999999999	1.003	37.527	9.906	3.872	17.928	9.094
19.33944	0.659	0.5539999999999999	35.306	4.484	2.478	12.635	8.325	0.858	0.909	36.576	8.623	2.963	18.249000000000002	13.924000000000001	0.988	1.081	37.225	10.273	3.6319999999999997	18.714000000000002	9.065
19.50616	0.784	0.746	35.448	4.6080000000000005	2.571	13.417	8.613	0.95	0.737	36.254	8.579	2.923	18.632	14.11	0.98	0.9740000000000001	37.003	10.957	3.8169999999999997	20.154	9.485
19.67282	0.7440000000000001	0.64	35.986999999999995	5.129	2.763	13.338	9.265	1.0090000000000001	0.83	36.164	8.9	3.015	19.576	15.42	1.138	0.9670000000000001	36.781	11.177999999999999	3.638	20.601999999999997	9.674
