	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
3.67184	0.26	0.69	0.5539999999999999	0.451	0.28600000000000003	0.687	0.637	0.586	0.43799999999999994	0.72	0.386	0.38799999999999996	0.364	0.585	0.529	0.524	0.321	0.73	0.528	0.45899999999999996	0.504	0.521	0.5529999999999999	0.715	0.38799999999999996	0.47700000000000004	0.531	0.466	0.397	0.304	0.535	0.373	0.564	0.5670000000000001	0.331	0.41100000000000003	0.56	0.373	0.508
3.83851	0.3	0.705	0.433	0.519	0.301	0.779	0.679	0.574	0.45	0.733	0.48200000000000004	0.43	0.406	0.542	0.515	0.565	0.36	0.7140000000000001	0.514	0.418	0.488	0.45	0.647	0.49	0.318	0.433	0.49	0.47600000000000003	0.46299999999999997	0.342	0.465	0.413	0.603	0.498	0.33799999999999997	0.473	0.542	0.409	0.599
4.00512	0.32799999999999996	0.812	0.541	0.465	0.273	0.6729999999999999	0.705	0.6	0.424	0.7070000000000001	0.373	0.375	0.35100000000000003	0.489	0.461	0.511	0.33399999999999996	0.6609999999999999	0.433	0.418	0.408	0.452	0.539	0.47700000000000004	0.374	0.408	0.436	0.451	0.46399999999999997	0.289	0.439	0.413	0.495	0.47100000000000003	0.28800000000000003	0.395	0.46399999999999997	0.358	0.5479999999999999
4.1718	0.3	0.732	0.541	0.519	0.32799999999999996	0.617	0.679	0.574	0.396	0.733	0.401	0.484	0.433	0.623	0.488	0.565	0.306	0.687	0.48700000000000004	0.418	0.461	0.45	0.593	0.436	0.345	0.433	0.49	0.503	0.436	0.342	0.465	0.413	0.522	0.525	0.33799999999999997	0.446	0.461	0.409	0.5720000000000001
4.33855	0.316	0.774	0.475	0.48	0.34299999999999997	0.635	0.6659999999999999	0.588	0.44	0.6409999999999999	0.44299999999999995	0.445	0.36700000000000005	0.5329999999999999	0.531	0.526	0.35100000000000003	0.732	0.47600000000000003	0.434	0.452	0.469	0.555	0.664	0.391	0.39799999999999996	0.479	0.469	0.48100000000000004	0.306	0.51	0.375	0.593	0.488	0.33399999999999996	0.413	0.509	0.457	0.619
4.5051	0.316	0.855	0.584	0.535	0.451	0.6890000000000001	0.721	0.7240000000000001	0.44	0.722	0.47	0.445	0.44799999999999995	0.5329999999999999	0.47700000000000004	0.526	0.35100000000000003	0.732	0.53	0.434	0.506	0.469	0.609	0.42	0.445	0.425	0.479	0.469	0.42700000000000005	0.36	0.456	0.375	0.512	0.461	0.307	0.495	0.509	0.402	0.6459999999999999
4.67193	0.34299999999999997	0.855	0.584	0.616	0.37	0.7440000000000001	0.639	0.6970000000000001	0.44	0.722	0.44299999999999995	0.47200000000000003	0.44799999999999995	0.5329999999999999	0.531	0.58	0.405	0.813	0.53	0.515	0.506	0.469	0.609	0.501	0.391	0.506	0.452	0.55	0.42700000000000005	0.36	0.537	0.429	0.593	0.569	0.38799999999999996	0.413	0.509	0.5379999999999999	0.619
4.83863	0.354	0.7859999999999999	0.595	0.519	0.409	0.644	0.625	0.601	0.47700000000000004	0.598	0.34700000000000003	0.43	0.433	0.488	0.434	0.565	0.306	0.633	0.568	0.418	0.461	0.45	0.5660000000000001	0.408	0.39899999999999997	0.379	0.354	0.47600000000000003	0.436	0.315	0.465	0.304	0.46799999999999997	0.41700000000000004	0.257	0.365	0.353	0.355	0.46399999999999997
5.00529	0.32299999999999995	0.9159999999999999	0.59	0.48700000000000004	0.431	0.778	0.6459999999999999	0.703	0.42	0.7290000000000001	0.449	0.397	0.48200000000000004	0.595	0.484	0.5870000000000001	0.358	0.848	0.618	0.386	0.54	0.503	0.643	0.485	0.452	0.43200000000000005	0.486	0.612	0.40700000000000003	0.449	0.517	0.382	0.573	0.5760000000000001	0.396	0.44799999999999995	0.435	0.41	0.654
5.17198	0.33	0.8420000000000001	0.624	0.467	0.519	0.7290000000000001	0.653	0.629	0.426	0.79	0.375	0.431	0.516	0.573	0.46299999999999997	0.486	0.337	0.88	0.625	0.447	0.573	0.4	0.541	0.562	0.376	0.465	0.43799999999999994	0.589	0.467	0.373	0.442	0.415	0.552	0.555	0.39899999999999997	0.479	0.466	0.441	0.604
5.33862	0.368	0.9079999999999999	0.636	0.5329999999999999	0.639	0.7120000000000001	0.6920000000000001	0.5870000000000001	0.46399999999999997	0.855	0.441	0.44299999999999995	0.528	0.502	0.447	0.579	0.32	0.809	0.581	0.43200000000000005	0.583	0.49200000000000005	0.606	0.5920000000000001	0.36	0.36700000000000005	0.449	0.518	0.369	0.32899999999999996	0.425	0.345	0.536	0.512	0.3	0.488	0.449	0.37	0.5329999999999999
5.50535	0.337	0.9570000000000001	0.5770000000000001	0.555	0.607	0.684	0.6859999999999999	0.635	0.461	0.797	0.489	0.49200000000000005	0.5489999999999999	0.609	0.498	0.519	0.345	0.9159999999999999	0.632	0.45399999999999996	0.636	0.436	0.5760000000000001	0.506	0.467	0.447	0.473	0.546	0.44799999999999995	0.409	0.47700000000000004	0.368	0.5329999999999999	0.563	0.35700000000000004	0.436	0.423	0.479	0.5329999999999999
5.67189	0.353	1.0270000000000001	0.619	0.5710000000000001	0.65	0.728	0.674	0.65	0.532	0.977	0.5589999999999999	0.507	0.755	0.626	0.48700000000000004	0.562	0.389	0.9329999999999999	0.73	0.415	0.708	0.426	0.6459999999999999	0.557	0.511	0.46399999999999997	0.434	0.59	0.43799999999999994	0.426	0.467	0.33	0.603	0.525	0.376	0.45399999999999996	0.46799999999999997	0.361	0.604
5.83869	0.32799999999999996	1.002	0.703	0.546	0.7609999999999999	0.889	0.705	0.708	0.478	0.9229999999999999	0.59	0.5920000000000001	0.6759999999999999	0.598	0.461	0.5920000000000001	0.38799999999999996	0.986	0.7040000000000001	0.499	0.733	0.452	0.593	0.5579999999999999	0.428	0.462	0.544	0.5870000000000001	0.41	0.452	0.439	0.413	0.5770000000000001	0.634	0.397	0.47700000000000004	0.491	0.466	0.6829999999999999
6.00527	0.418	1.038	0.74	0.555	0.797	0.711	0.767	0.635	0.542	0.9059999999999999	0.653	0.546	0.821	0.636	0.579	0.519	0.37200000000000005	1.025	0.795	0.48100000000000004	0.8540000000000001	0.491	0.63	0.506	0.494	0.447	0.5539999999999999	0.654	0.611	0.491	0.532	0.395	0.614	0.563	0.493	0.436	0.504	0.561	0.6409999999999999
6.17204	0.33399999999999996	1.063	0.71	0.526	0.93	0.7340000000000001	0.7929999999999999	0.634	0.512	0.8759999999999999	0.624	0.544	0.846	0.605	0.522	0.599	0.423	1.075	0.846	0.506	0.8490000000000001	0.486	0.627	0.731	0.517	0.469	0.551	0.6759999999999999	0.39	0.43200000000000005	0.528	0.447	0.584	0.56	0.377	0.484	0.41700000000000004	0.474	0.636
6.33859	0.37799999999999995	1.133	0.617	0.65	0.9740000000000001	0.807	0.7809999999999999	0.648	0.475	1.002	0.6659999999999999	0.5870000000000001	0.971	0.6509999999999999	0.484	0.614	0.386	1.121	0.8909999999999999	0.5489999999999999	0.868	0.505	0.6709999999999999	0.608	0.509	0.461	0.43200000000000005	0.669	0.354	0.505	0.546	0.409	0.628	0.604	0.373	0.452	0.465	0.44	0.602
6.50532	0.37799999999999995	1.133	0.6990000000000001	0.568	0.9740000000000001	0.807	0.7809999999999999	0.648	0.475	1.138	0.6659999999999999	0.6409999999999999	1.08	0.623	0.593	0.56	0.386	1.176	0.8370000000000001	0.467	0.977	0.505	0.6709999999999999	0.635	0.509	0.5429999999999999	0.514	0.588	0.517	0.478	0.49200000000000005	0.409	0.547	0.604	0.455	0.397	0.43799999999999994	0.495	0.602
6.67201	0.37799999999999995	1.215	0.6990000000000001	0.596	0.9740000000000001	0.861	0.753	0.675	0.529	1.138	0.748	0.5870000000000001	0.998	0.6509999999999999	0.511	0.614	0.441	1.203	0.9179999999999999	0.467	1.113	0.505	0.6709999999999999	0.608	0.563	0.461	0.514	0.642	0.462	0.478	0.49200000000000005	0.46399999999999997	0.628	0.659	0.373	0.479	0.465	0.495	0.6559999999999999
6.83874	0.402	1.212	0.7509999999999999	0.675	1.079	0.909	0.6990000000000001	0.7020000000000001	0.498	1.16	0.773	0.693	1.157	0.645	0.508	0.639	0.462	1.2770000000000001	0.94	0.601	1.159	0.47200000000000003	0.6679999999999999	0.467	0.529	0.536	0.537	0.742	0.40299999999999997	0.499	0.595	0.433	0.57	0.546	0.44299999999999995	0.496	0.483	0.54	0.622
7.00542	0.348	1.2670000000000001	0.7240000000000001	0.621	1.188	0.83	0.752	0.647	0.499	1.216	0.8540000000000001	0.72	1.294	0.619	0.563	0.612	0.491	1.334	1.023	0.601	1.162	0.501	0.723	0.725	0.5579999999999999	0.484	0.484	0.718	0.40399999999999997	0.528	0.596	0.379	0.679	0.574	0.42	0.445	0.43200000000000005	0.462	0.57
7.17207	0.41100000000000003	1.33	0.733	0.5479999999999999	1.359	0.8109999999999999	0.897	0.711	0.561	1.278	0.9440000000000001	0.621	1.3559999999999999	0.654	0.626	0.5670000000000001	0.47200000000000003	1.368	1.004	0.447	1.44	0.45399999999999996	0.677	0.48100000000000004	0.593	0.546	0.547	0.752	0.331	0.509	0.523	0.442	0.66	0.609	0.48100000000000004	0.479	0.466	0.523	0.631
7.33877	0.414	1.4409999999999998	0.789	0.632	1.526	0.8420000000000001	0.736	0.631	0.511	1.3630000000000002	0.865	0.623	1.469	0.6859999999999999	0.575	0.542	0.42200000000000004	1.482	1.062	0.5579999999999999	1.528	0.43200000000000005	0.7070000000000001	0.662	0.5710000000000001	0.442	0.495	0.731	0.36200000000000004	0.45899999999999996	0.527	0.445	0.745	0.504	0.488	0.431	0.499	0.556	0.5820000000000001
7.50539	0.384	1.5190000000000001	0.8140000000000001	0.63	1.7109999999999999	0.8109999999999999	0.816	0.629	0.561	1.44	0.9440000000000001	0.675	1.6269999999999998	0.6	0.626	0.648	0.47200000000000003	1.449	1.085	0.664	1.819	0.509	0.785	0.562	0.701	0.546	0.52	0.779	0.575	0.536	0.523	0.442	0.7140000000000001	0.609	0.535	0.506	0.5479999999999999	0.469	0.6859999999999999
7.6721	0.436	1.518	0.9209999999999999	0.7090000000000001	1.7109999999999999	1.0	0.922	0.626	0.5329999999999999	1.44	0.9420000000000001	0.7	1.871	0.708	0.706	0.7	0.444	1.64	1.112	0.635	1.849	0.535	0.73	0.736	0.647	0.573	0.491	0.807	0.52	0.562	0.685	0.46799999999999997	0.659	0.662	0.483	0.507	0.521	0.551	0.713
7.83872	0.423	1.585	0.7709999999999999	0.614	1.9680000000000002	0.823	0.8	0.64	0.43799999999999994	1.534	0.956	0.632	2.046	0.748	0.6920000000000001	0.578	0.40299999999999997	1.787	1.206	0.594	2.077	0.494	0.716	0.41700000000000004	0.605	0.5579999999999999	0.395	0.873	0.56	0.467	0.589	0.508	0.591	0.7020000000000001	0.467	0.49200000000000005	0.479	0.48100000000000004	0.698
8.00534	0.33	1.629	0.841	0.711	2.148	0.948	0.924	0.71	0.45399999999999996	1.632	1.026	0.8109999999999999	2.3080000000000003	0.765	0.735	0.675	0.419	1.805	1.196	0.637	2.259	0.511	0.732	0.604	0.623	0.521	0.493	0.81	0.441	0.619	0.688	0.47	0.743	0.583	0.485	0.51	0.49700000000000005	0.58	0.6609999999999999
8.17215	0.445	1.636	0.9570000000000001	0.799	2.238	0.847	0.9309999999999999	0.7170000000000001	0.461	1.7209999999999999	1.06	0.655	2.588	0.691	0.6609999999999999	0.601	0.37200000000000005	1.922	1.23	0.698	2.457	0.436	0.7659999999999999	0.5870000000000001	0.711	0.447	0.5	0.7090000000000001	0.44799999999999995	0.491	0.5589999999999999	0.45	0.696	0.645	0.439	0.46299999999999997	0.45	0.588	0.5870000000000001
8.33875	0.32299999999999995	1.675	0.997	0.677	2.625	0.885	0.917	0.677	0.473	1.758	1.1	0.669	2.622	0.647	0.6729999999999999	0.642	0.41100000000000003	2.0380000000000003	1.403	0.657	2.7319999999999998	0.474	0.7240000000000001	0.36200000000000004	0.532	0.484	0.45799999999999996	0.7440000000000001	0.37799999999999995	0.447	0.57	0.408	0.5720000000000001	0.521	0.473	0.5529999999999999	0.405	0.461	0.624
8.50552	0.41100000000000003	1.844	0.977	0.684	2.8489999999999998	0.8109999999999999	1.005	0.711	0.48	1.874	1.188	0.757	3.09	0.736	0.68	0.648	0.47200000000000003	2.0180000000000002	1.41	0.61	3.0660000000000003	0.563	0.677	0.562	0.701	0.546	0.465	0.698	0.385	0.509	0.5770000000000001	0.361	0.633	0.718	0.45299999999999996	0.56	0.5479999999999999	0.523	0.713
8.67218	0.504	1.829	0.934	0.614	3.2430000000000003	0.823	0.935	0.722	0.573	1.9680000000000002	1.281	0.7140000000000001	3.321	0.6940000000000001	0.7190000000000001	0.605	0.43	2.221	1.504	0.6759999999999999	3.27	0.575	0.8240000000000001	0.552	0.687	0.585	0.531	0.765	0.479	0.5479999999999999	0.616	0.45399999999999996	0.726	0.621	0.575	0.519	0.479	0.563	0.644
8.83877	0.465	2.0069999999999997	1.085	0.792	3.446	0.919	0.924	0.765	0.48	2.1180000000000003	1.2690000000000001	0.8109999999999999	3.713	0.6809999999999999	0.7609999999999999	0.675	0.47200000000000003	2.262	1.5190000000000001	0.691	3.5810000000000004	0.509	0.812	0.562	0.701	0.546	0.52	0.779	0.494	0.617	0.5770000000000001	0.49700000000000005	0.633	0.609	0.48100000000000004	0.56	0.466	0.55	0.631
9.00556	0.486	2.029	1.025	0.7859999999999999	3.661	0.914	0.917	0.703	0.501	2.2769999999999997	1.318	0.8859999999999999	3.9019999999999997	0.8390000000000001	0.728	0.614	0.439	2.286	1.3780000000000001	0.685	3.7710000000000004	0.585	0.833	0.593	0.642	0.568	0.54	0.856	0.434	0.612	0.626	0.517	0.763	0.5760000000000001	0.47700000000000004	0.502	0.5710000000000001	0.491	0.654
9.1722	0.436	2.115	1.111	0.7090000000000001	4.074	1.0	0.922	0.816	0.614	2.363	1.54	0.89	4.397	0.762	0.733	0.7	0.498	2.319	1.601	0.7709999999999999	4.238	0.59	0.8109999999999999	0.736	0.7290000000000001	0.573	0.491	0.861	0.41100000000000003	0.535	0.631	0.46799999999999997	0.6859999999999999	0.581	0.645	0.589	0.521	0.632	0.659
9.33881	0.456	2.349	1.13	0.7829999999999999	4.544	0.99	0.996	0.7559999999999999	0.579	2.324	1.6119999999999999	0.802	4.704	0.8340000000000001	0.698	0.721	0.544	2.603	1.671	0.763	4.652	0.634	0.857	0.5479999999999999	0.665	0.617	0.51	0.85	0.40299999999999997	0.607	0.568	0.48700000000000004	0.705	0.6	0.524	0.55	0.483	0.54	0.622
9.50563	0.409	2.387	1.192	0.8170000000000001	4.834	1.0	1.085	0.816	0.669	2.39	1.6480000000000001	0.917	5.157	0.789	0.8140000000000001	0.7	0.526	2.753	1.818	0.7709999999999999	4.917	0.617	0.892	0.682	0.7020000000000001	0.654	0.5720000000000001	0.943	0.574	0.698	0.631	0.522	0.6859999999999999	0.7440000000000001	0.645	0.67	0.494	0.551	0.74
9.67218	0.418	2.529	1.3359999999999999	0.636	5.271	0.9259999999999999	0.904	0.799	0.596	2.803	1.764	0.953	5.62	0.8240000000000001	0.768	0.655	0.479	2.8939999999999997	1.8519999999999999	0.8340000000000001	5.46	0.679	0.955	0.708	0.7090000000000001	0.662	0.6890000000000001	1.031	0.474	0.597	0.6659999999999999	0.531	0.722	0.643	0.624	0.677	0.555	0.612	0.693
9.83887	0.483	2.728	1.455	0.8640000000000001	5.655	0.99	1.1320000000000001	0.7829999999999999	0.633	2.7569999999999997	1.9909999999999999	0.883	6.355	0.753	0.779	0.748	0.49	3.28	1.942	0.845	5.707999999999999	0.716	0.965	0.467	0.61	0.644	0.5920000000000001	0.85	0.457	0.6609999999999999	0.568	0.48700000000000004	0.6509999999999999	0.627	0.605	0.5770000000000001	0.5379999999999999	0.54	0.703
10.00549	0.469	2.74	1.44	0.932	6.257000000000001	0.976	1.037	0.77	0.619	3.012	2.003	1.032	6.524	0.738	0.8190000000000001	0.7340000000000001	0.529	3.263	2.089	0.831	6.282	0.701	0.924	0.662	0.758	0.603	0.578	0.97	0.605	0.647	0.6609999999999999	0.5820000000000001	0.718	0.613	0.508	0.643	0.631	0.606	0.688
10.17231	0.551	2.7710000000000004	1.469	0.688	6.541	1.0859999999999999	0.902	0.878	0.593	3.1260000000000003	2.0869999999999997	1.032	7.08	0.8220000000000001	0.929	0.7609999999999999	0.5579999999999999	3.46	2.174	0.831	6.622999999999999	0.757	0.953	0.7859999999999999	0.706	0.551	0.524	0.92	0.58	0.703	0.5820000000000001	0.447	0.746	0.695	0.621	0.593	0.499	0.609	0.636
10.33895	0.479	3.156	1.639	0.833	7.245	1.04	1.1540000000000001	0.86	0.628	3.32	2.2840000000000003	1.095	7.702000000000001	0.883	0.91	0.743	0.539	3.681	2.262	0.894	7.352	0.738	0.961	0.6759999999999999	0.687	0.6940000000000001	0.6679999999999999	0.899	0.45299999999999996	0.575	0.725	0.564	0.727	0.703	0.654	0.7070000000000001	0.614	0.616	0.779
10.50558	0.402	3.1069999999999998	1.59	0.8370000000000001	7.712000000000001	0.99	0.9690000000000001	0.946	0.633	3.759	2.451	1.1	8.142000000000001	0.753	0.86	0.802	0.544	3.8489999999999998	2.4019999999999997	0.9259999999999999	8.036	0.716	0.857	0.764	0.6920000000000001	0.617	0.5920000000000001	0.904	0.5379999999999999	0.607	0.6759999999999999	0.569	0.813	0.708	0.687	0.6579999999999999	0.565	0.675	0.703
