	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	yfgF-1	metJ_relA-1	metJ_purT-1	relA_purT-1	metJ_acrB-1	fabR_yfgF-1	fabR-2	yfgF-2	metJ_relA-2	metJ_purT-2	relA_purT-2	metJ_acrB-2	fabR_yfgF-2	fabR-3	yfgF-3	metJ_relA-3	metJ_purT-3	relA_purT-3	metJ_acrB-3	fabR_yfgF-3
3.50514	1.075	0.42	0.259	2.417	1.157	0.47100000000000003	0.486	0.638	0.131	0.222	0.271	2.7710000000000004	0.6759999999999999	0.447	0.24100000000000002	0.606	0.41600000000000004	0.14400000000000002	0.204	1.6269999999999998	0.745	0.584	0.467	0.706	0.478	0.371	0.6920000000000001	0.586	0.426	0.447	0.501	0.408	0.361	0.519	0.601	0.304	0.7929999999999999	0.662	0.32	0.281	0.441	0.6940000000000001	0.141	0.405	0.498
3.67174	1.217	0.445	0.19399999999999998	2.9539999999999997	1.3769999999999998	0.52	0.765	0.775	0.17600000000000002	0.23600000000000002	0.188	3.167	0.755	0.47200000000000003	0.27699999999999997	0.43700000000000006	0.39799999999999996	0.22899999999999998	0.149	1.994	0.8	0.616	0.49700000000000005	0.736	0.35700000000000004	0.428	0.413	0.612	0.281	0.44299999999999995	0.615	0.496	0.34299999999999997	0.46299999999999997	0.713	0.413	0.966	0.633	0.6829999999999999	0.397	0.409	0.805	0.306	0.597	0.664
3.83845	0.963	0.583	0.158	3.068	1.57	0.597	0.621	0.9420000000000001	0.363	0.307	0.389	3.281	0.948	0.498	0.284	0.521	0.408	0.2	0.179	2.334	0.885	0.8190000000000001	0.528	0.907	0.15	0.542	0.529	0.5539999999999999	0.475	0.41	0.674	0.32899999999999996	0.353	0.321	0.542	0.381	1.026	0.716	0.396	0.371	0.434	0.7190000000000001	0.244	0.62	0.6890000000000001
4.00515	1.354	0.601	0.315	3.628	1.9569999999999999	0.6970000000000001	0.7809999999999999	1.3219999999999998	0.256	0.168	0.27	3.615	0.966	0.546	0.254	0.685	0.522	0.363	0.201	2.555	0.8490000000000001	0.843	0.466	0.7879999999999999	0.243	0.39399999999999996	0.524	0.573	0.408	0.513	0.611	0.495	0.41100000000000003	0.39799999999999996	0.647	0.456	0.965	0.68	0.32799999999999996	0.395	0.594	0.767	0.34700000000000003	0.552	0.622
4.17189	1.225	0.721	0.258	3.755	2.075	0.584	0.6459999999999999	0.912	0.375	0.113	0.284	3.969	1.111	0.5529999999999999	0.217	0.439	0.32	0.146	0.071	2.7089999999999996	1.143	0.9740000000000001	0.451	0.887	0.33899999999999997	0.605	0.595	0.61	0.413	0.546	0.652	0.48200000000000004	0.293	0.38	0.713	0.434	1.151	0.775	0.617	0.495	0.48700000000000004	0.889	0.295	0.726	0.77
4.33848	1.2429999999999999	0.665	0.297	3.971	2.4459999999999997	0.623	0.674	0.992	0.35700000000000004	0.188	0.243	4.156000000000001	1.2	0.608	0.19399999999999998	0.631	0.517	0.33899999999999997	0.231	3.068	1.391	0.985	0.467	0.904	0.39899999999999997	0.539	0.496	0.635	0.557	0.5489999999999999	0.67	0.524	0.462	0.48700000000000004	0.878	0.37799999999999995	1.079	0.741	0.648	0.424	0.516	0.8290000000000001	0.355	0.589	0.6859999999999999
4.50523	1.226	0.731	0.22	4.237	2.739	0.687	0.627	1.182	0.318	0.317	0.311	4.961	1.4080000000000001	0.589	0.321	0.557	0.531	0.094	0.18600000000000003	3.3339999999999996	1.345	1.054	0.5920000000000001	1.0	0.389	0.635	0.7070000000000001	0.73	0.5660000000000001	0.473	0.6809999999999999	0.42200000000000004	0.44799999999999995	0.384	0.889	0.387	1.12	0.8079999999999999	0.629	0.436	0.49700000000000005	0.924	0.42100000000000004	0.711	0.638
4.67197	1.141	0.816	0.33299999999999996	4.861000000000001	3.2489999999999997	0.772	0.684	1.125	0.318	0.374	0.141	5.188	1.578	0.675	0.406	0.642	0.446	0.349	0.271	3.7310000000000003	1.686	1.082	0.535	1.085	0.588	0.465	0.6779999999999999	0.73	0.48100000000000004	0.586	0.7659999999999999	0.564	0.47600000000000003	0.64	0.8320000000000001	0.444	1.034	0.922	0.7140000000000001	0.294	0.525	1.0090000000000001	0.364	0.626	0.8079999999999999
4.8385	1.111	0.863	0.28600000000000003	5.376	3.725	0.669	0.731	1.111	0.461	0.284	0.142	5.675	1.709	0.723	0.302	0.61	0.519	0.23199999999999998	0.299	3.989	1.74	1.23	0.536	0.972	0.509	0.5770000000000001	0.5670000000000001	0.695	0.441	0.7170000000000001	0.823	0.624	0.521	0.608	0.94	0.405	1.18	0.888	1.3	0.495	0.5720000000000001	0.9740000000000001	0.38	0.754	0.856
5.00531	1.3840000000000001	1.024	0.278	5.989	4.454	0.747	0.636	1.006	0.529	0.29600000000000004	0.272	6.004	2.069	0.8270000000000001	0.374	0.599	0.675	0.221	0.231	4.489	2.127	1.274	0.525	1.074	0.6609999999999999	0.6509999999999999	0.669	0.713	0.517	0.679	0.953	0.612	0.62	0.597	0.958	0.48100000000000004	1.338	0.878	0.665	0.597	0.648	1.1909999999999998	0.371	0.831	0.7609999999999999
