	MG1655-1	IBUA2-9_1	IBUA5-6_1	IBUA7-9_1	IBUA8-3_1	pykF-1	rpoS-1	yobF-1	MG1655-2	IBUA2-9_2	IBUA5-6_2	IBUA7-9_2	IBUA8-3_2	pykF-2	rpoS-2	yobF-2	MG1655-3	IBUA2-9_3	IBUA5-6_1dup	IBUA7-9_3	IBUA8-3_3	pykF-3	rpoS-3	yobF-3	pykF_rpoS-1	pykF_yobF-1	pykF_rpoS_yobF-1	pykF_rpoS-2	pykF_yobF-2	pykF_rpoS_yobF-2	pykF_rpoS-3	pykF_yobF-3	pykF_rpoS_yobF-3
5.67209	0.29	0.063	0.451	0.204	0.217	1.041	0.636	0.355	3.858	0.203	0.342	0.092	0.184	0.263	0.546	0.076	0.455	0.079	0.141	0.049	0.34299999999999997	0.243	0.141	0.391	1.867	0.42200000000000004	0.5589999999999999	0.41700000000000004	0.222	0.664	0.703	0.10300000000000001	0.51
5.83868	0.42100000000000004	0.081	0.467	0.193	0.23199999999999998	1.252	0.6809999999999999	0.319	3.8930000000000002	0.141	0.251	0.271	0.065	0.172	0.622	0.098	0.429	0.183	0.105	0.039	0.27899999999999997	0.345	0.297	0.501	2.0580000000000003	0.47700000000000004	0.5539999999999999	0.494	0.324	0.767	0.721	0.095	0.584
6.00545	0.24100000000000002	0.08900000000000001	0.42	0.226	0.265	1.179	0.58	0.326	4.043	0.231	0.258	0.19699999999999998	0.071	0.18	0.7390000000000001	0.188	0.441	0.111	0.16699999999999998	0.155	0.368	0.435	0.251	0.568	2.151	0.38	0.591	0.42200000000000004	0.19699999999999998	0.5589999999999999	0.81	0.10400000000000001	0.511
6.1721	0.381	0.071	0.40399999999999997	0.184	0.25	0.996	0.59	0.308	3.873	0.21100000000000002	0.349	0.126	0.13699999999999998	0.162	0.637	0.085	0.413	0.08900000000000001	0.149	0.111	0.32299999999999995	0.33299999999999996	0.204	0.5660000000000001	1.96	0.38	0.46	0.42700000000000005	0.258	0.6729999999999999	0.765	0.166	0.5720000000000001
6.33886	0.293	0.09300000000000001	0.37200000000000005	0.20600000000000002	0.327	1.153	0.72	0.35700000000000004	3.998	0.179	0.23600000000000002	0.17600000000000002	0.051	0.076	0.7120000000000001	0.16	0.35100000000000003	0.16399999999999998	0.09	0.052000000000000005	0.264	0.462	0.14300000000000002	0.449	1.925	0.45299999999999996	0.562	0.42100000000000004	0.252	0.586	0.76	0.079	0.513
6.50541	0.39399999999999996	0.0	0.332	0.193	0.17800000000000002	1.089	0.6809999999999999	0.4	4.0280000000000005	0.141	0.359	0.19	0.11900000000000001	0.172	0.73	0.179	0.483	0.075	0.105	0.121	0.33299999999999996	0.48	0.297	0.42	2.031	0.45	0.473	0.575	0.324	0.6859999999999999	0.775	0.095	0.502
6.67216	0.384	0.019	0.46	0.105	0.442	1.1340000000000001	0.6729999999999999	0.311	4.093999999999999	0.187	0.271	0.10099999999999999	0.11199999999999999	0.002	0.64	0.142	0.47100000000000003	0.228	0.09699999999999999	0.059000000000000004	0.272	0.498	0.152	0.40700000000000003	2.1	0.519	0.653	0.511	0.261	0.785	0.795	0.087	0.602
6.83885	0.281	0.083	0.39	0.252	0.29100000000000004	1.114	0.737	0.374	4.059	0.195	0.22699999999999998	0.11199999999999999	0.096	0.09300000000000001	0.7	0.147	0.47	0.23199999999999998	0.133	0.096	0.255	0.613	0.132	0.43200000000000005	2.072	0.41	0.604	0.462	0.24100000000000002	0.682	0.831	0.149	0.556
7.0055	0.375	0.174	0.45299999999999996	0.28800000000000003	0.3	1.071	0.6659999999999999	0.43799999999999994	4.079	0.26	0.317	0.17600000000000002	0.105	0.022000000000000002	0.7390000000000001	0.214	0.35100000000000003	0.16399999999999998	0.09	0.187	0.318	0.489	0.27899999999999997	0.53	2.115	0.426	0.616	0.475	0.306	0.775	0.76	0.24100000000000002	0.594
7.17217	0.32	0.09300000000000001	0.37200000000000005	0.20600000000000002	0.3	1.125	0.828	0.35700000000000004	4.106	0.26	0.39899999999999997	0.121	0.213	0.076	0.6579999999999999	0.24100000000000002	0.405	0.083	0.14400000000000002	0.187	0.4	0.625	0.225	0.53	2.115	0.45299999999999996	0.643	0.556	0.38799999999999996	0.6940000000000001	0.868	0.106	0.513
