	MG1655-1	OCTA1-9_1	OCTA2-14_1	OCTA5-4_1	OCTA7-2_1	stfE-1	gtrS-1	rlmH-1	MG1655-2	OCTA1-9_2	OCTA2-14_2	OCTA5-4_2	OCTA7-2_2	stfE-2	gtrS-2	rlmH-2	MG1655-3	OCTA1-9_3	OCTA2-14_3	OCTA5-4_3	OCTA7-2_3	stfE-3	gtrS-3	rlmH-3
10.67227	0.272	0.217	0.077	0.068	0.24600000000000002	0.141	0.39799999999999996	0.27899999999999997	0.13699999999999998	0.085	0.251	0.096	0.28800000000000003	0.115	0.493	0.456	0.17600000000000002	0.0	0.062	0.08900000000000001	0.174	0.141	0.32299999999999995	0.513
10.83893	0.426	0.0	0.23	0.107	0.171	0.122	0.408	0.28800000000000003	0.092	0.095	0.204	0.106	0.297	0.153	0.475	0.43700000000000006	0.191	0.067	0.07200000000000001	0.1	0.155	0.264	0.247	0.38
11.00564	0.44299999999999995	0.16	0.22	0.09699999999999999	0.24600000000000002	0.055	0.313	0.307	0.08	0.142	0.193	0.18100000000000002	0.28800000000000003	0.115	0.493	0.39899999999999997	0.17600000000000002	0.086	0.17600000000000002	0.061	0.08800000000000001	0.16899999999999998	0.32299999999999995	0.285
11.17227	0.45799999999999996	0.032	0.233	0.14	0.287	0.092	0.38	0.22899999999999998	0.098	0.182	0.14800000000000002	0.136	0.26899999999999996	0.067	0.42	0.467	0.263	0.128	0.045	0.13	0.126	0.204	0.221	0.294
11.33895	0.276	0.078	0.109	0.1	0.191	0.226	0.342	0.33399999999999996	0.086	0.0	0.109	0.04	0.231	0.14300000000000002	0.43799999999999994	0.428	0.048	0.031	0.035	0.034	0.17300000000000001	0.281	0.21	0.456
11.50563	0.39399999999999996	0.08199999999999999	0.226	0.10400000000000001	0.223	0.0	0.45899999999999996	0.309	0.17600000000000002	0.175	0.22699999999999998	0.129	0.23399999999999999	0.146	0.527	0.43200000000000005	0.225	0.121	0.096	0.124	0.11900000000000001	0.198	0.3	0.374
11.67227	0.337	0.111	0.16899999999999998	0.075	0.221	0.025	0.457	0.418	0.149	0.14400000000000002	0.168	0.127	0.34600000000000003	0.171	0.526	0.37200000000000005	0.20600000000000002	0.063	0.065	0.065	0.231	0.365	0.327	0.314
11.83909	0.38299999999999995	0.043	0.158	0.064	0.24	0.016	0.275	0.32299999999999995	0.195	0.134	0.13	0.146	0.536	0.162	0.45899999999999996	0.44799999999999995	0.249	0.11	0.198	0.198	0.192	0.27	0.231	0.418
12.00571	0.405	0.121	0.151	0.0	0.233	0.18100000000000002	0.355	0.26	0.187	0.128	0.209	0.111	0.33	0.155	0.452	0.441	0.182	0.045	0.049	0.134	0.129	0.264	0.281	0.38299999999999995
12.17244	0.41200000000000003	0.18600000000000003	0.273	0.064	0.125	0.187	0.39	0.35200000000000004	0.052000000000000005	0.134	0.244	0.146	0.27899999999999997	0.162	0.544	0.391	0.27699999999999997	0.11	0.11199999999999999	0.141	0.278	0.184	0.28800000000000003	0.304
12.33911	0.5660000000000001	0.139	0.254	0.161	0.221	0.111	0.5429999999999999	0.418	0.121	0.287	0.34	0.156	0.289	0.2	0.555	0.5720000000000001	0.292	0.12	0.151	0.151	0.20199999999999999	0.308	0.413	0.39899999999999997
12.50581	0.447	0.193	0.223	0.272	0.22	0.14	0.428	0.33399999999999996	0.34299999999999997	0.114	0.195	0.126	0.317	0.14300000000000002	0.43799999999999994	0.428	0.305	0.08900000000000001	0.121	0.12	0.08800000000000001	0.253	0.268	0.285
12.67243	0.41600000000000004	0.075	0.161	0.183	0.242	0.273	0.419	0.35	0.172	0.222	0.16	0.09	0.365	0.21899999999999997	0.489	0.478	0.292	0.141	0.14300000000000002	0.172	0.221	0.297	0.319	0.505
12.83918	0.365	0.168	0.198	0.218	0.28	0.22899999999999998	0.45899999999999996	0.251	0.11900000000000001	0.11800000000000001	0.22699999999999998	0.129	0.32	0.26	0.442	0.489	0.16699999999999998	0.17800000000000002	0.21	0.095	0.262	0.341	0.3	0.40299999999999997
