	MG1655-1	ADIP1-9_1	ADIP4-8_1	ADIP6-3_1	ADIP8-3_1	kgtP-1	proV-1	ybjL-1	MG1655-2	ADIP1-9_2	ADIP4-8_2	ADIP6-3_2	ADIP8-3_2	kgtP-2	proV-2	ybjL-2	MG1655-3	ADIP1-9_3	ADIP4-8_3	ADIP6-3_3	ADIP8-3_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_ybjL-1	kgtP_sspA-1	kgtP_proV_ybjL-1	ADIP3-2_4	ADIP4-1_4	ADIP3-2_5	ADIP4-1_5	kgtP_proV-2	kgtP_ybjL-2	kgtP_sspA-2	kgtP_proV_ybjL-2	ADIP3-4_4	ADIP7-2_4	ADIP3-4_5	ADIP7-2_5	kgtP_proV-3	kgtP_ybjL-3	kgtP_sspA-3	kgtP_proV_ybjL-3	ADIP3-8_4	ADIP7-5_4	ADIP3-8_5	ADIP7-5_5
15.33931	1.554	24.205	17.167	13.918	14.450999999999999	2.465	0.73	2.4419999999999997	1.7719999999999998	0.9840000000000001	16.171	14.374	6.797000000000001	2.553	0.612	2.259	1.4409999999999998	25.705	16.479	14.773	7.148	2.983	0.872	2.445	3.858	2.8089999999999997	0.794	8.317	2.421	1.4569999999999999	3.3569999999999998	1.117	3.411	2.557	1.9869999999999999	4.465	0.545	3.0610000000000004	0.774	3.301	3.778	3.57	0.317	4.737	18.014	21.029	1.922	4.587
15.50601	1.575	24.088	16.724	14.728	15.491	2.572	0.836	2.6910000000000003	1.794	0.777	16.043	15.043	6.74	2.46	0.745	2.565	1.5190000000000001	25.565	16.095	15.529000000000002	7.521	2.949	0.894	2.552	3.7969999999999997	2.923	0.958	8.949	2.6189999999999998	1.393	3.639	1.1420000000000001	3.4930000000000003	2.613	2.041	4.663	0.565	3.197	0.737	3.4389999999999996	3.859	3.7960000000000003	0.28	5.077	18.492	20.791999999999998	2.1719999999999997	4.614
15.67261	1.585	25.254	18.285999999999998	15.402000000000001	15.222999999999999	2.667	0.816	2.7569999999999997	1.7180000000000002	0.9279999999999999	15.69	15.947000000000001	7.295	2.6689999999999996	0.639	2.46	1.443	26.276	15.742	16.348	7.906000000000001	3.13	0.846	2.533	3.9219999999999997	3.193	0.882	9.82	2.8310000000000004	1.6019999999999999	3.65	1.381	3.533	2.6830000000000003	2.109	4.675	0.659	3.435	0.746	3.679	4.041	3.95	0.28800000000000003	5.26	18.913	21.127	2.267	4.655
15.83929	1.724	25.418000000000003	17.051	15.997	15.503	2.835	0.8420000000000001	2.8689999999999998	1.886	0.868	15.940999999999999	16.57	7.462000000000001	2.752	0.8079999999999999	2.457	1.44	26.21	16.679000000000002	16.941	8.33	3.327	0.9	2.787	4.2330000000000005	3.36	1.079	10.300999999999998	3.055	1.713	4.275	1.32	3.701	2.9360000000000004	2.191	5.071000000000001	0.685	3.375	0.7140000000000001	3.7889999999999997	4.066	4.146	0.371	5.685	19.992	21.863000000000003	2.379	4.965
16.00605	1.6580000000000001	25.308000000000003	16.947	16.692999999999998	15.970999999999998	2.74	0.89	2.8310000000000004	1.791	0.9740000000000001	16.551	16.808	7.763999999999999	2.7430000000000003	0.5710000000000001	2.648	1.459	26.441999999999997	16.86	17.265	8.574	3.4019999999999997	1.062	2.835	4.337	3.404	0.898	10.657	3.215	1.847	4.406000000000001	1.395	3.775	3.1239999999999997	2.18	5.4879999999999995	0.591	3.537	0.7909999999999999	3.864	4.227	4.106	0.27699999999999997	5.987	19.912	21.328000000000003	2.6830000000000003	5.039
16.17258	1.652	25.749000000000002	17.563	17.223	16.500999999999998	3.077	0.97	2.911	1.87	0.996	16.025	16.938	7.813	3.022	0.737	2.784	1.625	27.281	16.817999999999998	16.965999999999998	8.821	3.3960000000000004	1.084	2.971	4.558	3.5669999999999997	1.035	11.39	3.378	1.7830000000000001	4.599	1.56	4.111000000000001	2.944	2.201	5.736000000000001	0.642	3.702	0.871	3.9139999999999997	4.192	4.213	0.414	6.15	21.268	21.941999999999997	2.677	5.202000000000001
16.3394	1.765	26.250999999999998	17.447	16.820999999999998	16.843	2.9330000000000003	0.9109999999999999	3.31	2.013	0.9940000000000001	16.250999999999998	16.852	8.023	3.222	0.7609999999999999	2.926	1.709	28.304000000000002	16.361	17.225	9.15	3.568	1.199	3.0860000000000003	4.705	3.6910000000000003	1.006	11.35	3.6719999999999997	2.04	4.89	1.4780000000000002	4.202	3.238	2.463	6.06	0.6679999999999999	3.7880000000000003	0.84	4.147	4.537	4.562	0.29600000000000004	6.559	21.795	22.178	2.877	5.41
16.50597	1.9180000000000001	26.23	17.41	16.785	17.234	3.4	0.7509999999999999	3.234	2.08	1.005	16.386	16.785999999999998	8.482000000000001	3.2889999999999997	0.831	3.108	1.805	26.85	16.437	16.586	9.35	3.577	1.065	3.266	5.169	3.8369999999999997	1.13	11.519	3.9330000000000003	1.85	5.039	1.5419999999999998	4.55	3.299	2.526	6.206	0.679	3.94	0.794	4.211	4.602	4.624	0.28	6.505	22.261999999999997	21.706	3.1439999999999997	5.357
16.67275	1.9369999999999998	26.194000000000003	17.447	16.820999999999998	16.557000000000002	3.305	0.8540000000000001	3.31	2.07	0.937	16.051	16.194000000000003	9.081	3.222	0.647	3.069	1.88	26.416	16.447	16.252	9.407	3.912	0.941	3.515	5.22	4.206	0.92	12.665999999999999	4.044	1.8969999999999998	5.4910000000000005	1.4780000000000002	4.659	3.467	2.491	6.66	0.611	3.988	0.812	4.461	4.795	4.762	0.353	6.959	22.680999999999997	21.034000000000002	3.0780000000000003	5.638999999999999
16.83935	2.099	25.840999999999998	17.113	16.457	17.224	3.41	0.871	3.5860000000000003	2.262	0.955	16.002	16.461	9.193999999999999	3.4989999999999997	0.9209999999999999	3.2889999999999997	1.8130000000000002	26.554000000000002	16.742	16.576	10.009	4.19	0.932	3.449	5.301	4.232	1.082	13.157	4.3839999999999995	2.002	5.63	1.585	4.768	3.6919999999999997	2.742	6.916	0.599	4.18	0.743	4.598	4.988	5.187	0.313	7.643	23.331	21.075	3.355	5.692
