	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	ptrA-1	mdtK_ptrA-1	ompR-1	ompR_proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	ptrA-2	mdtK_ptrA-2	ompR-2	ompR_proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	ptrA-3	mdtK_ptrA-3	ompR-3	ompR_proQ-3	ompR_ptrA-1	ompR_proQ_mdtK-1	ompR_proQ_ptrA-1	bioAB-1	bioAB_ptrA-1	proQ-1	bioAB_ptrA_mdtK-1	bioAB_ptrA_ompR-1	ompR_ptrA-2	ompR_proQ_mdtK-2	ompR_proQ_ptrA-2	bioAB-2	bioAB_ptrA-2	proQ-2	bioAB_ptrA_mdtK-2	bioAB_ptrA_ompR-2	ompR_ptrA-3	ompR_proQ_mdtK-3	ompR_proQ_ptrA-3	bioAB-3	bioAB_ptrA-3	proQ-3	bioAB_ptrA_mdtK-3	bioAB_ptrA_ompR-3
1.67167	0.316	1.242	0.451	0.46299999999999997	0.485	0.361	0.642	0.313	0.384	0.547	0.556	0.423	0.331	0.267	0.355	0.9740000000000001	0.305	0.247	0.37200000000000005	0.426	0.247	0.493	0.08199999999999999	0.44	0.289	0.34299999999999997	0.391	0.496	0.47	0.713	0.442	0.528	0.309	0.34	0.28800000000000003	0.257	0.496	0.604	0.451	0.252	0.28	0.284	0.209	0.515	0.429	0.511	0.387	0.262
1.83846	0.5379999999999999	1.4480000000000002	0.521	0.505	0.631	0.374	0.503	0.359	0.45399999999999996	0.434	0.41200000000000003	0.431	0.445	0.433	0.34299999999999997	0.7040000000000001	0.275	0.284	0.322	0.40299999999999997	0.268	0.504	0.192	0.6659999999999999	0.18	0.322	0.33799999999999997	0.628	0.484	0.5710000000000001	0.392	0.38799999999999996	0.257	0.47100000000000003	0.446	0.386	0.47700000000000004	0.467	0.43	0.207	0.15	0.23399999999999999	0.248	0.46399999999999997	0.379	0.462	0.428	0.303
2.005	0.48700000000000004	1.443	0.439	0.547	0.41200000000000003	0.35600000000000004	0.5760000000000001	0.222	0.40299999999999997	0.441	0.32799999999999996	0.561	0.255	0.449	0.423	0.9490000000000001	0.397	0.23	0.514	0.502	0.136	0.484	0.12	0.5589999999999999	0.131	0.27	0.467	0.48700000000000004	0.466	0.8240000000000001	0.311	0.4	0.14300000000000002	0.42	0.36200000000000004	0.424	0.426	0.5710000000000001	0.47	0.43700000000000006	0.293	0.27399999999999997	0.349	0.444	0.358	0.594	0.439	0.375
2.17165	0.247	1.46	0.595	0.583	0.642	0.301	0.578	0.29100000000000004	0.40700000000000003	0.382	0.48200000000000004	0.502	0.45299999999999996	0.336	0.27699999999999997	1.095	0.237	0.414	0.45799999999999996	0.382	0.39299999999999996	0.58	0.193	0.506	0.168	0.272	0.317	0.5529999999999999	0.504	0.6759999999999999	0.377	0.467	0.268	0.39299999999999996	0.33299999999999996	0.426	0.522	0.609	0.473	0.294	0.154	0.309	0.32299999999999995	0.54	0.39299999999999996	0.539	0.505	0.38
2.33841	0.43799999999999994	1.5119999999999998	0.327	0.5920000000000001	0.602	0.677	0.6459999999999999	0.242	0.414	0.35700000000000004	0.212	0.447	0.504	0.379	0.22899999999999998	0.848	0.324	0.48	0.40399999999999997	0.479	0.22699999999999998	0.527	0.055999999999999994	0.517	0.11599999999999999	0.33899999999999997	0.35200000000000004	0.591	0.545	0.897	0.47600000000000003	0.324	0.396	0.4	0.276	0.309	0.469	0.5589999999999999	0.511	0.33799999999999997	0.141	0.316	0.33	0.578	0.34	0.639	0.452	0.419
2.5051	0.455	1.444	0.314	0.42700000000000005	0.565	0.42	0.556	0.139	0.43200000000000005	0.526	0.442	0.494	0.251	0.491	0.171	0.7829999999999999	0.259	0.405	0.361	0.40399999999999997	0.249	0.45299999999999996	0.261	0.5670000000000001	0.10400000000000001	0.41700000000000004	0.27699999999999997	0.517	0.564	0.792	0.249	0.342	0.198	0.44799999999999995	0.384	0.479	0.517	0.609	0.467	0.175	0.255	0.365	0.34700000000000003	0.504	0.35700000000000004	0.7490000000000001	0.47	0.28300000000000003
2.6717	0.49700000000000005	1.5819999999999999	0.816	0.439	0.7340000000000001	0.341	0.5770000000000001	0.336	0.474	0.445	0.331	0.597	0.266	0.474	0.316	1.1079999999999999	0.0	0.47700000000000004	0.434	0.415	0.294	0.46399999999999997	0.091	0.58	0.20800000000000002	0.275	0.379	0.43700000000000006	0.423	0.988	0.353	0.415	0.24	0.276	0.303	0.337	0.529	0.6829999999999999	0.44799999999999995	0.434	0.14800000000000002	0.34600000000000003	0.20600000000000002	0.516	0.369	0.5770000000000001	0.39	0.387
2.83836	0.42	1.48	0.462	0.5770000000000001	0.447	0.479	0.573	0.168	0.581	0.45899999999999996	0.467	0.488	0.19399999999999998	0.39799999999999996	0.406	1.4069999999999998	0.17600000000000002	0.521	0.387	0.52	0.221	0.479	0.201	0.5660000000000001	0.162	0.382	0.36200000000000004	0.605	0.5920000000000001	0.818	0.46	0.431	0.223	0.35100000000000003	0.316	0.35100000000000003	0.42100000000000004	0.6990000000000001	0.5539999999999999	0.08199999999999999	0.258	0.23800000000000002	0.312	0.53	0.322	0.593	0.405	0.371
3.00509	0.622	1.6269999999999998	0.35600000000000004	0.503	0.317	0.252	0.6659999999999999	0.37200000000000005	0.475	0.66	0.33	0.413	0.217	0.418	0.287	1.527	0.14	0.599	0.5579999999999999	0.47600000000000003	0.335	0.527	0.222	0.585	0.149	0.306	0.317	0.47	0.519	0.836	0.385	0.449	0.271	0.461	0.271	0.45899999999999996	0.47	0.7490000000000001	0.51	0.318	0.312	0.37799999999999995	0.33	0.64	0.43200000000000005	0.703	0.5760000000000001	0.297
3.1717	0.6	1.516	0.488	0.573	0.575	0.292	0.528	0.382	0.546	0.515	0.49200000000000005	0.544	0.44299999999999995	0.36700000000000005	0.304	1.357	0.5529999999999999	0.638	0.69	0.484	0.5	0.536	0.44799999999999995	0.441	0.251	0.315	0.479	0.5710000000000001	0.528	0.937	0.579	0.366	0.27899999999999997	0.562	0.34	0.345	0.479	0.728	0.519	0.297	0.32299999999999995	0.233	0.33799999999999997	0.465	0.318	0.7120000000000001	0.524	0.337
3.33837	0.386	1.9609999999999999	0.42700000000000005	0.6990000000000001	0.557	0.449	0.586	0.172	0.455	0.792	0.522	0.636	0.363	0.557	0.336	1.4080000000000001	0.20199999999999999	0.915	0.6	0.5760000000000001	0.387	0.5379999999999999	0.149	0.723	0.223	0.34600000000000003	0.41700000000000004	0.573	0.563	1.185	0.612	0.33799999999999997	0.40299999999999997	0.44	0.308	0.375	0.48	0.7020000000000001	0.551	0.42700000000000005	0.179	0.204	0.43200000000000005	0.528	0.35	0.684	0.526	0.37
3.50508	0.418	1.635	0.428	0.517	0.601	0.452	0.645	0.177	0.672	0.73	0.521	0.48200000000000004	0.22	0.255	0.39899999999999997	1.5519999999999998	0.25	0.884	0.447	0.6990000000000001	0.242	0.602	0.312	0.9440000000000001	0.22699999999999998	0.34600000000000003	0.447	0.544	0.598	0.848	0.5529999999999999	0.434	0.527	0.441	0.33799999999999997	0.344	0.451	0.738	0.583	0.557	0.313	0.32899999999999996	0.40299999999999997	0.529	0.413	0.625	0.745	0.557
3.67178	0.502	1.963	0.512	0.508	0.496	0.381	0.938	0.26	0.354	0.629	0.32799999999999996	0.504	0.24	0.337	0.382	1.724	0.5770000000000001	0.845	0.7170000000000001	0.536	0.231	0.655	0.271	0.502	0.341	0.43	0.34600000000000003	0.41200000000000003	0.465	0.9009999999999999	0.544	0.363	0.395	0.46299999999999997	0.299	0.243	0.35	0.635	0.7290000000000001	0.45399999999999996	0.48700000000000004	0.474	0.301	0.428	0.466	0.585	0.581	0.301
3.8385	0.294	1.9140000000000001	0.645	0.6409999999999999	0.6629999999999999	0.39	0.6759999999999999	0.054000000000000006	0.27	0.6679999999999999	0.39799999999999996	0.698	0.344	0.502	0.39899999999999997	1.46	0.312	0.884	0.633	0.607	0.304	0.7559999999999999	0.374	0.48100000000000004	0.257	0.377	0.293	0.513	0.475	0.94	0.5529999999999999	0.465	0.434	0.534	0.307	0.313	0.606	0.738	0.583	0.557	0.282	0.32899999999999996	0.37200000000000005	0.46799999999999997	0.38299999999999995	0.718	0.6829999999999999	0.495
4.0052	0.522	1.992	0.657	0.684	0.401	0.37200000000000005	0.6970000000000001	0.19	0.375	0.8340000000000001	0.409	0.71	0.267	0.45399999999999996	0.32899999999999996	1.2930000000000001	0.33	0.8959999999999999	0.6759999999999999	0.618	0.319	0.614	0.327	0.525	0.363	0.38799999999999996	0.304	0.525	0.58	1.107	0.565	0.539	0.353	0.45299999999999996	0.41100000000000003	0.41700000000000004	0.46299999999999997	0.843	0.657	0.324	0.297	0.402	0.415	0.479	0.39399999999999996	0.792	0.695	0.47700000000000004
4.17175	0.33399999999999996	1.74	0.43700000000000006	0.6809999999999999	0.489	0.183	0.6920000000000001	0.311	0.465	0.77	0.344	0.6759999999999999	0.23199999999999998	0.45	0.262	1.443	0.604	1.078	0.7659999999999999	0.615	0.315	0.58	0.385	0.769	0.23600000000000002	0.386	0.486	0.36700000000000005	0.484	1.042	0.562	0.5670000000000001	0.504	0.5429999999999999	0.594	0.445	0.5529999999999999	0.809	0.87	0.568	0.23199999999999998	0.39899999999999997	0.381	0.5379999999999999	0.484	0.789	0.6920000000000001	0.5660000000000001
4.33848	0.456	1.936	0.59	0.7120000000000001	0.529	0.307	0.8079999999999999	0.344	0.43200000000000005	0.7979999999999999	0.526	0.797	0.209	0.5770000000000001	0.41200000000000003	1.7690000000000001	0.184	0.9209999999999999	0.7959999999999999	0.736	0.353	0.517	0.42200000000000004	0.802	0.267	0.414	0.39	0.552	0.609	0.9790000000000001	0.778	0.784	0.44	0.665	0.373	0.38	0.6759999999999999	0.687	0.6829999999999999	0.603	0.611	0.36700000000000005	0.596	0.568	0.42100000000000004	0.727	0.6920000000000001	0.597
4.50516	0.312	1.9069999999999998	0.662	0.659	0.532	0.409	0.77	0.19699999999999998	0.41200000000000003	0.871	0.445	0.715	0.36700000000000005	0.429	0.5579999999999999	1.581	0.46299999999999997	1.056	0.775	0.747	0.45	0.589	0.396	0.624	0.369	0.456	0.402	0.469	0.5870000000000001	1.051	0.726	0.762	0.513	0.5820000000000001	0.602	0.423	0.469	0.912	0.662	0.39299999999999996	0.522	0.408	0.389	0.45399999999999996	0.4	0.8909999999999999	0.609	0.607
4.67182	0.315	2.097	0.9440000000000001	0.693	0.35100000000000003	0.41200000000000003	0.713	0.2	0.29100000000000004	0.9670000000000001	0.541	0.78	0.247	0.649	0.532	1.6469999999999998	0.18899999999999997	0.904	0.685	0.812	0.361	0.499	0.431	0.442	0.527	0.45899999999999996	0.467	0.47200000000000003	0.621	0.93	0.667	0.486	0.516	0.49200000000000005	0.419	0.425	0.565	0.76	0.696	0.52	0.34	0.473	0.423	0.581	0.496	0.647	0.674	0.579
4.83855	0.509	2.296	0.643	0.672	0.332	0.515	0.7290000000000001	0.303	0.733	0.9129999999999999	0.425	0.8809999999999999	0.38299999999999995	0.536	0.364	1.662	0.295	1.0979999999999999	0.88	0.852	0.27899999999999997	0.818	0.41100000000000003	0.6990000000000001	0.382	0.46799999999999997	0.475	0.574	0.599	1.063	0.645	0.6509999999999999	0.555	0.501	0.768	0.62	0.636	0.863	0.767	0.685	0.413	0.42	0.494	0.59	0.505	0.8109999999999999	0.7140000000000001	0.588
5.00517	0.49700000000000005	1.9380000000000002	0.693	0.845	0.532	0.37799999999999995	0.8009999999999999	0.506	0.474	0.871	0.5379999999999999	0.9940000000000001	0.243	0.6459999999999999	0.434	1.6740000000000002	0.33899999999999997	1.056	0.682	1.026	0.35700000000000004	0.775	0.42700000000000005	0.624	0.431	0.5489999999999999	0.309	0.624	0.71	1.02	0.818	0.762	0.637	0.5820000000000001	0.509	0.33	0.655	0.85	0.693	0.486	0.491	0.408	0.32799999999999996	0.485	0.493	0.8290000000000001	0.763	0.6679999999999999
5.1719	0.32	2.229	0.64	0.792	0.513	0.38799999999999996	0.7240000000000001	0.578	0.42	1.004	0.45299999999999996	1.064	0.379	0.532	0.48200000000000004	1.75	0.07400000000000001	0.972	0.66	1.034	0.523	0.536	0.469	0.696	0.564	0.589	0.41	0.478	0.875	1.153	0.642	0.585	0.429	0.374	0.517	0.276	0.633	0.736	0.795	0.527	0.44	0.41700000000000004	0.39799999999999996	0.556	0.595	1.024	0.68	0.523
5.33853	0.514	2.103	0.833	1.015	0.698	0.6409999999999999	0.805	0.397	0.613	0.9490000000000001	0.524	1.196	0.348	0.598	0.529	1.743	0.22399999999999998	1.1340000000000001	1.0070000000000001	1.166	0.586	0.667	0.501	0.67	0.446	0.565	0.574	0.609	0.8490000000000001	1.0979999999999999	0.741	0.715	0.591	0.537	0.65	0.409	0.733	1.0190000000000001	0.833	0.5920000000000001	0.503	0.486	0.498	0.625	0.664	0.8759999999999999	0.748	0.9
5.50526	0.215	2.259	0.843	0.9	0.546	0.37200000000000005	0.86	0.6509999999999999	0.84	1.207	0.474	1.36	0.228	0.513	0.396	1.709	0.039	1.238	0.9229999999999999	1.331	0.282	0.831	0.507	0.7390000000000001	0.39299999999999996	0.45299999999999996	0.462	0.588	0.672	1.1079999999999999	0.7809999999999999	0.693	0.479	0.547	0.5379999999999999	0.513	0.773	0.872	0.7509999999999999	0.66	0.38299999999999995	0.465	0.447	0.6970000000000001	0.643	0.946	0.757	0.662
5.67203	0.519	2.081	1.148	1.207	0.675	0.6779999999999999	0.9079999999999999	0.40299999999999997	0.465	1.141	0.56	1.6340000000000001	0.44799999999999995	0.605	0.602	1.969	0.35600000000000004	1.2329999999999999	1.199	1.5430000000000001	0.532	0.611	0.41600000000000004	1.047	0.514	0.633	0.672	0.522	0.67	1.135	0.747	0.721	0.69	0.6659999999999999	0.594	0.445	0.8	0.995	0.932	0.6609999999999999	0.479	0.49200000000000005	0.41200000000000003	0.569	0.67	0.882	0.6920000000000001	0.597
5.83858	0.511	2.1919999999999997	0.9540000000000001	1.29	0.601	0.483	0.892	0.579	0.301	1.0390000000000001	0.552	1.903	0.498	0.78	0.523	1.8	0.405	1.224	1.56	1.75	0.397	0.7559999999999999	0.436	0.79	0.35	0.7170000000000001	0.5710000000000001	0.513	0.846	1.033	0.8	0.7120000000000001	0.40299999999999997	0.997	0.49200000000000005	0.313	0.7909999999999999	1.077	0.83	0.557	0.46799999999999997	0.545	0.557	0.622	0.753	0.965	0.7759999999999999	0.897
6.00536	0.603	2.346	1.016	1.506	0.879	0.39	0.799	0.5479999999999999	0.672	1.1320000000000001	0.7070000000000001	2.089	0.622	0.626	0.616	1.8	0.312	1.5330000000000001	1.745	1.781	0.768	0.7559999999999999	0.498	0.883	0.536	0.624	0.633	0.544	0.938	1.218	0.738	0.9279999999999999	0.619	0.7190000000000001	0.647	0.43700000000000006	0.8220000000000001	1.077	0.861	0.496	0.684	0.483	0.465	0.622	0.753	0.965	0.745	0.835
6.17205	0.7170000000000001	2.035	1.3459999999999999	1.4669999999999999	0.846	0.753	0.899	0.757	0.693	1.276	0.664	2.513	0.278	0.711	0.563	1.926	0.34299999999999997	1.4609999999999999	1.83	2.1430000000000002	0.733	1.087	0.524	0.9990000000000001	0.465	0.768	0.652	0.6579999999999999	0.8059999999999999	1.24	0.914	0.858	0.7020000000000001	0.6779999999999999	0.6659999999999999	0.5489999999999999	0.9359999999999999	1.0390000000000001	0.851	0.86	0.525	0.504	0.578	0.767	0.868	1.08	0.8590000000000001	0.826
6.33872	0.723	2.384	1.538	1.9069999999999998	0.73	0.6659999999999999	0.941	0.6709999999999999	0.513	1.189	0.67	2.9219999999999997	0.627	0.625	0.792	1.8430000000000002	0.445	1.4980000000000002	1.992	2.459	0.7090000000000001	0.9079999999999999	0.469	1.1909999999999998	0.5329999999999999	0.836	0.8440000000000001	0.664	0.875	1.215	0.8590000000000001	0.7709999999999999	0.7070000000000001	0.777	0.672	0.524	0.912	1.015	0.857	0.62	0.502	0.5720000000000001	0.615	0.835	0.843	0.993	0.9890000000000001	0.833
6.50537	0.34299999999999997	2.4330000000000003	1.5290000000000001	2.176	0.7490000000000001	0.564	0.925	0.785	0.721	1.242	0.723	3.377	0.429	0.863	0.527	1.952	0.679	1.6440000000000001	2.26	2.635	0.698	1.053	0.45799999999999996	1.057	0.617	0.858	0.773	0.81	1.051	1.391	0.9420000000000001	0.731	0.513	0.768	0.757	0.515	0.995	1.19	0.848	0.764	0.584	0.563	0.606	0.764	1.112	1.077	0.856	0.8540000000000001
6.67199	0.444	2.415	1.755	2.5269999999999997	0.7609999999999999	0.573	1.003	0.578	0.73	1.2819999999999998	0.825	3.8510000000000004	0.72	0.966	0.544	2.245	0.259	1.932	2.735	3.264	0.895	1.063	0.841	1.253	0.626	0.867	0.9059999999999999	0.757	1.246	1.432	0.9209999999999999	0.833	0.645	0.87	0.858	0.71	1.036	1.138	1.043	0.682	0.688	0.758	0.708	0.835	0.9359999999999999	1.179	0.9890000000000001	0.925
6.83871	0.54	2.543	2.1919999999999997	2.9019999999999997	0.8270000000000001	0.9790000000000001	0.8220000000000001	0.768	0.578	1.564	1.1059999999999999	4.815	0.631	1.124	0.643	2.157	0.35700000000000004	2.028	2.955	3.887	1.023	1.252	0.627	1.288	0.629	0.8390000000000001	0.785	0.76	1.095	1.311	0.862	0.96	0.8959999999999999	0.78	0.768	0.898	1.008	1.204	0.953	0.871	0.6920000000000001	0.7609999999999999	0.866	0.7759999999999999	1.125	1.12	0.993	0.96
7.00531	0.623	2.449	2.153	3.2060000000000004	0.887	0.723	0.86	0.7909999999999999	0.816	1.554	0.972	5.492999999999999	0.6890000000000001	0.9009999999999999	0.8079999999999999	2.005	0.605	2.4530000000000003	3.073	4.625	0.7709999999999999	1.212	0.653	1.4669999999999999	0.6829999999999999	1.077	1.177	0.657	1.2109999999999999	1.3319999999999999	0.976	0.9520000000000001	0.638	0.863	0.8809999999999999	0.6709999999999999	1.216	1.227	0.9740000000000001	1.082	0.843	0.782	0.794	0.7659999999999999	1.147	1.205	0.9840000000000001	1.044
7.172	0.7040000000000001	2.556	2.605	3.75	0.8390000000000001	0.772	1.024	0.871	0.711	1.7280000000000002	1.022	6.345	0.5489999999999999	1.166	0.784	2.079	0.5870000000000001	2.688	3.4930000000000003	5.354	0.818	1.261	0.639	1.453	0.732	1.034	0.855	0.862	1.291	1.351	1.057	0.877	0.657	0.882	1.055	0.8140000000000001	1.234	1.121	0.9620000000000001	0.975	0.7959999999999999	0.77	0.782	0.6920000000000001	1.227	1.099	0.909	1.062
7.33875	0.57	2.555	2.722	4.397	0.899	0.825	1.063	1.0190000000000001	0.825	1.656	1.26	7.087999999999999	0.608	1.0659999999999998	0.701	2.206	0.526	2.7110000000000003	3.8289999999999997	5.909	0.938	1.097	0.665	1.508	0.6609999999999999	0.993	1.124	0.946	1.2830000000000001	1.2790000000000001	1.079	0.868	0.6779999999999999	0.965	0.889	0.679	1.349	1.175	0.983	0.813	0.731	0.885	0.8029999999999999	0.8059999999999999	1.435	1.1520000000000001	1.0859999999999999	1.053
7.50528	0.695	2.698	3.0589999999999997	5.194	1.013	0.948	1.0390000000000001	0.922	0.733	1.6569999999999998	1.23	8.283999999999999	0.816	0.9690000000000001	0.767	2.064	0.79	3.0810000000000004	4.442	6.6129999999999995	1.023	1.2819999999999998	0.627	1.5659999999999998	0.629	1.1179999999999999	1.156	0.915	1.188	1.435	0.955	1.022	0.71	0.873	0.861	0.6509999999999999	1.41	1.297	0.953	0.809	0.723	0.792	0.9590000000000001	0.7759999999999999	1.248	1.337	0.9620000000000001	0.929
7.672	0.713	2.662	3.577	5.808	1.131	1.061	1.041	1.129	0.7509999999999999	2.016	1.589	8.963	0.84	1.145	0.74	2.28	0.6629999999999999	3.628	4.6819999999999995	7.568	1.015	1.4880000000000002	0.65	1.68	0.866	1.229	1.1740000000000002	0.9329999999999999	1.3940000000000001	1.422	1.128	0.98	0.821	1.077	0.971	0.8540000000000001	1.492	1.348	1.157	0.985	0.746	0.903	0.977	0.856	1.2670000000000001	1.2329999999999999	1.011	1.071
7.83877	0.8059999999999999	2.9410000000000003	3.701	6.397	1.069	0.9990000000000001	0.948	1.129	0.8440000000000001	2.016	1.713	10.111	0.871	1.331	0.9259999999999999	2.373	0.57	3.938	5.2410000000000005	8.685	1.3869999999999998	1.395	0.743	1.68	0.773	1.3530000000000002	1.081	0.9640000000000001	1.735	1.453	1.159	0.887	0.759	0.9840000000000001	1.188	0.9159999999999999	1.492	1.41	1.188	1.016	0.932	1.089	0.977	0.887	1.547	1.295	1.104	1.258
8.00539	0.7440000000000001	3.282	4.29	7.638	1.41	1.185	1.1340000000000001	1.3769999999999998	0.7509999999999999	2.0469999999999997	1.899	10.979000000000001	0.9329999999999999	1.238	0.833	2.373	0.725	4.311	5.489	9.46	1.232	1.5190000000000001	0.6809999999999999	1.959	0.742	1.26	1.298	1.057	1.4869999999999999	1.608	1.0659999999999998	1.228	0.821	0.9840000000000001	1.095	0.9159999999999999	1.8019999999999998	1.317	1.25	1.016	0.9940000000000001	1.089	1.008	0.9490000000000001	1.547	1.357	1.073	1.227
8.17201	0.828	3.424	4.651	8.306000000000001	1.335	1.268	1.055	1.305	0.99	2.255	2.2	11.645999999999999	1.0759999999999998	1.445	0.877	2.4819999999999998	0.556	4.703	6.251	10.376	1.561	1.6640000000000001	0.763	1.949	0.732	1.3130000000000002	1.258	1.0170000000000001	1.756	1.599	1.15	1.218	0.905	1.037	1.0859999999999999	0.907	1.761	1.617	1.148	1.006	0.889	1.0490000000000002	1.061	1.064	1.63	1.347	1.095	1.217
