	MG1655-1	HMDA7-1_1	rpsG1-1	nusA_sspA-1	ybeX-1	mpl-1	rpsG1_ybeX-1	rpsG1_mpl-1	MG1655-2	HMDA7-1_2	rpsG1-2	nusA_sspA-2	ybeX-2	mpl-2	rpsG1_ybeX-2	rpsG1_mpl-2	MG1655-3	HMDA7-1_3	rpsG1-3	nusA_sspA-3	ybeX-3	mpl-3	rpsG1_ybeX-3	rpsG1_mpl-3	rpsG1_ybeX_mpl-1	nusA_sspA_ybeX-1	nusA_sspA_mpl-1	nusA_sspA_ybeX_mpl-1	proV_ptsP-1	proV_ptsP_ybeX-1	proV_ptsP_mpl-1	proV_ptsP_ybeX_mpl-1	rpsG1_ybeX_mpl-2	nusA_sspA_ybeX-2	nusA_sspA_mpl-2	nusA_sspA_ybeX_mpl-2	proV_ptsP-2	proV_ptsP_ybeX-2	proV_ptsP_mpl-2	proV_ptsP_ybeX_mpl-2	rpsG1_ybeX_mpl-3	nusA_sspA_ybeX-3	nusA_sspA_mpl-3	nusA_sspA_ybeX_mpl-3	proV_ptsP-3	proV_ptsP_ybeX-3	proV_ptsP_mpl-3	proV_ptsP_ybeX_mpl-3
3.33878	0.728	0.498	0.307	0.506	0.6579999999999999	0.884	0.239	1.1740000000000002	0.7340000000000001	0.409	0.39899999999999997	0.6990000000000001	0.698	0.951	0.473	0.955	0.92	0.529	0.31	0.635	0.6940000000000001	0.9840000000000001	0.312	0.8	0.665	0.8859999999999999	0.695	0.693	0.531	0.635	0.5660000000000001	0.6709999999999999	0.504	0.8540000000000001	0.9209999999999999	0.662	0.634	0.46799999999999997	0.66	0.7290000000000001	0.528	0.95	0.596	0.769	0.669	0.311	0.759	0.56
3.50545	0.8290000000000001	0.534	0.312	0.64	0.662	1.05	0.307	1.114	0.772	0.5429999999999999	0.435	0.8009999999999999	0.8	1.182	0.478	0.96	0.924	0.534	0.444	0.5429999999999999	0.828	0.9890000000000001	0.317	0.805	0.604	0.89	0.797	0.795	0.536	0.737	0.603	0.6759999999999999	0.605	0.794	1.087	0.861	0.607	0.603	0.665	0.669	0.597	0.955	0.795	0.872	0.61	0.444	0.764	0.696
3.67208	0.725	0.528	0.337	0.503	0.72	0.978	0.237	1.107	0.731	0.6	0.397	0.664	0.696	0.884	0.535	0.855	0.82	0.6890000000000001	0.34	0.6970000000000001	0.821	1.014	0.375	0.797	0.662	0.9159999999999999	0.7559999999999999	0.6579999999999999	0.43200000000000005	0.826	0.564	0.6679999999999999	0.5660000000000001	0.884	0.7240000000000001	0.7559999999999999	0.6970000000000001	0.595	0.69	0.5329999999999999	0.591	0.9159999999999999	0.6579999999999999	0.767	0.602	0.43799999999999994	0.659	0.653
3.83869	0.871	0.446	0.418	0.5529999999999999	0.638	0.961	0.316	1.025	0.685	0.5529999999999999	0.444	0.713	0.7440000000000001	0.997	0.5529999999999999	0.872	0.836	0.639	0.35600000000000004	0.715	0.902	0.9009999999999999	0.391	0.7509999999999999	0.58	0.835	0.809	0.6759999999999999	0.611	0.812	0.483	0.493	0.5820000000000001	0.7709999999999999	1.032	0.9690000000000001	0.649	0.42	0.7070000000000001	0.647	0.444	0.932	0.772	0.721	0.7170000000000001	0.45299999999999996	0.71	0.71
4.00545	0.8320000000000001	0.536	0.444	0.61	0.664	1.052	0.309	1.083	0.677	0.546	0.34	0.8029999999999999	0.705	0.99	0.578	0.9620000000000001	0.862	0.633	0.349	0.61	0.83	0.991	0.48100000000000004	0.84	0.574	0.925	0.865	0.765	0.603	0.74	0.605	0.6459999999999999	0.608	0.958	0.992	0.767	0.544	0.606	0.603	0.64	0.535	0.86	0.797	0.875	0.677	0.608	0.7020000000000001	0.57
4.17216	0.6679999999999999	0.502	0.409	0.446	0.759	0.985	0.34	0.92	0.836	0.446	0.40299999999999997	0.6709999999999999	0.8	1.182	0.575	0.96	0.762	0.598	0.41200000000000003	0.705	0.731	0.892	0.414	0.708	0.701	0.9229999999999999	0.765	0.763	0.504	0.608	0.409	0.644	0.767	0.956	0.99	0.764	0.542	0.5710000000000001	0.6970000000000001	0.637	0.6940000000000001	0.826	0.795	0.775	0.5770000000000001	0.509	0.7959999999999999	0.7609999999999999
4.33882	0.6609999999999999	0.495	0.499	0.406	0.72	0.946	0.527	1.075	0.667	0.40700000000000003	0.397	0.6	0.825	1.143	0.47100000000000003	0.92	0.95	0.6890000000000001	0.43700000000000006	0.536	0.8859999999999999	0.885	0.47200000000000003	0.7	0.662	0.722	0.789	0.755	0.626	0.7290000000000001	0.564	0.474	0.599	0.6579999999999999	1.112	0.659	0.632	0.563	0.6579999999999999	0.565	0.688	1.013	0.69	0.767	0.6659999999999999	0.405	0.594	0.49200000000000005
4.50535	0.7390000000000001	0.41100000000000003	0.41600000000000004	0.551	0.7659999999999999	1.056	0.314	1.088	0.747	0.45299999999999996	0.506	0.614	0.742	0.995	0.615	1.291	0.8340000000000001	0.637	0.354	0.518	0.8029999999999999	0.996	0.518	0.9109999999999999	0.772	1.0270000000000001	0.8059999999999999	0.867	0.511	0.648	0.513	0.684	0.8059999999999999	0.8009999999999999	0.9	0.772	0.6459999999999999	0.41700000000000004	0.672	0.547	0.636	0.735	0.6729999999999999	0.816	0.779	0.516	0.7070000000000001	0.7070000000000001
4.67209	0.767	0.439	0.41100000000000003	0.513	0.664	0.955	0.245	1.0190000000000001	0.8390000000000001	0.41600000000000004	0.43700000000000006	0.609	0.737	1.088	0.61	1.0270000000000001	0.8290000000000001	0.633	0.414	0.48100000000000004	0.7979999999999999	1.056	0.514	1.002	0.6709999999999999	0.925	0.865	0.797	0.603	0.7070000000000001	0.508	0.485	0.705	0.7959999999999999	0.895	0.8640000000000001	0.544	0.38	0.603	0.737	0.858	0.925	0.862	0.907	0.7090000000000001	0.414	0.605	0.764
4.83881	0.6559999999999999	0.523	0.494	0.531	0.748	0.9740000000000001	0.39399999999999996	1.264	0.823	0.305	0.39299999999999996	0.595	0.723	1.138	0.563	1.044	0.7509999999999999	0.7170000000000001	0.433	0.466	0.816	0.977	0.467	1.179	0.755	0.782	0.7829999999999999	0.782	0.524	0.595	0.494	0.63	0.691	0.782	0.978	0.7829999999999999	0.595	0.557	0.685	0.46299999999999997	0.748	0.9109999999999999	0.782	0.858	0.6609999999999999	0.433	0.6859999999999999	0.581
