	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	mdtK-1	ompR-1	proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	mdtK-2	ompR-2	proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	mdtK-3	ompR-3	proQ-3	ptrA-1	mdtK_ompR-1	mdtK_proQ-1	mdtK_ptrA-1	ompR_ptrA-1	bioAB-1	ptrA-2	mdtK_ompR-2	mdtK_proQ-2	mdtK_ptrA-2	ompR_ptrA-2	bioAB-2	ptrA-3	mdtK_ompR-3	mdtK_proQ-3	mdtK_ptrA-3	ompR_ptrA-3	bioAB-3
1.67167	0.221	0.0	1.101	0.389	0.35700000000000004	0.218	1.4869999999999999	0.19399999999999998	0.2	0.015	1.8519999999999999	0.182	0.32899999999999996	0.14800000000000002	0.054000000000000006	0.48700000000000004	0.158	0.126	0.141	0.175	0.33299999999999996	0.075	0.187	0.561	0.44799999999999995	0.188	0.371	0.223	0.16	0.322	0.28	0.14	0.747	0.701	0.42100000000000004	0.406	0.14	0.315	0.579	0.261	0.693	0.34
1.83846	0.23800000000000002	0.042	1.1340000000000001	0.632	0.483	0.21	1.5019999999999998	0.325	0.223	0.002	2.01	0.223	0.313	0.133	0.155	0.33	0.068	0.054000000000000006	0.242	0.188	0.34700000000000003	0.231	0.29	0.35100000000000003	0.386	0.11599999999999999	0.442	0.322	0.259	0.251	0.212	0.327	0.674	0.715	0.434	0.47700000000000004	0.214	0.271	0.594	0.162	0.6829999999999999	0.41200000000000003
2.005	0.17600000000000002	0.11900000000000001	1.21	0.47600000000000003	0.384	0.268	1.5219999999999998	0.29	0.17	0.023	1.858	0.32799999999999996	0.331	0.152	0.14800000000000002	0.46799999999999997	0.017	0.161	0.09	0.294	0.395	0.105	0.22699999999999998	0.466	0.33399999999999996	0.221	0.317	0.341	0.363	0.271	0.21	0.318	0.752	0.735	0.77	0.439	0.17800000000000002	0.433	0.643	0.35700000000000004	0.652	0.28800000000000003
2.17165	0.185	0.091	1.168	0.504	0.526	0.313	1.5830000000000002	0.384	0.33799999999999997	0.0	1.919	0.327	0.475	0.183	0.268	0.38799999999999996	0.24600000000000002	0.222	0.152	0.266	0.396	0.278	0.293	0.772	0.532	0.252	0.519	0.284	0.24600000000000002	0.39	0.252	0.29100000000000004	0.956	0.708	0.54	0.47	0.271	0.377	0.6759999999999999	0.247	0.7809999999999999	0.46399999999999997
2.33841	0.168	0.16399999999999998	1.308	0.693	0.6	0.379	1.655	0.31	0.314	0.071	1.9040000000000001	0.314	0.433	0.16899999999999998	0.195	0.45899999999999996	0.221	0.207	0.022000000000000002	0.425	0.498	0.265	0.33399999999999996	0.5489999999999999	0.27699999999999997	0.267	0.506	0.271	0.40700000000000003	0.20199999999999999	0.233	0.248	0.884	0.752	0.613	0.456	0.255	0.27699999999999997	0.546	0.289	0.733	0.392
2.5051	0.17800000000000002	0.14300000000000002	1.357	0.672	0.49200000000000005	0.392	1.75	0.29100000000000004	0.213	0.08	1.97	0.43700000000000006	0.38299999999999995	0.20600000000000002	0.17600000000000002	0.642	0.091	0.302	0.319	0.34700000000000003	0.39	0.18600000000000003	0.2	0.33	0.436	0.16	0.42700000000000005	0.27899999999999997	0.299	0.297	0.158	0.19899999999999998	1.037	0.7020000000000001	0.737	0.435	0.293	0.22699999999999998	0.584	0.299	0.5710000000000001	0.371
2.6717	0.1	0.289	1.489	0.757	0.518	0.409	1.696	0.35600000000000004	0.294	0.20199999999999999	2.032	0.726	0.41200000000000003	0.15	0.23800000000000002	0.5329999999999999	0.292	0.42200000000000004	0.092	0.348	0.363	0.244	0.295	0.52	0.43200000000000005	0.132	0.428	0.309	0.26899999999999996	0.243	0.055	0.317	1.011	0.7340000000000001	0.68	0.321	0.3	0.401	0.616	0.33399999999999996	0.7859999999999999	0.40299999999999997
2.83836	0.252	0.265	1.5019999999999998	0.763	0.696	0.5329999999999999	1.673	0.304	0.217	0.266	2.125	0.8190000000000001	0.41700000000000004	0.127	0.21600000000000003	0.45299999999999996	0.302	0.5720000000000001	0.156	0.469	0.513	0.162	0.215	0.528	0.5	0.225	0.52	0.314	0.27399999999999997	0.278	0.149	0.322	0.9009999999999999	0.7390000000000001	0.6559999999999999	0.501	0.306	0.319	0.68	0.369	0.794	0.322
3.00509	0.33899999999999997	0.35200000000000004	1.531	0.907	0.725	0.446	1.702	0.33299999999999996	0.217	0.295	1.922	1.079	0.649	0.127	0.361	0.54	0.040999999999999995	0.514	0.156	0.556	0.455	0.22	0.331	0.644	0.529	0.138	0.462	0.37200000000000005	0.447	0.249	0.149	0.38	1.162	0.7390000000000001	0.772	0.385	0.248	0.348	0.622	0.456	0.7070000000000001	0.322
3.1717	0.135	0.287	1.5859999999999999	1.131	0.745	0.306	1.696	0.389	0.226	0.408	2.032	1.13	0.757	0.091	0.32799999999999996	0.653	0.111	0.5379999999999999	0.209	0.491	0.39	0.183	0.358	0.649	0.54	0.218	0.542	0.336	0.381	0.185	0.324	0.258	1.127	0.762	0.765	0.436	0.245	0.37	0.6459999999999999	0.308	0.679	0.345
3.33837	0.259	0.444	1.777	1.202	0.7879999999999999	0.628	1.7369999999999999	0.253	0.37200000000000005	0.272	2.217	1.374	0.857	0.161	0.33799999999999997	0.691	0.16699999999999998	0.491	0.017	0.619	0.547	0.138	0.337	0.711	0.539	0.14300000000000002	0.526	0.40700000000000003	0.424	0.19699999999999998	0.07	0.386	1.023	0.8320000000000001	0.836	0.419	0.254	0.41200000000000003	0.773	0.375	0.888	0.35700000000000004
3.50508	0.08	0.551	1.767	1.3659999999999999	0.8340000000000001	0.397	1.815	0.276	0.318	0.41100000000000003	2.064	1.6840000000000002	0.8759999999999999	0.239	0.273	0.45299999999999996	0.0	0.599	0.212	0.726	0.5670000000000001	0.157	0.361	0.5660000000000001	0.4	0.25	0.545	0.252	0.354	0.217	0.154	0.406	1.13	0.823	0.9420000000000001	0.41	0.364	0.46	0.649	0.39799999999999996	0.741	0.377
3.67178	0.252	0.526	1.7919999999999998	1.544	0.9570000000000001	0.41700000000000004	1.7309999999999999	0.536	0.275	0.353	2.211	2.151	0.9670000000000001	0.127	0.245	0.511	0.157	0.601	0.185	0.73	0.687	0.162	0.41700000000000004	0.7020000000000001	0.413	0.196	0.52	0.22699999999999998	0.361	0.191	0.12	0.467	1.162	0.71	0.83	0.501	0.21899999999999997	0.435	0.912	0.456	0.823	0.409
3.8385	0.28300000000000003	0.551	1.68	1.859	1.0659999999999998	0.5710000000000001	1.757	0.363	0.26	0.41100000000000003	2.035	2.438	1.079	0.239	0.36	0.627	0.261	0.6859999999999999	0.183	0.929	0.799	0.18600000000000003	0.44799999999999995	0.5660000000000001	0.574	0.337	0.48700000000000004	0.397	0.47	0.275	0.24100000000000002	0.493	1.217	0.765	0.884	0.613	0.27699999999999997	0.518	0.649	0.369	0.857	0.377
4.0052	0.135	0.49	1.818	2.175	1.093	0.5379999999999999	1.841	0.389	0.168	0.495	2.148	3.016	1.2209999999999999	0.17800000000000002	0.32799999999999996	0.624	0.198	0.7120000000000001	0.29600000000000004	0.8390000000000001	0.825	0.154	0.445	0.736	0.54	0.218	0.629	0.307	0.46799999999999997	0.214	0.237	0.519	1.214	0.82	0.968	0.494	0.361	0.428	0.82	0.45299999999999996	0.9109999999999999	0.43200000000000005
4.17175	0.222	0.5479999999999999	1.7309999999999999	2.407	1.296	0.451	1.841	0.36	0.313	0.495	2.206	3.451	1.2209999999999999	0.17800000000000002	0.32799999999999996	0.537	0.111	0.7120000000000001	0.29600000000000004	1.1	0.912	0.183	0.41600000000000004	0.765	0.366	0.247	0.6579999999999999	0.39399999999999996	0.46799999999999997	0.185	0.179	0.49	1.301	0.82	0.9390000000000001	0.349	0.332	0.515	0.7909999999999999	0.395	0.853	0.461
4.33848	0.201	0.56	1.98	2.998	1.368	0.628	1.795	0.5429999999999999	0.285	0.7070000000000001	2.275	3.8080000000000003	1.465	0.248	0.36700000000000005	0.604	0.254	0.868	0.336	1.17	1.156	0.341	0.424	0.653	0.539	0.317	0.7	0.465	0.51	0.371	0.243	0.589	1.197	0.8029999999999999	1.0959999999999999	0.419	0.39899999999999997	0.441	0.86	0.375	1.033	0.415
4.50516	0.24100000000000002	0.627	1.913	3.384	1.52	0.6409999999999999	1.89	0.466	0.415	0.659	2.371	4.803	1.561	0.315	0.26	0.614	0.26899999999999996	0.935	0.461	1.411	1.281	0.349	0.493	0.723	0.5539999999999999	0.297	0.621	0.415	0.605	0.264	0.313	0.569	1.35	0.812	1.047	0.428	0.322	0.449	0.8109999999999999	0.53	0.987	0.45299999999999996
4.67182	0.317	0.6759999999999999	2.182	3.694	1.6280000000000001	0.599	1.91	0.7170000000000001	0.285	0.7070000000000001	2.362	5.053999999999999	1.6680000000000001	0.21899999999999997	0.33799999999999997	0.604	0.138	0.9259999999999999	0.539	1.662	1.33	0.225	0.48200000000000004	0.74	0.684	0.23	0.7	0.32	0.539	0.168	0.41700000000000004	0.647	1.4280000000000002	0.919	1.038	0.593	0.39899999999999997	0.528	0.9179999999999999	0.6940000000000001	0.888	0.444
4.83855	0.23	0.763	2.182	4.331	1.7730000000000001	0.6859999999999999	1.91	0.456	0.314	0.736	2.449	5.749	1.8419999999999999	0.248	0.251	0.691	0.225	1.042	0.597	1.8359999999999999	1.4169999999999998	0.39899999999999997	0.48200000000000004	0.711	0.713	0.317	0.7859999999999999	0.552	0.626	0.255	0.33	0.589	1.4569999999999999	0.977	1.125	0.506	0.515	0.615	0.9470000000000001	0.665	1.033	0.444
5.00517	0.187	0.81	2.3280000000000003	5.041	1.8780000000000001	0.698	1.899	0.616	0.381	0.8390000000000001	2.611	6.167999999999999	2.033	0.324	0.441	0.7070000000000001	0.321	1.1159999999999999	0.584	2.287	1.521	0.475	0.46799999999999997	0.6940000000000001	0.78	0.364	0.631	0.54	0.5870000000000001	0.243	0.373	0.7509999999999999	1.272	1.081	1.114	0.5529999999999999	0.502	0.517	1.022	0.594	0.96	0.49
5.1719	0.23	0.937	2.356	5.808	1.9180000000000001	0.6859999999999999	1.881	0.601	0.314	1.171	2.71	7.255	2.218	0.335	0.425	0.691	0.138	1.3030000000000002	0.7709999999999999	2.647	1.706	0.39899999999999997	0.511	0.884	0.684	0.40399999999999997	0.7290000000000001	0.725	0.51	0.429	0.475	0.7340000000000001	1.6019999999999999	1.064	1.212	0.564	0.573	0.846	1.092	0.6940000000000001	0.917	0.502
5.33853	0.209	1.064	2.575	6.422999999999999	2.22	0.863	1.864	0.523	0.285	1.237	2.6910000000000003	8.302	2.374	0.434	0.348	0.787	0.282	1.4569999999999999	0.8390000000000001	3.0039999999999996	1.949	0.557	0.5479999999999999	0.8009999999999999	0.856	0.474	0.6829999999999999	0.7090000000000001	0.5820000000000001	0.324	0.626	0.8320000000000001	1.7	1.075	1.195	0.547	0.64	0.6559999999999999	0.929	0.7609999999999999	1.097	0.513
5.50526	0.20600000000000002	1.09	0.051	7.027	2.333	0.772	1.89	0.606	0.36700000000000005	1.349	2.688	9.021	2.6310000000000002	0.344	0.5760000000000001	0.6679999999999999	0.305	1.541	1.183	3.58	2.09	0.381	0.48700000000000004	0.884	0.736	0.35600000000000004	0.7090000000000001	0.735	0.608	0.23399999999999999	0.47700000000000004	0.8290000000000001	1.5230000000000001	1.217	1.2790000000000001	0.48700000000000004	0.55	0.595	1.099	0.903	1.093	0.48100000000000004
5.67203	0.214	1.3330000000000002	0.012	7.986000000000001	2.577	0.718	1.929	0.557	0.511	1.56	2.785	9.168	2.7	0.414	0.413	0.9079999999999999	0.275	1.6369999999999998	1.192	3.877	2.158	0.451	0.5820000000000001	0.8590000000000001	0.9079999999999999	0.368	0.8370000000000001	0.862	0.737	0.39	0.541	0.8109999999999999	1.679	1.315	1.06	0.528	0.6459999999999999	0.752	1.081	0.912	1.185	0.46399999999999997
5.83858	0.207	1.5290000000000001	0.0	8.469	2.773	0.9109999999999999	1.9240000000000002	0.58	0.473	1.9	2.75	10.083	2.9819999999999998	0.5529999999999999	0.40700000000000003	0.8440000000000001	0.265	1.9769999999999999	1.3880000000000001	4.563	2.354	0.5329999999999999	0.46	0.9940000000000001	0.8690000000000001	0.42	0.774	0.6829999999999999	0.674	0.413	0.677	0.892	1.5859999999999999	1.28	1.314	0.868	0.784	0.804	1.161	0.963	1.148	0.545
6.00536	0.22399999999999998	1.7180000000000002	0.205	8.924	3.1630000000000003	0.846	1.9380000000000002	0.741	0.353	2.322	3.17	10.972999999999999	3.432	0.5670000000000001	0.39299999999999996	0.774	0.348	2.428	1.722	5.246	2.457	0.662	0.65	0.958	0.9229999999999999	0.46299999999999997	0.845	0.871	0.687	0.515	0.813	0.82	1.514	1.324	1.271	0.825	0.8009999999999999	0.7609999999999999	1.263	1.095	1.11	0.588
6.17205	0.387	2.026	0.446	9.98	3.386	1.0070000000000001	2.016	0.8170000000000001	0.569	2.542	3.248	10.901	3.653	0.5870000000000001	0.47100000000000003	0.85	0.275	2.677	1.886	5.726	2.7939999999999996	0.654	0.669	0.945	1.081	0.599	0.779	0.862	0.679	0.39	0.7140000000000001	0.8690000000000001	1.65	1.3730000000000002	1.262	0.701	0.935	0.752	1.052	0.9990000000000001	1.156	0.579
6.33872	0.341	2.299	0.529	10.620999999999999	3.862	0.985	1.943	0.858	0.48700000000000004	2.957	3.4619999999999997	11.743	4.012	0.66	0.484	0.8340000000000001	0.249	3.0069999999999997	1.955	6.284	3.2110000000000003	0.785	0.536	0.982	0.9690000000000001	0.6709999999999999	0.852	0.877	0.638	0.5479999999999999	0.6659999999999999	0.8540000000000001	1.75	1.358	1.219	0.715	1.005	0.7959999999999999	1.123	1.155	1.137	0.622
6.50537	0.337	2.585	0.8390000000000001	11.078	4.032	1.183	2.0269999999999997	0.653	0.483	3.2710000000000004	3.719	12.171	4.297	0.8009999999999999	0.48100000000000004	0.946	0.41700000000000004	3.465	2.385	7.462999999999999	3.2939999999999996	0.8109999999999999	0.561	1.006	1.051	0.581	0.907	1.047	0.721	0.488	0.922	1.14	1.7180000000000002	1.47	1.3030000000000002	0.799	0.9440000000000001	0.909	1.149	1.325	1.219	0.648
6.67199	0.341	3.1069999999999998	1.1059999999999999	11.429	4.468	1.274	2.117	0.743	0.401	3.707	3.924	12.205	4.7330000000000005	0.7170000000000001	0.57	0.9490000000000001	0.336	3.9589999999999996	2.735	8.593	3.6719999999999997	0.785	0.7959999999999999	1.097	1.2	0.613	0.91	1.021	0.6659999999999999	0.5479999999999999	1.128	1.056	1.75	1.56	1.335	0.802	1.178	0.9690000000000001	1.209	1.5019999999999998	1.425	0.7959999999999999
6.83871	0.392	3.449	1.327	11.554	4.954	1.2009999999999998	2.144	0.7090000000000001	0.353	4.013999999999999	4.323	12.470999999999998	5.073	0.804	0.539	1.002	0.34299999999999997	4.527	3.1310000000000002	8.433	3.897	0.8440000000000001	0.79	1.256	1.063	0.585	0.968	1.166	0.871	0.634	0.973	1.026	1.72	1.587	1.364	0.745	1.058	0.941	1.294	1.525	1.1840000000000002	0.708
7.00531	0.40299999999999997	4.093	1.693	12.087	5.252000000000001	1.2429999999999999	2.095	1.008	0.627	4.891	4.678999999999999	12.802999999999999	5.4	0.899	0.606	1.012	0.473	4.999	3.5460000000000003	9.455	4.167	0.852	0.7140000000000001	1.183	1.4240000000000002	0.68	1.063	1.1740000000000002	0.792	0.528	1.1	1.179	1.815	1.712	1.401	0.9259999999999999	1.1840000000000002	0.978	1.274	1.6219999999999999	1.225	0.688
7.172	0.518	4.439	1.953	11.915	5.425	1.445	2.095	0.691	0.8	5.64	4.938	12.515	5.689	0.985	0.5479999999999999	1.07	0.56	5.72	3.718	9.945	4.772	0.9670000000000001	0.7709999999999999	1.1540000000000001	1.367	0.7659999999999999	1.092	1.29	0.879	0.643	1.186	1.179	1.7	1.8559999999999999	1.3719999999999999	0.9259999999999999	1.4140000000000001	0.892	1.361	1.564	1.2830000000000001	0.804
7.33875	0.569	5.2379999999999995	2.342	11.3	6.0520000000000005	1.5230000000000001	2.233	0.914	0.6459999999999999	6.063	5.162000000000001	13.052	6.056	1.123	0.6	1.15	0.46299999999999997	6.547000000000001	4.402	10.54	5.14	1.048	0.764	1.318	1.3559999999999999	0.904	1.057	1.4280000000000002	0.902	0.867	1.265	1.26	1.895	1.965	1.482	0.9490000000000001	1.58	1.03	1.268	1.8159999999999998	1.39	0.7979999999999999
7.50528	0.594	5.8389999999999995	2.767	11.698	6.567	1.489	2.144	0.9109999999999999	0.871	6.779	5.82	12.673	6.657	1.034	0.625	1.175	0.66	7.09	4.83	10.68	5.568	1.218	0.8759999999999999	1.17	1.524	0.757	1.083	1.54	0.9570000000000001	0.72	1.318	1.285	1.806	2.019	1.45	1.033	1.4040000000000001	1.143	1.38	1.9569999999999999	1.271	0.9390000000000001
7.672	0.67	6.547000000000001	3.207	12.173	6.757999999999999	1.735	2.135	0.958	0.972	7.456	6.097	12.139000000000001	6.76	1.112	0.76	1.05	0.5579999999999999	7.48	5.25	11.097000000000001	5.843999999999999	1.1520000000000001	0.75	1.128	1.739	0.9209999999999999	1.161	1.589	0.9490000000000001	0.7979999999999999	1.565	1.3630000000000002	1.97	2.039	1.47	1.168	1.681	1.1340000000000001	1.601	2.033	1.432	1.045
7.83877	0.63	7.081	3.5589999999999997	11.755999999999998	7.0920000000000005	1.6640000000000001	2.241	1.3219999999999998	1.015	8.247	6.718	12.555	7.093	1.304	0.5770000000000001	1.126	0.772	8.445	6.015	11.312000000000001	6.235	1.317	0.826	1.2309999999999999	1.666	1.057	1.21	1.839	0.884	0.932	1.726	1.411	2.0180000000000002	2.173	1.376	1.188	1.815	1.126	1.62	2.166	1.449	1.036
8.00539	0.8320000000000001	8.261000000000001	4.135	11.439	7.121	1.808	2.327	1.063	1.015	10.088	7.15	12.267999999999999	6.978	1.304	0.606	1.155	0.6859999999999999	9.25	6.619	11.513	6.695	1.23	0.769	1.403	1.954	1.057	1.124	1.695	1.028	0.961	1.726	1.584	1.932	2.432	1.7209999999999999	1.159	1.7280000000000002	1.327	1.62	2.281	1.506	1.093
8.17201	0.727	8.705	4.732	11.626	7.65	2.023	2.336	1.246	1.1440000000000001	9.988999999999999	7.853	12.456	7.4510000000000005	1.4280000000000002	0.846	1.3090000000000002	0.8170000000000001	10.157	7.178999999999999	12.133	6.852	1.4980000000000002	0.9520000000000001	1.416	1.969	0.9790000000000001	1.42	1.9340000000000002	1.064	0.97	1.882	1.5930000000000002	2.171	2.614	1.528	1.369	1.9980000000000002	1.4509999999999998	1.63	2.349	1.4609999999999999	1.189
8.33876	0.792	9.656	5.205	11.597000000000001	7.627000000000001	2.255	2.4330000000000003	1.226	1.115	10.878	8.402999999999999	12.280999999999999	7.7139999999999995	1.4669999999999999	0.769	1.2309999999999999	0.843	11.075	7.755	11.412	7.172000000000001	1.538	0.9309999999999999	1.275	2.11	1.0759999999999998	1.403	2.031	1.135	1.0959999999999999	1.972	1.661	2.354	2.509	1.712	1.179	2.293	1.4909999999999999	1.869	2.673	1.351	1.199
8.50535	0.789	10.341	5.399	11.248	7.652	2.279	2.315	1.222	1.196	11.821	8.398	12.620999999999999	7.853	1.6369999999999998	0.68	1.314	0.838	11.3	8.211	11.119000000000002	7.541	1.564	1.071	1.386	2.22	1.131	1.314	2.2	1.103	1.092	2.025	1.744	2.322	2.793	1.68	1.435	2.2319999999999998	1.517	1.78	2.612	1.347	1.254
8.6722	0.825	10.925999999999998	6.449	11.171	7.746	2.202	2.35	1.229	0.9470000000000001	12.780999999999999	9.241	11.940999999999999	7.775	1.643	0.83	1.3780000000000001	0.935	12.489	8.91	11.561	7.4639999999999995	1.656	0.9059999999999999	1.538	2.403	1.166	1.492	2.436	1.195	1.214	2.206	1.8359999999999999	2.27	2.7710000000000004	1.7719999999999998	1.4980000000000002	2.5839999999999996	1.609	1.959	2.8489999999999998	1.4409999999999998	1.4609999999999999
8.83879	1.004	12.46	7.011	10.892999999999999	7.752999999999999	2.355	2.5	1.207	1.216	12.993	9.537	11.865	8.071	1.6780000000000002	0.836	1.4140000000000001	0.8590000000000001	13.852	9.38	11.657	7.904	1.7480000000000002	1.028	1.49	2.385	1.229	1.642	2.385	1.229	1.2770000000000001	2.387	1.9580000000000002	2.421	3.065	1.807	1.4469999999999998	2.6489999999999996	1.758	1.85	2.971	1.535	1.381
9.00549	1.181	13.012	7.593999999999999	11.357999999999999	7.497999999999999	2.532	2.532	1.585	1.2209999999999999	13.546	10.894	11.927999999999999	8.076	1.94	0.868	1.4169999999999998	1.065	14.491	11.025	11.575999999999999	7.591	1.9809999999999999	1.031	1.6380000000000001	2.563	1.433	1.558	2.82	1.2890000000000001	1.338	2.679	1.874	2.28	3.1260000000000003	1.867	1.5930000000000002	2.595	1.79	1.9680000000000002	3.234	1.683	1.298
9.1721	0.95	13.242	7.681	11.329	7.728	2.6180000000000003	2.6180000000000003	1.4409999999999998	1.48	15.042	11.21	12.186	7.874	1.9969999999999999	0.9259999999999999	1.561	1.1520000000000001	14.75	11.715	11.345999999999998	7.649	1.923	1.175	1.6669999999999998	2.6489999999999996	1.6059999999999999	1.817	2.7910000000000004	1.376	1.4240000000000002	2.679	2.191	2.51	3.241	1.954	1.795	2.94	1.9340000000000002	2.055	3.378	1.683	1.7
9.33886	1.05	14.537	8.924	10.977	7.909	2.64	2.642	1.4280000000000002	1.466	16.063	12.517000000000001	12.63	7.962999999999999	2.049	0.976	1.635	1.305	15.003	11.55	11.332	8.08	2.209	1.104	1.723	3.0869999999999997	1.631	1.787	2.9560000000000004	1.4069999999999998	1.4469999999999998	2.823	2.384	2.6180000000000003	3.174	2.0669999999999997	1.963	3.009	1.96	2.161	3.7889999999999997	1.689	1.6369999999999998
9.50543	1.183	14.52	8.9	11.421	8.012	3.085	2.6039999999999996	1.59	1.709	15.672	12.874	12.329	8.122	2.154	0.9670000000000001	1.7109999999999999	1.2890000000000001	16.159000000000002	13.050999999999998	11.46	8.067	2.228	1.265	1.796	3.156	1.765	1.921	3.2039999999999997	1.5130000000000001	1.581	3.0669999999999997	2.3169999999999997	2.4659999999999997	3.4219999999999997	2.0	2.04	3.227	2.151	2.266	3.892	1.706	1.714
9.67224	1.3719999999999999	14.645999999999999	9.419	11.578	7.627999999999999	3.242	2.795	1.78	1.665	16.024	14.032	11.799000000000001	8.024	2.4019999999999997	1.071	1.8430000000000002	1.5019999999999998	15.74	13.32	11.731	8.054	2.391	1.34	1.868	3.283	1.756	2.084	3.423	1.505	1.5719999999999998	3.2260000000000004	2.394	2.5989999999999998	3.841	2.249	1.973	3.502	2.4	2.285	4.138	1.751	1.733
