	MG1655-1	HEXA4-10_1	HEXA7-2_1	ompR-1	proQ-1	ompC-1	ompR_proQ-1	ompR_ompC-1	MG1655-2	HEXA4-10_2	HEXA7-2_2	ompR-2	proQ-2	ompC-2	ompR_proQ-2	ompR_ompC-2	MG1655-3	HEXA4-10_3	HEXA7-2_3	ompR-3	proQ-3	ompC-3	ompR_proQ-3	ompR_ompC-3	proQ_ompC-1	ompR_proQ_ompC-1	MG1655-1dup	IBUA8-3_1	phoU-1	cheR-1	rph-1	proQ_ompC-2	ompR_proQ_ompC-2	MG1655-2dup	IBUA8-3_2	phoU-2	cheR-2	rph-2	proQ_ompC-3	ompR_proQ_ompC-3	MG1655-3dup	IBUA8-3_3	phoU-3	cheR-3	rph-3
1.67181	0.18899999999999997	0.98	0.524	0.45299999999999996	0.515	0.359	0.385	0.222	0.419	0.8220000000000001	0.46299999999999997	0.294	0.56	0.368	0.532	0.503	0.6729999999999999	0.878	0.544	0.369	0.624	0.596	0.37200000000000005	0.58	0.478	0.7390000000000001	0.599	0.42200000000000004	0.9359999999999999	0.48	0.512	0.496	0.527	0.603	0.451	0.804	0.608	0.544	0.34700000000000003	0.544	0.467	0.293	0.381	0.381	0.15
1.83858	0.18899999999999997	0.9470000000000001	0.623	0.387	0.515	0.326	0.418	0.222	0.584	0.8220000000000001	0.76	0.327	0.6920000000000001	0.302	0.532	0.371	0.64	0.9109999999999999	0.643	0.402	0.591	0.662	0.57	0.7120000000000001	0.609	0.607	0.5329999999999999	0.158	0.738	0.579	0.479	0.562	0.494	0.603	0.319	0.8370000000000001	0.575	0.609	0.38	0.544	0.467	0.19399999999999998	0.315	0.447	0.15
2.00531	0.278	1.135	0.517	0.34700000000000003	0.409	0.418	0.51	0.37799999999999995	0.508	0.8140000000000001	0.5539999999999999	0.32	0.75	0.294	0.425	0.396	0.727	0.868	0.634	0.5920000000000001	0.616	0.654	0.46299999999999997	0.67	0.6659999999999999	0.598	0.49200000000000005	0.313	0.727	0.603	0.635	0.486	0.583	0.66	0.34299999999999997	0.63	0.599	0.502	0.368	0.535	0.45899999999999996	0.218	0.40399999999999997	0.47100000000000003	0.207
2.17188	0.245	1.135	0.583	0.38	0.6729999999999999	0.418	0.37799999999999995	0.214	0.574	0.9129999999999999	0.6859999999999999	0.287	0.684	0.327	0.524	0.495	0.628	1.0	0.502	0.493	0.8140000000000001	0.489	0.397	0.703	0.6	0.7959999999999999	0.624	0.214	0.792	0.57	0.47	0.486	0.682	0.561	0.409	0.7290000000000001	0.599	0.6	0.467	0.6659999999999999	0.525	0.185	0.503	0.537	0.207
2.3386	0.239	1.129	0.6759999999999999	0.474	0.504	0.446	0.505	0.373	0.601	1.0390000000000001	0.581	0.447	0.745	0.354	0.716	0.358	0.654	0.9940000000000001	0.6940000000000001	0.488	0.809	0.5489999999999999	0.49	0.6629999999999999	0.66	0.79	0.586	0.307	0.884	0.564	0.695	0.643	0.773	0.688	0.337	0.888	0.56	0.594	0.45899999999999996	0.693	0.6509999999999999	0.081	0.49700000000000005	0.531	0.3
2.50531	0.245	1.168	0.6809999999999999	0.479	0.6729999999999999	0.517	0.27899999999999997	0.37799999999999995	0.508	1.1440000000000001	0.5870000000000001	0.518	0.75	0.45799999999999996	0.622	0.462	0.6609999999999999	1.099	0.733	0.5589999999999999	0.7809999999999999	0.555	0.46299999999999997	0.703	0.6659999999999999	0.73	0.525	0.34600000000000003	0.825	0.57	0.503	0.584	0.813	0.693	0.21100000000000002	0.927	0.665	0.502	0.5329999999999999	0.7979999999999999	0.5579999999999999	0.087	0.503	0.537	0.207
2.67197	0.248	1.237	0.684	0.44799999999999995	0.609	0.322	0.315	0.414	0.5770000000000001	1.146	0.556	0.42100000000000004	0.785	0.29600000000000004	0.625	0.465	0.665	1.069	0.703	0.6940000000000001	0.718	0.59	0.465	0.6729999999999999	0.768	0.733	0.495	0.11900000000000001	0.8290000000000001	0.606	0.539	0.588	0.8170000000000001	0.6629999999999999	0.34600000000000003	0.7979999999999999	0.7	0.636	0.43799999999999994	0.8009999999999999	0.627	0.122	0.506	0.474	0.111
2.83867	0.29100000000000004	1.445	0.6920000000000001	0.5539999999999999	0.682	0.461	0.486	0.29100000000000004	0.389	1.253	0.597	0.429	0.76	0.436	0.732	0.506	0.7759999999999999	1.475	0.8109999999999999	0.504	1.022	0.565	0.606	0.7809999999999999	0.81	0.841	0.43700000000000006	0.22699999999999998	0.742	0.5820000000000001	0.614	0.664	0.8270000000000001	0.573	0.256	0.84	0.578	0.547	0.5479999999999999	1.008	0.536	0.0	0.614	0.45	0.153
3.00534	0.17300000000000001	1.655	0.7090000000000001	0.54	0.8	0.545	0.5710000000000001	0.47100000000000003	0.568	1.5	0.647	0.447	0.8759999999999999	0.354	0.65	0.555	0.818	1.521	0.7929999999999999	0.685	0.7759999999999999	0.6809999999999999	0.49	0.894	0.792	0.823	0.619	0.109	0.884	0.6629999999999999	0.629	0.6759999999999999	0.905	0.589	0.435	0.8220000000000001	0.659	0.496	0.45899999999999996	0.99	0.45399999999999996	0.212	0.596	0.531	0.135
3.1719	0.239	1.754	0.775	0.54	0.701	0.314	0.5710000000000001	0.406	0.601	1.6980000000000002	0.779	0.545	0.975	0.321	0.65	0.555	0.654	1.685	0.925	0.652	0.9079999999999999	0.483	0.589	0.795	0.693	0.888	0.586	0.24100000000000002	0.818	0.597	0.49700000000000005	0.742	1.103	0.688	0.23800000000000002	0.986	0.757	0.594	0.525	1.056	0.5529999999999999	0.212	0.39799999999999996	0.43200000000000005	0.135
3.33872	0.16	2.234	0.6990000000000001	0.826	0.889	0.436	0.6609999999999999	0.46	0.588	1.983	0.637	0.535	0.866	0.34299999999999997	0.836	0.5770000000000001	0.54	1.9680000000000002	0.715	0.74	0.963	0.5720000000000001	0.643	0.8809999999999999	0.78	0.975	0.47600000000000003	0.294	0.9009999999999999	0.486	0.485	0.7609999999999999	0.99	0.5770000000000001	0.423	0.81	0.745	0.5820000000000001	0.51	0.9440000000000001	0.64	0.266	0.584	0.42	0.12300000000000001
3.50535	0.433	2.376	0.904	0.636	0.7979999999999999	0.6409999999999999	0.6679999999999999	0.40299999999999997	0.565	2.255	0.645	0.51	1.071	0.41700000000000004	0.746	0.618	0.65	2.275	0.79	0.682	0.8059999999999999	0.645	0.7829999999999999	0.9570000000000001	0.7559999999999999	1.1159999999999999	0.682	0.337	0.8140000000000001	0.66	0.593	0.8370000000000001	1.0659999999999998	0.75	0.597	0.885	0.688	0.493	0.62	1.1840000000000002	0.451	0.473	0.659	0.528	0.198
3.67207	0.309	2.84	0.851	0.617	0.845	0.621	0.78	0.38	0.375	2.79	0.821	0.49	0.9179999999999999	0.527	0.9209999999999999	0.596	0.784	2.739	0.7979999999999999	0.726	0.95	0.723	0.826	0.9309999999999999	0.929	0.993	0.659	0.18	0.784	0.536	0.503	0.711	1.137	0.629	0.605	0.894	0.632	0.6659999999999999	0.589	1.126	0.495	0.645	0.667	0.635	0.109
3.83881	0.33399999999999996	3.397	0.904	0.669	0.7979999999999999	0.542	0.898	0.732	0.664	3.3080000000000003	0.743	0.74	0.9390000000000001	0.41700000000000004	1.0090000000000001	0.552	0.716	3.196	0.922	0.7809999999999999	1.004	0.6779999999999999	1.08	0.9570000000000001	0.855	1.1159999999999999	0.583	0.337	0.88	0.66	0.593	0.772	1.3630000000000002	0.652	0.696	1.016	0.6559999999999999	0.69	0.653	1.2830000000000001	0.649	0.703	0.659	0.627	0.297
4.00549	0.315	4.163	0.856	0.655	0.784	0.6920000000000001	0.884	0.517	0.579	3.7489999999999997	0.727	0.6920000000000001	1.022	0.5329999999999999	1.19	0.568	0.726	3.733	1.002	0.764	1.054	0.662	1.0290000000000001	0.97	0.935	1.065	0.665	0.317	0.89	0.674	0.509	0.7509999999999999	1.177	0.733	0.775	0.8009999999999999	0.5720000000000001	0.573	0.597	1.33	0.435	0.75	0.575	0.608	0.18
4.1722	0.43700000000000006	4.906000000000001	1.045	0.812	0.9740000000000001	0.618	1.172	0.607	0.6679999999999999	4.331	1.015	0.619	1.047	0.525	1.083	0.691	0.715	4.543	0.9590000000000001	0.8540000000000001	1.079	0.851	1.02	0.961	0.9259999999999999	1.056	0.591	0.505	0.846	0.632	0.565	0.904	1.264	0.659	0.897	0.956	0.727	0.597	0.684	1.452	0.591	0.872	0.73	0.599	0.171
4.33876	0.506	5.699	0.982	0.748	0.976	0.6859999999999999	1.306	0.61	0.638	5.419	0.821	0.72	1.148	0.527	1.1840000000000002	0.8909999999999999	1.014	5.5329999999999995	0.897	1.021	1.048	0.657	1.155	0.865	0.765	1.2890000000000001	0.462	0.508	0.784	0.733	0.568	0.809	1.367	0.629	0.9990000000000001	0.795	0.927	0.5670000000000001	0.622	1.521	0.594	1.04	0.733	0.504	0.109
4.50545	0.66	6.704	1.073	0.741	0.9359999999999999	0.777	1.496	0.568	0.6609999999999999	6.13	0.812	0.679	1.041	0.618	1.504	0.7509999999999999	1.101	6.144	1.085	0.816	1.073	0.747	1.31	0.922	0.9520000000000001	1.246	0.782	0.597	0.871	0.6579999999999999	0.5920000000000001	0.733	1.3559999999999999	0.653	1.055	0.852	0.754	0.657	0.6759999999999999	1.544	0.52	0.9640000000000001	0.5589999999999999	0.527	0.1
4.67214	0.42100000000000004	7.313	0.934	0.8320000000000001	0.9620000000000001	0.7040000000000001	1.4880000000000002	0.6579999999999999	0.816	7.234	0.804	0.573	1.033	0.708	1.495	0.743	1.057	7.016	1.075	0.807	1.131	0.7390000000000001	1.53	0.945	0.91	1.27	0.544	0.7509999999999999	0.7609999999999999	0.649	0.452	0.7879999999999999	1.411	0.612	1.176	0.777	0.7120000000000001	0.5489999999999999	0.6970000000000001	1.534	0.511	1.1840000000000002	0.616	0.584	0.057999999999999996
4.83881	0.519	8.626	1.163	0.865	0.863	0.868	1.5859999999999999	0.691	0.9470000000000001	8.055	0.9359999999999999	0.77	1.23	0.675	1.528	0.743	1.057	8.722999999999999	1.206	0.9059999999999999	1.065	0.838	1.629	1.01	1.042	1.27	0.6759999999999999	0.85	0.7609999999999999	0.649	0.583	0.919	1.411	0.644	1.439	0.843	0.647	0.746	0.7959999999999999	1.633	0.61	1.48	0.747	0.682	0.28800000000000003
5.00554	0.615	9.867	1.062	0.9279999999999999	1.123	0.866	1.781	0.852	0.9109999999999999	9.231	0.8340000000000001	0.767	1.031	0.705	1.624	0.937	0.9540000000000001	9.374	1.17	0.9359999999999999	1.161	0.835	1.724	1.0070000000000001	1.006	1.365	0.6729999999999999	0.879	0.823	0.5479999999999999	0.58	0.9159999999999999	1.505	0.7070000000000001	1.4680000000000002	0.774	0.644	0.743	0.6940000000000001	1.7930000000000001	0.607	1.476	0.613	0.515	0.285
5.17226	0.66	10.94	1.171	0.938	1.166	1.04	1.725	0.7	1.022	10.498	1.1079999999999999	0.909	1.173	0.9129999999999999	1.8	0.883	1.167	10.905	1.117	0.914	1.27	0.9109999999999999	1.835	1.02	1.051	1.444	0.585	0.958	0.772	0.56	0.5589999999999999	0.996	1.618	0.752	1.744	0.753	0.951	0.69	0.873	1.9380000000000002	0.618	1.621	0.461	0.691	0.264
5.33889	0.67	12.074000000000002	1.278	0.88	0.976	1.048	1.93	0.807	0.9670000000000001	11.267999999999999	1.018	0.785	1.247	0.823	1.8090000000000002	0.7929999999999999	1.113	11.415	1.225	1.021	1.246	0.953	2.042	1.03	1.126	1.5519999999999998	0.659	1.067	0.784	0.569	0.568	1.006	1.794	0.727	1.557	0.795	0.665	0.502	0.885	2.046	0.594	1.828	0.667	0.602	0.207
5.50559	0.743	12.645	1.3159999999999998	0.885	1.145	1.25	2.0340000000000003	0.6809999999999999	1.137	12.626	1.056	0.8240000000000001	1.186	1.124	1.946	0.963	1.285	12.38	1.429	1.0270000000000001	1.1520000000000001	1.122	2.18	1.168	1.2309999999999999	1.591	0.665	1.172	0.693	0.542	0.6729999999999999	1.145	1.9	0.7659999999999999	1.86	0.768	0.769	0.508	0.9590000000000001	1.954	0.599	1.901	0.575	0.6409999999999999	0.18
5.67232	0.841	13.962	1.2890000000000001	0.86	1.055	1.3219999999999998	2.204	0.8490000000000001	1.137	13.753	1.127	0.7979999999999999	1.028	1.063	1.9809999999999999	0.934	1.475	13.075	1.364	0.9990000000000001	1.224	1.127	2.344	1.2009999999999998	1.1340000000000001	1.6569999999999998	0.473	1.335	0.8190000000000001	0.7090000000000001	0.675	1.0759999999999998	1.9609999999999999	0.606	2.088	0.87	0.706	0.5760000000000001	0.9520000000000001	2.282	0.604	2.063	0.61	0.512	0.249
5.83887	0.966	14.802	1.376	1.044	1.14	1.409	2.456	0.9059999999999999	1.262	14.127	1.149	0.884	1.05	1.0859999999999999	2.137	0.9570000000000001	1.376	14.504000000000001	1.39	0.9229999999999999	1.18	1.38	2.469	1.063	1.225	1.7819999999999998	0.659	1.3630000000000002	0.685	0.6679999999999999	0.601	1.105	1.925	0.76	2.149	0.861	0.73	0.6990000000000001	1.0490000000000002	2.408	0.594	2.124	0.569	0.635	0.207
6.00561	1.071	16.656	1.382	1.082	1.079	1.546	2.56	0.6809999999999999	1.368	16.046	1.122	0.8240000000000001	1.252	1.2229999999999999	2.373	0.7979999999999999	1.318	16.325	1.528	1.06	1.185	1.254	2.574	1.168	1.3619999999999999	1.854	0.599	1.567	0.7909999999999999	0.674	0.509	1.3419999999999999	2.13	0.634	2.255	0.768	0.6709999999999999	0.672	1.057	2.678	0.632	2.427	0.772	0.7070000000000001	0.27899999999999997
6.17235	1.0390000000000001	16.59	1.48	1.148	1.047	1.6780000000000002	2.8560000000000003	1.109	1.401	16.572	1.155	0.8240000000000001	1.449	1.355	2.3409999999999997	0.8640000000000001	1.482	16.654	1.5930000000000002	1.225	1.284	1.4509999999999998	2.673	1.135	1.3619999999999999	1.854	0.599	1.567	0.758	0.674	0.575	1.3090000000000002	2.327	0.667	2.419	0.8009999999999999	0.736	0.606	1.09	2.7110000000000003	0.632	2.591	0.64	0.7070000000000001	0.213
6.33898	1.022	17.113	1.4669999999999999	1.069	1.133	1.631	2.94	0.897	1.3840000000000001	16.244	1.042	0.909	1.238	1.406	2.456	0.883	1.758	15.732000000000001	1.676	1.046	1.238	1.47	2.656	1.25	1.347	2.035	0.585	1.5819999999999999	0.838	0.527	0.461	1.324	2.21	0.7190000000000001	2.5	0.7859999999999999	0.721	0.591	1.235	2.792	0.7170000000000001	2.6719999999999997	0.527	0.527	0.297
6.5057	1.219	17.573	1.565	1.135	1.3630000000000002	1.598	3.072	0.8640000000000001	1.548	17.032	1.141	0.975	1.337	1.636	2.752	0.981	1.495	16.586	1.7080000000000002	1.1440000000000001	1.238	1.535	3.083	1.217	1.412	2.035	0.6509999999999999	1.746	0.6409999999999999	0.56	0.5589999999999999	1.423	2.374	0.7190000000000001	2.6310000000000002	0.655	0.6559999999999999	0.591	1.169	2.9560000000000004	0.618	2.8689999999999998	0.527	0.527	0.166
6.6723	1.392	17.162	1.6440000000000001	1.052	1.051	1.94	3.346	0.9740000000000001	1.6219999999999999	18.364	1.22	0.9890000000000001	1.219	1.5819999999999999	2.697	0.9279999999999999	1.5659999999999998	18.439	1.685	1.026	1.317	1.548	3.2230000000000003	1.4569999999999999	1.423	2.208	0.46799999999999997	1.82	1.008	0.7020000000000001	0.47200000000000003	1.364	2.445	0.633	2.6060000000000003	0.733	0.799	0.5379999999999999	1.239	2.931	0.5	3.138	0.505	0.67	0.243
6.83898	1.4980000000000002	17.635	1.6580000000000001	1.133	1.099	1.8219999999999998	3.522	1.051	1.435	18.545	1.2	1.036	1.135	1.79	3.002	0.9079999999999999	1.538	17.078	1.761	1.071	1.102	1.6909999999999998	3.428	1.3030000000000002	1.368	2.283	0.613	1.9909999999999999	0.687	0.583	0.517	1.4369999999999998	2.647	0.613	2.94	0.7120000000000001	0.7120000000000001	0.517	1.2770000000000001	3.102	0.58	3.472	0.583	0.6809999999999999	0.125
7.00567	1.5330000000000001	17.708	1.653	1.224	1.255	2.112	3.946	0.95	1.665	17.531	1.294	1.063	1.227	1.689	3.264	0.97	1.939	18.002	1.9580000000000002	1.2309999999999999	1.358	1.655	3.758	1.3030000000000002	1.629	2.35	0.574	2.0269999999999997	0.659	0.7120000000000001	0.48200000000000004	1.67	2.785	0.5429999999999999	3.207	0.742	0.7090000000000001	0.546	1.35	3.335	0.6729999999999999	3.838	0.449	0.581	0.38299999999999995
7.17242	1.675	17.467	1.76	1.165	1.262	2.154	4.087	0.9590000000000001	1.774	18.305999999999997	1.368	1.103	1.367	1.83	3.2739999999999996	1.077	1.787	17.63	2.001	1.338	1.432	2.025	3.9330000000000003	1.3119999999999998	1.639	2.622	0.583	2.334	0.736	0.623	0.491	1.6159999999999999	2.7969999999999997	0.552	3.5789999999999997	0.685	0.8170000000000001	0.588	1.46	3.477	0.615	4.211	0.556	0.623	0.195
7.33905	1.689	17.332	1.869	1.274	1.173	2.33	4.461	1.07	1.985	17.643	1.445	1.114	1.181	1.9069999999999998	3.452	1.1540000000000001	1.901	17.757	2.113	1.317	1.3769999999999998	1.8730000000000002	4.276	1.358	1.619	2.57	0.561	2.25	0.685	0.6679999999999999	0.503	1.9269999999999998	3.075	0.727	3.825	0.6970000000000001	0.632	0.6	1.4769999999999999	3.657	0.626	4.359	0.47	0.602	0.306
7.50589	1.8359999999999999	18.148	1.764	1.304	1.3359999999999999	2.289	4.579	1.028	1.74	17.223	1.6019999999999999	1.175	1.339	2.258	3.634	1.048	2.041	17.329	2.131	1.276	1.536	2.028	4.519	1.411	1.9669999999999999	2.719	0.523	2.526	0.6	0.723	0.46	1.841	3.347	0.622	4.032	0.6559999999999999	0.721	0.657	1.584	3.801	0.588	4.696000000000001	0.493	0.6579999999999999	0.23199999999999998
7.67237	1.828	17.38	1.9480000000000002	1.355	1.255	2.67	5.422000000000001	1.18	2.026	17.4	1.556	1.2919999999999998	1.4240000000000002	2.214	4.051	1.1340000000000001	2.07	18.1	2.286	1.4280000000000002	1.358	2.311	4.775	1.401	1.892	3.0389999999999997	0.542	2.8480000000000003	0.757	0.6459999999999999	0.547	1.966	3.2769999999999997	0.7070000000000001	4.257	0.6759999999999999	0.644	0.645	1.6119999999999999	3.8930000000000002	0.509	5.085	0.449	0.581	0.252
7.83904	2.306	17.089000000000002	1.9369999999999998	1.41	1.376	2.822	5.146	1.266	2.1109999999999998	17.57	1.446	1.249	1.446	2.595	4.365	1.22	2.25	16.465	2.272	1.416	1.511	2.201	5.055	1.3880000000000001	1.8780000000000001	3.123	0.531	3.127	0.644	0.634	0.469	1.983	3.556	0.63	4.765	0.73	0.6970000000000001	0.5670000000000001	1.7919999999999998	4.0089999999999995	0.563	5.724	0.6990000000000001	0.601	0.175
8.00581	2.135	16.22	1.858	1.4609999999999999	1.295	2.9419999999999997	5.497999999999999	1.123	2.365	17.026	1.663	1.268	1.367	2.4530000000000003	4.489	1.2409999999999999	2.542	17.301	2.46	1.4369999999999998	1.5630000000000002	2.419	5.542000000000001	1.476	2.0980000000000003	3.049	0.484	3.22	0.5720000000000001	0.754	0.655	1.9769999999999999	3.6830000000000003	0.716	5.0569999999999995	0.75	0.718	0.555	1.854	4.331	0.615	6.05	0.556	0.688	0.163
8.17245	2.226	17.125	1.984	1.554	1.4869999999999999	3.198	5.59	1.216	2.325	17.899	1.723	1.262	1.361	2.513	4.58	1.268	2.336	16.565	2.4859999999999998	1.431	1.755	2.347	5.665	1.568	2.19	3.5010000000000003	0.479	3.245	0.63	0.748	0.583	2.199	3.872	0.743	5.245	0.6459999999999999	0.647	0.5820000000000001	1.912	4.29	0.511	6.992000000000001	0.55	0.682	0.255
8.33919	2.423	16.730999999999998	2.082	1.456	1.4869999999999999	3.2960000000000003	6.41	1.216	2.424	17.899	1.6580000000000001	1.295	1.558	2.8080000000000003	5.171	1.235	2.533	16.664	2.7489999999999997	1.5619999999999998	1.525	2.511	5.96	1.568	2.19	3.3369999999999997	0.479	3.6060000000000003	0.7609999999999999	0.715	0.583	2.199	3.937	0.513	5.869	0.679	0.7120000000000001	0.5820000000000001	2.01	4.487	0.5770000000000001	7.189	0.419	0.617	0.19
8.5058	2.32	16.297	2.145	1.453	1.4509999999999998	3.26	6.669	1.278	2.551	18.384	1.7530000000000001	1.391	1.5230000000000001	2.805	5.265	1.3630000000000002	2.529	16.69	2.5810000000000004	1.5590000000000002	1.555	2.8360000000000003	6.481	1.4669999999999999	1.99	3.695	0.542	3.93	0.626	0.7120000000000001	0.41600000000000004	2.392	4.064	0.609	5.962999999999999	0.742	0.742	0.579	2.137	4.4830000000000005	0.706	7.972	0.515	0.581	0.187
8.67256	2.681	17.183	1.9809999999999999	1.617	1.55	3.49	6.636	1.41	2.551	17.006	1.7530000000000001	1.358	1.359	3.002	5.593	1.462	2.66	17.149	2.745	1.5590000000000002	1.719	2.967	6.678	1.5319999999999998	2.318	3.793	0.542	4.553	0.659	0.5479999999999999	0.48200000000000004	2.458	4.36	0.838	6.848	0.6759999999999999	0.9390000000000001	0.579	2.2030000000000003	5.107	0.6729999999999999	8.267000000000001	0.515	0.679	0.187
8.83915	2.747	16.921	2.178	1.683	1.7469999999999999	3.687	7.1610000000000005	1.3769999999999998	2.8789999999999996	18.089000000000002	1.819	1.489	1.5230000000000001	3.2969999999999997	6.184	1.3630000000000002	2.759	16.854	2.8760000000000003	1.625	1.555	2.9339999999999997	6.94	1.729	2.4819999999999998	3.727	0.7390000000000001	4.619	0.725	0.6459999999999999	0.48200000000000004	2.655	4.819	0.74	7.505	0.742	0.7090000000000001	0.6779999999999999	2.465	5.008	0.574	8.497	0.547	0.778	0.187
9.00591	2.8739999999999997	16.487000000000002	2.076	1.6469999999999998	1.646	3.88	7.78	1.472	2.9410000000000003	16.901	1.848	1.585	1.9140000000000001	3.425	6.081	1.262	2.853	16.65	2.938	1.6540000000000001	1.5190000000000001	3.128	7.263999999999999	1.6269999999999998	2.511	4.019	0.539	5.041	0.622	0.741	0.544	2.6510000000000002	4.552	0.54	7.992000000000001	0.575	0.7390000000000001	0.445	2.592	5.004	0.67	9.804	0.34700000000000003	0.6759999999999999	0.151
