Experiment	Tray	Well	Strain	Medium_addition
odds-n-ends_042415	2	E4	don't use	butanol
odds-n-ends_042415	2	F3	PUTR6-7_1	butanol
odds-n-ends_042415	2	F8	HEXA7-4sm_3	butanol
odds-n-ends_042415	2	D4	PUTR8-10_1	butanol
odds-n-ends_042415	2	C9	12PD7-7_3	butanol
odds-n-ends_042415	2	A5	M9 blank	butanol
odds-n-ends_042415	2	F4	PUTR8-10_2	butanol
odds-n-ends_042415	2	C3	PUTR5-1_1	butanol
odds-n-ends_042415	2	D5	ADIP7-5_3	butanol
odds-n-ends_042415	2	F9	M9 blank	butanol
odds-n-ends_042415	2	E2	COUM7-9_1	butanol
odds-n-ends_042415	2	H5	ADIP8-7_2	butanol
odds-n-ends_042415	2	H1	COUM3-7_1	butanol
odds-n-ends_042415	2	A2	M9 blank	butanol
odds-n-ends_042415	3	G8	23BD6-1_2	butanol
odds-n-ends_042415	3	G9	M9 blank	butanol
odds-n-ends_042415	3	G5	ADIP6-10_2	butanol
odds-n-ends_042415	3	D3	PUTR5-1_2	butanol
odds-n-ends_042415	3	C6	HEXA8-5sm_2	butanol
odds-n-ends_042415	3	E3	don't use	butanol
odds-n-ends_042415	3	A3	M9 blank	butanol
odds-n-ends_042415	3	H9	M9 blank	butanol
odds-n-ends_042415	3	A4	M9 blank	butanol
odds-n-ends_042415	3	G3	PUTR6-7_2	butanol
odds-n-ends_042415	3	G7	M9 blank	butanol
odds-n-ends_042415	3	H3	PUTR8-3_2	butanol
odds-n-ends_042415	3	B3	PUTR4-8_3	butanol
odds-n-ends_042415	3	B2	COUM4-2_2	butanol
odds-n-ends_042415	3	E1	MG1655_5	butanol
odds-n-ends_042415	3	H4	HMDA6-10_2	butanol
odds-n-ends_042415	3	A6	M9 blank	butanol
odds-n-ends_042415	3	G2	COUM8-6_2	butanol
odds-n-ends_042415	3	G1	BUT9-10_3	butanol
odds-n-ends_042415	3	D7	PUTR6-7_3	butanol
odds-n-ends_042415	3	C5	HMDA8-10_1	butanol
odds-n-ends_042415	3	D2	COUM6-5_2	butanol
odds-n-ends_042415	3	F6	HEXA7-4sm_3	butanol
odds-n-ends_042415	3	G4	HMDA6-10_1	butanol
odds-n-ends_042415	3	D9	PUTR6-7_3	butanol
odds-n-ends_042415	3	H6	23BD8-5_3	butanol
odds-n-ends_042415	3	C4	PUTR8-6_3	butanol
odds-n-ends_042415	3	B7	12PD7-5_1	butanol
odds-n-ends_042415	3	A9	M9 blank	butanol
odds-n-ends_042415	3	D6	HEXA8-5sm_3	butanol
odds-n-ends_042415	3	C8	HEXA8-5sm_2	butanol
odds-n-ends_042415	3	F5	ADIP6-10_1	butanol
odds-n-ends_042415	3	E6	HEXA7-4sm_2	butanol
odds-n-ends_042415	3	F2	COUM7-9_2	butanol
odds-n-ends_042415	3	F7	M9 blank	butanol
odds-n-ends_042415	3	D1	MG1655_4	butanol
odds-n-ends_042415	3	E8	HEXA7-4sm_2	butanol
odds-n-ends_042415	3	B9	12PD7-5_1	butanol
odds-n-ends_042415	3	E9	PUTR8-10_3	butanol
odds-n-ends_042415	3	C2	COUM4-10_3	butanol
odds-n-ends_042415	3	A1	MG1655_1	butanol
odds-n-ends_042415	3	B1	MG1655_2	butanol
odds-n-ends_042415	3	H2	COUM8-6_3	butanol
odds-n-ends_042415	3	B8	HEXA8-5sm_1	butanol
odds-n-ends_042415	3	H7	M9 blank	butanol
odds-n-ends_042415	3	D8	HEXA8-5sm_3	butanol
odds-n-ends_042415	3	B4	PUTR8-6_2	butanol
odds-n-ends_042415	3	B6	HEXA8-5sm_1	butanol
odds-n-ends_042415	3	B5	HMDA8-9_2	butanol
odds-n-ends_042415	3	F1	BUT8-10_3	butanol
odds-n-ends_042415	3	A8	M9 blank	butanol
odds-n-ends_042415	3	A7	M9 blank	butanol
odds-n-ends_042415	3	E5	ADIP6-3_2	butanol
odds-n-ends_042415	3	E7	PUTR8-10_3	butanol
odds-n-ends_042415	3	C1	MG1655_3	butanol
odds-n-ends_042415	3	G6	23BD6-1_2	butanol
odds-n-ends_042415	3	C7	12PD7-7_3	butanol
odds-n-ends_042415	3	H8	23BD8-5_3	butanol
odds-n-ends_042415	3	E4	don't use	butanol
odds-n-ends_042415	3	F3	PUTR6-7_1	butanol
odds-n-ends_042415	3	F8	HEXA7-4sm_3	butanol
odds-n-ends_042415	3	D4	PUTR8-10_1	butanol
odds-n-ends_042415	3	C9	12PD7-7_3	butanol
odds-n-ends_042415	3	A5	M9 blank	butanol
odds-n-ends_042415	3	F4	PUTR8-10_2	butanol
odds-n-ends_042415	3	C3	PUTR5-1_1	butanol
odds-n-ends_042415	3	D5	ADIP7-5_3	butanol
odds-n-ends_042415	3	F9	M9 blank	butanol
odds-n-ends_042415	3	E2	COUM7-9_1	butanol
odds-n-ends_042415	3	H5	ADIP8-7_2	butanol
odds-n-ends_042415	3	H1	COUM3-7_1	butanol
odds-n-ends_042415	3	A2	M9 blank	butanol
odds-n-ends_042415	4	G8	23BD6-1_2	butanol
odds-n-ends_042415	4	G9	M9 blank	butanol
odds-n-ends_042415	4	G5	ADIP6-10_2	butanol
odds-n-ends_042415	4	D3	PUTR5-1_2	butanol
odds-n-ends_042415	4	C6	HEXA8-5sm_2	butanol
odds-n-ends_042415	4	E3	don't use	butanol
odds-n-ends_042415	4	A3	M9 blank	butanol
odds-n-ends_042415	4	H9	M9 blank	butanol
odds-n-ends_042415	4	A4	M9 blank	butanol
odds-n-ends_042415	4	G3	PUTR6-7_2	butanol
odds-n-ends_042415	4	G7	M9 blank	butanol
odds-n-ends_042415	4	H3	PUTR8-3_2	butanol
odds-n-ends_042415	4	B3	PUTR4-8_3	butanol
odds-n-ends_042415	4	B2	COUM4-2_2	butanol
odds-n-ends_042415	4	E1	MG1655_5	butanol
odds-n-ends_042415	4	H4	HMDA6-10_2	butanol
odds-n-ends_042415	4	A6	M9 blank	butanol
odds-n-ends_042415	4	G2	COUM8-6_2	butanol
odds-n-ends_042415	4	G1	BUT9-10_3	butanol
odds-n-ends_042415	4	D7	PUTR6-7_3	butanol
odds-n-ends_042415	4	C5	HMDA8-10_1	butanol
odds-n-ends_042415	4	D2	COUM6-5_2	butanol
odds-n-ends_042415	4	F6	HEXA7-4sm_3	butanol
odds-n-ends_042415	4	G4	HMDA6-10_1	butanol
odds-n-ends_042415	4	D9	PUTR6-7_3	butanol
odds-n-ends_042415	4	H6	23BD8-5_3	butanol
odds-n-ends_042415	4	C4	PUTR8-6_3	butanol
odds-n-ends_042415	4	B7	12PD7-5_1	butanol
odds-n-ends_042415	4	A9	M9 blank	butanol
odds-n-ends_042415	4	D6	HEXA8-5sm_3	butanol
odds-n-ends_042415	4	C8	HEXA8-5sm_2	butanol
odds-n-ends_042415	4	F5	ADIP6-10_1	butanol
odds-n-ends_042415	4	E6	HEXA7-4sm_2	butanol
odds-n-ends_042415	4	F2	COUM7-9_2	butanol
odds-n-ends_042415	4	F7	M9 blank	butanol
odds-n-ends_042415	4	D1	MG1655_4	butanol
odds-n-ends_042415	4	E8	HEXA7-4sm_2	butanol
odds-n-ends_042415	4	B9	12PD7-5_1	butanol
odds-n-ends_042415	4	E9	PUTR8-10_3	butanol
odds-n-ends_042415	4	C2	COUM4-10_3	butanol
odds-n-ends_042415	4	A1	MG1655_1	butanol
odds-n-ends_042415	4	B1	MG1655_2	butanol
odds-n-ends_042415	4	H2	COUM8-6_3	butanol
odds-n-ends_042415	4	B8	HEXA8-5sm_1	butanol
odds-n-ends_042415	4	H7	M9 blank	butanol
odds-n-ends_042415	4	D8	HEXA8-5sm_3	butanol
odds-n-ends_042415	4	B4	PUTR8-6_2	butanol
odds-n-ends_042415	4	B6	HEXA8-5sm_1	butanol
odds-n-ends_042415	4	B5	HMDA8-9_2	butanol
odds-n-ends_042415	4	F1	BUT8-10_3	butanol
odds-n-ends_042415	4	A8	M9 blank	butanol
odds-n-ends_042415	4	A7	M9 blank	butanol
odds-n-ends_042415	4	E5	ADIP6-3_2	butanol
odds-n-ends_042415	4	E7	PUTR8-10_3	butanol
odds-n-ends_042415	4	C1	MG1655_3	butanol
odds-n-ends_042415	4	G6	23BD6-1_2	butanol
odds-n-ends_042415	4	C7	12PD7-7_3	butanol
odds-n-ends_042415	4	H8	23BD8-5_3	butanol
odds-n-ends_042415	4	E4	don't use	butanol
odds-n-ends_042415	4	F3	PUTR6-7_1	butanol
odds-n-ends_042415	4	F8	HEXA7-4sm_3	butanol
odds-n-ends_042415	4	D4	PUTR8-10_1	butanol
odds-n-ends_042415	4	C9	12PD7-7_3	butanol
odds-n-ends_042415	4	A5	M9 blank	butanol
odds-n-ends_042415	4	F4	PUTR8-10_2	butanol
odds-n-ends_042415	4	C3	PUTR5-1_1	butanol
odds-n-ends_042415	4	D5	ADIP7-5_3	butanol
odds-n-ends_042415	4	F9	M9 blank	butanol
odds-n-ends_042415	4	E2	COUM7-9_1	butanol
odds-n-ends_042415	4	H5	ADIP8-7_2	butanol
odds-n-ends_042415	4	H1	COUM3-7_1	butanol
odds-n-ends_042415	4	A2	M9 blank	butanol
odds-n-ends_042415	5	G8	23BD6-1_2	butanol
odds-n-ends_042415	5	G9	M9 blank	butanol
odds-n-ends_042415	5	G5	ADIP6-10_2	butanol
odds-n-ends_042415	5	D3	PUTR5-1_2	butanol
odds-n-ends_042415	5	C6	HEXA8-5sm_2	butanol
odds-n-ends_042415	5	E3	don't use	butanol
odds-n-ends_042415	5	A3	M9 blank	butanol
odds-n-ends_042415	5	H9	M9 blank	butanol
odds-n-ends_042415	5	A4	M9 blank	butanol
odds-n-ends_042415	5	G3	PUTR6-7_2	butanol
odds-n-ends_042415	5	G7	M9 blank	butanol
odds-n-ends_042415	5	H3	PUTR8-3_2	butanol
odds-n-ends_042415	5	B3	PUTR4-8_3	butanol
odds-n-ends_042415	5	B2	COUM4-2_2	butanol
odds-n-ends_042415	5	E1	MG1655_5	butanol
odds-n-ends_042415	5	H4	HMDA6-10_2	butanol
odds-n-ends_042415	5	A6	M9 blank	butanol
odds-n-ends_042415	5	G2	COUM8-6_2	butanol
odds-n-ends_042415	5	G1	BUT9-10_3	butanol
odds-n-ends_042415	5	D7	PUTR6-7_3	butanol
odds-n-ends_042415	5	C5	HMDA8-10_1	butanol
odds-n-ends_042415	5	D2	COUM6-5_2	butanol
odds-n-ends_042415	5	F6	HEXA7-4sm_3	butanol
odds-n-ends_042415	5	G4	HMDA6-10_1	butanol
odds-n-ends_042415	5	D9	PUTR6-7_3	butanol
odds-n-ends_042415	5	H6	23BD8-5_3	butanol
odds-n-ends_042415	5	C4	PUTR8-6_3	butanol
odds-n-ends_042415	5	B7	12PD7-5_1	butanol
odds-n-ends_042415	5	A9	M9 blank	butanol
odds-n-ends_042415	5	D6	HEXA8-5sm_3	butanol
odds-n-ends_042415	5	C8	HEXA8-5sm_2	butanol
odds-n-ends_042415	5	F5	ADIP6-10_1	butanol
odds-n-ends_042415	5	E6	HEXA7-4sm_2	butanol
odds-n-ends_042415	5	F2	COUM7-9_2	butanol
odds-n-ends_042415	5	F7	M9 blank	butanol
odds-n-ends_042415	5	D1	MG1655_4	butanol
odds-n-ends_042415	5	E8	HEXA7-4sm_2	butanol
odds-n-ends_042415	5	B9	12PD7-5_1	butanol
odds-n-ends_042415	5	E9	PUTR8-10_3	butanol
odds-n-ends_042415	5	C2	COUM4-10_3	butanol
odds-n-ends_042415	5	A1	MG1655_1	butanol
odds-n-ends_042415	5	B1	MG1655_2	butanol
odds-n-ends_042415	5	H2	COUM8-6_3	butanol
odds-n-ends_042415	5	B8	HEXA8-5sm_1	butanol
odds-n-ends_042415	5	H7	M9 blank	butanol
odds-n-ends_042415	5	D8	HEXA8-5sm_3	butanol
odds-n-ends_042415	5	B4	PUTR8-6_2	butanol
odds-n-ends_042415	5	B6	HEXA8-5sm_1	butanol
odds-n-ends_042415	5	B5	HMDA8-9_2	butanol
odds-n-ends_042415	5	F1	BUT8-10_3	butanol
odds-n-ends_042415	5	A8	M9 blank	butanol
odds-n-ends_042415	5	A7	M9 blank	butanol
odds-n-ends_042415	5	E5	ADIP6-3_2	butanol
odds-n-ends_042415	5	E7	PUTR8-10_3	butanol
odds-n-ends_042415	5	C1	MG1655_3	butanol
odds-n-ends_042415	5	G6	23BD6-1_2	butanol
odds-n-ends_042415	5	C7	12PD7-7_3	butanol
odds-n-ends_042415	5	H8	23BD8-5_3	butanol
odds-n-ends_042415	5	E4	don't use	butanol
odds-n-ends_042415	5	F3	PUTR6-7_1	butanol
odds-n-ends_042415	5	F8	HEXA7-4sm_3	butanol
odds-n-ends_042415	5	D4	PUTR8-10_1	butanol
odds-n-ends_042415	5	C9	12PD7-7_3	butanol
odds-n-ends_042415	5	A5	M9 blank	butanol
odds-n-ends_042415	5	F4	PUTR8-10_2	butanol
odds-n-ends_042415	5	C3	PUTR5-1_1	butanol
odds-n-ends_042415	5	D5	ADIP7-5_3	butanol
odds-n-ends_042415	5	F9	M9 blank	butanol
odds-n-ends_042415	5	E2	COUM7-9_1	butanol
odds-n-ends_042415	5	H5	ADIP8-7_2	butanol
odds-n-ends_042415	5	H1	COUM3-7_1	butanol
odds-n-ends_042415	5	A2	M9 blank	butanol
odds-n-ends_042415	6	G8	23BD6-1_2	butanol
odds-n-ends_042415	6	G9	M9 blank	butanol
odds-n-ends_042415	6	G5	ADIP6-10_2	butanol
odds-n-ends_042415	6	D3	PUTR5-1_2	butanol
odds-n-ends_042415	6	C6	HEXA8-5sm_2	butanol
odds-n-ends_042415	6	E3	don't use	butanol
odds-n-ends_042415	6	A3	M9 blank	butanol
odds-n-ends_042415	6	H9	M9 blank	butanol
odds-n-ends_042415	6	A4	M9 blank	butanol
odds-n-ends_042415	6	G3	PUTR6-7_2	butanol
odds-n-ends_042415	6	G7	M9 blank	butanol
odds-n-ends_042415	6	H3	PUTR8-3_2	butanol
odds-n-ends_042415	6	B3	PUTR4-8_3	butanol
odds-n-ends_042415	6	B2	COUM4-2_2	butanol
odds-n-ends_042415	6	E1	MG1655_5	butanol
odds-n-ends_042415	6	H4	HMDA6-10_2	butanol
odds-n-ends_042415	6	A6	M9 blank	butanol
odds-n-ends_042415	6	G2	COUM8-6_2	butanol
odds-n-ends_042415	6	G1	BUT9-10_3	butanol
odds-n-ends_042415	6	D7	PUTR6-7_3	butanol
odds-n-ends_042415	6	C5	HMDA8-10_1	butanol
odds-n-ends_042415	6	D2	COUM6-5_2	butanol
odds-n-ends_042415	6	F6	HEXA7-4sm_3	butanol
odds-n-ends_042415	6	G4	HMDA6-10_1	butanol
odds-n-ends_042415	6	D9	PUTR6-7_3	butanol
odds-n-ends_042415	6	H6	23BD8-5_3	butanol
odds-n-ends_042415	6	C4	PUTR8-6_3	butanol
odds-n-ends_042415	6	B7	12PD7-5_1	butanol
odds-n-ends_042415	6	A9	M9 blank	butanol
odds-n-ends_042415	6	D6	HEXA8-5sm_3	butanol
odds-n-ends_042415	6	C8	HEXA8-5sm_2	butanol
odds-n-ends_042415	6	F5	ADIP6-10_1	butanol
odds-n-ends_042415	6	E6	HEXA7-4sm_2	butanol
odds-n-ends_042415	6	F2	COUM7-9_2	butanol
odds-n-ends_042415	6	F7	M9 blank	butanol
odds-n-ends_042415	6	D1	MG1655_4	butanol
odds-n-ends_042415	6	E8	HEXA7-4sm_2	butanol
odds-n-ends_042415	6	B9	12PD7-5_1	butanol
odds-n-ends_042415	6	E9	PUTR8-10_3	butanol
odds-n-ends_042415	6	C2	COUM4-10_3	butanol
odds-n-ends_042415	6	A1	MG1655_1	butanol
odds-n-ends_042415	6	B1	MG1655_2	butanol
odds-n-ends_042415	6	H2	COUM8-6_3	butanol
odds-n-ends_042415	6	B8	HEXA8-5sm_1	butanol
odds-n-ends_042415	6	H7	M9 blank	butanol
odds-n-ends_042415	6	D8	HEXA8-5sm_3	butanol
odds-n-ends_042415	6	B4	PUTR8-6_2	butanol
odds-n-ends_042415	6	B6	HEXA8-5sm_1	butanol
odds-n-ends_042415	6	B5	HMDA8-9_2	butanol
odds-n-ends_042415	6	F1	BUT8-10_3	butanol
odds-n-ends_042415	6	A8	M9 blank	butanol
odds-n-ends_042415	6	A7	M9 blank	butanol
odds-n-ends_042415	6	E5	ADIP6-3_2	butanol
odds-n-ends_042415	6	E7	PUTR8-10_3	butanol
odds-n-ends_042415	6	C1	MG1655_3	butanol
odds-n-ends_042415	6	G6	23BD6-1_2	butanol
odds-n-ends_042415	6	C7	12PD7-7_3	butanol
odds-n-ends_042415	6	H8	23BD8-5_3	butanol
odds-n-ends_042415	6	E4	don't use	butanol
odds-n-ends_042415	6	F3	PUTR6-7_1	butanol
odds-n-ends_042415	6	F8	HEXA7-4sm_3	butanol
odds-n-ends_042415	6	D4	PUTR8-10_1	butanol
odds-n-ends_042415	6	C9	12PD7-7_3	butanol
odds-n-ends_042415	6	A5	M9 blank	butanol
odds-n-ends_042415	6	F4	PUTR8-10_2	butanol
odds-n-ends_042415	6	C3	PUTR5-1_1	butanol
odds-n-ends_042415	6	D5	ADIP7-5_3	butanol
odds-n-ends_042415	6	F9	M9 blank	butanol
odds-n-ends_042415	6	E2	COUM7-9_1	butanol
odds-n-ends_042415	6	H5	ADIP8-7_2	butanol
odds-n-ends_042415	6	H1	COUM3-7_1	butanol
odds-n-ends_042415	6	A2	M9 blank	butanol
odds-n-ends_042415	7	G8	23BD6-1_2	butanol
odds-n-ends_042415	7	G9	M9 blank	butanol
odds-n-ends_042415	7	G5	ADIP6-10_2	butanol
odds-n-ends_042415	7	D3	PUTR5-1_2	butanol
odds-n-ends_042415	7	C6	HEXA8-5sm_2	butanol
odds-n-ends_042415	7	E3	don't use	butanol
odds-n-ends_042415	7	A3	M9 blank	butanol
odds-n-ends_042415	7	H9	M9 blank	butanol
odds-n-ends_042415	7	A4	M9 blank	butanol
odds-n-ends_042415	7	G3	PUTR6-7_2	butanol
odds-n-ends_042415	7	G7	M9 blank	butanol
odds-n-ends_042415	7	H3	PUTR8-3_2	butanol
odds-n-ends_042415	7	B3	PUTR4-8_3	butanol
odds-n-ends_042415	7	B2	COUM4-2_2	butanol
odds-n-ends_042415	7	E1	MG1655_5	butanol
odds-n-ends_042415	7	H4	HMDA6-10_2	butanol
odds-n-ends_042415	7	A6	M9 blank	butanol
odds-n-ends_042415	7	G2	COUM8-6_2	butanol
odds-n-ends_042415	7	G1	BUT9-10_3	butanol
odds-n-ends_042415	7	D7	PUTR6-7_3	butanol
odds-n-ends_042415	7	C5	HMDA8-10_1	butanol
odds-n-ends_042415	7	D2	COUM6-5_2	butanol
odds-n-ends_042415	7	F6	HEXA7-4sm_3	butanol
odds-n-ends_042415	7	G4	HMDA6-10_1	butanol
odds-n-ends_042415	7	D9	PUTR6-7_3	butanol
odds-n-ends_042415	7	H6	23BD8-5_3	butanol
