evolved_compound,grown_compound,tray,strain,repl,growth_rate,exp_name
putrescine,glutarate,2,PUTR1-3,2,0.43693192220662813,putrescine_111914
putrescine,glutarate,2,PUTR2-4,1,0.3916858369369524,putrescine_111914
putrescine,glutarate,2,PUTR2-6,2,0.3826338874639854,putrescine_111914
putrescine,glutarate,2,PUTR3-9,3,0.27284050304414403,putrescine_111914
putrescine,glutarate,2,PUTR4-7,1,0.36781136015340504,putrescine_111914
putrescine,glutarate,2,PUTR5-1,2,0.34991438623080784,putrescine_111914
putrescine,glutarate,2,PUTR5-8,3,0.27764835225509366,putrescine_111914
putrescine,glutarate,2,PUTR6-10,1,0.31966300972252504,putrescine_111914
putrescine,glutarate,2,PUTR7-7,2,0.2997847789866391,putrescine_111914
putrescine,glutarate,2,PUTR8-3,3,0.3441891314498191,putrescine_111914
NA,glutarate,2,M9 blank,0,0.0,putrescine_111914
NA,glutarate,2,M9 blank,0,0.0,putrescine_111914
putrescine,glutarate,2,PUTR1-3,3,0.42321034019276693,putrescine_111914
putrescine,glutarate,2,PUTR2-4,2,0.38442103694043156,putrescine_111914
putrescine,glutarate,2,PUTR2-6,3,0.35740371215323874,putrescine_111914
putrescine,glutarate,2,PUTR3-10,1,0.313866785532272,putrescine_111914
putrescine,glutarate,2,PUTR4-7,2,0.35764155404221915,putrescine_111914
putrescine,glutarate,2,PUTR5-1,3,0.26078461919314166,putrescine_111914
putrescine,glutarate,2,PUTR6-2,1,0.35789334480331164,putrescine_111914
putrescine,glutarate,2,PUTR6-10,2,0.3060638576286314,putrescine_111914
putrescine,glutarate,2,PUTR7-7,3,0.29449984311911537,putrescine_111914
putrescine,glutarate,2,PUTR8-6,1,0.2829266921391697,putrescine_111914
NA,glutarate,2,M9 blank,0,0.0,putrescine_111914
NA,glutarate,2,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,MG1655,1,0.4237599190570688,putrescine_111914
putrescine,coumarate,3,PUTR1-6,1,0.603929019851829,putrescine_111914
NA,coumarate,3,M9 blank,0,0.5479871019691462,putrescine_111914
NA,coumarate,3,M9 blank,0,0.3737987978678334,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,M9 blank,0,0.5894457377844675,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,MG1655,2,0.37189364517129286,putrescine_111914
putrescine,coumarate,3,PUTR1-6,2,0.6097831713637417,putrescine_111914
putrescine,coumarate,3,PUTR2-4,3,0.5335094907999408,putrescine_111914
putrescine,coumarate,3,PUTR3-1,1,0.572307910416984,putrescine_111914
putrescine,coumarate,3,PUTR3-10,2,0.6210501858285279,putrescine_111914
putrescine,coumarate,3,PUTR4-7,3,0.36085543433662265,putrescine_111914
putrescine,coumarate,3,PUTR5-6,1,0.3385142884054451,putrescine_111914
putrescine,coumarate,3,PUTR6-2,2,0.49356201063002153,putrescine_111914
putrescine,coumarate,3,PUTR6-10,3,0.5382174137821394,putrescine_111914
putrescine,coumarate,3,PUTR7-9,1,0.28900230685823036,putrescine_111914
putrescine,coumarate,3,PUTR8-6,2,0.0,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,MG1655,3,0.41127655648008565,putrescine_111914
putrescine,coumarate,3,PUTR1-6,3,0.5927927753313548,putrescine_111914
putrescine,coumarate,3,PUTR2-8,1,0.5419139001538175,putrescine_111914
putrescine,coumarate,3,PUTR3-1,2,0.6117507823333826,putrescine_111914
putrescine,coumarate,3,PUTR3-10,3,0.5688897784047758,putrescine_111914
putrescine,coumarate,3,PUTR4-8,1,0.4052939849233821,putrescine_111914
putrescine,coumarate,3,PUTR5-6,2,0.3675578625979775,putrescine_111914
putrescine,coumarate,3,PUTR6-2,3,0.4589376809635094,putrescine_111914
putrescine,coumarate,3,PUTR7-1,1,0.5213946257952248,putrescine_111914
putrescine,coumarate,3,PUTR7-9,2,0.2443632234924717,putrescine_111914
putrescine,coumarate,3,PUTR8-6,3,0.5863877842048337,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,MG1655,4,0.3774353411654976,putrescine_111914
putrescine,coumarate,3,PUTR1-9,1,0.0,putrescine_111914
putrescine,coumarate,3,PUTR2-8,2,0.5347868658051048,putrescine_111914
putrescine,coumarate,3,PUTR3-1,3,0.5762206280754288,putrescine_111914
putrescine,coumarate,3,PUTR4-3,1,0.4470916818006282,putrescine_111914
putrescine,coumarate,3,PUTR4-8,2,0.42331876776589616,putrescine_111914
putrescine,coumarate,3,PUTR5-6,3,0.36710588325019916,putrescine_111914
putrescine,coumarate,3,PUTR6-7,1,0.37718564601107546,putrescine_111914
putrescine,coumarate,3,PUTR7-1,2,0.5503265990872432,putrescine_111914
putrescine,coumarate,3,PUTR7-9,3,0.26222626064004206,putrescine_111914
putrescine,coumarate,3,PUTR8-10,1,0.49742054766089727,putrescine_111914
NA,coumarate,3,M9 blank,0,0.3165414829078696,putrescine_111914
NA,coumarate,3,MG1655,5,0.3660097357870352,putrescine_111914
putrescine,coumarate,3,PUTR1-9,2,0.2674672327577169,putrescine_111914
putrescine,coumarate,3,PUTR2-8,3,0.5787180049398245,putrescine_111914
putrescine,coumarate,3,PUTR3-9,1,0.4245377067316998,putrescine_111914
putrescine,coumarate,3,PUTR4-3,2,0.4237718052598478,putrescine_111914
putrescine,coumarate,3,PUTR4-8,3,0.0,putrescine_111914
putrescine,coumarate,3,PUTR5-8,1,0.3887109061644414,putrescine_111914
putrescine,coumarate,3,PUTR6-7,2,0.49597090758766665,putrescine_111914
putrescine,coumarate,3,PUTR7-1,3,0.5283857496195756,putrescine_111914
putrescine,coumarate,3,PUTR8-3,1,0.5594218220586415,putrescine_111914
putrescine,coumarate,3,PUTR8-10,2,0.49981060460199145,putrescine_111914
NA,coumarate,3,M9 blank,0,0.35445453909423674,putrescine_111914
putrescine,coumarate,3,PUTR1-3,1,0.6223757485125854,putrescine_111914
putrescine,coumarate,3,PUTR1-9,3,0.22141736808468104,putrescine_111914
putrescine,coumarate,3,PUTR2-6,1,0.5518703783931067,putrescine_111914
putrescine,coumarate,3,PUTR3-9,2,0.3956670989482521,putrescine_111914
putrescine,coumarate,3,PUTR4-3,3,0.45078866814510654,putrescine_111914
putrescine,coumarate,3,PUTR5-1,1,0.3726416470070132,putrescine_111914
putrescine,coumarate,3,PUTR5-8,2,0.39281706412371986,putrescine_111914
putrescine,coumarate,3,PUTR6-7,3,0.4643039482924934,putrescine_111914
putrescine,coumarate,3,PUTR7-7,1,0.3003960088210484,putrescine_111914
putrescine,coumarate,3,PUTR8-3,2,0.5801639253779398,putrescine_111914
putrescine,coumarate,3,PUTR8-10,3,0.0,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
putrescine,coumarate,3,PUTR1-3,2,0.5966415365598942,putrescine_111914
putrescine,coumarate,3,PUTR2-4,1,0.5235511388344347,putrescine_111914
putrescine,coumarate,3,PUTR2-6,2,0.5596804490151516,putrescine_111914
putrescine,coumarate,3,PUTR3-9,3,0.471227759355011,putrescine_111914
putrescine,coumarate,3,PUTR4-7,1,0.42206948998084076,putrescine_111914
putrescine,coumarate,3,PUTR5-1,2,0.0,putrescine_111914
putrescine,coumarate,3,PUTR5-8,3,0.3840164046039011,putrescine_111914
putrescine,coumarate,3,PUTR6-10,1,0.40739788370773056,putrescine_111914
putrescine,coumarate,3,PUTR7-7,2,0.2354277908511798,putrescine_111914
putrescine,coumarate,3,PUTR8-3,3,0.5796205266200188,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
putrescine,coumarate,3,PUTR1-3,3,0.5627230546875402,putrescine_111914
putrescine,coumarate,3,PUTR2-4,2,0.4941217716594693,putrescine_111914
putrescine,coumarate,3,PUTR2-6,3,0.548999814761955,putrescine_111914
putrescine,coumarate,3,PUTR3-10,1,0.5708261201131248,putrescine_111914
putrescine,coumarate,3,PUTR4-7,2,0.359434644938212,putrescine_111914
putrescine,coumarate,3,PUTR5-1,3,0.4262624029871478,putrescine_111914
putrescine,coumarate,3,PUTR6-2,1,0.5259678771155596,putrescine_111914
putrescine,coumarate,3,PUTR6-10,2,0.5175113353239789,putrescine_111914
putrescine,coumarate,3,PUTR7-7,3,0.28405113674780413,putrescine_111914
putrescine,coumarate,3,PUTR8-6,1,0.6279409883533776,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,coumarate,3,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,MG1655,1,0.19338592547849173,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR1-6,1,0.22077152863219593,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.1651575898638387,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,MG1655,2,0.19299541575430618,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR1-6,2,0.2165004039243716,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR2-4,3,0.25009100354962094,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR3-1,1,0.2827412494287707,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR3-10,2,0.28097946178369215,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR4-7,3,0.2155112289765822,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR5-6,1,0.14511543475456343,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR6-2,2,0.22005207650017775,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR6-10,3,0.29416354859182736,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR7-9,1,0.15155506542349084,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR8-6,2,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,MG1655,3,0.19397825629295337,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR1-6,3,0.26278720087438495,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR2-8,1,0.24502170159478254,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR3-1,2,0.27103211212962747,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR3-10,3,0.29342667574583264,putrescine_111914
