,strain,compound,slope
56,bioAB-1,hexanoate,0.22277342186767815
57,ptrA-3,hexanoate,0.2531700035300775
58,HEXA4-10_1,hexanoate,0.8629005629383403
59,mdtK-2,hexanoate,0.22770308795929986
60,HEXA6-9_1,hexanoate,0.5474250934755818
61,ompR-2,hexanoate,0.24930977159926818
62,mdtK_proQ-2,hexanoate,0.2023041364819268
63,ptrA-2,hexanoate,0.27331510023110206
64,mdtK_ptrA-2,hexanoate,0.2894250732002823
65,ptrA-1,hexanoate,0.2762788637718695
66,bioAB-2,hexanoate,0.2507066028037681
67,HEXA1-1_2,hexanoate,0.7357723229167574
68,mdtK-1,hexanoate,0.2341061427234775
69,mdtK_ptrA-1,hexanoate,0.2967642835799774
70,HEXA1-1_1,hexanoate,0.771065357855024
71,HEXA2-9_1,hexanoate,0.0
72,HEXA6-9_2,hexanoate,0.48180530195535337
73,ompR-3,hexanoate,0.2565655027810086
74,proQ-1,hexanoate,0.16597829265882647
75,HEXA2-9_2,hexanoate,0.580301577774763
76,mdtK_proQ-3,hexanoate,0.23205289984540792
77,mdtK_ompR-1,hexanoate,0.3269433476417357
78,HEXA4-10_3,hexanoate,0.8985580865136884
79,MG1655-3,hexanoate,0.22832609912184765
80,mdtK_proQ-1,hexanoate,0.2513136960153568
81,ompR_ptrA-2,hexanoate,0.22969449022477245
82,MG1655-1,hexanoate,0.20238902241128412
83,mdtK_ompR-3,hexanoate,0.34189318463908475
84,mdtK_ptrA-3,hexanoate,0.25999443175851866
85,ompR_ptrA-3,hexanoate,0.22449954450821633
86,ompR_ptrA-1,hexanoate,0.2432819798548213
87,metJ_purT-1,"2,3-butanediol",0.14931906705180964
88,relA-1,"2,3-butanediol",0.0
89,relA-3,"2,3-butanediol",0.0
90,metJ_acrB-3,"2,3-butanediol",0.1858696364361702
91,metJ_relA-2,"2,3-butanediol",0.058239563079791994
92,purT-1,"2,3-butanediol",0.0
93,metJ-3,"2,3-butanediol",0.1522153881630423
94,23BD6-1_2,"2,3-butanediol",0.27664583959211736
95,yfgF-3,"2,3-butanediol",0.025726939002493933
96,23BD2-4_3,"2,3-butanediol",0.41204919581054694
97,relA_purT-2,"2,3-butanediol",0.0
98,yfgF-1,"2,3-butanediol",0.0
99,metJ-2,"2,3-butanediol",0.13614231070883304
100,23BD7-4_2,"2,3-butanediol",0.507962532692381
101,23BD7-4_3,"2,3-butanediol",0.5096889373050564
102,fabR-1,"2,3-butanediol",0.0
103,metJ_relA-1,"2,3-butanediol",0.05970363499304896
104,23BD6-1_3,"2,3-butanediol",0.3006504285027813
105,purT-3,"2,3-butanediol",0.0
106,23BD2-4_2,"2,3-butanediol",0.4799476843614758
107,metJ_acrB-2,"2,3-butanediol",0.20600649564290852
108,metJ_purT-3,"2,3-butanediol",0.033021068989396773
109,23BD4-3_1,"2,3-butanediol",0.34666683973730333
110,metJ_relA-3,"2,3-butanediol",0.03333636905598403
111,fabR-2,"2,3-butanediol",0.0
112,metJ_purT-2,"2,3-butanediol",0.15117301259401525
113,relA_purT-1,"2,3-butanediol",0.022665481200186306
114,MG1655-2,"2,3-butanediol",0.0
115,fabR_yfgF-3,"2,3-butanediol",0.034902392559669405
116,metJ-1,"2,3-butanediol",0.16895070012372077
117,23BD2-4_1,"2,3-butanediol",0.48833011280669303
118,23BD4-3_3,"2,3-butanediol",0.37588976423445986
119,23BD4-3_2,"2,3-butanediol",0.3713586396693042
120,23BD6-1_1,"2,3-butanediol",0.29140142011377246
121,relA_purT-3,"2,3-butanediol",0.049398466180320746
122,fabR_yfgF-2,"2,3-butanediol",0.0
123,yfgF-2,"2,3-butanediol",0.07499253540886025
124,fabR-3,"2,3-butanediol",0.0
125,23BD7-4_1,"2,3-butanediol",0.49390366035878674
126,fabR_yfgF-1,"2,3-butanediol",0.0
127,metJ_acrB-1,"2,3-butanediol",0.20966151618920112
128,relA-2,"2,3-butanediol",0.0
129,MG1655-3,"2,3-butanediol",0.0
130,MG1655-1,"2,3-butanediol",0.0
131,purT-2,"2,3-butanediol",0.0
132,sspA-3,"1,2-propanediol",0.5030630461423522
133,sspA-1,"1,2-propanediol",0.2851598718584377
134,sspA-2,"1,2-propanediol",0.24848221360483566
135,MG1655-3,"1,2-propanediol",0.18158521313296336
136,MG1655-2,"1,2-propanediol",0.29535942605440046
137,rph-1,"1,2-propanediol",0.0
138,rph-3,"1,2-propanediol",0.4313497144051484
139,MG1655-1,"1,2-propanediol",0.0
140,rph-2,"1,2-propanediol",0.24413829168311832
141,proV_ptsP_wbbK-3,putrescine,0.07258331086427461
142,proV_yobF-1,putrescine,0.1589837164736554
143,proV_ptsP-1,putrescine,0.08757738464919501
144,PUTR7-7_1,putrescine,0.3253008892321504
145,proV_ptsP-2,putrescine,0.11421817652525687
146,PUTR3-1_1,putrescine,0.3858813717094912
147,yeaR-1,putrescine,0.09290906669541342
148,PUTR3-1_3,putrescine,0.3580790391708006
149,proV_yobF-2,putrescine,0.10555430694076544
150,PUTR5-6_2,putrescine,0.24016980810260058
151,proV_yobF-3,putrescine,0.050906658083294504
152,PUTR8-10_1,putrescine,0.28889607619683927
153,PUTR3-1_2,putrescine,0.3717099368916358
154,proV_wbbK-1,putrescine,0.10205074195516664
155,proV_ptsP_wbbK-2,putrescine,0.033706845109088356
156,yeaR-3,putrescine,0.0
157,PUTR8-10_2,putrescine,0.35976757356308453
158,cspC-2,putrescine,0.11860672038630739
159,yeaR-2,putrescine,0.05878953574991844
160,proV-2,putrescine,0.11109403978007061
161,proV_nagC-3,putrescine,0.03333416060848177
162,proV_ptsP-3,putrescine,0.062332868681095895
163,PUTR5-6_3,putrescine,0.23964510044962978
164,pstS-2,putrescine,0.07240989455933766
165,proV_wbbK-2,putrescine,0.10107202865514103
166,proV-3,putrescine,0.12368995397783583
167,PUTR4-3_1,putrescine,0.27107819847523573
168,cspC-3,putrescine,0.0952494684829276
169,proV_nagC-1,putrescine,0.12602906475839296
170,MG1655-2,putrescine,0.11903896419914232
171,pstS-1,putrescine,0.07414913003509065
172,PUTR4-3_2,putrescine,0.262165261287596
173,cspC-1,putrescine,0.0959406792642403
174,proV_ptsP_wbbK-1,putrescine,0.294992580920552
175,proV_cspC-3,putrescine,0.05897719470788764
176,PUTR7-7_3,putrescine,0.32693776521424206
177,proV_cspC-1,putrescine,0.17788349902094244
178,PUTR7-7_2,putrescine,0.3447724242877157
179,PUTR4-3_3,putrescine,0.26773814101962284
180,pstS-3,putrescine,0.05769932439601297
181,proV_cspC-2,putrescine,0.12490470201293691
182,proV_wbbK-3,putrescine,0.14164065203794377
183,proV-1,putrescine,0.14515655454847126
184,proV_nagC-2,putrescine,0.12374693465897663
185,MG1655-3,putrescine,0.0905764968137934
186,MG1655-1,putrescine,0.04676857939158615
187,PUTR8-10_3,putrescine,0.3723763923396177
188,PUTR5-6_1,putrescine,0.2393923959925026
189,nusA_sspA_ybeX_mpl-1,HMDA,0.4525249461173821
190,nusA_sspA-2,HMDA,0.38928881791278575
191,nusA_sspA_mpl-2,HMDA,0.3306803136488077
192,HMDA7-1_2,HMDA,0.41256867853327156
193,proV_ptsP-2,HMDA,0.21329984251518208
194,rpsG1_mpl-3,HMDA,0.3027121587900217
195,HMDA7-1_1,HMDA,0.42701816303169293
196,proV_ptsP_mpl-1,HMDA,0.30229638510994944
197,rpsG1_ybeX_mpl-3,HMDA,0.3072691671141819
198,ybeX-3,HMDA,0.16658621391594436
199,proV_ptsP_mpl-2,HMDA,0.30827400531455634
200,nusA_sspA_ybeX_mpl-2,HMDA,0.3916513010372281
201,nusA_sspA_ybeX-3,HMDA,0.25714858077125174
202,nusA_sspA_mpl-3,HMDA,0.3207914660746977
203,mpl-1,HMDA,0.1423392373373799
204,nusA_sspA_mpl-1,HMDA,0.37110950214551613
205,nusA_sspA-3,HMDA,0.2654037975151952
206,rpsG1-1,HMDA,0.25230391681251435
207,proV_ptsP_ybeX_mpl-3,HMDA,0.3276239261894362
208,nusA_sspA-1,HMDA,0.29710685644781676
209,rpsG1_ybeX-1,HMDA,0.27488271866278535
210,ybeX-2,HMDA,0.17604488923692044
211,nusA_sspA_ybeX-1,HMDA,0.30074361026087554
212,proV_ptsP-1,HMDA,0.12046291831007162
213,MG1655-2,HMDA,0.11922105182260538
214,ybeX-1,HMDA,0.169246526465291
215,rpsG1-2,HMDA,0.25401855889521735
216,rpsG1_mpl-1,HMDA,0.26430549747761173
217,proV_ptsP_ybeX_mpl-2,HMDA,0.34075515573611487
218,nusA_sspA_ybeX-2,HMDA,0.31813859316011295
219,proV_ptsP_ybeX-2,HMDA,0.2570410142429833
220,proV_ptsP_ybeX-3,HMDA,0.20713300311204114
221,rpsG1-3,HMDA,0.2403170955981431
222,rpsG1_ybeX-2,HMDA,0.2905961419695391
223,rpsG1_ybeX_mpl-2,HMDA,0.31758747437591206
224,proV_ptsP_ybeX_mpl-1,HMDA,0.3515938436717856
225,proV_ptsP-3,HMDA,0.1581902205388827
226,HMDA7-1_3,HMDA,0.41890755666495927
227,rpsG1_ybeX_mpl-1,HMDA,0.319626032734061
228,rpsG1_mpl-2,HMDA,0.2931756238202652
229,proV_ptsP_ybeX-1,HMDA,0.26392409262018957
230,nusA_sspA_ybeX_mpl-3,HMDA,0.3850359495734186
231,MG1655-3,HMDA,0.10213202776735994
232,MG1655-1,HMDA,0.053359303409373705
233,mpl-2,HMDA,0.12716699003942056
234,rpsG1_ybeX-3,HMDA,0.2735425951003257
235,mpl-3,HMDA,0.12235254069342391
236,proV_ptsP_mpl-3,HMDA,0.3076463573809401
237,proV_cspC_mpl-2,HMDA,0.25675280057108746
238,ygaC_ybeX_mpl-2,HMDA,0.3828227013649697
239,ygaC-1,HMDA,0.2618309081945938
240,ygaC_ybeX-3,HMDA,0.3953152439714539
241,rpsG1_mreB-1,HMDA,0.3541299050778247
242,PUTR3-1_1,HMDA,0.4666241005830866
243,PUTR3-1_3,HMDA,0.45412791579661
244,rpsG1_mreB_ybeX_mpl-2,HMDA,0.4190610707427225
245,rpsG1_mreB-3,HMDA,0.35048972897326375
246,ygaC_mpl-2,HMDA,0.26421629677700825
247,ygaC_ybeX-2,HMDA,0.3806411771690625
248,PUTR8-10_1,HMDA,0.39619252395529964
249,PUTR3-1_2,HMDA,0.46272954361522006
250,rpsG1_mreB_ybeX_mpl-1,HMDA,0.3909775750690475
251,proV_cspC_mpl-3,HMDA,0.22719231710524004
252,proV_cspC_ybeX_mpl-1,HMDA,0.3686673224338337
253,PUTR8-10_2,HMDA,0.4159690645681655
254,rpsG1_mreB_ybeX-2,HMDA,0.41760284519415386
255,ygaC_mpl-1,HMDA,0.2490866915607341
256,ygaC_mpl-3,HMDA,0.26492983883939736
257,ygaC_ybeX-1,HMDA,0.3955462919179574
258,proV_cspC_ybeX-2,HMDA,0.29968965215997045
259,rpsG1_mreB-2,HMDA,0.35887092806731735
260,ygaC-2,HMDA,0.25288151858479074
261,MG1655-2,HMDA,0.12966554046974177
262,proV_cspC_ybeX-1,HMDA,0.3037716313920371
263,proV_cspC_mpl-1,HMDA,0.25902776542840894
264,rpsG1_mreB_mpl-1,HMDA,0.3240361292939442
265,proV_cspC-3,HMDA,0.05486603535042656
266,rpsG1_mreB_mpl-3,HMDA,0.3075461909244274
267,ygaC_ybeX_mpl-3,HMDA,0.30101073040025117
268,rpsG1_mreB_ybeX-3,HMDA,0.4264812253580552
269,proV_cspC_ybeX_mpl-2,HMDA,0.35113485893233415
270,proV_cspC_ybeX-3,HMDA,0.22658730591832812
271,rpsG1_mreB_mpl-2,HMDA,0.32424922951067464
272,ygaC_ybeX_mpl-1,HMDA,0.38452781837053795
273,rpsG1_mreB_ybeX_mpl-3,HMDA,0.4024914142600439
274,proV_cspC-2,HMDA,0.14325725530368516
275,rpsG1_mreB_ybeX-1,HMDA,0.41110865082845865
276,proV_cspC_ybeX_mpl-3,HMDA,0.33539353109204084
277,proV_cspC-1,HMDA,0.20782852181782407
278,ygaC-3,HMDA,0.25366607219879883
279,MG1655-3,HMDA,0.15097697052613995
280,MG1655-1,HMDA,0.15009182469435114
281,PUTR8-10_3,HMDA,0.3936166510146308
282,proV_cspC_mpl-2,putrescine,0.18938997225900395
283,ygaC_ybeX_mpl-2,putrescine,0.13608765022585256
284,ygaC-1,putrescine,0.20514122898757317
285,ygaC_ybeX-3,putrescine,0.17387665548503045
286,rpsG1_mreB-1,putrescine,0.27623796422846925
287,PUTR3-1_1,putrescine,0.3238403140336921
288,PUTR3-1_3,putrescine,0.343940904494589
289,rpsG1_mreB_ybeX_mpl-2,putrescine,0.23496255365623184
290,rpsG1_mreB-3,putrescine,0.2797897586729676
291,ygaC_mpl-2,putrescine,0.22947712980901985
292,ygaC_ybeX-2,putrescine,0.12892368668646317
293,PUTR8-10_1,putrescine,0.33683401227595955
294,PUTR3-1_2,putrescine,0.3478690566668855
295,rpsG1_mreB_ybeX_mpl-1,putrescine,0.2523195648792019
296,proV_cspC_mpl-3,putrescine,0.17656254945860497
297,proV_cspC_ybeX_mpl-1,putrescine,0.1980696981634019
298,PUTR8-10_2,putrescine,0.3329525967029878
299,rpsG1_mreB_ybeX-2,putrescine,0.2631579287103381
300,ygaC_mpl-1,putrescine,0.2116459086639241
301,ygaC_mpl-3,putrescine,0.23032485105599151
302,ygaC_ybeX-1,putrescine,0.15175149353787779
303,proV_cspC_ybeX-2,putrescine,0.1202346282864374
304,rpsG1_mreB-2,putrescine,0.2841660818657384
305,ygaC-2,putrescine,0.23512111508903413
306,MG1655-2,putrescine,0.26337505709005743
307,proV_cspC_ybeX-1,putrescine,0.18911393277748625
308,proV_cspC_mpl-1,putrescine,0.20956774232000688
309,rpsG1_mreB_mpl-1,putrescine,0.26719499547055947
310,proV_cspC-3,putrescine,0.0
311,rpsG1_mreB_mpl-3,putrescine,0.2776043772613324
312,ygaC_ybeX_mpl-3,putrescine,0.12754153634196766
313,rpsG1_mreB_ybeX-3,putrescine,0.26350714792833463
314,proV_cspC_ybeX_mpl-2,putrescine,0.19356849252815134
315,proV_cspC_ybeX-3,putrescine,0.09190228917755361
316,rpsG1_mreB_mpl-2,putrescine,0.27319026859496304
317,ygaC_ybeX_mpl-1,putrescine,0.12408689274385931
318,rpsG1_mreB_ybeX_mpl-3,putrescine,0.23968643258636932
319,proV_cspC-2,putrescine,0.1266388881610619
320,rpsG1_mreB_ybeX-1,putrescine,0.2809385573801015
321,proV_cspC_ybeX_mpl-3,putrescine,0.1665840376829463
322,proV_cspC-1,putrescine,0.19189903986388235
323,ygaC-3,putrescine,0.24582784717087633
324,MG1655-3,putrescine,0.041250545117597466
325,MG1655-1,putrescine,0.14111648941291807
326,PUTR8-10_3,putrescine,0.3254479316357331
327,12PD4-6_1,"1,2-propanediol",0.3746910142007796
328,metJ_purT-1,"1,2-propanediol",0.34174963109972684
329,metJ_acrB-3,"1,2-propanediol",0.1389915623006387
330,relA-3,"1,2-propanediol",0.28148106770479836
331,metJ_relA-2,"1,2-propanediol",0.1263039853971367
332,purT-1,"1,2-propanediol",0.28721713903000357
333,12PD3-8_3,"1,2-propanediol",0.5521599307075458
334,metJ-3,"1,2-propanediol",0.3459947614218722
335,yfgF-3,"1,2-propanediol",0.23496976454102741
336,relA_purT-2,"1,2-propanediol",0.11742597671514016
337,yfgF-1,"1,2-propanediol",0.16401906408310257
338,metJ-2,"1,2-propanediol",0.13908808408543527
339,12PD7-6_1,"1,2-propanediol",0.8078279609887504
340,metJ_relA-1,"1,2-propanediol",0.27293792104858466
341,purT-3,"1,2-propanediol",0.3145539169441232
342,relA-2,"1,2-propanediol",0.09174540275871831
343,metJ_acrB-2,"1,2-propanediol",0.1412809286978661
344,12PD7-6_2,"1,2-propanediol",0.6454930160340113
345,metJ_purT-3,"1,2-propanediol",0.09608744186953541
346,12PD3-8_2,"1,2-propanediol",0.4899377461362115
347,metJ_relA-3,"1,2-propanediol",0.08144949929521926
348,fabR-2,"1,2-propanediol",0.1705001150645209
349,metJ_purT-2,"1,2-propanediol",0.3173614531800371
350,relA_purT-1,"1,2-propanediol",0.14495685251206433
351,MG1655-2,"1,2-propanediol",0.18203469590839289
352,12PD4-6_2,"1,2-propanediol",0.4422764466274048
353,12PD6-3_3,"1,2-propanediol",0.32072397598597047
354,12PD3-8_1,"1,2-propanediol",0.5771684670325234
355,metJ-1,"1,2-propanediol",0.19093872564449196
356,fabR_yfgF-3,"1,2-propanediol",0.16022031310887355
357,12PD4-6_3,"1,2-propanediol",0.0
358,12PD7-6_3,"1,2-propanediol",0.7880923410721634
359,12PD6-3_1,"1,2-propanediol",0.0
360,12PD6-3_2,"1,2-propanediol",0.3319232872623291
361,relA_purT-3,"1,2-propanediol",0.05363625080858803
362,fabR_yfgF-2,"1,2-propanediol",0.12595789425279302
363,yfgF-2,"1,2-propanediol",0.12043311103088616
364,fabR-3,"1,2-propanediol",0.2416277698918265
365,relA-1,"1,2-propanediol",0.08829776048800884
366,fabR_yfgF-1,"1,2-propanediol",0.13990071859030542
367,metJ_acrB-1,"1,2-propanediol",0.1347631778231549
368,fabR-1,"1,2-propanediol",0.1622772357599978
369,MG1655-3,"1,2-propanediol",0.24986492875995897
370,MG1655-1,"1,2-propanediol",0.183556136924826
371,purT-2,"1,2-propanediol",0.30832091348674023
372,acrB-2,"2,3-butanediol",0.024268644462521662
373,metJ_relA_yeaR-1,"2,3-butanediol",0.11227102219207966
374,23BD7-4_1,"2,3-butanediol",0.5016066622217457
375,metJ_relA_acrB-3,"2,3-butanediol",0.09307476866776619
376,metJ_relA_purT-2,"2,3-butanediol",0.11097964091700135
377,acrB-3,"2,3-butanediol",0.09211397927253032
378,23BD7-4_3,"2,3-butanediol",0.5066177416595483
379,metJ-3,"2,3-butanediol",0.15822512714046236
380,metJ_relA_rnb-1,"2,3-butanediol",0.06941363263941751
381,metJ-2,"2,3-butanediol",0.1647330763086375
382,MG1655-2,"2,3-butanediol",0.0
383,metJ_relA_rnb-2,"2,3-butanediol",0.08372445579693676
384,23BD2-4_3,"2,3-butanediol",0.48941624342040696
385,acrB-1,"2,3-butanediol",0.07979000298606681
386,metJ_relA_clsA-3,"2,3-butanediol",0.0
387,metJ_relA_yeaR-2,"2,3-butanediol",0.10339480481780393
388,23BD7-4_2,"2,3-butanediol",0.5310904117084143
389,metJ_relA_acrB-1,"2,3-butanediol",0.05172110013387507
390,metJ_relA_treA-1,"2,3-butanediol",0.12016718212817311
391,23BD6-1_3,"2,3-butanediol",0.4058420556307293
392,23BD2-4_2,"2,3-butanediol",0.4862253984162005
393,metJ_relA_clsA-2,"2,3-butanediol",0.6993441575825825
394,metJ_acrB-2,"2,3-butanediol",0.20882831515742784
395,23BD4-3_1,"2,3-butanediol",0.36956168092039227
396,metJ_relA_purT-1,"2,3-butanediol",0.10793256676704498
397,metJ_relA_treR-3,"2,3-butanediol",0.06989943524636826
398,metJ_relA_treR-1,"2,3-butanediol",0.1051603043504283
399,metJ_relA_clsA-1,"2,3-butanediol",0.035355638206799225
400,metJ-1,"2,3-butanediol",0.1279046486396065
401,23BD2-4_1,"2,3-butanediol",0.504131537859776
402,metJ_relA_treA-2,"2,3-butanediol",0.13376120970167996
403,23BD4-3_3,"2,3-butanediol",0.4001906339509673
404,metJ_relA_acrB-2,"2,3-butanediol",0.04149155739145839
405,23BD4-3_2,"2,3-butanediol",0.39311481224910194
406,23BD6-1_1,"2,3-butanediol",0.4439243673537608
407,metJ_acrB-3,"2,3-butanediol",0.18610716781546463
408,metJ_relA_rnb-3,"2,3-butanediol",0.16376702969224882
409,23BD6-1_2,"2,3-butanediol",0.4515658733998161
410,metJ_acrB-1,"2,3-butanediol",0.20618201846320447
411,MG1655-3,"2,3-butanediol",0.0
412,metJ_relA_treA-3,"2,3-butanediol",0.17763265619639457
413,MG1655-1,"2,3-butanediol",0.0
414,metJ_relA_treR-2,"2,3-butanediol",0.111129548885619
415,metJ_relA_yeaR-3,"2,3-butanediol",0.04480021630650067
416,metJ_relA_purT-3,"2,3-butanediol",0.13809943013701995
417,HMDA1-10_3,HMDA,0.39587434953858314
418,proV_ptsP-1,HMDA,0.1471304777459663
419,proV_nagC-1,HMDA,0.02026500177997953
420,MG1655-2,HMDA,0.11998567451183352
421,HMDA5-4_3,HMDA,0.6560002480665393
422,proV_nagC_ptsP-3,HMDA,0.09366937448646591
423,proV_wbbK-3,HMDA,0.1306190600401694
424,HMDA7-1_2,HMDA,0.43089978674528473
425,HMDA1-10_1,HMDA,0.3798555625001136
426,HMDA3-5_3,HMDA,0.6735887450713128
427,proV_nagC_ptsP-2,HMDA,0.2447502272791926
428,wbbK-1,HMDA,0.0696932650211022
429,proV_ptsP_wbbK-1,HMDA,0.18049791506693386
430,ptsP-2,HMDA,0.16373840526747002
431,proV_ptsP-2,HMDA,0.162219665944535
432,HMDA5-4_1,HMDA,0.8499046266383641
433,HMDA7-1_1,HMDA,0.4308457261366516
434,proV-1,HMDA,0.1290268725136556
435,wbbK-3,HMDA,0.09707144040991336
436,proV_wbbK-1,HMDA,0.11496135900122147
437,HMDA5-4_2,HMDA,0.7549490812968952
438,proV_ptsP_wbbK-2,HMDA,0.14996376955789312
439,HMDA7-1_3,HMDA,0.3958568974537937
440,HMDA3-5_1,HMDA,0.6819305918791894
441,proV_nagC_ptsP-1,HMDA,0.2087556773205266
442,proV-2,HMDA,0.14367782106285287
443,proV_nagC-3,HMDA,0.09860836638651528
444,HMDA3-5_2,HMDA,0.6532501913354214
445,ptsP-3,HMDA,0.1407300207402486
446,wbbK-2,HMDA,0.09014644353740395
447,proV_nagC-2,HMDA,0.0
448,proV_ptsP-3,HMDA,0.11099523968048615
449,MG1655-3,HMDA,0.08709749178611367
450,proV_wbbK-2,HMDA,0.12698515286036502
451,proV_ptsP_wbbK-3,HMDA,0.15448814818282455
452,MG1655-1,HMDA,0.13496592778945943
453,HMDA1-10_2,HMDA,0.445499282687528
454,ptsP-1,HMDA,0.15165439140660408
455,proV-3,HMDA,0.12440449689566076
456,IBUA8-3_2,isobutyrate,0.37586907127917485
457,phoU-1,isobutyrate,0.0
458,MG1655-2,isobutyrate,0.11801936439717386
459,IBUA8-3_1,isobutyrate,0.32900546088294247
460,cheR-1,isobutyrate,0.1275964828639941
461,cheR-3,isobutyrate,0.08744985871910929
462,rph-2,isobutyrate,0.0
463,cheR-2,isobutyrate,0.08410136039450973
464,phoU-2,isobutyrate,0.10182770291788155
465,MG1655-3,isobutyrate,0.05804232946632932
466,rph-1,isobutyrate,0.12834266722762128
467,rph-3,isobutyrate,0.033017334848182624
468,MG1655-1,isobutyrate,0.11911071890573371
469,IBUA8-3_3,isobutyrate,0.3276142260030397
470,phoU-3,isobutyrate,0.07299205173182045
471,acrB-2,"2,3-butanediol",0.12534884146790518
472,clsA-3,"2,3-butanediol",0.0
473,relA-1,"2,3-butanediol",0.030055929585314327
474,relA-3,"2,3-butanediol",0.0
475,treA-1,"2,3-butanediol",0.08933818666454439
476,metJ-lg-2,"2,3-butanediol",0.063707442422244
477,purT-1,"2,3-butanediol",0.0
478,acrB-3,"2,3-butanediol",0.05383444839625972
479,metJ-3,"2,3-butanediol",0.1490714841823259
480,yfgF-3,"2,3-butanediol",0.0
481,23BD2-4_3,"2,3-butanediol",0.47739719715763845
482,treA-3,"2,3-butanediol",0.0
483,acrB-1,"2,3-butanediol",0.14881022416058745
484,yfgF-1,"2,3-butanediol",0.044630656577505305
485,metJ-2,"2,3-butanediol",0.17020266439070905
486,23BD7-4_2,"2,3-butanediol",0.49499980155981654
487,23BD7-4_3,"2,3-butanediol",0.4974012439386662
488,fabR-1,"2,3-butanediol",0.018349833092754366
489,treA-2,"2,3-butanediol",0.06413120725684555
490,23BD6-1_3,"2,3-butanediol",0.3958513406090103
491,purT-3,"2,3-butanediol",0.08326542339657357
492,23BD2-4_2,"2,3-butanediol",0.5795424372684855
493,fabR-2,"2,3-butanediol",0.0
494,23BD4-3_1,"2,3-butanediol",0.36709852464586606
495,clsA-1,"2,3-butanediol",0.053206634079779866
496,MG1655-2,"2,3-butanediol",0.05473196711114465
497,metJ-sm-1,"2,3-butanediol",0.1443190851241318
498,metJ-1,"2,3-butanediol",0.14561613288826838
499,23BD2-4_1,"2,3-butanediol",0.579548051083255
500,metJ-sm-3,"2,3-butanediol",0.1284580487272279
501,23BD4-3_3,"2,3-butanediol",0.3813344002976763
502,metJ-lg-1,"2,3-butanediol",0.08206213750456136
503,23BD4-3_2,"2,3-butanediol",0.3967078730111145
504,23BD6-1_1,"2,3-butanediol",0.40641850366355564
505,purT-2,"2,3-butanediol",0.0
506,yfgF-2,"2,3-butanediol",0.017015378906669903
507,23BD7-4_1,"2,3-butanediol",0.499823850458065
508,23BD6-1_2,"2,3-butanediol",0.40108924414267644
509,fabR-3,"2,3-butanediol",0.07093711685976924
510,metJ-lg-3,"2,3-butanediol",0.14323808861117898
